MaxEsReturn,AverageQLoss,AverageEsReturn,AverageDiscountedReturn,QFunRegParamNorm,AverageAbsQ,StdReturn,AverageAction,MaxReturn,MinReturn,AverageAbsQYDiff,AverageAbsY,Epoch,StdEsReturn,AverageReturn,Iteration,AverageY,PolicyRegParamNorm,AverageQ,AveragePolicySurr,MinEsReturn
117.987128708,0.502267,22.0514306749,22.304648224,11.0761,0.0907784,0.915509610464,0.013146,27.4749303053,23.0707958695,0.567927069043,0.512154801888,9,10.6141555969,25.3591246252,9,0.501597453876,13.2991,-0.0601153,-0.0235002,1.42496304904
64.9850939432,0.00966359,6.98044048272,5.66430462997,11.4611,0.799177,0.0598056709561,0.99606,5.99911708635,5.68810384633,0.0488418212309,0.803717206461,10,5.92988802944,5.82270859214,10,0.758520391936,15.0526,0.75584,-0.409372,0.572395558162
28.9030256604,0.01241,7.04580985107,5.67897347782,11.9618,1.40538,0.0614004131142,0.999997,6.01067900347,5.69175811942,0.0551324035805,1.40719098115,11,3.06822484303,5.83775409237,11,1.37451602768,15.4995,1.37406,-0.703232,3.80725235479
45.7785484466,0.0244475,9.92850360137,34.476981304,12.6996,1.94048,0.966211536252,0.992765,40.6886049436,36.6576225692,0.0720227312081,1.94266466149,12,9.99503331183,38.7930013085,12,1.91308885654,15.9453,1.91225,-0.981229,5.14894942973
55.4886693116,0.099294,40.4915125762,34.4516850566,13.8608,2.77706,0.934408272572,1.0,40.7657893943,36.5554596751,0.118110964885,2.77948849036,13,7.44357322151,38.760610634,13,2.75157694813,16.3669,2.75036,-1.48286,6.4126237143
59.9871339298,0.223974,39.7998037997,34.4321144637,15.3823,3.99741,0.964712199659,0.99054,40.773699202,36.7067729347,0.176700425584,4.00123367137,14,8.93980825645,38.7383210362,14,3.97416087939,16.7427,3.97158,-2.11019,3.15378090864
177.014471898,0.283408,94.5804661023,110.306917704,16.9992,5.25502,2.2228487304,0.946879,174.393773844,165.070751497,0.210588069576,5.25800668474,15,50.4513072603,169.888180578,15,5.23446304699,17.2774,5.2327,-2.76779,12.1815590979
173.919464805,0.32695,118.985988381,112.542416012,18.2229,6.61674,2.36519700335,0.831894,178.081087113,168.909156017,0.238439040638,6.61957328486,16,55.8626600161,174.612060316,16,6.6007668219,17.9762,6.59871,-3.48187,3.4350080128
207.701424332,0.458429,128.742200501,112.446966851,19.466,8.10927,1.87770308492,0.929904,177.654953653,169.846986092,0.266531601096,8.11178270813,17,70.3387717334,174.415346621,17,8.09589429181,18.6282,8.09339,-4.24675,8.61901599069
192.796381551,0.644745,139.241652541,110.23286348,20.7973,9.73486,2.66707503682,0.991572,172.802060657,162.053220958,0.319481580356,9.73602464978,18,61.0608510448,169.402312569,18,9.72375258426,18.7765,9.72217,-5.07886,49.2603966781
203.038580696,0.745798,172.36097182,103.070539655,22.1719,11.4587,7.54325798377,0.990452,176.040939486,140.192343626,0.355614937563,11.4605366132,19,51.5651274298,152.378126164,19,11.4505848435,19.0018,11.4477,-5.95762,55.1018603339
206.122769765,0.92171,155.171819344,111.896068282,23.5229,13.3476,2.46522212374,0.989564,176.573720401,165.178865738,0.398931570867,13.3487697306,20,51.7971701189,172.730808512,20,13.3402601569,19.3857,13.3369,-6.90097,55.7089393463
186.143292819,1.11494,157.912293908,110.888366342,24.8508,15.1705,1.01300952595,0.981324,173.146877441,169.200806665,0.433436169117,15.1710378239,21,36.6794011566,171.052932293,21,15.1618287263,19.7764,15.1583,-7.84691,42.9758639431
206.198162102,1.23963,138.595145341,111.302694057,26.0575,16.9889,1.57213045277,0.958992,174.078370969,167.463089607,0.463502027616,16.9893454404,22,58.2511436971,171.404006801,22,16.9811522176,20.0611,16.9768,-8.74506,14.1448238329
156.60760366,1.4084,56.5722340871,111.894395591,27.236,18.705,1.08466471895,0.921522,175.01372004,170.341102309,0.483877231502,18.7032345615,23,53.0096870065,172.4712977,23,18.6955432461,20.1908,18.6926,-9.62176,26.5899174445
28.0487622598,1.3023,27.2094746794,111.323039448,28.3273,20.1122,1.13059169378,0.93372,173.93176022,169.113130965,0.481503136345,20.1108805049,24,0.634166878561,171.523319914,24,20.1040772024,20.5999,20.1004,-10.3518,25.2458410723
173.945932882,1.50899,35.2824109555,111.407104531,29.4848,21.6112,1.07557406379,0.962532,173.996221921,169.354839564,0.509905469073,21.6095469225,25,33.6393953714,171.515287567,25,21.6034499857,20.8706,21.5988,-11.1193,25.9001637504
165.685279854,1.60702,42.1914400645,111.400113875,30.5314,23.0999,1.30140664751,0.963616,174.696852436,168.551848789,0.495071026494,23.0967060469,26,44.2287811313,171.827063809,26,23.0905399826,20.9935,23.0879,-11.9105,11.6956565517
178.956891868,1.71753,62.4426854815,111.318227146,31.4873,24.7437,11.9887436646,0.933896,196.429388556,126.582137579,0.523015968631,24.7405514501,27,61.2977702506,175.153235049,27,24.7346389083,21.3634,24.7304,-12.7445,26.0595551663
180.902908853,1.98129,69.9513157444,111.296390984,32.3982,26.2925,5.73660532096,0.893313,193.631610045,161.295729783,0.559917359088,26.2865507528,28,64.1407138973,172.092720515,28,26.2803476484,21.6696,26.2761,-13.5574,13.8674711857
188.123475901,2.28405,53.5175131366,112.399465634,33.3658,27.9633,2.29207237584,0.929424,178.967398217,167.481947748,0.583375599776,27.9578753483,29,55.9541154359,174.162788536,29,27.9523456761,22.0956,27.9475,-14.3726,21.0533821242
189.632877317,2.45366,95.5369135068,114.642794101,34.1583,29.6068,3.99584475357,0.954412,193.692887816,173.101521046,0.600131470455,29.5987297827,30,73.2708578028,180.531854355,30,29.5921434713,22.4169,29.5891,-15.1921,26.9654817641
190.615240988,2.51196,112.878708033,114.110954517,34.9647,31.1694,3.7697656901,0.910981,190.241176242,168.493463802,0.613823297332,31.1616337621,31,66.512067995,178.659309914,31,31.1557029693,22.9577,31.1512,-15.9489,23.1266868817
177.616276604,3.05024,86.3140417756,112.30838022,35.7736,32.9684,1.44735101996,0.960783,177.071885878,169.949780164,0.653414933544,32.9605571217,32,66.0426868034,173.650650932,32,32.9523336222,23.4367,32.9469,-16.8745,14.2810643198
187.563860127,2.82127,59.5472534483,110.195183195,36.5095,34.4358,19.9478560562,0.948357,192.1089439,141.7826644,0.659836643776,34.4233278036,33,65.9657019308,169.739281696,33,34.4161198435,23.9001,34.4136,-17.5183,12.533684331
218.948344472,3.59155,51.9620377046,112.309257949,37.2715,35.995,3.97499123863,0.951956,184.110529517,165.746749665,0.718925838377,35.9837637859,34,60.6623781818,174.663694927,34,35.9768237054,24.3522,35.9718,-18.2965,16.2588936346
207.367723562,3.54912,41.5005840124,114.935528684,38.2267,37.479,3.53946059091,0.934169,190.337088762,172.47912233,0.716787946871,37.4636611119,35,49.5212910176,181.692635994,35,37.4566461783,24.5964,37.452,-19.0104,15.3886667752
197.975083572,3.72373,63.5169096798,110.94710451,39.1099,38.841,2.09018357107,0.953832,175.280284465,164.311851972,0.736879528226,38.8240605813,36,69.3648243237,170.910938292,36,38.81769245,24.9973,38.8148,-19.7058,14.5845741387
192.69700778,3.94639,37.7691183921,113.976376185,39.8703,40.4367,5.718132557,0.906607,182.095186759,136.684112889,0.75731396278,40.4227376021,37,44.8514886208,177.600631894,37,40.4169412932,25.2614,40.4127,-20.4973,12.7609812794
196.125682764,4.07478,58.1027865617,112.095583548,40.7371,41.7677,2.63747902616,0.935891,182.094978353,168.016024866,0.771003928632,41.7523069482,38,62.043450059,173.841181187,38,41.7460129872,25.542,41.742,-21.1611,14.4518291063
162.223249459,4.27834,33.1757151337,115.468823179,41.4238,43.1466,3.00028850003,0.908104,190.785953612,174.465448198,0.779174823108,43.1293643754,39,33.5428921915,182.892240472,39,43.1219196677,25.7022,43.1178,-21.822,12.8807520721
37.0671972799,4.86315,13.6378814514,114.330647358,42.0814,44.3756,2.98833060933,0.945532,186.103599442,171.404105306,0.8129616714,44.3578915746,40,5.08297267564,179.75564592,40,44.3502934746,25.9702,44.3453,-22.4794,3.32141951456
18.8652676907,4.25757,10.9457426361,115.653480886,42.8131,45.6658,2.97095138873,0.939757,189.8400808,175.557781999,0.7755025754,45.6446155748,41,1.66821373243,182.508335758,41,45.6376302967,26.1894,45.6352,-23.1373,9.24241742344
16.0452519514,5.10592,10.9989124763,112.793826633,43.4251,46.6182,3.68855257844,0.936069,187.649752846,168.722555289,0.820644233657,46.5955675985,42,1.47945587669,176.28683355,42,46.5869355146,26.3666,46.5814,-23.7129,9.11936328235
22.2174610479,4.88422,10.5703979093,114.350756922,44.0812,47.6934,2.67301843657,0.96142,184.806719253,174.073903115,0.836680692461,47.6699169285,43,1.87005218578,179.54028132,43,47.6611534538,26.655,47.6582,-24.2125,5.60017871147
14.1515385335,4.43248,10.6283253138,112.343042709,44.6256,48.8206,2.03750555544,0.972729,179.768444857,169.826911746,0.783763393453,48.8006667597,44,1.35458715261,174.332330132,44,48.7922745538,27.0537,48.7873,-24.7988,5.2506857564
20.0478494159,4.9428,10.7085199867,116.562270575,45.2818,49.9113,3.41898424494,0.967135,196.096322101,178.005782422,0.83738331593,49.8877907988,45,1.79430821285,185.796644577,45,49.8800553843,27.1764,49.877,-25.3687,8.42588697524
20.0460462801,4.74807,10.5328715715,115.787212885,45.7606,51.0734,2.1128830275,0.964093,187.511260907,177.295976704,0.805164633539,51.050725841,46,1.59415044244,183.54801566,46,51.0414006158,27.3932,51.0371,-25.8948,5.93800055877
14.825302851,4.21359,10.5618670541,117.899366326,46.2482,52.1934,1.67602747868,0.960967,191.81535771,183.384126631,0.819852370515,52.1699355805,47,1.21795615617,188.151905686,47,52.1590902554,27.6596,52.1558,-26.4974,9.09583574228
15.5378275186,5.50914,10.3301533539,116.111261419,46.7416,53.3188,4.44881552786,0.936552,193.920057612,173.56622662,0.857293073664,53.2950053977,48,1.44580342442,185.376793441,48,53.2866223522,27.8604,53.2809,-27.0467,4.57854599901
153.070077565,6.08109,12.567203774,115.385265908,47.3089,54.4173,6.25481097237,0.941143,196.401486144,156.892328491,0.868923613022,54.3921087961,49,16.9513861452,183.195718418,49,54.3836162323,28.0977,54.3801,-27.5892,9.03643131589
14.6733153505,5.19582,10.4663604889,118.132792103,47.8037,55.4141,1.67244342499,0.914949,193.585423516,183.198809536,0.833788290896,55.3884322456,50,1.24169767248,190.027781893,50,55.3777335034,28.3527,55.376,-28.0807,8.93107076994
