QFunRegParamNorm,MinEsReturn,PolicyRegParamNorm,StdReturn,AverageAbsY,Iteration,MinReturn,AverageDiscountedReturn,Epoch,MaxReturn,AverageQLoss,AverageAbsQYDiff,AverageReturn,AverageAction,MaxEsReturn,StdEsReturn,AverageQ,AverageY,AveragePolicySurr,AverageAbsQ,AverageEsReturn
11.4918,-347.747431449,11.7087,9.40308990851,2.54394713042,9,-30.9227162676,-3.06087314745,9,0.788652739146,13.5278,2.96267508354,-5.70048547989,0.00501622,-279.483975602,19.2524560794,-0.368431,2.54394713042,-0.187312,0.864241,-304.9912.4765,-12.0863,-314.121543937,12.1143,1.04921022401,1.03704028208,10,-552.890366982,-57.8059739781,10,-549.363992065,0.336716,0.395592279844,-551.225384484,0.914155,-314.121543937,0.0,0.93263,0.943938852339,-2.02467,1.00894,-314.121543937
12.7877,-359.931313755,13.4753,28.0797025923,1.1040781489,11,-893.289741288,-85.8969450927,11,-805.667327298,0.120776,0.257360943077,-861.480467412,0.975284,-359.931313755,0.0,1.02342,1.02855739028,-1.82865,1.07897,-359.14.6906,-4213.6862,-441.620673449,15.4389,104.830394479,1.32734580379,12,-626.54604217,-30.62243708,12,-298.085918834,0.133159,0.267727017202,-499.229416425,0.871121,-441.620673449,0.0,1.2297,1.23047731917,-1.85417,1.29633,-441.62015.2965,14.4757,-410.726188051,15.8801,7.10996384392,1.39309179069,13,-379.172187395,-35.7352023721,13,-356.909272551,0.151817,0.287538804038,-366.912382085,0.596184,-410.726188051,0.0,1.2834,1.28588251038,-1.782,1.36145,-410.72618816.4515.1933,-294.05032993,16.2078,25.4700981284,1.44451143843,14,-236.126761119,-10.1918983479,14,-146.400693494,0.157007,0.292662435923,-217.635404365,0.479685,-294.05032993,0.0,1.30985,1.31121052671,-1.70828,1.41663,-294.050317.34315.9703,-221.407085222,16.4626,25.6492195755,1.46579211294,15,-78.5562597162,13.373042691,15,-2.73850498066,0.168916,0.303274899865,-45.9189386087,0.408805,-221.407085222,0.0,1.29771,1.29889752787,-1.64,1.43524,-221.4070852221716.7945,-221.991553009,16.8577,37.7684427845,1.48253798148,16,-300.806484577,-11.6195529596,16,-194.966577671,0.176928,0.309764056197,-236.622625887,0.659436,-221.991553009,0.0,1.29199,1.29274530081,-1.65806,1.45088,-221.99118.3241,17.6493,-211.338137158,17.2967,32.6677825343,1.5613625119,17,93.5599726158,24.5861029058,17,185.761738645,0.198892,0.32710379636,136.306388847,0.548868,-211.338137158,0.0,1.36259,1.36413568017,-1.75879,1.5272,-211.3381371518.18.4431,-103.312633255,17.6683,42.2392309373,1.6766313453,18,-142.046153352,12.5680260442,18,-14.5794870871,0.224326,0.345627411384,-98.9612220229,0.293301,-103.312633255,0.0,1.47457,1.47583255335,-1.89421,1.64424,-103.31263319.4819.2187,-108.365137969,18.0271,4.07726589843,1.79370028927,19,-111.748512203,10.7442445666,19,-98.9767155067,0.234455,0.354412719292,-105.887343757,0.253463,-108.365137969,0.0,1.59474,1.59683003218,-2.02774,1.76174,-108.3620.1082,219.9415,-129.287580501,18.4516,9.18182519831,1.94171603822,20,129.60500535,26.5728449661,20,158.121149858,0.242473,0.359076831683,142.032114318,0.314445,-129.287580501,0.0,1.76073,1.76275961745,-2.22795,1.91172,-12920.589,320.920.6323,-111.237748794,18.8825,16.8415995621,2.10086541793,21,9.68239614553,23.6835882189,21,70.1111988868,0.251556,0.364164633993,22.8971325847,0.0588384,-111.237748794,0.0,1.93906,1.94093828444,-2.42847,2.075121.0274,-250.9315321.2885,-80.0319978212,19.4555,34.8782274129,2.28329070543,22,-3.57884161435,23.1913146623,22,117.749066434,0.255221,0.365231874523,39.6221231411,0.109424,-80.0319978212,0.0,2.14705,2.14943905898,-2.65499,21.51,405.722529699,92.421.9338,-65.4047894561,19.9598,17.9656071452,2.5039568279,23,-32.6276937767,17.9824281698,23,29.1176423437,0.266729,0.371907770814,-0.344841128799,0.118563,-65.4047894561,0.0,2.38111,2.3837564202921.9558,408.024982133,60.8478258422.5394,-22.3301426711,20.5056,37.0086222227,2.73623762063,24,52.1489568509,20.104274227,24,178.88737866,0.283177,0.382615290724,90.5581264491,0.529292,-22.3301426711,0.0,2.63771,2.6405168218122.4737,343.997849088,59.56357234123.1347,16.8044985692,21.0343,30.8520384883,2.99971514903,25,144.353614972,21.7004269703,25,227.794985763,0.302122,0.391476612633,180.867219322,0.591024,16.8044985692,0.0,2.92094,2.9237714429322.9839,510.928436621,88.7036114823.6154,1.63158845501,21.6047,20.9638349469,3.30868057716,26,-119.752755741,6.654309551,26,-41.7216546268,0.319952,0.403385892108,-81.304410941,0.631532,1.63158845501,0.0,3.24416,3.24762479122,23.482,531.017665355,54.0812223324.1675,25.1280199028,22.1005,41.5613008688,3.61983339458,27,-84.8047381246,12.7762790193,27,53.5008266152,0.343221,0.416259044538,-5.30521903438,0.643521,25.1280199028,0.0,3.56656,3.57024424.0431,457.553982909,50.3368818614,2824.6424,43.8459667887,22.6534,40.3599372258,3.96136789854,28,-84.5216182834,12.1388051979,28,75.0057037032,0.358495,0.428674151857,-10.2297459494,0.671568,43.8459667887,0.0,3.92032,3.9230524.6191,368.485978782,68.9113031208,29,25.0655,121.249817384,23.1335,59.9506850325,4.30332694754,29,-101.605411098,18.8516952715,29,133.898311879,0.39145,0.445207887865,20.9847805019,0.6334,121.249817384,0.0,4.26876,4.27248225.159,581.010983918,24.9409529959,3025.4646,82.7185633516,23.5338,41.7287613126,4.67007967295,30,-21.9514394841,19.1424794588,30,146.588648606,0.419773,0.456456555141,79.7224145182,0.621113,82.7185633516,0.0,4.64293,4.646925.6536,846.188898688,124.675722829,31,25.8289,115.574580543,23.9503,39.6134159752,5.07438837908,31,157.703712156,25.9714740224,31,277.262759178,0.43331,0.462963538707,227.577384391,0.664399,115.574580543,0.0,5.05501,5.0592126.0509,589.609141626,53.1852652675,32,26.2415,216.866260773,24.3304,31.2961861521,5.40545796554,32,337.59784672,35.2201430579,32,450.758855947,0.455692,0.474906486836,371.781760005,0.656801,216.866260773,0.0,5.38964,5.393526.4924,484.386017778,48.5640476365,33,126.6016,99.4784308245,24.7326,46.5114743248,5.80526055297,33,350.418397155,39.6887015344,33,495.816907685,0.472336,0.483027937915,425.242397679,0.624615,99.4784308245,0.0,5.79361,5.726.8832,458.174846767,75.2059097455,34,15.326.9867,272.984530877,25.1428,52.335266067,6.27169308362,34,287.07113626,27.3231961172,34,493.511593043,0.482261,0.488902626068,400.041119749,0.655561,272.984530877,0.0,6.26181,6.26527.3077,505.84289849,35.8629668972,35,16.27.3799,257.470986808,25.5326,203.511528395,6.68356166833,35,-380.046183385,26.2436149292,35,358.074591497,0.506397,0.500247217439,219.372798,0.678046,257.470986808,0.0,6.67378,6.27.6641,494.202698769,71.339949216,36,17.40127.7556,365.274534715,25.9414,41.5574895021,7.16209223255,36,231.696932603,27.8634496727,36,383.623817859,0.534333,0.514665633648,292.039620514,0.704106,365.274534715,0.0,7.15428.0777,563.529149953,91.2929211943,37,18.45912728.1214,199.744821739,26.2925,52.2509797949,7.69429113684,37,329.362405966,40.2067982742,37,537.221716725,0.557994,0.524177100307,425.783413197,0.691083,199.744821739,0.0,7.68628.426,575.723131244,84.199440758,38,19.4491877228.4614,270.392566343,26.5961,29.5292924956,8.20903309604,38,449.537090573,41.1391736956,38,552.155214518,0.572474,0.533610391685,481.484092437,0.709634,270.392566343,0.0,8.228.7987,649.351920921,67.1350569869,39,20.6609210528.7927,300.053429689,26.9258,42.1444830731,8.71192647182,39,316.65991335,44.8103298138,39,469.938404245,0.629202,0.55076671135,415.176101724,0.719097,300.053429689,0.029.148,713.460946695,156.78684077,40,21.7694354956,7129.0741,322.330147897,27.2321,99.2112439478,9.2549132235,40,393.899019363,56.0760120904,40,728.575100481,0.621354,0.555500533227,534.291899244,0.702931,322.330147897,0.29.4891,732.245327815,126.786599335,41,22.7874149539,729.4378,342.377075885,27.5447,55.0648688538,9.80358080501,41,437.041607518,36.1463173989,41,632.949716777,0.669426,0.572816492154,559.389957181,0.730393,342.377075885,0.029.8356,635.823560232,153.189493773,42,24.1468353037,629.7903,373.604512287,27.8432,54.3849539455,10.3418271435,42,557.563893271,52.0966369441,42,729.655359782,0.743538,0.587585659663,649.341414883,0.746871,373.604512287,0.030.2077,1037.63528976,165.386016194,43,25.5347109049,130.0527,433.286081271,28.1284,365.680057621,10.9265973084,43,-594.683137215,38.0931505466,43,705.452233174,0.722435,0.589038850976,481.629366573,0.759201,433.286081271,030.512,941.773249603,211.021815365,44,26.8294772758,941.730.3754,343.678141844,28.393,84.8683293634,11.5251914865,44,458.581011905,39.54149357,44,762.92224921,0.790861,0.612016414664,657.836294828,0.759107,343.678141844,030.8372,786.02865,185.749910667,45,28.2733870497,786.028630.634,377.697353845,28.7063,99.219403445,12.216058599,45,402.810143189,12.5078395179,45,790.051527121,0.832587,0.622946930892,570.013480909,0.746931,377.631.0963,1089.75452497,146.449315682,46,29.5365536525,1089.75452497,30.9364,345.922865633,28.9763,67.1432452419,12.8077104199,46,481.948638212,33.1449586263,46,722.394293762,0.856355,0.629857528961,620.853376491,0.75372,345.931.3901,946.632251975,180.06185728,47,30.9215126955,946.632251975,31.2148,469.940765772,29.2568,95.7689886963,13.4478835946,47,399.466836649,33.5075432485,47,706.565561812,0.850023,0.629141774076,622.001705362,0.748837,469.31.6668,1004.60425666,216.644870558,48,32.1316331048,1004.60425666,231.4913,332.950769883,29.5361,60.9665639858,14.0989032245,48,602.158409608,38.4058805117,48,788.529607843,0.880603,0.637888674208,701.666398548,0.754552,332.0174,755.509266672,120.151170022,49,33.3923653389,755.509266672,3.1631.7706,389.844505409,29.859,489.344369019,14.7521490056,49,-552.973763247,5.29811540228,49,811.965985178,0.933842,0.65417164672,406.232949939,0.791135,32.3569,861.278053677,149.548199275,50,34.6327379258,861.278053677,3.46732.055,411.461405952,30.1184,82.0211537144,15.4510450692,50,674.916112234,44.6834668164,50,935.832359373,1.0387,0.678145460104,820.528547051,0.799332,432.6126,854.530347207,133.040595515,51,36.1284023262,854.530347207,3.4332.3708,421.342888074,30.3589,105.622077524,16.1145918083,51,321.198791142,37.1691889133,51,711.176106738,1.06689,0.689690855643,579.274547209,0.7675632.9224,988.611254194,143.532238697,52,37.4044604391,988.611254194,3.8720632.6895,497.536465828,30.6355,80.1751666576,16.8386771249,52,573.156784945,37.4554824406,52,906.809268031,1.12981,0.704542100158,701.357843349,0.7722033.1876,802.118121418,149.709717313,53,38.5441898644,802.118121418,3.9322933.0027,540.145991404,30.8948,183.223956658,17.6877733991,53,194.548219508,17.7875339836,53,843.968588444,1.64611,0.782694013588,664.34999906,0.830833.4896,676.490687168,232.209157227,54,39.7151832335,676.490687168,4.1439933.2639,-424.970630506,31.1604,324.388216429,18.8271009117,54,-27.9643531944,24.6444401007,54,858.737938439,1.54098,0.778732987609,459.702888692,0.33.7352,630.438002508,136.814688222,55,41.1907161528,630.438002508,3.811,971.566533.4794,98.5908823295,31.4193,39.6665128805,19.5790488895,55,-113.160339648,-2.61360988823,55,29.9433793496,1.33054,0.764174774497,-69.66633.9817,1474.01295845,154.835425644,56,42.5752606636,1474.01295845,4.2817,1089.43391464,133.676,477.834717002,31.5879,60.7950839802,20.3050019436,56,798.920605688,76.9474639088,56,988.726009559,1.28495,0.75986358402,889.34.2212,773.520638512,240.965533193,57,44.3140494963,773.520638512,4.55496,1358.62375672,33.9001,425.578756081,31.7952,59.1531902964,21.0171085954,57,754.465410255,74.4750671569,57,969.052227791,1.33367,0.767503814417,879.34.5228,1576.40564932,252.240743228,58,45.8799504239,1576.40564932,5.13275,2707.71279359,134.1338,532.759851783,32.0085,63.890501156,21.7447999277,58,637.226015857,56.3886268673,58,841.523221871,1.57713,0.785951199954,761.834.8123,2111.54755629,277.611517921,59,48.0009500269,2111.54755629,5.30861,2636.45028689,134.3958,540.911856756,32.2645,107.270627603,22.4727303938,59,498.102561991,67.577750708,59,926.328552833,1.49087,0.78508673809,79135.1091,1619.88051389,202.094905514,60,49.2652575114,1619.88051389,5.98815,1204.62073857,1.334.6479,559.416514691,32.4609,58.4530188324,23.2069396934,60,737.670138962,75.1030720484,60,929.307095518,1.61513,0.79463833206,8635.4002,785.111170061,221.456812396,61,50.689637588,785.111170061,5.71772,1502.18092462,1.334.874,499.6023654,32.6977,266.797411608,23.8844364674,61,76.0099976777,97.0446536703,61,1013.96762779,1.54331,0.787030278812,822.35.7709,1026.08990651,178.225975523,62,52.4463253924,1026.08990651,5.47323,1572.6075335.1435,512.343606011,32.8743,361.01982776,24.6917776439,62,-314.117111349,69.7173344436,62,944.746533906,1.45686,0.789269722932,706.636.0623,1830.56496908,261.939737866,63,54.4356253546,1830.56496908,6.13419,2812.49640757,35.418,611.453399016,33.0957,372.135395691,25.3761947463,63,-370.424195599,71.5047765931,63,931.440354541,1.60777,0.802701513277,735.536.3552,2130.52386644,161.761851799,64,56.438434399,2130.52386644,6.79764,1159.66018943,1.35.6748,579.306025993,33.2616,348.021881299,26.1462824814,64,-302.039698851,11.4285134893,64,871.910808268,1.68146,0.80723802237636.6381,1824.27404592,255.103915057,65,58.2329388588,1824.27404592,6.37282,1836.03031829,1.3989635.9242,544.899406013,33.4402,414.803057739,26.909474583,65,-391.157491663,75.5421649402,65,1076.6566989,1.76612,0.82207352839836.923,1393.51019166,204.040796281,66,59.824548289,1393.51019166,7.87481,2499.19877338,1.45080536.197,563.320834019,33.6331,39.3752807112,27.6979363929,66,871.713940861,79.303015934,66,1002.55570987,1.90346,0.83895358680537.1593,730.232652108,202.646981584,67,61.1551843532,730.232652108,7.35184,1652.66101129,1.4336.4388,592.097069746,33.8275,623.842554536,28.5027287426,67,-315.08139903,47.3331587368,67,1023.9775399,1.82959,0.826683308644,4737.3942,1575.54375441,262.356681523,68,62.9069845599,1575.54375441,7.48128,2082.76399878,1.4536.7042,716.747236464,34.0166,409.711236977,29.3028238164,68,-357.478922126,77.4349107364,68,1049.10214625,1.97339,0.8425707159737.653,1009.82824192,266.884169252,69,64.8936372329,1009.82824192,7.49366,2398.83501758,1.4665236.9672,680.79140027,34.1723,36.3914007941,30.1273565326,69,960.107035325,91.955085915,69,1092.51159766,1.92918,0.843480171707,37.9015,2509.00234567,241.466496055,70,66.8704608194,2509.00234567,7.73322,1920.08894283,1.4837.2011,668.846637176,34.3538,236.947670016,30.913919483,70,183.449455396,85.6494004468,70,1006.73169324,2.2244,0.864695770063,89138.1509,2669.91495918,188.651503769,71,69.3311519934,2669.91495918,8.65034,1317.62912688,1.537.435,697.514054814,34.5221,34.6711194719,31.7927447334,71,963.850536828,82.705690518,71,1063.47916187,2.01981,0.853893471062,102238.4323,1752.35036136,200.843087978,72,71.1477465963,1752.35036136,7.68294,1558.30271531,1.37.6947,776.466841453,34.6895,288.344528485,32.6480547791,72,70.4812446583,77.5176246558,72,1113.1625361,2.2544,0.874232242932,909.38.7261,1293.1840089,280.072744364,73,72.6021436234,1293.1840089,9.83473,2657.5154919,1.57437.953,653.104439185,34.8741,53.108607819,33.5192973502,73,847.528978475,81.7702116009,73,1032.78091079,2.2574,0.880706835576,938.9035,908.357405933,252.933695199,74,74.1450524787,908.357405933,7.9482,2116.99637071,1.5238.1428,604.20623428,35.0862,451.648952174,34.3741051218,74,-367.107250158,78.2008187916,74,1196.30742929,1.88512,0.8466520370239.1523,1497.17160855,255.428016981,75,75.5561180779,1497.17160855,9.73173,2508.74169502,1.60438.3889,731.60865665,35.2824,41.2527901829,35.2658975562,75,1038.20709457,94.8773825061,75,1162.81459853,2.55177,0.895548230079,139.3878,784.649535924,282.34473856,76,77.2284894202,784.649535924,9.42415,2801.71707254,1.5638.6493,733.611305101,35.4578,39.2364982864,36.1468996504,76,1070.3606136,100.004781889,76,1185.82626728,2.35215,0.883561115519,139.6239,1051.67334372,259.543036625,77,78.837093204,1051.67334372,11.4453,1746.38229965,1.65638.948,769.713201935,35.6479,37.1478342994,36.9906484152,77,1150.69283658,105.469709897,77,1275.35513777,2.6676,0.911402728008,39.8039,2376.83697767,181.998410093,78,81.2020807578,2376.83697767,11.1671,1331.25763529,1.65539.1825,626.48393696,35.8386,51.6320879631,37.8934447212,78,1064.98311744,95.4693342295,78,1250.93146495,2.86364,0.911289846763,140.0368,2299.18239656,247.566783893,79,83.5749387065,2299.18239656,10.4414,1782.97707574,1.39.4209,698.621039166,36.0113,34.1110476699,38.7755301052,79,1127.04029767,104.11421464,79,1228.54818201,2.48566,0.899679676852,11740.2549,2642.19150335,237.209101899,80,85.1505148052,2642.19150335,10.7957,1373.29730311,1.639.7262,731.549132017,36.2109,49.1433987883,39.6405512463,80,977.017464225,83.1556969654,80,1133.07138351,2.67662,0.91226764120240.4585,964.712263614,237.795817388,81,86.8021667355,964.712263614,12.2249,1549.63250356,1.7089139.9875,680.21382691,36.4015,400.897861171,40.4729014001,81,-340.795912277,71.3058161168,81,1068.48136005,2.84906,0.91989977640.731,2002.15233216,217.166329076,82,88.8006074212,2002.15233216,11.9773,1499.8286882,1.7407814740.2295,674.326079711,36.596,38.5074208084,41.3267029857,82,1110.3668473,97.919004043,82,1255.76109317,2.74719,0.925640040.929,2500.20262418,247.576328034,83,91.2277589605,2500.20262418,12.1547,1742.84374975,1.76276599040.4941,661.879149814,36.7632,11.9845281921,42.2863061622,83,989.634341595,87.9885073676,83,1028.56310761,2.7443,0.920743141.1667,2279.10394621,283.916627707,84,92.9754813287,2279.10394621,12.1078,2215.41604691,1.774776921640.74,755.506783374,36.9459,37.4730317636,43.124342198,84,1004.66381644,102.419187019,84,1121.31625444,2.89716,0.92598241.4089,1233.56814262,227.233310432,85,94.2620439919,1233.56814262,13.8443,1298.1959988,1.85586161708,41.009,741.967993859,37.1338,43.3511644109,43.9693155036,85,977.33916156,94.2972095483,85,1132.25011081,3.43114,0.95578441.6492,966.3989388,316.291021516,86,96.2482570115,966.3989388,15.9374,3447.75019291,1.87815757147,41.2539,733.226549909,37.3013,53.0875752636,44.9118548047,86,1113.11949811,89.765309189,86,1283.95571639,3.31701,0.9441.884,1868.98908773,309.429454292,87,98.1704783698,1868.98908773,14.0341,3361.34553846,1.84539322047,98.141.5193,793.760261233,37.4944,49.4446076109,45.7723852306,87,1130.65209462,94.2556931778,87,1295.71630714,3.35226,0.42.0872,1112.22423898,323.040528864,88,99.3665021175,1112.22423898,16.5649,2011.78166348,1.92174536568,99.341.7582,776.398157666,37.6993,31.0197173499,46.6046593013,88,1008.98532783,81.9398120414,88,1117.53450678,4.21137,042.3451,1641.97239663,285.289813349,89,101.683620181,1641.97239663,14.4812,3164.48597596,1.87550009235,101.6841.9308,724.682446133,37.865,42.6015400374,47.5129937189,89,1149.56606074,95.0253600911,89,1280.28783324,3.49771,42.5751,2839.29043006,301.849447254,90,103.236828618,2839.29043006,18.2997,2066.3386489,1.99554643074,103.237142.1684,809.848102083,38.0408,42.3481654916,48.3574476362,90,1046.13603653,82.6427531775,90,1201.61937749,3.48942.7947,1147.21695241,324.836414453,91,104.365485675,1147.21695241,16.7278,3625.74791835,1.96415309897,104.3659442.3934,747.248387977,38.2225,41.3464832468,49.2804550745,91,1084.49802655,87.5527823989,91,1210.35078197,3.6843.0395,796.665020391,285.537341423,92,106.488788366,796.665020391,18.0905,3497.18707935,1.98884744248,106.489242.6356,758.046871854,38.3842,35.1038947644,50.1227483323,92,1025.38791389,98.6797503491,92,1155.3904724,4.046243.2524,2836.41709158,320.256919643,93,108.525143478,2836.41709158,20.2125,3482.83425741,2.03281901675,108.5254342.8612,742.700239499,38.5271,26.5827015218,50.9862784284,93,1117.41951738,85.5809008523,93,1217.17576226,4.2843.4106,1419.92478962,360.155489163,94,110.834207717,1419.92478962,18.6742,3651.50245478,2.04693139616,110.83469343.133,804.652514799,38.6952,22.5241426604,51.8792636679,94,1071.24062341,91.9031413664,94,1146.38799432,4.2843.6384,2020.15610757,315.40588478,95,112.878264899,2020.15610757,19.0689,3129.15668871,2.04123380656,112.8787343.3071,797.618884298,38.9041,26.361333694,52.6932842229,95,991.053993743,87.8140746179,95,1079.43039815,4.36543.8396,3068.1813336,324.556479555,96,114.153050602,3068.1813336,18.619,3913.55030157,2.07018139154,114.1533780243.5098,-356.822720011,39.0728,485.698717966,53.5235030131,96,-370.229795944,43.5039271925,96,1326.47985944.0694,756.128190263,334.592981104,97,115.892990558,756.128190263,19.4667,3374.55069327,2.11669099555,115.893283197,52.5543.7319,652.960329203,39.3103,41.8474465098,54.3395840123,97,1112.58966047,97.0586319588,97,1258.575944.2921,3202.6784802,333.275477444,98,119.059073162,3202.6784802,18.5309,3043.05740909,2.10180681415,119.059597674,52.9343.9651,741.364040663,39.49,33.1079039954,55.196929771,98,1184.69277611,96.0828300045,98,1290.8247644.4434,3053.87530577,340.510607655,99,121.204452585,3053.87530577,24.2087,3623.64932498,2.2108314656,121.204849442,53.30144.1659,827.285815385,39.6686,22.7102495078,56.0416214339,99,1113.04943507,100.151100032,99,1186.4644.625,1899.65020174,329.546857882,100,123.047230209,1899.65020174,21.7186,3613.51233037,2.17187888461,123.047733339,53.719244.3528,818.173888863,39.8408,26.9059915327,56.8439112081,100,1057.27124775,100.337625109,100,1136.444.8382,1119.03125959,319.229373283,101,123.655015757,1119.03125959,21.3487,3159.23054747,2.14864403035,123.65541916,54.0368,-44.5256,804.200657154,40.0414,32.6629732625,57.6384085085,101,1056.16630307,97.2974054917,101,44.9859,1291.7775355,273.111777251,102,125.585736236,1291.7775355,20.935,1891.14726983,2.18978905092,125.586222325,54.3901,-127.4244.7239,717.701330103,40.2237,30.4330550567,58.4688641896,102,1019.58190305,93.0482620002,45.1696,1888.61360681,302.228835441,103,127.436070531,1888.61360681,20.6099,3655.79097325,2.17021373392,127.436520198,54.7078,-129.295,44.9233,841.368110603,40.3468,30.0273997978,59.2625735095,103,1091.46982799,96.420709225,145.3458,2142.93218551,319.646902472,104,129.391357195,2142.93218551,25.2523,2358.96082253,2.23675200862,129.391631357,55.079,-131.2445.1592,813.213326158,40.5173,23.7715372053,60.1021661917,104,1228.16084151,108.112891861,1045.5944,888.710891937,344.099023291,105,131.164151237,888.710891937,21.8344,3715.0211822,2.20120501686,131.164365279,55.3642,-133.046,45.394,784.143924091,40.6809,48.8865430525,60.8741774072,105,1128.43879809,105.8655354245.7931,3123.39086082,327.845846844,106,133.253147162,3123.39086082,25.2234,3919.59721496,2.29034844612,133.253463295,55.7489,-135.174,1045.6481,818.414167386,40.8477,38.2574610097,61.7095090777,106,1144.75526498,105.21528545.9986,2952.49429946,382.207932483,107,136.280407197,2952.49429946,25.566,3556.62835038,2.30707515987,136.280808504,56.143,-138.202,145.936,851.99488819,41.0377,37.0239428581,62.5390620022,107,1127.02788109,106.107828823,146.1911,3007.2730722,364.385536981,108,138.621741467,3007.2730722,27.5137,3246.25676145,2.36709906752,138.622117534,56.5142,-140.60346.1573,764.517693695,41.1827,42.3882093113,63.3184905515,108,1018.84078725,82.0240667521,46.3342,2441.38045358,381.633186371,109,140.671907847,2441.38045358,26.12,4671.14246597,2.34257433229,140.672183659,56.8525,-142.649,146.4134,780.495726489,41.4043,34.088775544,64.1274760475,109,1261.29127746,112.320575055,46.4941,2434.40893012,351.201965269,110,143.091702267,2434.40893012,28.9865,2688.78252713,2.35062612553,143.091985328,57.2496,-14546.6952,742.502047665,41.5462,49.2387198786,64.9584678032,110,1239.45960788,110.748229909,11046.708,3094.46121426,370.213172986,111,144.904731597,3094.46121426,27.7197,4688.12446685,2.39853281191,144.905156633,57.656,-146.94446.9132,792.49005762,41.7294,39.5296278028,65.7519975307,111,1330.23520924,112.921976248,1146.9112,864.476720251,382.014549294,112,146.52964416,864.476720251,28.4999,3979.02058772,2.40301583854,146.530125225,58.012,-148.5547.1252,778.466024436,41.8717,45.1086934155,66.5609552487,112,1124.006727,100.562924255,1147.0762,3315.76699256,313.818290884,113,149.141936698,3315.76699256,33.4334,2317.12840032,2.48902488568,149.142381654,58.2985,-1547.3633,846.745299651,42.0601,52.6760720763,67.3492217532,113,997.120214306,86.433996602,113,147.2931,3030.43871065,306.335183888,114,151.389791425,3030.43871065,33.6947,3949.02445707,2.48073851196,151.390067926,58.5782,-1547.589,770.552180375,42.2324,30.1280564829,68.1149752394,114,1222.8537213,98.8247409962,114,130747.4147,2416.64579585,341.721671041,115,153.243440703,2416.64579585,32.9927,2859.3941873,2.42751823564,153.24400909,58.9355,-155.214,115,0.0,4962.18901204,153.226,1252.38461313,0.927465,926.096117976,153.226,2416.64579585
47.621,1901.52904954,367.984622933,116,156.409509807,1901.52904954,29.2782,4216.62488051,2.44610756652,156.409915479,59.226,-158.441,116,0.0,4922.8667108,156.399,765.274786804,0.959899,2539.03329346,156.399,1901.52904954
47.8402,3232.53699811,349.845153801,117,158.108781304,3232.53699811,35.7903,3575.33274947,2.55345826192,158.109351212,59.502,-160.124,117,0.0,4997.98401539,158.095,1414.01939937,0.947735,481.771601079,158.095,3232.53699811
48.0073,3205.38240454,372.622793938,118,159.706961641,3205.38240454,32.8062,3584.78949731,2.45994656084,159.707387482,59.7862,-161.676,118,0.0,5356.17113632,159.686,1317.58278089,0.945013,1437.61182089,159.686,3205.38240454
48.1802,684.603464199,298.410922595,119,160.581770282,684.603464199,39.6505,3648.73695199,2.5433155067,160.58203105,60.152,-162.542,119,0.0,4094.95051415,160.564,804.650840703,0.941329,1251.50669465,160.564,684.603464199
48.3369,2736.93726784,394.333658556,120,163.141155338,2736.93726784,39.1209,3850.46379319,2.56499301651,163.141567897,60.4862,-165.181,120,0.0,5043.33518541,163.128,1106.0278729,0.934363,1681.44556331,163.128,2736.93726784
48.4987,3214.44626171,349.784939337,121,165.205497047,3214.44626171,40.878,3907.9033331,2.58787210869,165.205880345,60.8394,-167.198,121,0.0,4582.71819308,165.187,1028.6109759,0.939439,1492.1148781,165.187,3214.44626171
48.6939,1949.26641931,306.280159108,122,167.330052273,1949.26641931,38.0896,2498.73432855,2.59688273534,167.330371453,61.2128,-169.361,122,0.0,4404.30746268,167.31,1397.43252647,0.936433,445.193424935,167.31,1949.26641931
48.8596,3186.14524378,305.164998488,123,169.123773464,3186.14524378,44.1997,2223.77731344,2.76181513755,169.124197949,61.4796,-171.188,123,0.0,4739.11050036,169.111,1548.86646843,0.915271,476.060401251,169.111,3186.14524378
