AverageDiscountedReturn,AveragePolicySurr,PolicyRegParamNorm,StdEsReturn,AverageQ,MinReturn,AverageAction,QFunRegParamNorm,MinEsReturn,AverageQLoss,MaxReturn,StdReturn,AverageReturn,Iteration,AverageEsReturn,AverageAbsQ,MaxEsReturn,AverageAbsY,AverageAbsQYDiff,Epoch,AverageY
8.80919312822,-0.0259015,11.2294,6.87959474042,-0.22997,9.12720086431,0.217672,11.1302,1.74439298577,3.49251,9.35872870629,0.0478075620036,9.23485887164,9,9.88883946199,0.285625,57.3531168174,1.53825170649,1.76822215485,9,1.53825170649
5.1346560697,-1.24926,12.2535,2.85169198695,1.17176,5.0963552477,0.955134,11.4531,2.96910178552,0.0548855,5.39704967313,0.0402517665356,5.29558207843,10,4.79051204098,1.17988,26.5789981079,1.19228312894,0.122188394852,10,1.18111181031
34.4965392543,-1.49411,12.9945,17.1199068722,1.40169,36.7516493881,0.999997,11.8712,4.74823744745,0.0131181,40.8508465397,0.886179651495,38.8188280779,11,20.0662462584,1.41952,60.7938530827,1.41932338297,0.0695301756301,11,1.4023092125
34.3908334124,-2.32055,13.1016,7.19736311588,2.05866,36.6303498784,1.0,12.6661,34.8788698309,0.0390511,41.86161945,0.962783377614,38.6846873932,12,42.3316435385,2.08483,83.2580085932,2.08435878123,0.0966808032374,12,2.05964032303
34.5213814301,-3.38135,13.1276,6.85339125961,3.03525,36.7361385545,1.0,14.151,30.5675204668,0.10532,40.7604714115,0.910581006262,38.849872334,13,42.6376946217,3.05963,77.4926941012,3.059298668,0.145387628741,13,3.03635094134
34.544581882,-4.53451,13.1444,7.09053623022,4.10149,36.5517595398,1.0,15.6802,35.1123160872,0.155884,40.6699921341,0.919651429817,38.8794611085,14,42.8301226329,4.12318,71.6586319897,4.12241986017,0.181656758466,14,4.10276149432
89.4394611864,-5.80392,14.9443,21.5901915177,5.25197,120.306443631,0.477447,17.1663,13.679275787,0.206907,128.338065128,2.11979474929,125.018555004,15,52.4398469748,5.26984,121.557560457,5.26847768497,0.217173079052,15,5.25333513787
112.416203637,-7.22496,16.7302,54.1991106464,6.48975,172.3869094,0.811372,18.2914,8.02976730598,0.239099,177.89426442,1.23892883471,175.487416979,16,119.356652402,6.50647,203.987278592,6.50483040148,0.244014186813,16,6.49142863055
113.759887703,-8.85241,17.8352,47.1654184776,7.97828,171.252007987,0.884723,19.3852,12.5537043227,0.399289,179.815176262,1.62464094858,177.216729528,17,164.1136145,7.99234,203.045954288,7.99032624923,0.296151071617,17,7.98003007418
99.7721152807,-10.5795,18.6698,30.7626871788,9.55155,118.061066858,0.843298,20.5968,71.563311814,0.624143,185.259233051,31.1936645268,147.093978395,18,167.099002843,9.56388,182.254874879,9.5615140954,0.348048133025,18,9.55347871221
113.234022384,-12.3467,19.5932,13.050817065,11.2037,173.188059591,0.911496,21.8399,139.963862657,0.813975,178.975022287,1.12622261269,176.427880517,19,173.679448588,11.2163,192.785629871,11.2132285115,0.399356048429,19,11.2062171224
112.166020311,-14.2087,20.3525,35.3871768829,12.9718,171.745678798,0.726558,23.1523,88.2049784096,0.895534,178.402369594,1.47405267926,174.533776254,20,165.249932333,12.9842,205.894711633,12.9788221433,0.431500433203,20,12.9731128
111.632595404,-16.1191,21.281,18.8363626193,14.7984,170.448732244,0.847229,24.377,111.36248996,1.10874,176.224006165,1.51425425708,173.316972989,21,171.494655145,14.8106,190.711642316,14.8064388715,0.466161906328,21,14.8009639599
111.426337062,-17.9996,22.0742,44.4499480975,16.5998,167.433211835,0.790283,25.5083,16.4035251754,1.31873,177.620215501,1.83830094353,172.68304851,22,161.520094809,16.6127,194.311200118,16.60752348,0.515519497493,22,16.6027740541
112.584566903,-19.8284,22.8521,33.0782739554,18.4028,171.422312614,0.663239,26.7284,76.3145959581,1.64846,181.088329657,1.95572363896,175.961543843,23,171.779064002,18.4158,219.552467206,18.4101064517,0.564784666963,23,18.4057864671
112.07075655,-21.6274,23.6284,12.9313510755,20.1205,167.835798007,0.707434,27.8442,145.020442541,1.74283,178.494736219,2.51991665929,173.708646135,24,176.090922076,20.1349,207.064185255,20.128338341,0.58645218323,24,20.1234963832
111.817244922,-23.5654,24.3067,49.3820294028,21.9881,167.456274736,0.655167,28.9118,20.0730640576,1.91236,178.69241463,1.97708539003,173.096619874,25,160.5053929,22.0011,195.768382562,21.9936539255,0.627475896771,25,21.9901616245
111.023086144,-25.3839,24.873,39.0871493098,23.781,165.019354213,0.679135,29.8748,42.1141712148,1.87315,175.732679617,2.06457420398,171.16523143,26,154.490719236,23.7953,178.481974951,23.7883160518,0.621180820811,26,23.7844822412
112.667472542,-27.2251,25.4492,55.5443235446,25.5482,170.541676643,0.602213,30.798,28.2618180253,2.41244,181.280465543,2.83842947768,175.327318904,27,143.099345076,25.5636,191.306139547,25.5559489889,0.677488782098,27,25.5525363782
112.2678561,-29.0328,26.1259,51.2938098083,27.2998,171.031866794,0.632688,31.6655,39.2241711569,2.42632,176.868429791,1.30784269331,173.992486737,28,157.916655902,27.3152,206.252850667,27.3059583607,0.696765867169,28,27.303025887
115.857677934,-30.8802,26.6429,30.2716462115,29.1262,172.836420798,0.563459,32.4876,92.9887160457,2.47647,187.347666128,2.74149504627,182.698969069,29,165.685934781,29.1411,190.456770829,29.1326278851,0.711917139919,29,29.129358689
115.114937415,-32.6173,27.1844,46.9957234078,30.8088,176.110765991,0.5903,33.3649,14.7794676626,2.90315,189.838596686,2.06933783053,181.217917696,30,166.084919772,30.828,197.25883363,30.8149771172,0.763924483921,30,30.8113831107
114.582914328,-34.4166,27.7171,57.1516886198,32.5753,173.513210022,0.64153,34.1403,10.9084352366,3.00631,184.127277846,2.25314222113,179.623623401,31,163.754265202,32.5921,206.777569844,32.5828154805,0.782309937073,31,32.5799395956
113.784589608,-36.1052,28.1736,59.5153919615,34.2339,175.176887542,0.650011,34.9507,10.5372123007,3.53962,180.834963154,1.39629701751,177.887963085,32,147.805071552,34.2543,194.06950053,34.2397901588,0.834069576218,32,34.236786647
115.518862258,-37.7459,28.6691,52.3855683239,35.8584,178.054034977,0.674371,35.7879,14.2115156064,3.45007,185.361934543,1.88829175651,181.770039291,33,164.047326041,35.8786,213.895047465,35.8649120782,0.848706567889,33,35.86206479
116.314182732,-39.4987,29.0653,47.8104404257,37.5893,180.535832949,0.614382,36.5875,60.469772502,4.23571,187.264861509,1.30280240079,184.483341304,34,157.754380648,37.61,215.415848905,37.5968131218,0.912945384866,34,37.5939389334
