AverageAbsY,MinEsReturn,PolicyRegParamNorm,AverageQ,AveragePolicySurr,MaxReturn,AverageEsReturn,StdEsReturn,AverageAbsQYDiff,MinReturn,AverageDiscountedReturn,AverageReturn,MaxEsReturn,AverageY,StdReturn,AverageAction,QFunRegParamNorm,Iteration,AverageAbsQ,AverageQLoss,Epoch
2.96272507085,-16.5878753669,11.7092,-1.30696,0.563057,-1.83028435297,-4.2162084434,4.22772874457,4.24421709266,-4.9356879987,-1.7494914876,-3.49358963755,25.3137550046,2.87227030942,0.601181023605,0.204013,11.491,9,1.40824,22.7,9
1.45598910498,-17.3691866874,12.3907,1.18932,-1.56958,-8.04812474563,-8.18067962127,2.77619342016,0.40433939393,-8.44933969501,-7.97373186868,-8.25720853415,0.832703266505,1.22361672121,0.0677239140529,0.999982,11.8573,10,1.3524,0.438711,10
1.35769775435,-18.6139081953,12.4182,0.514871,-0.498238,-8.06548155965,-7.75475580686,1.38412599828,0.185784281883,-8.44756500365,-7.97147017446,-8.25492124911,-4.8005384297,0.516223602919,0.065597269811,0.999997,12.115,11,1.34381,0.0604014,11
1.84688603601,-16.9755251467,12.7224,-0.251026,0.390562,-5.83221362196,-6.15054438811,1.45632673197,0.196692702411,-6.23788349579,-5.85410261772,-6.06075901227,-3.86337892236,-0.251067116783,0.0707386307289,1.0,12.7556,12,1.8407,0.0682349,12
2.31483995615,-6.83164378584,12.7224,-1.09348,1.50114,-5.85716848958,-5.5129350926,0.493036063159,0.212839213618,-6.24300917294,-5.85186230849,-6.05844439675,-3.94732518226,-1.09458301265,0.071092842594,1.0,13.6177,13,2.30733,0.0826954,13
2.73121830944,-9.58054379938,12.7223,-2.17287,2.95439,-5.82425660281,-5.54503130427,0.684831933508,0.222251703175,-6.24498539791,-5.85117466454,-6.05774659162,-0.612239939997,-2.17570294619,0.0725607053589,1.0,14.4923,14,2.71916,0.09642,14
3.36797905614,-7.92696833314,12.7223,-3.29133,4.14593,-5.83299234491,-5.59972092115,0.533049737788,0.22974403242,-6.25772205563,-5.85034203519,-6.05687351599,-4.14154139316,-3.29533486594,0.069541688379,1.0,15.401,15,3.35548,0.103356,15
4.16553927189,-7.91682779119,12.7222,-4.15508,4.78758,-5.83984992288,-5.55333078287,0.616920562153,0.222348647422,-6.25393967734,-5.85381130307,-6.06038367789,-0.223236471002,-4.15848981352,0.0689353666222,1.0,16.1875,16,4.1605,0.103414,16
4.64095824739,-7.04883877853,12.7194,-4.63616,5.05083,-5.82779251727,-5.48510609028,0.58953634035,0.212779430191,-6.2502916234,-5.85118916394,-6.05773418285,-1.84465348409,-4.63847221937,0.071918118925,1.0,16.8106,17,4.63778,0.0948745,17
4.81654671595,-31.8643347447,14.7372,-4.81344,3.95526,39.3916937406,-4.99824874574,12.5128756643,0.215044402691,-4.38799085125,21.1006214831,15.7949610593,44.0915268141,-4.81471397821,11.8768892469,0.896936,17.5539,18,4.81453,0.100658,18
4.27472161077,5.85865538042,15.5783,-4.24661,3.01987,501.078110237,50.3237963576,84.5404254816,0.244519005818,397.672404224,124.567036216,448.644951648,322.569172124,-4.24596814207,20.9200356512,0.699229,18.2432,19,4.27227,0.128213,19
3.37184959462,9.2666819306,16.7065,-3.11394,1.75793,996.453464121,173.841849685,170.695657637,0.241305690532,410.466970841,123.294085776,481.795884884,460.376586464,-3.11314755068,137.035905177,0.376331,18.848,20,3.35699,0.136444,20
3.01844483985,12.9206088372,17.6104,-2.09965,0.588354,540.974428278,172.463057457,124.769651254,0.254084109196,329.216348378,131.529563199,426.036572289,363.9165951,-2.09810245768,57.9225779344,0.594953,19.4504,21,3.00236,0.162615,21
3.0205108171,33.018268394,18.484,-0.980987,-0.6417,955.848126953,290.059188548,155.896573433,0.275280676646,-1.05176302767,52.3322244176,244.673019683,445.133171894,-0.979014014321,317.511311632,0.560667,20.0967,22,3.00197,0.209794,22
3.370478744,10.658097372,19.3986,0.241668,-2.02477,940.679339135,190.479397895,185.24878831,0.308220436012,0.283335344006,92.6488109468,291.811725478,501.561233249,0.244589525924,193.511592569,0.571533,20.7799,23,3.35157,0.281876,23
3.80351693168,31.4029694726,20.2521,1.38928,-3.26618,128.060721855,243.660081496,113.676250188,0.362033352537,21.5977869855,42.6067565712,59.1267631376,371.8731083,1.39201527613,21.352643036,0.5567,21.5605,24,3.77978,0.408979,24
4.45193276429,39.7607763797,21.0196,2.64529,-4.61125,484.102399351,181.775007857,112.375758695,0.397799281872,301.065729975,126.644768765,395.743057086,385.032823901,2.64950861719,47.2510093353,0.676031,22.311,25,4.42694,0.508555,25
5.20977461252,3.72277786687,21.7976,3.83606,-5.76346,556.253619137,204.829715359,225.130629735,0.445975650947,12.7423509717,62.7652582055,151.863261742,519.141693729,3.8397980697,153.016353325,0.688025,23.0175,26,5.18563,0.668955,26
6.09451800683,41.2038819002,22.4467,4.95461,-6.90323,541.748107571,199.349220457,113.306782708,0.487654470981,61.7044596355,105.635882613,298.731435931,412.717682237,4.95888118078,107.321815732,0.741294,23.768,27,6.06993,0.775751,27
7.06380292295,18.5659004703,23.0852,6.05841,-7.98347,500.501917591,154.877658564,120.381683298,0.539679232005,36.2566316295,100.554588391,250.970500239,308.845559805,6.06323514282,103.659835466,0.776575,24.5042,28,7.04058,0.985942,28
7.99817347298,0.447257863184,23.6495,7.05867,-9.01239,618.439987832,95.6638065112,87.4421336141,0.575925776801,63.0024152091,79.8697478884,315.247028055,270.305627926,7.06305439974,143.071935259,0.770649,25.2024,29,7.97708,1.104,29
8.97885564935,105.133909506,24.0559,8.04989,-9.96587,507.887718059,219.336968406,103.525286197,0.611872709834,81.7644751286,113.012662864,341.173454122,388.138876546,8.05390473482,108.135474169,0.75992,25.9123,30,8.95937,1.24916,30
10.0018850427,98.7457712786,24.4168,9.0849,-11.0485,587.896069214,233.776805869,108.602731987,0.645895655981,54.2432672427,99.5840521906,331.581339701,430.680752988,9.08837913213,129.296672474,0.701114,26.5668,31,9.98229,1.35028,31
11.0799477291,173.702211755,24.769,10.1602,-12.1557,664.1414765,249.857361237,40.7917500845,0.716661253989,228.671989696,115.077377167,379.899453944,291.315651608,10.1649662296,93.4132731679,0.68872,27.3632,32,11.0595,1.83808,32
12.0726061934,-9.09177598018,25.1444,11.1332,-13.2148,957.720448443,181.188272363,112.876985028,0.736785311619,5.50310345131,54.9665744863,214.630428349,293.194953639,11.1367370852,253.045122577,0.695737,28.0119,33,12.0544,1.81678,33
13.1688602844,52.2317530106,25.5221,12.2598,-14.4171,447.11379497,165.263475008,83.6739984513,0.784665995895,189.206619805,121.372170948,302.393291146,257.572229893,12.2654859259,61.1486615607,0.742793,28.7842,34,13.1512,1.97358,34
14.2761169471,63.5208309656,25.9797,13.4378,-15.682,1065.08232907,171.890119036,90.6163787932,0.857537800808,209.665835039,91.5212533192,412.504938418,295.455086831,13.4429761552,183.994151065,0.73473,29.5055,35,14.2592,2.46888,35
15.3830001703,1.94551323488,26.3709,14.6208,-16.9628,517.480055922,195.485017084,170.41475846,0.903543971627,205.670110852,124.667694625,347.002575415,462.233907571,14.6265632457,65.638505427,0.69777,30.2752,36,15.3707,2.56708,36
16.6355510118,153.14631272,26.8196,15.9393,-18.2939,1008.88973531,293.027857387,124.18522463,0.947036171509,220.186155077,121.310894335,386.089778098,491.574515996,15.9462547056,164.780478281,0.715434,30.9477,37,16.6243,2.83514,37
17.8901713009,39.4874921019,27.1787,17.2157,-19.7063,513.57100863,131.821203075,76.0991196533,1.00490494722,-9.69128409303,77.1366778031,214.27800784,279.627310377,17.2218242732,126.206489689,0.71722,31.6065,38,17.8785,3.06248,38
