MaxReturn,QFunRegParamNorm,Epoch,AverageEsReturn,MinReturn,AverageQ,AverageY,StdReturn,AverageAction,AveragePolicySurr,Iteration,AverageAbsY,AverageAbsQYDiff,AverageReturn,AverageQLoss,AverageAbsQ,StdEsReturn,MinEsReturn,AverageDiscountedReturn,MaxEsReturn,PolicyRegParamNorm
136.764540081,11.5824,9,-180.436686603,69.3655414841,0.873708,1.47870604288,19.2798902932,0.218095,-1.19318,9,1.51624581893,1.21306514087,106.73358703,2.41773,0.935657,50.7158887698,-282.888672848,6.52326950567,-80.4796145659,11.7802
-529.354340357,12.2331,10,-264.985139827,-532.600684216,0.748631,0.75927923286,0.943428311335,0.887463,-1.90958,10,0.853084532647,0.360403285993,-530.919709434,0.261603,0.809642,0.0,-264.985139827,-51.5808416655,-264.985139827,12.4233
-582.709479459,12.9776,11,-393.585477255,-592.826917269,0.951781,0.953878640684,2.98462864668,0.940631,-2.1677,11,1.05046608892,0.233850827842,-586.012654331,0.0958582,1.02682,0.0,-393.585477255,-51.7769099102,-393.585477255,14.3746
-609.790559474,13.7076,12,-432.024433046,-637.822736357,1.52198,1.52412858425,8.20577926007,0.968538,-2.62517,12,1.6229564627,0.248044358272,-622.95677273,0.108858,1.60363,0.0,-432.024433046,-54.1320856607,-432.024433046,15.4235
-476.367715728,14.4862,13,-411.747744792,-519.764883772,1.96405,1.96579787343,13.5799006286,0.867168,-2.91568,13,2.10564299408,0.276308585864,-498.922021404,0.136593,2.08479,0.0,-411.747744792,-34.6589549391,-411.747744792,16.3102
-476.539203342,15.221,14,-380.53337147,-649.89251121,2.32465,2.32581096349,45.8478939235,0.863591,-3.06163,14,2.43148104205,0.288639309987,-517.552396447,0.147399,2.40989,0.0,-380.53337147,-34.5790224965,-380.53337147,16.9356
-519.191740231,16.0243,15,-389.437850879,-736.946117928,2.54118,2.54262492811,65.8393064856,0.764906,-3.13772,15,2.64844742626,0.302090196528,-617.387124344,0.167973,2.62928,0.0,-389.437850879,-26.7833874396,-389.437850879,17.4569
46.188069978,16.8424,16,-294.023802118,-453.568933193,2.72167,2.72306507604,151.96861616,0.723163,-3.31008,16,2.82838084123,0.325771203952,-185.49001787,0.203682,2.80858,0.0,-294.023802118,-12.7876798515,-294.023802118,17.8559
220.613494493,17.6868,17,-213.423669327,-409.232164987,2.97207,2.97409435061,162.349343302,0.654578,-3.59442,17,3.05253297408,0.358708685213,-207.195584353,0.252053,3.03096,0.0,-213.423669327,-36.3952918626,-213.423669327,18.2369
105.159175155,18.525,18,-251.525191688,-82.4224700552,3.18145,3.18432452688,50.4680010105,0.682731,-3.80701,18,3.26640703529,0.384770437562,32.4389245548,0.287149,3.24248,0.0,-251.525191688,-6.66917092102,-251.525191688,18.805
-260.947202627,19.2766,19,-266.122927085,-351.052230527,3.42518,3.42761744926,27.3670553027,0.537895,-4.08513,19,3.51225896677,0.399397279545,-303.876475833,0.310424,3.48981,0.0,-266.122927085,-22.2828405806,-266.122927085,19.2787
465.815754526,20.0112,20,-195.163973389,306.46340179,3.71941,3.72214724859,48.4657202659,0.755004,-4.43924,20,3.80757595738,0.415544747787,384.039903524,0.331118,3.78677,0.0,-195.163973389,-6.67741135119,-195.163973389,19.9042
284.697323578,20.7178,21,-6.27993890861,-48.2030862331,4.13847,4.14183869352,89.7829593861,0.739515,-4.92127,21,4.22294010853,0.438422020982,209.72287312,0.361087,4.20288,0.0,-6.27993890861,-17.0040429414,-6.27993890861,20.5323
872.537429215,21.4427,22,194.026357285,200.663498499,4.627,4.63043719676,236.976925487,0.839726,-5.47411,22,4.70303975652,0.46818378313,369.298414787,0.414418,4.68548,0.0,194.026357285,17.0234400057,194.026357285,21.1594
688.69341933,22.1654,23,356.786868415,-584.563427804,5.20013,5.20445067273,464.166600551,0.836411,-6.11672,23,5.26513952703,0.506694077819,348.423134138,0.490632,5.24685,0.0,356.786868415,48.9541555055,356.786868415,21.7392
695.48370067,22.8439,24,206.595358236,346.428229905,5.86854,5.8732960223,83.5283772284,0.878331,-6.8391,24,5.9221814986,0.539451319269,524.502693332,0.558352,5.90408,0.0,206.595358236,23.7845872786,206.595358236,22.2977
596.462469866,23.4741,25,382.521554366,-701.284384886,6.61377,6.61834026251,376.497231542,0.844,-7.6269,25,6.65150359277,0.571990162859,422.775785818,0.632444,6.63625,0.0,382.521554366,37.1255159031,382.521554366,22.8713
675.269731231,24.0984,26,340.626316389,558.348518385,7.39011,7.39594257462,38.3059362249,0.828009,-8.452,26,7.42290919969,0.600648654397,613.171391037,0.689124,7.40843,0.0,340.626316389,55.8274627803,340.626316389,23.4334
575.171076338,24.7305,27,357.395926787,177.118882063,8.17321,8.17845202083,116.363178838,0.877128,-9.25343,27,8.19722324461,0.622233447241,482.881866821,0.746084,8.18606,0.0,357.395926787,77.630845853,357.395926787,23.9262
854.746552322,25.3131,28,308.721305305,517.117065409,9.11784,9.12369105767,113.479151806,0.850121,-10.2065,28,9.13668015376,0.656503340557,700.992129229,0.848137,9.12515,0.0,308.721305305,94.5276141859,308.721305305,24.4008
1690.23144172,25.8782,29,467.137573291,562.73072857,10.0419,10.0476285799,286.918658584,0.848761,-11.1617,29,10.0550080909,0.675024287298,936.778780689,0.890658,10.0463,0.0,467.137573291,105.821000545,467.137573291,24.8501
809.445134405,26.4182,30,521.662393601,535.666236595,10.9796,10.9852922043,72.1315859187,0.810535,-12.1431,30,10.9902940925,0.689104387868,657.312927194,0.965487,10.9822,0.0,521.662393601,82.6199883538,521.662393601,25.3172
931.563495847,26.9655,31,374.307391486,556.108964978,11.8658,11.8720762796,118.54745531,0.774326,-13.0242,31,11.8765012821,0.706347668657,735.395155659,1.02956,11.8681,0.0,374.307391486,102.041228191,374.307391486,25.7593
1452.68355308,27.4618,32,327.347922435,549.419516652,12.9054,12.9125900817,247.085336783,0.807948,-14.068,32,12.9150135783,0.731468481701,921.213620275,1.14485,12.9067,0.0,327.347922435,142.387653854,327.347922435,26.2014
1137.27283242,27.906,33,473.144847507,505.880834444,14.1455,14.1512284843,195.368548659,0.843709,-15.3104,33,14.1532569518,0.758770470407,771.756482201,1.23187,14.1464,0.0,473.144847507,147.573921131,473.144847507,26.6883
864.254334109,28.3549,34,1030.61506355,538.924076127,15.1519,15.1589876666,83.4619553707,0.858624,-16.3258,34,15.1604445219,0.754216722545,673.479025031,1.24118,15.1522,0.0,1030.61506355,98.4040207673,1030.61506355,27.098
902.361020014,28.7516,35,507.167326361,636.247747431,16.3032,16.310920647,76.9814495936,0.851411,-17.4763,35,16.3119871542,0.772711759322,772.919617953,1.31932,16.3036,0.0,507.167326361,106.776736714,507.167326361,27.5105
981.47826299,29.2004,36,551.29760573,669.374205566,17.4589,17.4668756969,83.3272678182,0.825824,-18.5963,36,17.4676611409,0.787570691823,788.193962673,1.39616,17.4591,0.0,551.29760573,98.5266846715,551.29760573,27.9104
1916.07674262,29.6265,37,796.050355867,934.398775937,18.6222,18.6294449832,295.807173727,0.853581,-19.7925,37,18.6303007113,0.790463083969,1149.45787653,1.46138,18.6224,0.0,796.050355867,152.815906602,796.050355867,28.3193
953.544825441,30.0819,38,748.412928275,713.857480006,19.7233,19.7304360622,75.744856741,0.860213,-20.8998,38,19.7313532614,0.81901440573,804.708674341,1.59275,19.7234,0.0,748.412928275,116.418249571,748.412928275,28.7513
1407.97372779,30.5599,39,735.951189305,688.336969449,20.9224,20.9317305006,231.393962858,0.895305,-22.1235,39,20.9322652443,0.849083733432,923.311284476,1.77236,20.9224,0.0,735.951189305,120.802095888,735.951189305,29.1436
1468.06803408,30.9909,40,868.265680593,754.228848529,21.9498,21.957992914,243.333933417,0.89412,-23.1623,40,21.9585731209,0.844684818517,1071.3600001,1.7238,21.9498,0.0,868.265680593,156.263542469,868.265680593,29.5115
2630.77462089,31.4271,41,411.324263456,885.063360135,22.9841,22.9925273521,496.47940925,0.892036,-24.2124,41,22.9931338746,0.855571720587,1460.94311955,1.80336,22.9841,0.0,411.324263456,187.533802326,411.324263456,29.8944
2453.76298653,31.8872,42,664.04566078,901.928288112,24.0878,24.0949044727,513.335638908,0.877886,-25.2846,42,24.0952029507,0.87577112707,1488.27811628,1.90402,24.0878,0.0,664.04566078,189.262449337,664.04566078,30.2122
1261.11341378,32.3255,43,573.899734594,822.759830381,25.4096,25.4184483979,145.655835798,0.87442,-26.5793,43,25.4189266766,0.888460582097,1045.22530815,1.94897,25.4096,0.0,573.899734594,149.960383223,573.899734594,30.5387
2313.86887126,32.7651,44,1132.4198447,362.795428574,26.4812,26.4892480276,623.902328959,0.873764,-27.6443,44,26.4896358137,0.8999837842,1290.11293343,2.02773,26.4812,0.0,1132.4198447,189.636521773,1132.4198447,30.8358
1746.32481267,33.2312,45,569.823812765,118.405838839,27.6564,27.662556856,391.064476441,0.872264,-28.8697,45,27.6630713411,0.916424814085,968.883103739,2.26006,27.6564,0.0,569.823812765,137.472285768,569.823812765,31.0933
2793.52761656,33.6412,46,951.78662336,-352.264746475,28.7321,28.7406569294,806.059679027,0.881766,-29.9809,46,28.7409937954,0.91467979898,991.115865352,2.12113,28.7321,0.0,951.78662336,179.079164002,951.78662336,31.3453
1288.99824373,34.0701,47,551.369590028,324.85025562,29.9251,29.9326286099,258.653959931,0.854343,-31.163,47,29.9330021388,0.929949753366,960.803588164,2.34196,29.9251,0.0,551.369590028,123.577468132,551.369590028,31.6874
2847.26582815,34.5361,48,986.046935509,742.877512808,31.0758,31.083880366,676.163988945,0.87609,-32.3256,48,31.084317286,0.935517118289,1549.99684107,2.42516,31.0758,0.0,986.046935509,198.264695067,986.046935509,32.0067
2427.15863716,34.9366,49,769.943549678,606.226623716,32.3752,32.3828303899,545.117333712,0.85859,-33.6489,49,32.3833917731,0.969191337381,1220.33085605,2.79081,32.3752,0.0,769.943549678,159.767966669,769.943549678,32.2881
1467.23816514,35.3328,50,1411.30838864,-306.563958925,33.7063,33.7150166178,439.166672748,0.83948,-34.9945,50,33.7154963141,0.987543771319,805.441775919,2.86096,33.7063,0.0,1411.30838864,127.383257451,1411.30838864,32.6024
2351.78277319,35.6731,51,832.304130769,1096.63730149,34.7985,34.8074576437,444.008752563,0.905308,-36.1024,51,34.807891999,0.975058975516,1753.53729949,2.62924,34.7985,0.0,832.304130769,184.080723689,832.304130769,32.8634
1974.82056286,36.1118,52,606.046010644,-71.6079632067,36.3129,36.3203742419,549.254760062,0.883157,-37.5977,52,36.3207231596,1.02444637369,1096.1708534,3.19423,36.3129,0.0,606.046010644,177.443994403,606.046010644,33.1466
2994.03296096,36.5528,53,2198.23440333,836.334517892,37.9303,37.939901745,769.751839513,0.879676,-39.2521,53,37.9403437606,1.06111918239,1670.1414086,3.49438,37.9303,0.0,2198.23440333,185.813006853,2198.23440333,33.4663
1162.1079551,36.96,54,880.938678268,489.563900492,39.1308,39.1398866949,199.231410272,0.854344,-40.4724,54,39.1403979977,1.06809038137,759.503103611,3.60693,39.1308,0.0,880.938678268,127.007438519,880.938678268,33.7625
2491.84820639,37.3596,55,618.084012522,972.190428865,40.3752,40.3846561159,518.993595662,0.903804,-41.709,55,40.3849429087,1.09470953763,1840.22231103,3.48518,40.3752,0.0,618.084012522,206.283691395,618.084012522,34.006
1156.45355488,37.8128,56,816.73494709,-211.030306091,41.8262,41.8388632147,391.246986507,0.86023,-43.2032,56,41.8391851087,1.13011229497,754.427769832,3.98118,41.8262,0.0,816.73494709,137.847702499,816.73494709,34.2528
1717.10467922,38.2867,57,751.37648012,-564.187412778,43.2959,43.3070279235,675.812132626,0.875081,-44.6547,57,43.3075451656,1.13184743484,709.902483647,4.08631,43.2959,0.0,751.37648012,112.830445419,751.37648012,34.5722
2485.58411879,38.76,58,1078.97926117,735.382664868,44.4297,44.4397529669,452.534048534,0.876056,-45.83,58,44.4401104329,1.13732053456,1406.39333905,4.30828,44.4297,0.0,1078.97926117,230.891819839,1078.97926117,34.8843
