AverageAbsY,Epoch,AverageReturn,AverageEsReturn,Iteration,MinEsReturn,StdReturn,AverageDiscountedReturn,PolicyRegParamNorm,AveragePolicySurr,AverageAbsQ,StdEsReturn,AverageY,AverageQ,MaxEsReturn,MinReturn,QFunRegParamNorm,MaxReturn,AverageAction,AverageAbsQYDiff,AverageQLoss
1.41566163813,9,12.1644769664,14.2036065676,9,1.77907023444,0.252510339305,11.4215529392,11.1819,0.448947,0.681295,14.7791446019,1.41251059149,-0.678386,99.1300638668,11.5141128664,11.1658,12.7968517974,0.0392707,2.09089700556,5.2238
1.19040498052,10,0.719973937254,1.69816211737,10,-1.23481159439,0.267845641954,0.961157598082,12.6236,-1.2196,1.16608,2.05490913516,1.15950458374,1.14724,10.9401239834,-0.497104877805,11.4275,1.42420989095,0.896682,0.132226487682,0.0679161
1.5323009005,11,38.5141122964,15.1814601703,11,-1.70330475493,0.899244569554,34.2496104506,14.2104,-1.56892,1.52901,18.1229831614,1.47022981983,1.46916,52.0462802994,36.4262038411,11.8438,40.4461970796,0.999988,0.0952891947892,0.0274292
2.23803841309,12,38.557519873,41.152272675,12,36.2915072512,0.899023915772,34.2791638265,14.8692,-2.33327,2.23392,6.7701081108,2.11915080386,2.11805,80.3065766511,36.6086294362,12.745,40.3098988166,0.999473,0.133251294456,0.0643733
3.17812679346,13,38.7925377623,42.5277961686,13,28.2224908513,0.944221642221,34.4742490796,15.0642,-3.35742,3.17373,6.40665216151,3.0320836553,3.03086,72.0794355618,36.765595137,14.0312,40.7180328311,0.993809,0.181214466315,0.131448
4.26814882078,14,169.378224729,56.6473181809,14,36.9610222214,2.44381378493,110.159730011,15.3662,-4.59678,4.26448,35.3582105323,4.12044109611,4.11927,179.279915089,161.814164439,15.5031,173.056157669,0.763893,0.226645157096,0.227222
5.6028877431,15,172.206794614,167.688958192,15,121.792131936,2.90629659059,111.63611309,16.1733,-6.0788,5.59901,16.4094193419,5.47047956191,5.4687,188.628584382,162.652965543,16.9663,175.612290614,0.849602,0.276335945719,0.373052
7.1012679886,16,171.875846131,144.504793306,16,4.80900413882,1.85773033609,111.581182134,17.025,-7.71631,7.09801,60.6800393193,6.98878324094,6.98611,195.081934497,165.76204547,18.4482,174.719763951,0.800694,0.319814528114,0.550449
8.70358926544,17,167.612401528,131.97383462,17,10.8602043294,2.76675442244,109.506363319,17.8823,-9.42491,8.70047,62.3030908282,8.61514541727,8.61244,196.74808742,159.332547866,19.8788,171.878042131,0.688328,0.379836017768,0.811046
10.3837484146,18,168.293867004,169.38969098,18,155.497478721,2.48012400715,109.93488786,18.6406,-11.2307,10.3804,8.16057418238,10.3118453712,10.3084,188.690598385,160.153600077,21.3957,172.498226339,0.688439,0.437415922788,1.04428
12.1362415211,19,169.279197662,151.052444587,19,41.7960546078,1.77486083015,110.503684356,19.5614,-13.0571,12.1325,44.2398562817,12.0728591439,12.0689,193.495729568,164.189639494,22.8678,172.873603562,0.701462,0.465597538259,1.21268
13.9692931956,20,168.944916844,135.255869454,20,30.4098417939,1.99414757446,110.435258851,20.4501,-14.973,13.9665,58.4977893229,13.9169403417,13.9128,203.846954835,162.608865467,24.3189,171.66203213,0.717816,0.50152987956,1.29533
15.7873418513,21,168.333344553,141.533862818,21,7.60271491027,2.31136708963,109.988393216,21.2725,-16.9046,15.7853,48.0145989665,15.745243335,15.7401,174.330785709,161.370764538,25.8101,171.846645502,0.745206,0.543635060093,1.56194
17.6019176005,22,170.249623303,144.556562708,22,51.5160301681,2.03902141743,110.915184103,21.8252,-18.7744,17.6004,36.4144855487,17.5648030441,17.5602,176.730758886,164.763995061,27.193,172.991481478,0.775781,0.576686476521,1.66035
19.4802801642,23,176.731743069,157.249043966,23,59.9168510071,4.21206600717,113.075036523,22.7922,-20.739,19.4774,34.8579510967,19.4487817492,19.4424,193.160470121,165.716321958,28.4328,183.91114102,0.521616,0.600991958348,1.8928
21.3099037868,24,169.696578451,175.097386254,24,145.936254313,4.57987066228,110.130334017,23.3078,-22.6482,21.3102,12.3176123454,21.2791998551,21.273,189.14607984,162.595994488,29.5342,180.960836317,0.514748,0.623522901306,1.85324
23.3478527776,25,186.091694209,155.791462802,25,66.56958887,1.0372339074,117.138654435,23.9067,-24.7793,23.3486,49.2102500141,23.3192364948,23.3132,211.95123948,182.115907168,30.6526,188.008872022,0.577462,0.674899821536,2.11686
25.3889960695,26,180.353982378,136.184456297,26,13.2856449808,0.906095554243,115.023743752,24.4784,-26.8948,25.3936,65.9016614364,25.3616393079,25.3568,193.174602363,178.509916184,31.7715,182.121114967,0.600321,0.745875918416,2.65833
27.4260783539,27,176.966634677,143.489703312,27,34.9838940467,4.18433411355,113.567057063,25.058,-29.0027,27.4284,51.4507359926,27.3995060585,27.3914,188.616436654,168.953249379,32.8257,185.180618839,0.623903,0.782043917236,3.28352
29.3579676649,28,183.429484822,150.465882854,28,41.0898158737,1.72528883578,116.269996085,25.7139,-30.9847,29.3605,43.4376271396,29.3319135164,29.3242,191.402457055,179.129509648,33.7672,186.960340956,0.678906,0.783553151249,3.20516
31.3266148363,29,181.651918269,157.975270002,29,33.4261937768,2.54637720075,115.467434696,26.326,-32.9885,31.3331,48.8040162487,31.303236238,31.2972,196.888168975,175.022382243,34.6424,185.609842022,0.704686,0.830439549136,3.43558
