PolicyRegParamNorm,AverageDiscountedReturn,AverageAbsQYDiff,MinReturn,Epoch,MinEsReturn,AverageY,QFunRegParamNorm,AverageEsReturn,AveragePolicySurr,AverageReturn,StdReturn,Iteration,MaxReturn,StdEsReturn,AverageAbsY,AverageQ,AverageAbsQ,AverageAction,AverageQLoss,MaxEsReturn
11.2297,8.78383619227,1.67038420469,9.09596178768,9,1.80314583937,1.47881024899,11.1301,9.78641279241,-0.0375522,9.20730579269,0.0471358063153,9,9.34610481094,6.95404773737,1.47881024899,-0.191574,0.24643,0.221634,3.12727,57.4117397899
12.3787,5.0614248748,0.120429561707,5.05363961244,10,2.96493173063,1.18027981087,11.452,4.99306801795,-1.25539,5.21563999656,0.0453087807763,10,5.3146149209,3.29127653988,1.19185630096,1.17096,1.18005,0.910751,0.0541522,32.2541312585
12.9865,34.4277126227,0.0690873733012,36.7130517906,11,4.73473865933,1.37776828448,11.8749,15.3993582559,-1.44089,38.7322260382,0.922250236361,11,40.7086226274,14.8111889855,1.39592997179,1.37718,1.39619,0.999957,0.0129131,52.2592687019
13.0468,34.5178062448,0.0968617023868,36.6806917531,12,4.16665730214,2.01017052758,12.7178,41.4344387916,-2.26664,38.8478369961,0.948599138011,12,40.7773397856,9.41682110409,2.03735972609,2.00907,2.03729,0.999999,0.0386092,83.9494515947
13.0502,34.5094318408,0.14635255933,36.7096938288,13,26.2727851158,3.01179311789,14.2405,42.6511767652,-3.39178,38.8331048707,0.934766820966,13,40.7412587269,6.62524189736,3.03699122106,3.01074,3.03683,1.0,0.104599,73.9722581245
13.0524,34.4984404418,0.19431254302,36.6119216152,14,34.8380832302,4.13432438776,15.8438,42.4336546748,-4.6145,38.8220921819,0.964546363846,14,41.8255381902,5.36363750775,4.15780217632,4.13277,4.1576,1.0,0.173774,57.7218537836
13.0552,34.4805644019,0.225613137418,36.7190018644,15,15.8230709405,5.35415950021,17.3786,41.4120167609,-5.94997,38.7971192815,0.956437442259,15,40.7646834495,5.65866959914,5.37416277224,5.35289,5.37502,1.0,0.221379,54.9849376085
13.0585,34.5235998299,0.23637516143,36.6953012651,16,36.5498293666,6.64895213573,18.6478,41.2955552553,-7.35486,38.8533981411,0.914032215752,16,40.6822339091,3.47453596497,6.66495708814,6.64731,6.66613,1.0,0.219064,53.9989147698
13.0623,34.506350771,0.255027910128,36.5779685008,17,15.5725059904,8.0000305546,19.7051,40.9061677184,-8.79593,38.831119673,0.944077228072,17,40.7273626755,5.14073388099,8.01371781215,7.99921,8.0166,1.0,0.240072,51.5356651421
13.0662,34.5248067132,0.27614333557,36.5883609209,18,35.9099477638,9.31418344109,20.7684,41.6235833279,-10.2081,38.8541045452,0.926958127223,18,40.7842448321,3.9481329374,9.32529801161,9.31224,9.32789,1.0,0.273667,57.3765722712
