Epoch,AverageDiscountedReturn,AverageQLoss,MinEsReturn,AverageY,PolicyRegParamNorm,AverageAbsQ,StdEsReturn,AverageAbsY,MaxEsReturn,Iteration,AverageReturn,MinReturn,AverageAction,QFunRegParamNorm,AverageQ,AveragePolicySurr,AverageEsReturn,StdReturn,AverageAbsQYDiff,MaxReturn
9,-1.32915413973,20.8545,-16.5274097501,2.55071724627,11.7088,1.48274,3.87768937065,2.75189130504,18.1882501074,9,-2.97265542487,-4.98419182961,0.202347,11.4911,-1.43534,0.729626,-4.27061921489,1.89850090902,4.02931338944,3.99720999993
10,-7.97265301943,0.440832,-17.2598210979,1.2146224634,12.3524,1.34798,2.79862035523,1.45111530636,2.17247934068,10,-8.25612108989,-8.44197853766,0.999934,11.8341,1.17979,-1.53257,-7.89213670656,0.0652671716412,0.405101975605,-8.05765427653
11,-7.97468601648,0.0609429,-18.3533504,0.508265666076,12.4045,1.33877,1.36938449419,1.35378425592,-4.82543494492,11,-8.25825313415,-8.4403758842,0.99999,12.1328,0.506796,-0.501663,-7.75606770631,0.0651513581969,0.184460901903,-8.04762563821
12,-9.49910988368,0.0702269,-10.3028812751,-0.251433584188,12.7055,1.8569,1.9497846383,1.86314582878,-0.959360477993,12,-10.2354145821,-10.447758514,0.999993,12.7465,-0.251389,0.0211087,-7.56717444904,0.0807354455977,0.200311816736,-10.0234882292
13,-16.1683894597,0.0871817,-16.9943728614,-0.754418064244,12.8183,2.28228,3.77045139572,2.28898452078,2.02426395303,13,-17.3674949986,-17.783885662,0.999991,13.634,-0.754806,0.64432,-12.3085755527,0.168469215616,0.221685233362,-16.9070847497
14,-5.64802161814,0.125255,-17.7238690062,-1.62876805594,13.7967,2.79755,3.23655488307,2.81043150406,-4.71993543484,14,-9.11091924602,-11.6654588499,0.73638,14.7456,-1.62755,0.943768,-13.8321921765,1.20580350571,0.258203608816,-5.93322085385
15,-5.38365780867,0.150823,-26.2450959697,-0.85083180172,14.3458,3.02972,6.72869656935,3.04399043465,1.00195035173,15,-8.74525299595,-11.1422593758,0.876133,15.7127,-0.853823,-0.773291,-13.8382241823,1.28421144731,0.28408073262,-6.12203737764
16,2.9351445838,0.162906,-34.7783938201,-0.169477227346,15.6211,3.22289,7.47611089564,3.23580388694,-3.00311049126,16,-15.7896670521,-24.6152597487,0.814191,16.651,-0.170286,-1.40925,-11.7096067108,3.3489617618,0.290987265612,-11.1776078302
17,23.0836338974,0.196109,-27.2593792182,0.447309500276,16.5096,3.47422,189.371574,3.49221243901,541.671484514,17,32.4453181291,27.0239088959,0.530324,17.4399,0.446233,-2.7223,84.8878830442,2.28532599141,0.31641978841,36.7906395718
18,104.191529784,0.242802,-0.119395762238,1.86389896511,17.2706,4.01923,22.0242581321,4.03976871616,65.4230132664,18,614.184658409,288.734148201,0.575185,18.0072,1.86172,-4.10567,26.3769546215,83.4922838062,0.331661908685,658.708262517
19,108.617637406,0.335284,-10.662340591,3.13402465093,17.9083,4.76368,294.236280597,4.78528905165,681.628672358,19,529.029299819,420.374465225,0.602587,18.622,3.13204,-5.27378,277.616158653,57.768494842,0.377744955409,597.888819096
20,118.210495249,0.512498,12.6797088613,4.3581654377,18.6088,5.71316,105.959428856,5.7359693068,291.355585278,20,737.396042211,400.070834739,0.633939,19.3627,4.35541,-6.35339,136.547541745,219.868642044,0.440059189224,944.633392501
21,117.365070061,0.600258,63.1993513805,5.63150215592,19.4396,6.78227,103.286745059,6.80551165929,385.989330196,21,627.853473429,265.904722209,0.61261,20.128,5.62877,-7.64296,282.321637299,276.860655706,0.470908353819,964.027619683
22,84.7001542859,0.814402,11.7803902466,6.76988211007,20.3294,7.81458,208.137876998,7.8344156805,586.889985532,22,205.072280445,4.7880509504,0.717691,20.9638,6.76725,-8.75976,266.669861918,112.5885805,0.542393675453,411.910069539
23,79.5964160709,0.960113,10.959338171,7.83687460735,21.1377,8.84363,123.117094586,8.8661527173,316.409782429,23,203.361898048,11.1119217915,0.69604,21.7442,7.83232,-9.91515,172.149720217,151.500448855,0.592928426249,474.172379489
24,120.526788601,1.30378,34.8395856945,9.18052478997,21.7353,10.0948,133.843264151,10.1149583426,392.42833892,24,282.910877823,149.430192304,0.762764,22.5878,9.17636,-11.314,209.996605802,64.4830737285,0.673263195509,475.93960412
25,131.839301087,1.52124,22.7017522151,10.4393636625,22.3707,11.2659,164.137864115,11.2860666135,438.052802051,25,409.749499778,100.557247993,0.736834,23.3753,10.4331,-12.6493,159.408182193,68.0152197377,0.727174807756,541.238508732
