MaxEsReturn,Epoch,StdEsReturn,AverageReturn,QFunRegParamNorm,Iteration,AverageQLoss,AverageAction,AverageAbsQ,AverageAbsY,MinReturn,AverageQ,AverageAbsQYDiff,AverageY,AverageDiscountedReturn,MinEsReturn,AverageEsReturn,StdReturn,MaxReturn,PolicyRegParamNorm,AveragePolicySurr
98.3738813045,9,13.8532688222,12.1143537326,11.1658,9,4.93679,0.0398594,0.673417,1.39476743861,11.2688771884,-0.670757,2.06160904371,1.39085184314,11.3783104901,1.3382616833,13.9544498056,0.269812028105,12.7524596944,11.1817,0.451734
11.9439899054,10,2.17619626892,0.322047303502,11.4391,10,0.0662647,0.944399,1.17143,1.19466403969,-0.724047781909,1.1539,0.129630757864,1.16598309672,0.533784712739,-0.855155657096,1.89008127443,0.423601756484,1.28763621456,12.5427,-1.22715
49.6737972967,11,16.9888209493,38.8179470704,11.8382,11,0.024626,0.994716,1.52377,1.52712398394,36.655691251,1.46657,0.0898723620337,1.46736379583,34.4964274819,-1.34199902898,12.5971195787,0.91931615781,41.7717499124,14.2298,-1.5583
49.5893139076,12,6.53515632486,38.7553180109,12.6923,12,0.0674671,0.999997,2.20857,2.21294971385,36.6584032843,2.08607,0.133274098272,2.08730536153,34.4450253205,4.14535013455,40.8143877479,0.934272685095,41.8436729223,14.5021,-2.28412
72.3974178413,13,8.22874975431,38.7415295677,13.947,13,0.14832,0.999997,3.14561,3.14910977343,36.7326825687,2.98168,0.185438739467,2.9824231811,34.4354275159,8.68177622201,42.3117489025,0.914543085931,40.8143562222,14.5014,-3.28465
72.6085812959,14,6.71635738222,38.79437703,15.4301,14,0.229608,0.999992,4.23416,4.23709887596,36.7728685516,4.06571,0.229948384825,4.06657244229,34.4777622825,33.1198007692,42.4351280779,0.890706289475,40.6873505097,14.499,-4.50072
80.7835769705,15,12.2485743677,89.7694074857,16.9126,15,0.289263,0.832525,5.41923,5.42254085287,87.0829205608,5.27169,0.260019131379,5.27332072036,69.5954707497,16.6275149198,47.6424996282,0.93411410212,91.472468839,15.1088,-5.85394
190.194969164,16,36.9280319364,111.418651086,18.3444,16,0.409072,0.727631,6.76206,6.76434690409,109.036822614,6.63741,0.300893068156,6.63921601756,82.8403990009,30.0774337399,83.5838577749,0.747121514977,113.235401607,16.2151,-7.34874
203.711422398,17,55.8091090828,172.081177618,19.66,17,0.574565,0.75456,8.22277,8.22509587186,168.017751294,8.11725,0.347415727521,8.11920415946,111.448483773,12.4019794753,127.148318655,1.39383690528,175.238365204,17.1734,-8.98203
182.856812463,18,42.2550660172,170.902159918,20.8655,18,0.799628,0.675177,9.83167,9.83517289004,163.06139213,9.75045,0.401959371314,9.75408448501,110.757908986,23.4534481039,155.799299525,2.43203460161,174.151141486,18.0182,-10.738
176.219498111,19,24.6881659446,179.494913339,22.0949,19,1.04035,0.634557,11.5271,11.5306946759,167.750353442,11.4589,0.455426386233,11.4631971477,114.204291054,104.652373681,157.096674355,7.96177956671,201.31504937,19.0702,-12.5013
222.022179392,20,42.1205923171,238.926964835,23.3664,20,1.26271,0.674409,13.2776,13.2798243634,226.874416745,13.2221,0.491536649725,13.2259719198,138.680669095,48.6260041763,174.114854439,3.30839277941,244.691121647,20.0563,-14.343
298.866421283,21,65.3711881846,235.438297375,24.603,21,1.82562,0.752325,15.1527,15.1551409506,205.974530618,15.1071,0.585974053107,15.1127218242,137.770803186,45.5319775973,214.700445792,8.67675179348,247.996099655,20.9253,-16.3721
288.533276155,22,77.7457486497,185.225082603,25.8307,22,2.25079,0.799552,17.1945,17.1957720569,172.863048263,17.1568,0.623673379981,17.1620054382,117.02295594,9.17715208854,170.90016564,5.37928734146,197.082723926,21.5998,-18.4943
233.327429456,23,39.2557196344,220.771066144,27.0526,23,2.99837,0.803221,19.2251,19.228480995,201.615074085,19.1926,0.686545109653,19.2001765875,131.404141705,104.714055443,194.596439684,8.3720963398,235.955360525,22.3858,-20.6331
289.22866814,24,72.502429168,250.838140985,28.3374,24,3.44635,0.75348,21.3176,21.3197235205,242.566893455,21.2865,0.755327832525,21.2939768373,142.996962597,26.7504833426,163.966300887,2.88506061971,258.01127241,22.9309,-22.7878
