MinReturn,EnvExecTime,MeanKL,Perplexity,AverageDiscountedReturn,LossBefore,NumTrajs,PolicyExecTime,Time,ExplainedVariance,Entropy,Iteration,StdReturn,LossAfter,MaxReturn,ProcessExecTime,AverageReturn,ItrTime,dLoss,MeanKLBefore
-184,0.44161057472229004,0.00382062117569,4.9909,-44.3776086675,-5.96046447754e-08,285,1.6645429134368896,2.820854902267456,1.87171389499e-11,1.60762,0,28.5970048388,-0.018532032147,-6,0.06554079055786133,-49.5719298246,2.820862054824829,0.0185319725424,-2.27499508121e-09
-151,0.43805932998657227,0.00916917156428,4.97475,-39.3064433638,3.5395806286e-09,327,1.6276073455810547,5.508424997329712,0.163981322015,1.60437,1,23.2304439714,-0.0145604703575,-6,0.06635260581970215,-43.2232415902,2.6822290420532227,0.0145604738971,3.33898753091e-09
-138,0.4267256259918213,-1.20760583755e-08,4.96159,-36.7340936207,8.06625699568e-09,333,1.570655107498169,8.237717866897583,0.18042443651,1.60173,2,23.0111915894,8.06625699568e-09,-5,0.06493616104125977,-40.3573573574,2.7247629165649414,0.0,-1.20760583755e-08
-190,0.4267411231994629,0.00909808557481,4.96102,-35.0848960459,-7.61872787081e-09,339,1.5607380867004395,10.831233978271484,0.153406851025,1.60161,3,23.3116532197,-0.0115348594263,-5,0.06545448303222656,-38.5516224189,2.590111017227173,0.0115348518076,-1.17931948651e-08
-170,0.4307405948638916,0.00669103162363,4.90241,-36.8482655348,7.63368213086e-09,331,1.5808827877044678,13.455084085464478,0.1238582023,1.58973,4,25.7037676992,-0.0251910481602,-5,0.06568431854248047,-40.586102719,2.6203770637512207,0.0251910557939,6.10797812328e-09
-169,0.4252328872680664,0.00981919839978,4.80115,-30.2748192595,4.57032411916e-09,379,1.5229876041412354,16.021735906600952,0.199642541176,1.56886,5,19.8652154489,-0.0304788947105,-5,0.06655716896057129,-32.8047493404,2.5625782012939453,0.0304788992809,-2.94431767855e-09
-79,0.44028186798095703,0.00681405514479,4.66899,-25.6720823585,-3.28820348727e-09,467,1.5648064613342285,18.691642999649048,0.199464421847,1.54094,6,13.5717648823,-0.0241034589708,-5,0.07144284248352051,-27.1905781585,2.666146993637085,0.0241034556826,-8.49780079637e-10
-133,0.42674827575683594,0.00893081352115,4.51339,-24.0024424543,2.21984137738e-08,490,1.530473232269287,21.29650592803955,0.180389421421,1.50705,7,14.6070986263,-0.0288140699267,-5,0.07147359848022461,-25.4040816327,2.600419044494629,0.0288140921252,1.01955333065e-09
-88,0.4360036849975586,0.00761107169092,4.3189,-22.7692677315,-1.04486230779e-09,523,1.5540375709533691,23.92183208465576,0.244559074756,1.463,8,13.4718606808,-0.0127762779593,-5,0.07431435585021973,-23.9808795411,2.620734930038452,0.0127762769145,-4.86209073003e-09
-134,0.4312441349029541,0.00756284454837,4.25408,-21.3658489826,-2.15014352989e-08,560,1.5405144691467285,26.52664804458618,0.231992924258,1.44788,9,12.8343523206,-0.0248610768467,-5,0.07377982139587402,-22.4107142857,2.6014580726623535,0.0248610553453,-2.30310082117e-09
-79,0.428053617477417,0.00921337492764,4.06988,-19.9890024825,-5.48143486157e-09,617,1.5305328369140625,29.15377187728882,0.262575522315,1.40361,10,11.3867957772,-0.0323161706328,-5,0.07583355903625488,-20.7974068071,2.622554063796997,0.0323161651514,1.89124733652e-08
-102,0.4411036968231201,0.0077237947844,3.82298,-19.3388446965,6.28981799977e-09,621,1.5586333274841309,31.800194025039673,0.281761627738,1.34103,11,11.3585220286,-0.022651989013,-5,0.07860350608825684,-20.1272141707,2.6429829597473145,0.0226519953028,-1.24244925459e-08
