AverageQ,MaxEsReturn,AverageEsReturn,AverageY,MaxReturn,AverageReturn,MinReturn,AverageDiscountedReturn,StdEsReturn,QFunRegParamNorm,AverageAbsQYDiff,AverageAbsY,AverageAction,MinEsReturn,AverageQLoss,Iteration,PolicyRegParamNorm,AveragePolicySurr,AverageAbsQ,Epoch,StdReturn
0.671424,-96.9978544732,-202.192069963,1.67298966129,132.903534391,110.512334454,87.8923518193,7.39221487057,58.0022255489,11.5824,1.27039440328,1.68903742172,0.214161,-293.877495621,2.73942,9,11.7797,-1.02329,0.715037,9,12.6745706451
0.708422,-293.472126581,-293.472126581,0.71787498147,-568.254194599,-569.796519389,-571.441596545,-54.4779852541,0.0,12.2219,0.372738923076,0.828269382829,0.954589,-293.472126581,0.275018,10,12.3327,-1.64534,0.780642,10,0.975320224072
0.645523,-399.440906892,-399.440906892,0.645998885944,-79.6328318036,-395.646961777,-538.452111513,-9.70459263947,0.0,12.9232,0.229198300965,0.814755047699,0.971938,-399.440906892,0.0905268,11,14.1259,-1.53561,0.78455,11,156.728158897
0.955127,-361.165559705,-361.165559705,0.956301447874,-415.999359815,-471.624247853,-523.92618781,-11.3509840774,0.0,13.5957,0.238113127141,1.16913298556,0.911065,-361.165559705,0.0980858,12,14.8892,-1.97646,1.14461,12,36.5991567851
1.44726,-371.587485666,-371.587485666,1.44943704504,-352.90843547,-370.914505919,-392.378285442,-14.9987985767,0.0,14.2928,0.249135235359,1.61675621647,0.695714,-371.587485666,0.11007,13,15.0315,-2.23849,1.59815,13,13.5703991762
1.72677,-369.080455046,-369.080455046,1.72864261163,-372.353201316,-389.366837201,-412.836678696,-32.9871711278,0.0,15.1,0.268609951258,1.95957775107,0.738011,-369.080455046,0.129474,14,15.5245,-2.53242,1.94064,14,10.6835494343
2.08437,-273.518936844,-273.518936844,2.08655568678,735.91242308,277.951753654,-641.600666558,8.49837380527,0.0,15.9459,0.300661933556,2.3099118609,0.559707,-273.518936844,0.170579,15,16.3182,-2.79958,2.28722,15,351.213342245
2.358,-277.84631015,-277.84631015,2.3598230247,-52.5784899981,-117.505110912,-200.618049436,-38.1306638139,0.0,16.7216,0.325300849314,2.56176290312,0.51612,-277.84631015,0.202142,16,16.9211,-2.99695,2.53576,16,41.9019422232
2.56708,-225.962413275,-225.962413275,2.56949311788,285.202246422,117.444473268,-414.984029521,11.054990125,0.0,17.546,0.345693835914,2.7591797886,0.514905,-225.962413275,0.227263,17,17.4406,-3.11716,2.73033,17,251.375154297
2.76379,-35.481837624,-35.481837624,2.7652953999,409.54001905,342.125565825,195.356105924,5.44208444231,0.0,18.291,0.358554932813,2.93174847352,0.416522,-35.481837624,0.240674,18,18.0045,-3.31174,2.90528,18,59.2630079509
3.00077,-66.6365864754,-66.6365864754,3.00287246309,408.908821375,378.435033181,342.269178484,27.7017819259,0.0,19.0796,0.37803738259,3.14283917979,0.485336,-66.6365864754,0.272006,19,18.6025,-3.56989,3.11642,19,23.6645021753
