MinReturn,StdReturn,AverageEsReturn,MaxReturn,AverageQLoss,AverageAbsY,AverageAbsQ,Epoch,QFunRegParamNorm,MaxEsReturn,AverageY,AverageQ,AverageDiscountedReturn,Iteration,AverageReturn,PolicyRegParamNorm,AverageAbsQYDiff,MinEsReturn,AveragePolicySurr,StdEsReturn,AverageAction
11.3181010602,0.253803223794,14.3803246461,12.8510478187,5.43117,1.41362276717,0.699742,9,11.1656,170.417920057,1.40864589131,-0.697205,11.4942700231,9,12.2487849074,11.1816,2.10585113191,1.68117870737,0.464929,16.3312633227,0.0384713
-1.64376430693,0.323971060185,2.60201576905,0.72485251739,0.0667733,1.20230820173,1.17882,10,11.4276,41.2882533971,1.17455001594,1.16227,-0.395866372804,10,-0.967930016145,12.6655,0.129729644121,-0.780275568524,-1.23061,4.81978697891,0.925848
36.4892535323,0.911624730044,33.9211599985,41.2963151854,0.0293953,1.59268172765,1.58889,11,11.8782,53.9680908612,1.53699282157,1.53564,34.274180717,11,38.5452817666,13.5578,0.0959587729323,-0.995722396158,-1.62914,15.7363303897,0.999997
36.5837556919,0.986373599662,41.9659013888,41.8869372764,0.0730971,2.39638749136,2.3932,12,12.8152,80.7101868526,2.29652262308,2.29567,34.5580142683,12,38.898721666,13.9858,0.139423344605,36.5170256427,-2.51427,6.90216334812,0.986293
36.6213676974,0.963779114675,42.5916474452,40.6552129887,0.144734,3.41057547749,3.40749,13,14.1661,73.2972836742,3.29579437732,3.29468,34.4861011718,13,38.8062702072,14.1505,0.182930334007,34.407536181,-3.63935,6.20216729287,0.999977
36.7218051969,0.939224059653,42.5459863731,40.6517755861,0.236178,4.53341454751,4.53031,14,15.7463,66.5407570536,4.41559707028,4.41441,34.4754885333,14,38.7940961465,14.153,0.23262917528,6.35037115976,-4.85942,9.04323582033,0.999993
150.596566566,3.2162948925,40.9806965584,164.462094334,0.311036,5.7774884836,5.77481,15,17.3606,61.1970076481,5.66705081641,5.66588,105.211632107,15,158.211583455,14.1892,0.267917019138,18.4459158664,-6.20845,6.84997447309,0.719247
125.579405968,17.1331738711,119.116675902,169.730286129,0.379255,7.15924190258,7.15592,16,18.6977,181.596295961,7.06453659915,7.06273,102.635314579,16,152.243460518,16.5988,0.299280915262,39.3278949412,-7.7694,45.8772357996,0.738941
161.661603667,2.42344917111,131.88979686,173.316759377,0.540631,8.6980595976,8.69597,17,19.9905,202.525907393,8.62170002281,8.61985,109.943345525,17,169.279917981,17.3926,0.3467851127,7.34942384965,-9.43709,60.2088371554,0.725864
168.468149754,1.49683911782,156.359003266,176.546742828,0.755479,10.3444698788,10.3417,18,21.2896,179.069028822,10.28511289,10.2817,111.412510724,18,173.044276791,18.3473,0.400155125168,34.8191577996,-11.2113,39.9080254054,0.704936
168.460678657,1.3982677072,150.187489993,174.846506251,1.02609,12.0666849036,12.0655,19,22.6818,179.656548058,12.0179439313,12.0156,111.206114302,19,171.648288941,19.2915,0.463320458516,10.2834106085,-13.0511,53.7056837329,0.701732
170.863349693,1.34777517409,149.304460823,176.868748933,1.09923,13.9064564988,13.9043,20,23.9644,213.675337194,13.8668430829,13.8626,112.233984067,20,174.030452676,19.954,0.485113615832,49.4512170846,-14.9838,52.182816272,0.66778
171.957589673,1.4016157802,159.966962265,178.044028969,1.35573,15.8141817535,15.8134,21,25.121,190.982511417,15.7795971127,15.7759,112.618922662,21,174.716814913,20.4107,0.530254936644,22.6543014943,-16.9798,45.3753689123,0.603514
172.074797412,1.13361260387,172.801977069,177.882876282,1.54882,17.7043420873,17.7042,22,26.3075,200.900876961,17.6718002556,17.6675,112.580961466,22,174.509278894,21.0453,0.580658682504,133.910429713,-18.9421,17.9778425984,0.744499
173.505748472,3.24766643004,172.778185583,186.491020882,1.92976,19.6391165753,19.6383,23,27.5355,213.266769842,19.6117685299,19.6056,114.135077013,23,179.680795976,21.7284,0.631253657936,107.514210762,-20.9361,22.9935124834,0.736121
168.038924708,1.71589567835,162.049302114,179.497988327,1.86638,21.5317136588,21.534,24,28.6851,211.377906037,21.5059751333,21.5019,113.440531977,24,176.524386499,22.4725,0.642165365268,59.7095035881,-22.8622,46.4836264706,0.658132
167.382861501,3.77571059136,162.546591462,183.72059628,2.07227,23.5629514841,23.5661,25,29.7991,197.344136678,23.5399085705,23.5346,111.139975803,25,173.398498949,23.1874,0.665908359606,41.8339456277,-24.9618,43.4032730153,0.702657
