2017-05-08 20:36:38.574219 EDT | [Averaged_PolyRL/PolyRL_DDPG_Complex_Humanoid/Experiment_2] Populating workers...
2017-05-08 20:36:38.574456 EDT | [Averaged_PolyRL/PolyRL_DDPG_Complex_Humanoid/Experiment_2] Populated
2017-05-08 20:36:41.985892 EDT | [Averaged_PolyRL/PolyRL_DDPG_Complex_Humanoid/Experiment_2] epoch #0 | Training started
2017-05-08 20:36:41.986778 EDT | [Averaged_PolyRL/PolyRL_DDPG_Complex_Humanoid/Experiment_2] epoch #0 | Populating workers...
2017-05-08 20:36:41.986928 EDT | [Averaged_PolyRL/PolyRL_DDPG_Complex_Humanoid/Experiment_2] epoch #0 | Populated
2017-05-08 20:37:41.035217 EDT | [Averaged_PolyRL/PolyRL_DDPG_Complex_Humanoid/Experiment_2] epoch #0 | Training finished
2017-05-08 20:37:41.035700 EDT | [Averaged_PolyRL/PolyRL_DDPG_Complex_Humanoid/Experiment_2] epoch #1 | Training started
2017-05-08 20:37:41.037498 EDT | [Averaged_PolyRL/PolyRL_DDPG_Complex_Humanoid/Experiment_2] epoch #1 | Populating workers...
2017-05-08 20:37:41.037711 EDT | [Averaged_PolyRL/PolyRL_DDPG_Complex_Humanoid/Experiment_2] epoch #1 | Populated
2017-05-08 20:38:35.098749 EDT | [Averaged_PolyRL/PolyRL_DDPG_Complex_Humanoid/Experiment_2] epoch #1 | Training finished
2017-05-08 20:38:35.099295 EDT | [Averaged_PolyRL/PolyRL_DDPG_Complex_Humanoid/Experiment_2] epoch #2 | Training started
2017-05-08 20:38:35.100388 EDT | [Averaged_PolyRL/PolyRL_DDPG_Complex_Humanoid/Experiment_2] epoch #2 | Populating workers...
2017-05-08 20:38:35.100565 EDT | [Averaged_PolyRL/PolyRL_DDPG_Complex_Humanoid/Experiment_2] epoch #2 | Populated
2017-05-08 20:39:31.128800 EDT | [Averaged_PolyRL/PolyRL_DDPG_Complex_Humanoid/Experiment_2] epoch #2 | Training finished
2017-05-08 20:39:31.129353 EDT | [Averaged_PolyRL/PolyRL_DDPG_Complex_Humanoid/Experiment_2] epoch #3 | Training started
2017-05-08 20:39:31.130522 EDT | [Averaged_PolyRL/PolyRL_DDPG_Complex_Humanoid/Experiment_2] epoch #3 | Populating workers...
2017-05-08 20:39:31.130717 EDT | [Averaged_PolyRL/PolyRL_DDPG_Complex_Humanoid/Experiment_2] epoch #3 | Populated
2017-05-08 20:40:27.314719 EDT | [Averaged_PolyRL/PolyRL_DDPG_Complex_Humanoid/Experiment_2] epoch #3 | Training finished
2017-05-08 20:40:27.315391 EDT | [Averaged_PolyRL/PolyRL_DDPG_Complex_Humanoid/Experiment_2] epoch #4 | Training started
2017-05-08 20:40:27.316556 EDT | [Averaged_PolyRL/PolyRL_DDPG_Complex_Humanoid/Experiment_2] epoch #4 | Populating workers...
2017-05-08 20:40:27.316819 EDT | [Averaged_PolyRL/PolyRL_DDPG_Complex_Humanoid/Experiment_2] epoch #4 | Populated
2017-05-08 20:41:28.654788 EDT | [Averaged_PolyRL/PolyRL_DDPG_Complex_Humanoid/Experiment_2] epoch #4 | Training finished
2017-05-08 20:41:28.655329 EDT | [Averaged_PolyRL/PolyRL_DDPG_Complex_Humanoid/Experiment_2] epoch #5 | Training started
2017-05-08 20:41:28.656617 EDT | [Averaged_PolyRL/PolyRL_DDPG_Complex_Humanoid/Experiment_2] epoch #5 | Populating workers...
2017-05-08 20:41:28.657009 EDT | [Averaged_PolyRL/PolyRL_DDPG_Complex_Humanoid/Experiment_2] epoch #5 | Populated
2017-05-08 20:42:25.358994 EDT | [Averaged_PolyRL/PolyRL_DDPG_Complex_Humanoid/Experiment_2] epoch #5 | Training finished
2017-05-08 20:42:25.359533 EDT | [Averaged_PolyRL/PolyRL_DDPG_Complex_Humanoid/Experiment_2] epoch #6 | Training started
2017-05-08 20:42:25.360699 EDT | [Averaged_PolyRL/PolyRL_DDPG_Complex_Humanoid/Experiment_2] epoch #6 | Populating workers...
2017-05-08 20:42:25.361025 EDT | [Averaged_PolyRL/PolyRL_DDPG_Complex_Humanoid/Experiment_2] epoch #6 | Populated
2017-05-08 20:43:18.268473 EDT | [Averaged_PolyRL/PolyRL_DDPG_Complex_Humanoid/Experiment_2] epoch #6 | Training finished
2017-05-08 20:43:18.269127 EDT | [Averaged_PolyRL/PolyRL_DDPG_Complex_Humanoid/Experiment_2] epoch #7 | Training started
2017-05-08 20:43:18.270311 EDT | [Averaged_PolyRL/PolyRL_DDPG_Complex_Humanoid/Experiment_2] epoch #7 | Populating workers...
2017-05-08 20:43:18.270497 EDT | [Averaged_PolyRL/PolyRL_DDPG_Complex_Humanoid/Experiment_2] epoch #7 | Populated
2017-05-08 20:44:16.457659 EDT | [Averaged_PolyRL/PolyRL_DDPG_Complex_Humanoid/Experiment_2] epoch #7 | Training finished
2017-05-08 20:44:16.458360 EDT | [Averaged_PolyRL/PolyRL_DDPG_Complex_Humanoid/Experiment_2] epoch #8 | Training started
2017-05-08 20:44:16.459447 EDT | [Averaged_PolyRL/PolyRL_DDPG_Complex_Humanoid/Experiment_2] epoch #8 | Populating workers...
2017-05-08 20:44:16.459617 EDT | [Averaged_PolyRL/PolyRL_DDPG_Complex_Humanoid/Experiment_2] epoch #8 | Populated
