2017-05-11 18:04:06.551860 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_0.2] Populating workers...
2017-05-11 18:04:06.552192 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_0.2] Populated
2017-05-11 18:04:12.354964 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_0.2] epoch #0 | Training started
2017-05-11 18:04:12.356305 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_0.2] epoch #0 | Populating workers...
2017-05-11 18:04:12.356788 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_0.2] epoch #0 | Populated
2017-05-11 18:04:50.951384 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_0.2] Populating workers...
2017-05-11 18:04:50.951769 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_0.2] Populated
2017-05-11 18:04:55.930484 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_0.2] epoch #0 | Training started
2017-05-11 18:04:55.931955 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_0.2] epoch #0 | Populating workers...
2017-05-11 18:04:55.932260 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_0.2] epoch #0 | Populated
2017-05-11 18:05:34.920036 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_0.2] epoch #0 | Training finished
2017-05-11 18:05:34.920663 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_0.2] epoch #1 | Training started
2017-05-11 18:05:34.924128 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_0.2] epoch #1 | Populating workers...
2017-05-11 18:05:34.924448 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_0.2] epoch #1 | Populated
2017-05-11 18:06:16.045179 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_0.2] epoch #1 | Training finished
2017-05-11 18:06:16.046067 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_0.2] epoch #2 | Training started
2017-05-11 18:06:16.050000 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_0.2] epoch #2 | Populating workers...
2017-05-11 18:06:16.050289 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_0.2] epoch #2 | Populated
2017-05-11 18:06:57.081131 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_0.2] epoch #2 | Training finished
2017-05-11 18:06:57.081834 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_0.2] epoch #3 | Training started
2017-05-11 18:06:57.085343 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_0.2] epoch #3 | Populating workers...
2017-05-11 18:06:57.085698 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_0.2] epoch #3 | Populated
