Epoch,AverageQ,AverageForwardProgress,MinForwardProgress,MaxEsReturn,AverageAction,MaxReturn,StdForwardProgress,AverageAbsY,StdReturn,AverageQLoss,MaxForwardProgress,PolicyRegParamNorm,AverageAbsQYDiff,AverageY,AverageEsReturn,StdEsReturn,QFunRegParamNorm,AverageAbsQ,MinReturn,AverageDiscountedReturn,MinEsReturn,AveragePolicySurr,AverageReturn
9,-0.00854542,0.088985317042,-0.0756175775051,41.7838495521,0.000345838,42.2965440938,0.0536572770072,0.0063069093407,6.67007246456,1.35849e-05,0.227611892164,14.1287,0.00297358163094,-0.00586741418283,23.3073412898,8.7750244796,14.1911,0.00861595,4.55505513574,16.9608821716,0.192321361754,-0.0198834,24.9787738603
10,0.00201598,0.32007187561,0.149477409101,29.6189573995,0.891969,78.3718165916,0.073636098374,0.00583509859526,9.64820196535,2.11581e-05,0.485034762083,14.9205,0.00210644664942,0.00203022425409,13.2646444584,9.52828557724,14.5153,0.00568574,36.1062361745,33.6669719794,-0.937577502332,-0.0100265,58.0858230962
11,0.0145419,-0.0456307288173,-0.307539799794,80.7706147147,0.857407,41.3312468728,0.0966135035387,0.0155892692536,12.4756512976,6.16423e-06,0.174823958599,15.5299,0.00136937456138,0.0145552209734,48.796761381,23.9876364499,14.8077,0.0155373,-22.5709043157,7.55204296193,5.32172523504,-0.0222528,9.70656357016
12,0.01994,0.0250073762743,-0.0801901525285,17.0260624474,0.955777,34.3053559659,0.0416868388378,0.021043288428,5.61458834021,7.0147e-06,0.202296585669,16.018,0.00151284639893,0.0199381609966,5.57398075804,4.99133476623,15.2465,0.0209903,-3.16967454757,8.66244687112,-9.81424442309,-0.0229763,10.925415413
13,0.0242334,-0.25176951746,-0.544954165066,65.5967233091,0.957319,-6.95352461826,0.068685657321,0.0249873794091,7.63066751953,8.34339e-06,-0.121224971693,16.1338,0.00164298552216,0.0242352697153,9.56401784983,24.1431870722,15.7717,0.0249442,-53.4867841866,-13.5826368139,-25.2416774381,-0.0292407,-22.7325035365
14,0.02977,-0.0202535902433,-0.164873468154,8.34621290528,0.94906,43.4139908816,0.0716674034277,0.0302122450063,9.28661885688,1.18697e-05,0.207772968635,16.6218,0.0020163170122,0.0297722808524,-8.4190595403,12.0298499391,16.4359,0.0301874,-6.07266210366,8.97494690971,-41.3911286211,-0.0333614,12.1723020378
15,0.0347869,-0.0750878985374,-0.296837956722,45.5014696447,0.933517,64.2843629567,0.100438095308,0.0350973477598,12.790072984,1.24135e-05,0.351406307137,16.9323,0.00206280883261,0.0347911711991,23.3224777248,9.10772860246,17.0699,0.0350847,-19.9419344234,4.92959088769,10.8796452796,-0.0386998,5.36858798724
16,0.0403038,0.0285886436979,-0.175779341018,42.7419551449,0.928083,68.0200950862,0.0630851773111,0.040568448989,8.77027148561,1.68744e-05,0.385296426575,17.3552,0.00235627971816,0.0403083892748,18.4884735546,9.91058993198,17.7926,0.0405628,-9.63945951134,10.7062354621,7.3812547659,-0.0481464,13.6369433867
17,0.0479541,0.155762138641,-0.0436917107001,51.9532878888,0.962015,70.3719708973,0.0881390327966,0.0481958416899,13.2307112857,1.94983e-05,0.430747292037,17.8451,0.00248835600584,0.04795220866,21.4573822934,14.2121755986,18.489,0.0481943,0.911777314617,20.7512939469,2.40615159789,-0.0518987,31.6778798826
18,0.0518931,0.0749502280668,-0.40587451763,46.9621953338,0.98382,79.6001896264,0.212882999332,0.0521673619957,27.7700809649,2.23778e-05,0.474324145495,18.0059,0.0026478791019,0.0518915895439,22.7967734044,12.7397730358,19.1727,0.0521642,-33.7829194955,16.3898510664,2.01531522333,-0.0510887,28.1659954761
