2017-05-16 11:34:17.086636 EDT | [LAST_DDPG_RUNS/CPU_DDPG_Simple_Humanoid/Experiment_0] Populating workers...
2017-05-16 11:34:17.087177 EDT | [LAST_DDPG_RUNS/CPU_DDPG_Simple_Humanoid/Experiment_0] Populated
2017-05-16 11:34:19.987249 EDT | [LAST_DDPG_RUNS/CPU_DDPG_Simple_Humanoid/Experiment_0] epoch #0 | Training started
2017-05-16 11:34:19.987790 EDT | [LAST_DDPG_RUNS/CPU_DDPG_Simple_Humanoid/Experiment_0] epoch #0 | Populating workers...
2017-05-16 11:34:19.988079 EDT | [LAST_DDPG_RUNS/CPU_DDPG_Simple_Humanoid/Experiment_0] epoch #0 | Populated
2017-05-16 11:34:43.588798 EDT | [LAST_DDPG_RUNS/CPU_DDPG_Simple_Humanoid/Experiment_0] epoch #0 | Training finished
2017-05-16 11:34:43.589562 EDT | [LAST_DDPG_RUNS/CPU_DDPG_Simple_Humanoid/Experiment_0] epoch #1 | Training started
2017-05-16 11:34:43.590361 EDT | [LAST_DDPG_RUNS/CPU_DDPG_Simple_Humanoid/Experiment_0] epoch #1 | Populating workers...
2017-05-16 11:34:43.590622 EDT | [LAST_DDPG_RUNS/CPU_DDPG_Simple_Humanoid/Experiment_0] epoch #1 | Populated
2017-05-16 11:35:13.957893 EDT | [LAST_DDPG_RUNS/CPU_DDPG_Simple_Humanoid/Experiment_0] epoch #1 | Training finished
2017-05-16 11:35:13.958552 EDT | [LAST_DDPG_RUNS/CPU_DDPG_Simple_Humanoid/Experiment_0] epoch #2 | Training started
2017-05-16 11:35:13.959150 EDT | [LAST_DDPG_RUNS/CPU_DDPG_Simple_Humanoid/Experiment_0] epoch #2 | Populating workers...
2017-05-16 11:35:13.959446 EDT | [LAST_DDPG_RUNS/CPU_DDPG_Simple_Humanoid/Experiment_0] epoch #2 | Populated
2017-05-16 11:35:51.515907 EDT | [LAST_DDPG_RUNS/CPU_DDPG_Simple_Humanoid/Experiment_0] epoch #2 | Training finished
2017-05-16 11:35:51.516282 EDT | [LAST_DDPG_RUNS/CPU_DDPG_Simple_Humanoid/Experiment_0] epoch #3 | Training started
2017-05-16 11:35:51.518273 EDT | [LAST_DDPG_RUNS/CPU_DDPG_Simple_Humanoid/Experiment_0] epoch #3 | Populating workers...
2017-05-16 11:35:51.518703 EDT | [LAST_DDPG_RUNS/CPU_DDPG_Simple_Humanoid/Experiment_0] epoch #3 | Populated
2017-05-16 11:36:27.879311 EDT | [LAST_DDPG_RUNS/CPU_DDPG_Simple_Humanoid/Experiment_0] epoch #3 | Training finished
2017-05-16 11:36:27.879974 EDT | [LAST_DDPG_RUNS/CPU_DDPG_Simple_Humanoid/Experiment_0] epoch #4 | Training started
2017-05-16 11:36:27.881335 EDT | [LAST_DDPG_RUNS/CPU_DDPG_Simple_Humanoid/Experiment_0] epoch #4 | Populating workers...
2017-05-16 11:36:27.881669 EDT | [LAST_DDPG_RUNS/CPU_DDPG_Simple_Humanoid/Experiment_0] epoch #4 | Populated
2017-05-16 11:37:04.919650 EDT | [LAST_DDPG_RUNS/CPU_DDPG_Simple_Humanoid/Experiment_0] Populating workers...
2017-05-16 11:37:04.920996 EDT | [LAST_DDPG_RUNS/CPU_DDPG_Simple_Humanoid/Experiment_0] Populated
2017-05-16 11:37:10.260452 EDT | [LAST_DDPG_RUNS/CPU_DDPG_Simple_Humanoid/Experiment_0] epoch #0 | Training started
2017-05-16 11:37:10.261774 EDT | [LAST_DDPG_RUNS/CPU_DDPG_Simple_Humanoid/Experiment_0] epoch #0 | Populating workers...
2017-05-16 11:37:10.262269 EDT | [LAST_DDPG_RUNS/CPU_DDPG_Simple_Humanoid/Experiment_0] epoch #0 | Populated
2017-05-16 11:37:38.265501 EDT | [LAST_DDPG_RUNS/CPU_DDPG_Simple_Humanoid/Experiment_0] epoch #5 | Training finished
2017-05-16 11:37:38.267116 EDT | [LAST_DDPG_RUNS/CPU_DDPG_Simple_Humanoid/Experiment_0] epoch #6 | Training started
2017-05-16 11:37:38.267686 EDT | [LAST_DDPG_RUNS/CPU_DDPG_Simple_Humanoid/Experiment_0] epoch #6 | Populating workers...
2017-05-16 11:37:38.267849 EDT | [LAST_DDPG_RUNS/CPU_DDPG_Simple_Humanoid/Experiment_0] epoch #6 | Populated
2017-05-16 11:38:17.168536 EDT | [LAST_DDPG_RUNS/CPU_DDPG_Simple_Humanoid/Experiment_0] epoch #0 | Training finished
2017-05-16 11:38:17.173966 EDT | [LAST_DDPG_RUNS/CPU_DDPG_Simple_Humanoid/Experiment_0] epoch #1 | Training started
2017-05-16 11:38:17.175715 EDT | [LAST_DDPG_RUNS/CPU_DDPG_Simple_Humanoid/Experiment_0] epoch #1 | Populating workers...
2017-05-16 11:38:17.176311 EDT | [LAST_DDPG_RUNS/CPU_DDPG_Simple_Humanoid/Experiment_0] epoch #1 | Populated
2017-05-16 11:38:51.837541 EDT | [LAST_DDPG_RUNS/CPU_DDPG_Simple_Humanoid/Experiment_0] epoch #7 | Training finished
2017-05-16 11:38:51.838283 EDT | [LAST_DDPG_RUNS/CPU_DDPG_Simple_Humanoid/Experiment_0] epoch #8 | Training started
2017-05-16 11:38:51.840629 EDT | [LAST_DDPG_RUNS/CPU_DDPG_Simple_Humanoid/Experiment_0] epoch #8 | Populating workers...
2017-05-16 11:38:51.841080 EDT | [LAST_DDPG_RUNS/CPU_DDPG_Simple_Humanoid/Experiment_0] epoch #8 | Populated
