2017-05-13 14:41:07.346497 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker/Experiment_1] Populating workers...
2017-05-13 14:41:07.347035 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker/Experiment_1] Populated
2017-05-13 14:41:14.074281 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker/Experiment_1] epoch #0 | Training started
2017-05-13 14:41:15.686854 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker/Experiment_1] epoch #0 | Training finished
2017-05-13 14:41:15.687683 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker/Experiment_1] epoch #1 | Training started
2017-05-13 14:41:17.194465 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker/Experiment_1] epoch #1 | Training finished
2017-05-13 14:41:17.195126 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker/Experiment_1] epoch #2 | Training started
2017-05-13 14:41:18.784739 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker/Experiment_1] epoch #2 | Training finished
2017-05-13 14:41:18.785336 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker/Experiment_1] epoch #3 | Training started
2017-05-13 14:41:20.521004 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker/Experiment_1] epoch #3 | Training finished
2017-05-13 14:41:20.521865 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker/Experiment_1] epoch #4 | Training started
2017-05-13 14:41:22.238801 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker/Experiment_1] epoch #4 | Training finished
2017-05-13 14:41:22.239480 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker/Experiment_1] epoch #5 | Training started
2017-05-13 14:41:23.994993 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker/Experiment_1] epoch #5 | Training finished
2017-05-13 14:41:23.995423 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker/Experiment_1] epoch #6 | Training started
2017-05-13 14:41:25.572819 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker/Experiment_1] epoch #6 | Training finished
2017-05-13 14:41:25.573300 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker/Experiment_1] epoch #7 | Training started
2017-05-13 14:41:27.029393 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker/Experiment_1] epoch #7 | Training finished
2017-05-13 14:41:27.029731 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker/Experiment_1] epoch #8 | Training started
2017-05-13 14:41:28.377649 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker/Experiment_1] epoch #8 | Training finished
2017-05-13 14:41:28.378135 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker/Experiment_1] epoch #9 | Training started
2017-05-13 14:41:30.375914 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker/Experiment_1] epoch #9 | Training finished
2017-05-13 14:41:30.376293 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker/Experiment_1] epoch #9 | Collecting samples for evaluation
2017-05-13 14:41:45.990146 EDT | -----------------------  -------------
2017-05-13 14:41:45.991080 EDT | Epoch                      9
2017-05-13 14:41:45.991447 EDT | AverageReturn              1.48767
2017-05-13 14:41:45.991796 EDT | StdReturn                  3.8773
2017-05-13 14:41:45.992131 EDT | MaxReturn                 13.5755
2017-05-13 14:41:45.992471 EDT | MinReturn                -10.6783
2017-05-13 14:41:45.992808 EDT | AverageEsReturn           -3.24322
2017-05-13 14:41:45.993144 EDT | StdEsReturn                5.03139
2017-05-13 14:41:45.993489 EDT | MaxEsReturn               12.2752
2017-05-13 14:41:45.993831 EDT | MinEsReturn              -43.4344
2017-05-13 14:41:45.994170 EDT | AverageDiscountedReturn    1.10304
2017-05-13 14:41:45.994506 EDT | AverageQLoss               0.000765024
2017-05-13 14:41:45.994840 EDT | AveragePolicySurr          0.0429209
2017-05-13 14:41:45.995186 EDT | AverageQ                   0.00252012
2017-05-13 14:41:45.995514 EDT | AverageAbsQ                0.0161644
2017-05-13 14:41:45.995853 EDT | AverageY                  -0.00969719
2017-05-13 14:41:45.996188 EDT | AverageAbsY                0.0219595
2017-05-13 14:41:45.996522 EDT | AverageAbsQYDiff           0.0220112
2017-05-13 14:41:45.996866 EDT | AverageAction              0.00110269
2017-05-13 14:41:45.997193 EDT | PolicyRegParamNorm        14.1538
2017-05-13 14:41:45.997535 EDT | QFunRegParamNorm           7.92513
2017-05-13 14:41:45.997885 EDT | AverageForwardProgress     0.00939592
2017-05-13 14:41:45.998228 EDT | MaxForwardProgress         0.068512
2017-05-13 14:41:45.998574 EDT | MinForwardProgress        -0.0505219
2017-05-13 14:41:45.998901 EDT | StdForwardProgress         0.0190969
2017-05-13 14:41:45.999239 EDT | -----------------------  -------------
2017-05-13 14:41:45.999871 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker/Experiment_1] epoch #10 | Training started
2017-05-13 14:41:58.688003 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker/Experiment_1] epoch #10 | Training finished
2017-05-13 14:41:58.693215 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker/Experiment_1] epoch #10 | Collecting samples for evaluation
2017-05-13 14:42:14.223676 EDT | -----------------------  -------------
2017-05-13 14:42:14.224764 EDT | Epoch                     10
2017-05-13 14:42:14.225213 EDT | AverageReturn              0.483166
2017-05-13 14:42:14.225651 EDT | StdReturn                  2.06461
2017-05-13 14:42:14.226003 EDT | MaxReturn                  7.107
2017-05-13 14:42:14.226327 EDT | MinReturn                 -6.3278
2017-05-13 14:42:14.226656 EDT | AverageEsReturn           -1.23178
2017-05-13 14:42:14.226971 EDT | StdEsReturn                5.10828
2017-05-13 14:42:14.227282 EDT | MaxEsReturn                5.34294
2017-05-13 14:42:14.227594 EDT | MinEsReturn              -32.3481
2017-05-13 14:42:14.227908 EDT | AverageDiscountedReturn    0.3741
2017-05-13 14:42:14.228214 EDT | AverageQLoss               0.000547517
2017-05-13 14:42:14.228534 EDT | AveragePolicySurr          0.00360007
2017-05-13 14:42:14.228853 EDT | AverageQ                  -0.0184369
2017-05-13 14:42:14.229156 EDT | AverageAbsQ                0.0268956
2017-05-13 14:42:14.229466 EDT | AverageY                  -0.0183152
2017-05-13 14:42:14.229791 EDT | AverageAbsY                0.0314113
2017-05-13 14:42:14.230100 EDT | AverageAbsQYDiff           0.0177289
2017-05-13 14:42:14.230412 EDT | AverageAction              0.909931
2017-05-13 14:42:14.230720 EDT | PolicyRegParamNorm        14.696
2017-05-13 14:42:14.231024 EDT | QFunRegParamNorm           8.61896
2017-05-13 14:42:14.231332 EDT | AverageForwardProgress     0.0103029
2017-05-13 14:42:14.231637 EDT | MaxForwardProgress         0.0426696
2017-05-13 14:42:14.231948 EDT | MinForwardProgress        -0.0227535
2017-05-13 14:42:14.232260 EDT | StdForwardProgress         0.0100218
2017-05-13 14:42:14.232565 EDT | -----------------------  -------------
2017-05-13 14:42:14.233015 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker/Experiment_1] epoch #11 | Training started
2017-05-13 14:42:26.330100 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker/Experiment_1] epoch #11 | Training finished
2017-05-13 14:42:26.731326 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker/Experiment_1] epoch #11 | Collecting samples for evaluation
2017-05-13 14:42:43.315816 EDT | -----------------------  ------------
2017-05-13 14:42:43.459303 EDT | Epoch                    11
2017-05-13 14:42:43.459763 EDT | AverageReturn             1.23568
2017-05-13 14:42:43.460083 EDT | StdReturn                 1.99826
2017-05-13 14:42:43.460394 EDT | MaxReturn                 7.79487
2017-05-13 14:42:43.460702 EDT | MinReturn                -5.06421
2017-05-13 14:42:43.461008 EDT | AverageEsReturn           1.76081
2017-05-13 14:42:43.461315 EDT | StdEsReturn               3.292
2017-05-13 14:42:43.461620 EDT | MaxEsReturn               7.45779
2017-05-13 14:42:43.461936 EDT | MinEsReturn              -9.15197
2017-05-13 14:42:43.462240 EDT | AverageDiscountedReturn   1.11408
2017-05-13 14:42:43.462543 EDT | AverageQLoss              0.000490433
2017-05-13 14:42:43.462846 EDT | AveragePolicySurr        -0.00963224
2017-05-13 14:42:43.463145 EDT | AverageQ                 -0.018777
2017-05-13 14:42:43.463444 EDT | AverageAbsQ               0.035898
2017-05-13 14:42:43.463742 EDT | AverageY                 -0.0186464
2017-05-13 14:42:43.464040 EDT | AverageAbsY               0.0392601
2017-05-13 14:42:43.464339 EDT | AverageAbsQYDiff          0.0166642
2017-05-13 14:42:43.464636 EDT | AverageAction             0.783515
2017-05-13 14:42:43.464943 EDT | PolicyRegParamNorm       14.8324
2017-05-13 14:42:43.465241 EDT | QFunRegParamNorm         10.3978
2017-05-13 14:42:43.465537 EDT | AverageForwardProgress    0.0145458
2017-05-13 14:42:43.465844 EDT | MaxForwardProgress        0.0460595
2017-05-13 14:42:43.466142 EDT | MinForwardProgress       -0.0149958
2017-05-13 14:42:43.466439 EDT | StdForwardProgress        0.00959741
2017-05-13 14:42:43.466738 EDT | -----------------------  ------------
2017-05-13 14:42:43.467208 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker/Experiment_1] epoch #12 | Training started
2017-05-13 14:42:55.865643 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker/Experiment_1] epoch #12 | Training finished
2017-05-13 14:42:56.260777 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker/Experiment_1] epoch #12 | Collecting samples for evaluation
2017-05-13 14:43:12.219578 EDT | -----------------------  ------------
2017-05-13 14:43:12.340494 EDT | Epoch                    12
2017-05-13 14:43:12.341149 EDT | AverageReturn             1.5573
2017-05-13 14:43:12.341594 EDT | StdReturn                 2.48814
2017-05-13 14:43:12.342039 EDT | MaxReturn                 8.47232
2017-05-13 14:43:12.342472 EDT | MinReturn                -5.46966
2017-05-13 14:43:12.342901 EDT | AverageEsReturn           1.98801
2017-05-13 14:43:12.343326 EDT | StdEsReturn               2.62161
2017-05-13 14:43:12.343776 EDT | MaxEsReturn               8.59562
2017-05-13 14:43:12.344207 EDT | MinEsReturn              -4.08432
2017-05-13 14:43:12.344632 EDT | AverageDiscountedReturn   1.38912
2017-05-13 14:43:12.345057 EDT | AverageQLoss              0.000433629
2017-05-13 14:43:12.345480 EDT | AveragePolicySurr        -0.0319167
2017-05-13 14:43:12.345914 EDT | AverageQ                  0.00318653
2017-05-13 14:43:12.346339 EDT | AverageAbsQ               0.0402324
2017-05-13 14:43:12.346763 EDT | AverageY                  0.00333834
2017-05-13 14:43:12.347188 EDT | AverageAbsY               0.0428004
2017-05-13 14:43:12.347611 EDT | AverageAbsQYDiff          0.0155819
2017-05-13 14:43:12.348035 EDT | AverageAction             0.711749
2017-05-13 14:43:12.348453 EDT | PolicyRegParamNorm       15.0674
2017-05-13 14:43:12.348872 EDT | QFunRegParamNorm         11.6436
2017-05-13 14:43:12.349294 EDT | AverageForwardProgress    0.0153918
2017-05-13 14:43:12.349724 EDT | MaxForwardProgress        0.0484641
2017-05-13 14:43:12.350146 EDT | MinForwardProgress       -0.0191124
2017-05-13 14:43:12.350567 EDT | StdForwardProgress        0.0121348
2017-05-13 14:43:12.350990 EDT | -----------------------  ------------
2017-05-13 14:43:12.351576 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker/Experiment_1] epoch #13 | Training started
2017-05-13 14:43:25.445971 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker/Experiment_1] epoch #13 | Training finished
2017-05-13 14:43:25.561070 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker/Experiment_1] epoch #13 | Collecting samples for evaluation
2017-05-13 14:43:40.721052 EDT | -----------------------  ------------
2017-05-13 14:43:40.721884 EDT | Epoch                    13
2017-05-13 14:43:40.722168 EDT | AverageReturn             2.78617
2017-05-13 14:43:40.722422 EDT | StdReturn                 2.90883
2017-05-13 14:43:40.722669 EDT | MaxReturn                10.0487
2017-05-13 14:43:40.722923 EDT | MinReturn                -5.93647
2017-05-13 14:43:40.723171 EDT | AverageEsReturn           2.14014
2017-05-13 14:43:40.723417 EDT | StdEsReturn               3.44094
2017-05-13 14:43:40.723653 EDT | MaxEsReturn               8.96659
2017-05-13 14:43:40.723891 EDT | MinEsReturn              -5.67239
2017-05-13 14:43:40.724131 EDT | AverageDiscountedReturn   2.44909
2017-05-13 14:43:40.724373 EDT | AverageQLoss              0.000445508
2017-05-13 14:43:40.724617 EDT | AveragePolicySurr        -0.0542372
2017-05-13 14:43:40.724862 EDT | AverageQ                  0.0276731
2017-05-13 14:43:40.725109 EDT | AverageAbsQ               0.0526258
2017-05-13 14:43:40.725346 EDT | AverageY                  0.0277939
2017-05-13 14:43:40.725586 EDT | AverageAbsY               0.0548053
2017-05-13 14:43:40.725849 EDT | AverageAbsQYDiff          0.015575
2017-05-13 14:43:40.726094 EDT | AverageAction             0.766816
2017-05-13 14:43:40.726339 EDT | PolicyRegParamNorm       15.3461
2017-05-13 14:43:40.726583 EDT | QFunRegParamNorm         12.4691
2017-05-13 14:43:40.726835 EDT | AverageForwardProgress    0.0223892
2017-05-13 14:43:40.727077 EDT | MaxForwardProgress        0.0571415
2017-05-13 14:43:40.727319 EDT | MinForwardProgress       -0.0206176
2017-05-13 14:43:40.727564 EDT | StdForwardProgress        0.014249
2017-05-13 14:43:40.727810 EDT | -----------------------  ------------
2017-05-13 14:43:40.728213 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker/Experiment_1] epoch #14 | Training started
2017-05-13 14:43:53.604882 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker/Experiment_1] epoch #14 | Training finished
2017-05-13 14:43:53.625808 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker/Experiment_1] epoch #14 | Collecting samples for evaluation
2017-05-13 14:44:08.528904 EDT | -----------------------  ------------
2017-05-13 14:44:08.530007 EDT | Epoch                    14
2017-05-13 14:44:08.530458 EDT | AverageReturn             3.99667
2017-05-13 14:44:08.530895 EDT | StdReturn                 2.86848
2017-05-13 14:44:08.531320 EDT | MaxReturn                11.526
2017-05-13 14:44:08.531740 EDT | MinReturn                -4.09814
2017-05-13 14:44:08.532151 EDT | AverageEsReturn           2.72912
2017-05-13 14:44:08.532590 EDT | StdEsReturn               3.64557
2017-05-13 14:44:08.533022 EDT | MaxEsReturn               9.42954
2017-05-13 14:44:08.533458 EDT | MinEsReturn              -9.82978
2017-05-13 14:44:08.533900 EDT | AverageDiscountedReturn   3.39503
2017-05-13 14:44:08.534330 EDT | AverageQLoss              0.000496998
2017-05-13 14:44:08.534767 EDT | AveragePolicySurr        -0.0762249
2017-05-13 14:44:08.535247 EDT | AverageQ                  0.0503629
2017-05-13 14:44:08.535669 EDT | AverageAbsQ               0.0706271
2017-05-13 14:44:08.536091 EDT | AverageY                  0.0504847
2017-05-13 14:44:08.536516 EDT | AverageAbsY               0.0724539
2017-05-13 14:44:08.536950 EDT | AverageAbsQYDiff          0.0162998
2017-05-13 14:44:08.537361 EDT | AverageAction             0.684112
2017-05-13 14:44:08.537774 EDT | PolicyRegParamNorm       15.487
2017-05-13 14:44:08.538189 EDT | QFunRegParamNorm         12.9875
2017-05-13 14:44:08.538603 EDT | AverageForwardProgress    0.0252141
2017-05-13 14:44:08.539026 EDT | MaxForwardProgress        0.0619488
2017-05-13 14:44:08.539445 EDT | MinForwardProgress       -0.013445
2017-05-13 14:44:08.539861 EDT | StdForwardProgress        0.0141009
2017-05-13 14:44:08.540280 EDT | -----------------------  ------------
2017-05-13 14:44:08.540870 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker/Experiment_1] epoch #15 | Training started
2017-05-13 14:44:21.661172 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker/Experiment_1] epoch #15 | Training finished
2017-05-13 14:44:21.661596 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker/Experiment_1] epoch #15 | Collecting samples for evaluation
2017-05-13 14:44:35.852567 EDT | -----------------------  ------------
2017-05-13 14:44:35.853537 EDT | Epoch                    15
2017-05-13 14:44:35.853926 EDT | AverageReturn             3.74046
2017-05-13 14:44:35.854281 EDT | StdReturn                 2.36168
2017-05-13 14:44:35.854725 EDT | MaxReturn                11.9752
2017-05-13 14:44:35.855180 EDT | MinReturn                -3.088
2017-05-13 14:44:35.855601 EDT | AverageEsReturn           3.49432
2017-05-13 14:44:35.856033 EDT | StdEsReturn               3.32913
2017-05-13 14:44:35.856464 EDT | MaxEsReturn              10.8915
2017-05-13 14:44:35.856896 EDT | MinEsReturn              -2.91819
2017-05-13 14:44:35.857320 EDT | AverageDiscountedReturn   3.27004
2017-05-13 14:44:35.857752 EDT | AverageQLoss              0.000565342
2017-05-13 14:44:35.858182 EDT | AveragePolicySurr        -0.101967
2017-05-13 14:44:35.858614 EDT | AverageQ                  0.0725914
2017-05-13 14:44:35.859038 EDT | AverageAbsQ               0.0905585
2017-05-13 14:44:35.859457 EDT | AverageY                  0.0727004
2017-05-13 14:44:35.859890 EDT | AverageAbsY               0.0921775
2017-05-13 14:44:35.860331 EDT | AverageAbsQYDiff          0.0172471
2017-05-13 14:44:35.860763 EDT | AverageAction             0.66794
2017-05-13 14:44:35.861164 EDT | PolicyRegParamNorm       15.6127
2017-05-13 14:44:35.861584 EDT | QFunRegParamNorm         13.393
2017-05-13 14:44:35.862020 EDT | AverageForwardProgress    0.024866
2017-05-13 14:44:35.862448 EDT | MaxForwardProgress        0.0642449
2017-05-13 14:44:35.862858 EDT | MinForwardProgress       -0.00819905
2017-05-13 14:44:35.863266 EDT | StdForwardProgress        0.0112668
2017-05-13 14:44:35.863690 EDT | -----------------------  ------------
2017-05-13 14:44:35.864298 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker/Experiment_1] epoch #16 | Training started
2017-05-13 14:44:48.257962 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker/Experiment_1] epoch #16 | Training finished
2017-05-13 14:44:48.261819 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker/Experiment_1] epoch #16 | Collecting samples for evaluation
2017-05-13 14:45:06.446200 EDT | -----------------------  ------------
2017-05-13 14:45:06.889092 EDT | Epoch                    16
2017-05-13 14:45:06.889552 EDT | AverageReturn             5.2762
2017-05-13 14:45:06.889911 EDT | StdReturn                 2.64796
2017-05-13 14:45:06.890252 EDT | MaxReturn                12.1669
2017-05-13 14:45:06.890591 EDT | MinReturn                -1.87313
2017-05-13 14:45:06.890926 EDT | AverageEsReturn           4.06513
2017-05-13 14:45:06.891261 EDT | StdEsReturn               3.71862
2017-05-13 14:45:06.891594 EDT | MaxEsReturn              10.9227
2017-05-13 14:45:06.891925 EDT | MinEsReturn              -6.90302
2017-05-13 14:45:06.892260 EDT | AverageDiscountedReturn   4.53724
2017-05-13 14:45:06.892590 EDT | AverageQLoss              0.000678118
2017-05-13 14:45:06.892922 EDT | AveragePolicySurr        -0.122719
2017-05-13 14:45:06.893250 EDT | AverageQ                  0.0932275
2017-05-13 14:45:06.893578 EDT | AverageAbsQ               0.110744
2017-05-13 14:45:06.893918 EDT | AverageY                  0.0933261
2017-05-13 14:45:06.894248 EDT | AverageAbsY               0.112219
2017-05-13 14:45:06.894575 EDT | AverageAbsQYDiff          0.018698
2017-05-13 14:45:06.894904 EDT | AverageAction             0.677983
2017-05-13 14:45:06.895233 EDT | PolicyRegParamNorm       15.7518
2017-05-13 14:45:06.895562 EDT | QFunRegParamNorm         13.7341
2017-05-13 14:45:06.895888 EDT | AverageForwardProgress    0.0325032
2017-05-13 14:45:06.896213 EDT | MaxForwardProgress        0.0657776
2017-05-13 14:45:06.896543 EDT | MinForwardProgress       -0.00217731
2017-05-13 14:45:06.896869 EDT | StdForwardProgress        0.0128242
2017-05-13 14:45:06.897197 EDT | -----------------------  ------------
2017-05-13 14:45:06.897706 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker/Experiment_1] epoch #17 | Training started
2017-05-13 14:45:18.560244 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker/Experiment_1] epoch #17 | Training finished
2017-05-13 14:45:18.940769 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker/Experiment_1] epoch #17 | Collecting samples for evaluation
2017-05-13 14:45:33.944672 EDT | -----------------------  ------------
2017-05-13 14:45:33.945600 EDT | Epoch                    17
2017-05-13 14:45:33.945993 EDT | AverageReturn             5.22036
2017-05-13 14:45:33.946320 EDT | StdReturn                 2.96893
2017-05-13 14:45:33.946641 EDT | MaxReturn                12.7184
2017-05-13 14:45:33.946957 EDT | MinReturn                -5.94294
2017-05-13 14:45:33.947272 EDT | AverageEsReturn           2.87461
2017-05-13 14:45:33.947590 EDT | StdEsReturn               3.42851
2017-05-13 14:45:33.947909 EDT | MaxEsReturn              12.6335
2017-05-13 14:45:33.948240 EDT | MinEsReturn              -6.04487
2017-05-13 14:45:33.948556 EDT | AverageDiscountedReturn   4.45273
2017-05-13 14:45:33.948877 EDT | AverageQLoss              0.000735131
