2017-05-14 00:30:22.583967 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] Populating workers...
2017-05-14 00:30:22.585031 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] Populated
2017-05-14 00:30:28.541720 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #0 | Training started
2017-05-14 00:30:30.224090 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #0 | Training finished
2017-05-14 00:30:30.224960 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #1 | Training started
2017-05-14 00:30:31.869024 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #1 | Training finished
2017-05-14 00:30:31.869461 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #2 | Training started
2017-05-14 00:30:33.379686 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #2 | Training finished
2017-05-14 00:30:33.380045 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #3 | Training started
2017-05-14 00:30:35.341280 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #3 | Training finished
2017-05-14 00:30:35.341690 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #4 | Training started
2017-05-14 00:30:36.964617 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #4 | Training finished
2017-05-14 00:30:36.965086 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #5 | Training started
2017-05-14 00:30:38.968994 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #5 | Training finished
2017-05-14 00:30:38.969402 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #6 | Training started
2017-05-14 00:30:40.479183 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #6 | Training finished
2017-05-14 00:30:40.479571 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #7 | Training started
2017-05-14 00:30:42.014995 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #7 | Training finished
2017-05-14 00:30:42.015357 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #8 | Training started
2017-05-14 00:30:43.439823 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #8 | Training finished
2017-05-14 00:30:43.440819 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #9 | Training started
2017-05-14 00:30:44.735458 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #9 | Training finished
2017-05-14 00:30:44.735852 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #9 | Collecting samples for evaluation
2017-05-14 00:30:59.320110 EDT | -----------------------  -------------
2017-05-14 00:30:59.321228 EDT | Epoch                      9
2017-05-14 00:30:59.321829 EDT | AverageReturn              1.48767
2017-05-14 00:30:59.322198 EDT | StdReturn                  3.8773
2017-05-14 00:30:59.322543 EDT | MaxReturn                 13.5755
2017-05-14 00:30:59.322885 EDT | MinReturn                -10.6783
2017-05-14 00:30:59.323224 EDT | AverageEsReturn           -3.24322
2017-05-14 00:30:59.323565 EDT | StdEsReturn                5.03139
2017-05-14 00:30:59.323906 EDT | MaxEsReturn               12.2752
2017-05-14 00:30:59.324248 EDT | MinEsReturn              -43.4344
2017-05-14 00:30:59.324584 EDT | AverageDiscountedReturn    1.10304
2017-05-14 00:30:59.324922 EDT | AverageQLoss               0.000765024
2017-05-14 00:30:59.325263 EDT | AveragePolicySurr          0.0429222
2017-05-14 00:30:59.325601 EDT | AverageQ                   0.00252012
2017-05-14 00:30:59.325979 EDT | AverageAbsQ                0.0161644
2017-05-14 00:30:59.326321 EDT | AverageY                  -0.00969719
2017-05-14 00:30:59.326662 EDT | AverageAbsY                0.0219595
2017-05-14 00:30:59.327007 EDT | AverageAbsQYDiff           0.0220112
2017-05-14 00:30:59.327348 EDT | AverageAction              0.00110266
2017-05-14 00:30:59.327694 EDT | PolicyRegParamNorm        14.1538
2017-05-14 00:30:59.328033 EDT | QFunRegParamNorm           7.92513
2017-05-14 00:30:59.328403 EDT | AverageForwardProgress     0.00939587
2017-05-14 00:30:59.328748 EDT | MaxForwardProgress         0.068512
2017-05-14 00:30:59.329097 EDT | MinForwardProgress        -0.050522
2017-05-14 00:30:59.329441 EDT | StdForwardProgress         0.0190969
2017-05-14 00:30:59.329799 EDT | -----------------------  -------------
2017-05-14 00:30:59.330440 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #10 | Training started
2017-05-14 00:31:44.683661 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #10 | Training finished
2017-05-14 00:31:44.684671 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #10 | Collecting samples for evaluation
2017-05-14 00:32:05.751801 EDT | -----------------------  -------------
2017-05-14 00:32:05.753200 EDT | Epoch                     10
2017-05-14 00:32:05.753566 EDT | AverageReturn              0.500113
2017-05-14 00:32:05.753962 EDT | StdReturn                  1.96676
2017-05-14 00:32:05.754341 EDT | MaxReturn                  5.77851
2017-05-14 00:32:05.754719 EDT | MinReturn                 -6.27794
2017-05-14 00:32:05.755094 EDT | AverageEsReturn           -1.29723
2017-05-14 00:32:05.755467 EDT | StdEsReturn                5.11647
2017-05-14 00:32:05.755843 EDT | MaxEsReturn                5.8543
2017-05-14 00:32:05.756214 EDT | MinEsReturn              -32.3481
2017-05-14 00:32:05.756571 EDT | AverageDiscountedReturn    0.388259
2017-05-14 00:32:05.756926 EDT | AverageQLoss               0.000548123
2017-05-14 00:32:05.757270 EDT | AveragePolicySurr          0.00383084
2017-05-14 00:32:05.757623 EDT | AverageQ                  -0.0185515
2017-05-14 00:32:05.757976 EDT | AverageAbsQ                0.0268989
2017-05-14 00:32:05.758316 EDT | AverageY                  -0.0184215
2017-05-14 00:32:05.758650 EDT | AverageAbsY                0.0314357
2017-05-14 00:32:05.758988 EDT | AverageAbsQYDiff           0.0177342
2017-05-14 00:32:05.759327 EDT | AverageAction              0.902656
2017-05-14 00:32:05.759655 EDT | PolicyRegParamNorm        14.709
2017-05-14 00:32:05.759986 EDT | QFunRegParamNorm           8.61679
2017-05-14 00:32:05.760311 EDT | AverageForwardProgress     0.0100788
2017-05-14 00:32:05.764811 EDT | MaxForwardProgress         0.0354082
2017-05-14 00:32:05.765195 EDT | MinForwardProgress        -0.0218428
2017-05-14 00:32:05.765544 EDT | StdForwardProgress         0.00950951
2017-05-14 00:32:05.765902 EDT | -----------------------  -------------
2017-05-14 00:32:05.766509 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #11 | Training started
2017-05-14 00:32:45.717889 EDT | [Paper_Final_Averaged_DDPG/DDPG_Walker_CPU/Experiment_2] epoch #11 | Training finished
