AverageAction,AverageQLoss,MaxForwardProgress,MaxReturn,AverageReturn,StdReturn,AverageForwardProgress,MinReturn,StdEsReturn,AverageY,MaxEsReturn,QFunRegParamNorm,AverageDiscountedReturn,AverageAbsQ,AverageQ,MinForwardProgress,Epoch,StdForwardProgress,AverageAbsQYDiff,AverageAbsY,PolicyRegParamNorm,AverageEsReturn,MinEsReturn,AveragePolicySurr
0.823317,0.00340852,0.261130729775,-37.3888582543,-50.3376659852,5.38133432909,0.112246215726,-63.7662997708,51.1629409172,0.0141183037148,88.4999858139,10.7974,-21.2384469725,0.0497585,0.0178591,-0.0225065227418,10,0.0585609828161,0.0246654749911,0.0425748350918,16.4648,-11.7502410486,-148.276349338,-0.0307385
0.804607,0.000278303,0.489329268666,-13.243614681,-39.7217048533,12.4391745835,0.206615805523,-58.7742834497,27.6137928086,0.0171440132747,51.1404028377,10.9636,-14.8897406296,0.054358,0.0170568,-0.00907677691718,11,0.134562895301,0.0117793170771,0.0552869985266,16.6042,13.4727872401,-22.0058343957,-0.0404656
0.705049,0.000319295,0.196999901056,-36.0546987702,-46.9123914745,4.99838577636,0.0580195066958,-58.1721408027,17.3310207885,0.0347567589493,33.164656643,11.2153,-16.952506818,0.0743495,0.0347536,-0.0560343130315,12,0.0557973652269,0.0120256049078,0.0754767390632,16.5759,10.4758173198,-10.7182100449,-0.051724
0.467699,0.000425276,0.502317005891,14.9898111117,2.0583055991,6.13942137806,0.36437451863,-10.0883540789,47.9489752878,0.0434543440335,51.3865276308,11.45,10.1977561167,0.0942782,0.0434861,0.240092367806,13,0.0644565568709,0.0137789946739,0.0953302455692,16.6791,2.31800267492,-52.7041007888,-0.0554678
0.520519,0.000566313,1.02346223638,62.4102829097,-2.54403811558,27.3131968312,0.343403685145,-80.7292497381,33.8074936871,0.0504196067677,33.6840826967,11.7634,6.72386612976,0.115277,0.0504362,-0.453302637732,14,0.279522991663,0.0157342996335,0.116608426827,17.0985,0.153985246446,-56.2698027941,-0.0644664
0.424763,0.000801985,1.16410910645,88.6825157107,24.0404277572,20.0210084078,0.531522149536,-16.546720912,81.0812936609,0.0617246417767,134.859713921,12.1066,7.38930901468,0.138423,0.0617492,0.145131421703,15,0.219123735649,0.0186200972274,0.139976359344,17.529,8.68918501476,-86.4284844574,-0.0794343
0.478436,0.00107993,0.585628821854,30.1745201201,-35.5262463193,29.125806529,0.00124143591257,-93.8940012485,34.9756815992,0.0746852696326,45.3089284191,12.4631,-14.864296498,0.166518,0.074685,-0.599437419398,16,0.29917350472,0.0214410799016,0.168137512712,17.8556,-12.0213111608,-43.7941625952,-0.0962919
0.478224,0.00134281,1.62253084468,116.16861774,53.2993154508,31.4297876218,0.86698984497,-10.4206901886,42.470237465,0.0910336546254,2.80238930778,12.8774,10.1373196567,0.194184,0.0910125,0.158924562913,17,0.354851037888,0.0240401276778,0.196105415093,18.0869,-37.4085876925,-108.863950294,-0.114962
0.742014,0.0016959,1.8361054227,128.16124723,94.0873126642,21.5172546737,1.48176436748,32.9488429837,30.2832684511,0.116655991725,103.53165306,13.2995,32.8030361842,0.224576,0.116585,0.826734941212,18,0.206454868208,0.0266245489093,0.226577261953,18.254,74.790863661,25.6593486684,-0.138282
0.663593,0.00204257,2.3358988372,187.574547066,39.2130497484,38.4849212607,0.881674571762,2.62364645631,50.3669516055,0.146200110481,143.034003361,13.6565,24.8679070789,0.259897,0.146228,0.495471706403,19,0.387242070758,0.0291711994852,0.262123066096,18.3739,78.7030317794,12.9555019147,-0.168584
0.682712,0.00253201,3.99429279804,349.643678616,177.943694582,83.9129692528,2.26625330078,34.2536448077,28.004337287,0.178153065192,103.679448553,14.0012,50.2775096114,0.296672,0.178175,0.747773714284,20,0.851707608946,0.0322727536857,0.299006520116,18.581,73.0187895705,29.0578289614,-0.203009
0.780101,0.00306951,5.24062926796,469.301384036,287.587269562,103.856390331,3.40888049972,82.5391513204,26.6979719557,0.218008724494,113.027855674,14.367,85.4715226743,0.335001,0.217948,1.29120021871,21,1.05830088661,0.035606484559,0.337609690132,18.8711,79.7117093291,42.5321340764,-0.243697
0.810844,0.00364697,4.09632072447,348.570432685,168.603038506,66.5316645433,2.26878470931,69.5586073603,28.5484394116,0.258139794552,135.737224709,14.6693,63.7886014419,0.372394,0.258071,1.21995470372,22,0.688912677253,0.0388035135125,0.375387684996,19.0622,95.5675032751,66.1926173504,-0.28961
