AveragePolicySurr,MinReturn,AverageDiscountedReturn,AverageAction,StdForwardProgress,PolicyRegParamNorm,QFunRegParamNorm,AverageQ,StdReturn,MaxReturn,AverageQLoss,AverageEsReturn,AverageReturn,AverageAbsQ,AverageForwardProgress,MaxForwardProgress,AverageY,MaxEsReturn,AverageAbsQYDiff,StdEsReturn,Epoch,MinEsReturn,AverageAbsY,MinForwardProgress
-12440.8,-8.51465924524,5.1146878408,0.990702,0.0289314196374,16.4744,135.856,12494.2,3.78720250607,16.1428998355,2.18264e+08,24.4298567403,5.94703248121,12514.1,0.00103310870247,0.0756951518489,-0.00462322380657,43.0716181081,12514.133855,9.02193882179,9,-0.127151162101,0.00502566598786,-0.107077059745
-8103.15,-3.23065152111,4.03492282079,0.994421,0.0221149479027,16.9126,173.017,8080.33,2.91206051708,13.9850514147,2.60511e+08,6.4188345103,4.53922160317,9507.24,-0.000591387102829,0.0709563622402,651.905581683,15.0262183702,9125.14191865,3.68524563007,10,-0.281868105749,753.293945636,-0.0599420261275
-1647.45,-4.58467384461,4.6331009789,0.977611,0.0245660054997,17.1943,173.964,1419.09,3.22205595647,14.7587864241,6.80001e+06,3.97746300362,5.27027954803,2017.82,0.00182353500846,0.0746711468702,1398.53704939,9.17457948387,1226.71665133,2.61675826496,11,-1.86912412032,1818.433762,-0.0729723378884
-1689.25,-3.88443964092,4.77816863763,0.999781,0.027520366095,17.3803,181.301,1515.7,3.58571347735,15.9738701125,7.96781e+06,5.18227280158,5.51793247273,2085.38,-0.000519101142989,0.0783055330898,1421.28813747,13.0852041565,1197.86398571,3.8775319334,12,-1.92608024926,1950.12660971,-0.0742422140371
-954.902,-3.66684264884,5.55441173719,0.999985,0.0304865730543,17.4438,184.366,1053.61,3.9295270527,16.6656510632,3.23804e+06,6.39300132924,6.59913601316,1521.24,-0.000464592754368,0.0796457757584,1070.24149685,13.0299538891,810.713099633,3.18312143742,13,0.214488229018,1616.51276314,-0.0833095260914
-660.867,-6.36770736531,5.62423747963,0.999998,0.0338842659835,17.4492,195.019,761.634,4.35062021727,19.805957399,1.01156e+07,5.99832746209,6.68524443958,1853.82,0.000309456086249,0.104041365863,757.333296624,16.6761405422,1260.30397402,5.34713056169,14,-7.3339972403,1320.60706226,-0.099807391521
-1764.07,-5.41396431043,5.01614570382,1.0,0.0329427225651,17.5299,203.439,1904.42,4.27021637875,17.2335879932,2.049e+07,7.08212573733,5.92654011479,2615.76,-0.00389378835869,0.0848646647859,1631.21236941,17.3009696745,1650.25050102,4.51135320327,15,-3.00995758972,1904.20106235,-0.0881490549002
-3210.76,-7.98032671856,5.27441992452,1.0,0.0334367499715,17.563,217.492,3286.27,4.30101824847,19.7431397076,1.60907e+07,8.041861106,6.22536919027,3982.28,-0.00132366941167,0.104706513656,3010.67177199,15.6371733477,2086.6023049,4.08965458343,16,-2.24511792979,3264.72294121,-0.1141510356
-3824.3,-7.45160330112,5.38546549468,1.0,0.0316983197934,17.5637,220.108,3765.37,4.08859765885,16.1058492399,9.31556e+06,5.97654531574,6.36041265283,4105.12,-0.000350376211156,0.0748031978071,3821.88401744,17.5526262984,1624.7984333,4.68022811412,17,-2.68669071795,4018.61695421,-0.105558622088
-4552.63,-7.70830653619,4.98518336238,1.0,0.0326989565278,17.564,225.426,4231.65,4.21742041806,17.4079266063,8.68396e+06,6.31753474669,5.88405687063,4437.64,-0.00406445924355,0.0878891075245,4239.24182181,15.9610124411,1475.68797052,4.5651413454,18,-3.24992960066,4352.01277739,-0.108990238561
-4414.83,-5.04402364257,5.44647878055,1.0,0.0329515529472,17.5642,237.025,3737.7,4.2680572198,19.4455156727,6.28292e+06,6.22076419235,6.43660804595,4161.52,0.00014960618488,0.102258998975,3711.22607636,17.3436722332,1484.3737745,4.21413524149,19,-0.823584973482,3923.53420477,-0.0899397588778
-5540.11,-5.08716871258,5.41842282594,1.0,0.0323698000472,17.5648,251.011,4716.43,4.16962916274,16.6183924775,7.75207e+06,6.92508341364,6.3998074976,4963.9,-0.000102616030629,0.0815532062726,4718.07580415,17.0103375834,1423.18638685,4.43070160634,20,-1.45969146544,4828.19604508,-0.091504350014
-11729.5,-2.33119301855,5.42029780626,1.0,0.0315348839304,17.5658,273.557,10683.0,4.07405393784,23.4292170226,2.71587e+07,5.01769425258,6.40224706226,11060.9,-4.60477732171e-05,0.133129732645,10694.5905236,16.1242228434,2634.06343836,4.39727379854,21,-1.70199646394,10712.6435291,-0.0685129643258
-19590.7,-4.03698681282,5.13646141867,1.0,0.0331523096184,17.567,282.157,18447.5,4.28890875255,21.3554285266,2.67826e+07,5.21137433949,6.06243599741,18485.6,-0.00249924489384,0.115760034717,18602.0902292,11.0904444064,2714.79087798,3.35075680984,22,-2.27058623379,18608.341738,-0.0812572611824
-30876.6,-6.02028155204,5.6226403768,1.0,0.0322605608631,17.5682,311.296,29558.9,4.16899801303,17.9534955634,7.35875e+07,5.84173894952,6.64113321266,29651.5,0.00193062223925,0.0935169653579,29775.7004584,17.2523578939,4123.10106363,4.18567472499,23,-2.27362625508,29776.6255015,-0.0970985530932
-43941.8,-5.50909376809,5.19089089402,1.0,0.031896891231,17.57,359.853,42107.4,4.10935081258,16.9849763028,4.84095e+08,4.8997258616,6.12573469144,43770.6,-0.00205472896412,0.0832671990364,42596.8303037,9.8659985776,10003.2547858,3.77044931118,24,-3.85681987628,42597.6263591,-0.090451436616
-50854.5,-8.09192101647,5.50007858603,1.0,0.0335915022118,17.5718,385.203,48933.0,4.35588831857,20.2402151318,3.23953e+08,5.76198408653,6.49823190192,49723.9,0.000757424254422,0.106150432175,49779.6267255,14.385336316,8778.66583066,4.15958750902,25,-2.14895865892,49802.9671238,-0.110227549341
-55861.5,-5.66508994785,5.55915029284,1.0,0.0327003040435,17.5732,416.831,53903.9,4.23157038445,17.54906464,3.22695e+08,6.2504629132,6.56966527176,54743.6,0.00120827749785,0.0849362781247,54931.3079302,13.6125367087,9536.71233171,3.87702385476,26,-1.49865232855,55026.1579807,-0.0932680976933
-57974.1,-5.32053058643,5.44602037358,1.0,0.0314667089992,17.5749,432.568,56012.1,4.06585029447,18.815737147,3.47464e+08,5.5570426676,6.43368889914,56997.4,0.000180295486719,0.0990451151759,56627.2980396,14.2014225323,9821.60639598,3.59660944788,27,-0.461777246916,56903.6730455,-0.0932116677596
-56270.6,-5.70335288308,5.07524898659,1.0,0.0316150017697,17.5764,443.929,54224.0,4.09193422928,16.8924901474,3.41693e+08,7.61986821119,5.99034197904,55256.3,-0.0031038335187,0.0809307157642,55299.2144485,15.9101973696,10001.0995509,4.27734625965,28,-2.96965799901,55753.5529128,-0.0948783841817
-55089.1,-4.25855241387,5.26871308265,1.0,0.0309769272459,17.5777,456.673,52792.4,4.00113014217,18.5824114318,3.36205e+08,5.37410483621,6.21978728089,53711.6,-0.00135475301272,0.0940619309078,53459.5079909,12.8442420433,9915.26617792,3.84585790606,29,-2.22972146075,54061.1054599,-0.0819110161794
-55624.8,-9.07682214546,5.14312734901,1.0,0.0363998357153,17.5792,479.346,53012.9,4.68785071256,20.3459824393,4.89543e+08,6.39283452364,6.07326311759,54849.1,-0.0026958187091,0.105586742374,53121.0995619,17.6830596716,11700.2536142,4.70558257815,30,-5.87052534784,53856.9512737,-0.11823544239
-54097.1,-3.76793350298,5.34212785608,1.0,0.0310238651419,17.5808,507.533,51308.4,4.0017117856,18.4624034853,4.78588e+08,5.27477761511,6.30635152151,53734.9,-0.000655479239365,0.0917878819295,51410.2279975,13.2557397673,12132.885671,4.39184464926,31,-4.62636769663,52471.8975988,-0.0798703924567
-52296.9,-3.52338696504,5.2597465218,1.0,0.0323418935599,17.5824,519.274,49401.1,4.15215473876,18.3772366097,3.76308e+08,4.91373191924,6.20926678094,51456.0,-0.00157053907336,0.0939517127662,50018.0653375,11.9809949994,10563.1715202,4.04733981817,32,-5.37257258534,51327.1247699,-0.0766311205328
-50897.7,-4.33855405286,5.54911436672,1.0,0.0338490047864,17.5841,529.482,47817.2,4.36218793388,18.3861502097,3.399e+08,5.52932692022,6.55142961823,49907.5,0.00131306299818,0.0912378040318,48356.0855556,11.5183626987,9828.28199542,3.35905748202,33,-1.47128180524,49821.8934154,-0.0829349080663
-49296.8,-5.2781442499,5.36379564617,1.0,0.0308299167374,17.5852,540.114,46291.8,3.99354357861,18.6161846533,3.64274e+08,5.44676542224,6.330496645,49108.3,-0.000315049797758,0.0943665174879,46467.0768248,14.4684211562,9881.37800837,4.49845244095,34,-3.01065542608,48252.6106548,-0.0884039951254
-46825.8,-4.78569735524,5.60791164995,1.0,0.0306545769304,17.5869,550.232,44014.7,3.95313755916,18.6678015783,2.96568e+08,5.0583788224,6.62189329705,46538.6,0.00180982075153,0.0951315674304,43912.3440518,11.6973790535,8819.34245523,3.58049969771,35,-0.933304269945,45849.3681888,-0.0832989207263
-43668.3,-4.24585019571,5.10230526132,1.0,0.0324000236052,17.5873,558.785,41232.2,4.14772014393,20.5028187248,3.69248e+08,6.22082440071,6.01734876769,44522.0,-0.00287070012131,0.10907279469,41414.5052637,15.6984792269,9369.92123886,4.69842746953,36,-2.72703293343,43711.9698939,-0.0863110606157
-41758.5,-5.29358569962,5.12345029235,1.0,0.03583393638,17.5875,570.21,39594.8,4.63918200216,19.5653530488,3.89014e+08,8.79883582762,6.04878983497,42849.3,-0.00266405686696,0.10459176249,39743.2449134,19.6490651186,9935.17434474,4.7748603365,37,0.739798612607,41994.4665242,-0.0904405961178
-41207.3,-8.55771705295,5.208904352,1.0,0.0325577136246,17.5877,581.44,39282.4,4.23679924009,17.6925454922,6.95135e+08,6.26485729421,6.15101405053,44301.6,-0.00179374968381,0.0887432752941,38433.7199027,16.6240269997,12619.399002,4.05027638784,38,-0.128209879401,41397.4022039,-0.114306629252
-41296.5,-7.20455147694,5.69506018798,1.0,0.0319637064693,17.5882,596.895,39825.4,4.11405157257,15.9862469121,1.91576e+09,7.1794645096,6.72737117027,46030.5,0.00250380924257,0.0743970014489,37608.302947,12.9424518024,17486.509243,3.47552408306,39,-0.76646096185,41053.5681456,-0.108029400793
-42646.3,-3.49299839669,5.39129472766,1.0,0.0308026890394,17.5882,620.52,41491.7,3.99064670367,19.4401249243,1.96169e+09,7.20260609134,6.36872089984,47791.5,-0.000281463858195,0.100021359601,38982.082206,14.7668375932,18575.8643571,4.43103183014,40,-1.98762793252,42597.5470929,-0.0717046635952
-43946.2,-5.06167118895,4.94041669932,1.0,0.0302540184756,17.5882,624.551,43184.9,3.90618520376,15.428168502,2.87498e+09,7.00318718687,5.82593517718,49046.6,-0.00421192943126,0.0683513004722,41171.7669391,16.8492294908,20782.8458375,4.36557309387,41,-2.81231293072,44374.1524746,-0.0900437516069
