QFunRegParamNorm,AverageQ,MaxForwardProgress,AverageAbsQ,AverageEsReturn,AveragePolicySurr,AverageDiscountedReturn,MinEsReturn,PolicyRegParamNorm,AverageForwardProgress,MinForwardProgress,Epoch,AverageAbsY,MinReturn,StdForwardProgress,StdReturn,StdEsReturn,AverageAbsQYDiff,AverageQLoss,MaxEsReturn,AverageY,AverageAction,MaxReturn,AverageReturn
9.09432,0.0135581,0.180217791976,0.0143438,5.10215432933,-0.0198144,-2.19987555057,-53.2751830602,9.68058,-0.017900024437,-0.273086893106,10,0.0143237315222,-57.7454109724,0.106748749469,21.9012252368,15.2609943937,0.00275477323819,3.28679e-05,31.2450736441,0.0137590965915,0.594415,34.5701806951,-5.80099574503
9.20053,0.015646,-0.0843703967404,0.0169768,-3.9034568298,-0.0145471,-62.8995719278,-43.109789282,9.86773,-0.546320916024,-0.962195892169,11,0.0171908554101,-197.162535681,0.291839024481,59.2005059848,11.2196367113,0.00219857070897,2.33662e-05,13.7381753295,0.0156703513039,0.825583,-17.6138530131,-111.671773562
9.23195,0.016387,0.0137078173612,0.0174771,-3.75179282626,-0.0182351,-3.00774465084,-13.8477604709,10.0211,-0.00400724213321,-0.0210601694858,12,0.0178331727514,-6.87203956728,0.0050822404117,1.14696382701,1.82870937256,0.00208159462405,1.86352e-05,0.769751889559,0.0163865339507,0.837737,0.871395903097,-3.20662639464
9.43035,0.0140505,0.049160618295,0.0145136,-3.08804132419,-0.0125579,-7.6936875352,-11.096189788,10.0259,-0.0378921500728,-0.171751148536,13,0.0152049236881,-37.4260543275,0.0422392353646,8.82076932814,1.95698556767,0.002101372309,1.53676e-05,0.919514998245,0.0140499880521,0.863335,8.66509175445,-9.71433470335
9.60618,0.0114955,0.0650864300239,0.0123469,-11.8748485963,-0.0122445,-4.32746918242,-35.1928100115,10.2364,-0.0170876580042,-0.121372847988,14,0.0128518482102,-27.2131593452,0.029886396715,6.1359453075,15.3753033081,0.0019185458859,1.11644e-05,14.9806307844,0.0115034787323,0.810167,11.3784317493,-5.42804154429
9.81403,0.0114371,-0.0667953861273,0.0140063,-32.0320144632,-0.0152631,-28.2023871348,-45.8735152588,10.4584,-0.187073449079,-0.293319309253,15,0.0142670946627,-62.1696023643,0.0422475851672,8.59934820979,12.7802726663,0.00201039001092,1.17185e-05,-0.711767233937,0.0114339104088,0.868656,-16.3608179112,-40.2349010698
9.99638,0.0115229,0.0593588747796,0.0161021,-28.9435932377,-0.0132655,-7.44035949883,-63.339685502,10.5161,-0.0429590567311,-0.236961343501,16,0.016361062831,-51.6202579639,0.052130329439,10.8105076464,17.1844117771,0.00203558589431,1.23516e-05,-0.35828619467,0.0115189243784,0.928024,8.64926651829,-12.1011308338
10.2676,0.0110696,0.037481821556,0.0172084,-22.2094319436,-0.0111646,-7.53127775674,-47.9863635464,10.6443,-0.0418117633462,-0.187904269919,17,0.0174330256885,-40.9855824628,0.0426484451643,8.87585026595,14.6787904906,0.00227887503725,1.50125e-05,0.510463751338,0.0110626954895,0.797313,5.52408468351,-10.8862156646
10.5054,0.00923671,0.161721860623,0.0169263,-5.86195133946,-0.00962381,-23.3159458964,-39.0348504155,10.6193,-0.185560373663,-0.80287622635,18,0.0172424444714,-165.552848527,0.231433016977,47.5074019992,12.7633585635,0.00246711790507,1.71129e-05,13.1822547108,0.00923139871024,0.766721,32.0730176757,-39.9202804755
10.7694,0.00703738,-0.28984613641,0.0170131,-94.7803514565,-0.00683042,-84.5118783431,-177.903740837,10.736,-0.763846818025,-0.942458457021,19,0.0173784871947,-192.266107539,0.0966205093417,19.4357150262,61.3665699137,0.00268091480793,2.04246e-05,0.37350132102,0.00703440933868,0.797535,-60.4354459887,-156.3021685
11.0887,0.00435778,0.166341998379,0.0173858,-11.5727683276,-0.00392841,-31.4688069223,-58.1197069384,10.9393,-0.276272004231,-0.75407862843,20,0.0177565667203,-148.902394932,0.217761959363,42.6570148421,20.0303365157,0.00277081585147,2.23059e-05,13.0721427521,0.0043422005335,0.866111,32.2653033012,-58.0238078226
11.2622,0.00252174,0.073535917212,0.0169573,-3.22780945137,-0.00458546,-1.84984237013,-24.4245882594,10.9351,-0.00108119265717,-0.0757669027337,21,0.0173169486923,-17.0435230848,0.0229078511742,4.6671906102,6.47804208577,0.00288072750292,2.40452e-05,8.69261155017,0.00251046155883,0.991369,13.0446054549,-2.23788715113
11.465,0.00143459,0.0573403633389,0.0169203,-3.04568031132,-0.00174508,-2.55574967841,-12.5716976182,11.0346,-0.00480083321976,-0.0992028788761,22,0.017249865855,-22.4970016951,0.026261733972,5.36536216903,4.44629080102,0.00287717525476,2.47044e-05,10.6960956325,0.00142825214584,0.896602,9.39329830631,-3.29628907455
11.6604,0.000206845,0.100441939259,0.0170618,-7.40410087759,-0.000353652,-4.37424192209,-25.9033047199,10.9799,-0.0119162288664,-0.438536578376,23,0.0173908547771,-90.6779706792,0.0673030650623,14.2726915015,9.29802082445,0.00287533154522,2.52371e-05,12.1182564522,0.000194122762493,0.880629,16.3309498491,-8.04226032194
11.8293,-0.0011384,0.0795646335683,0.0170442,-7.35405416238,0.000764161,-1.81800128235,-30.4629397342,11.0891,-0.000556602650025,-0.0994086876981,24,0.0173483284303,-25.2725395837,0.0241165390464,5.03045969483,7.84221096705,0.00290305042447,2.56274e-05,3.42239243368,-0.0011588035176,0.926444,13.9912843308,-2.33799070967
11.9949,-0.0019384,0.0707646243074,0.0179437,-0.516716360394,0.000898965,-2.89111667728,-9.41164523663,11.1576,-0.0075410191133,-0.141818427318,25,0.0182547413889,-32.0516220668,0.0348835382613,7.17615278662,4.42142807574,0.00289208736751,2.73485e-05,8.35828259736,-0.0019402617772,0.87578,12.0068742896,-3.99638256087
12.1681,-0.00289884,0.0543062168763,0.0179633,-7.33535517185,0.0021564,-5.58638043648,-38.1388090962,11.2764,-0.0294726970936,-0.156764256496,26,0.0183423678111,-34.8191404039,0.0356341029568,7.57989649115,12.6788171503,0.0030074793175,2.79852e-05,5.7867953644,-0.00290617075022,0.676732,9.11040194868,-8.17256808274
12.3863,-0.00391293,0.0257066220528,0.0180022,-16.3876748128,0.00305974,-7.7091411577,-45.3120171275,11.5765,-0.03675132753,-0.147180404286,27,0.0184203692721,-32.9081408849,0.0282998560329,6.19258308985,11.2867771819,0.00336345360438,3.84439e-05,4.04734390574,-0.00394361331443,0.838751,3.30588754384,-10.9321094621
12.459,-0.0048342,0.0736798620513,0.0184897,-9.78793152589,0.00411034,-5.56647519798,-25.2742340678,11.5284,-0.0319974775798,-0.233035391684,28,0.0187705471828,-50.3340932178,0.0544791748133,11.1756066021,7.96677452628,0.00271765131432,2.21362e-05,3.01889552124,-0.00484673965673,0.715653,11.6370563529,-8.93265793789
12.6065,-0.00579114,0.0571774292231,0.0184775,-14.9317794341,0.00522377,-6.98610943567,-62.5167023151,11.6725,-0.0441137329767,-0.256652506012,29,0.0187333862974,-54.9245872855,0.0658128122813,13.4530665245,19.9322358277,0.00285718253038,2.53187e-05,3.5397449977,-0.0058037436897,0.761833,9.12543270322,-11.658552467
12.8379,-0.0069097,0.062372096482,0.0190764,-12.2585632152,0.00607402,-10.1375525665,-41.2403560035,11.6482,-0.0592851850768,-0.178027393069,30,0.0193618359441,-39.1758675183,0.0421784920531,8.56530849908,11.366058813,0.00305082264953,2.87305e-05,-0.358972211431,-0.00692717634086,0.863993,9.54743981397,-15.1628659494
13.0444,-0.00707866,0.053741490746,0.019685,-3.58598226044,0.00585192,-6.41458908735,-14.1753225981,11.7446,-0.031300435962,-0.131512674823,31,0.0198841611932,-30.38014917,0.0306570244571,6.32918654526,6.39717036834,0.00305356593904,3.13133e-05,7.06433784614,-0.0070882162766,0.771364,8.46066934919,-8.77798814905
13.268,-0.00743583,0.0545331748514,0.0211053,-9.58766923116,0.00596381,-3.77995214895,-25.291048608,11.8163,-0.0147108656303,-0.10683764698,32,0.0212983909289,-23.1903297327,0.0273779862969,5.40444218129,7.76127713257,0.00305366029221,3.05007e-05,0.693295908508,-0.00744663469686,0.896556,8.93706867285,-5.06071781633
13.4398,-0.00803577,0.036431335509,0.0221168,-4.8870121619,0.00682167,-4.30166264587,-21.3454549306,11.8847,-0.0178638998493,-0.115075336736,33,0.0223292871501,-24.5009025321,0.0304407418633,5.94066384594,5.63455972786,0.00298156690322,2.94488e-05,3.92199275174,-0.00805761923685,0.921314,5.35667242317,-5.66203292547
13.6351,-0.00870235,0.0205869692708,0.0224304,-10.6790975686,0.00748758,-9.98104705352,-20.7205606197,12.026,-0.0552918099462,-0.113736292093,34,0.0225863439293,-25.963758262,0.029415225527,5.90978593718,5.73641480581,0.00302402293086,3.19818e-05,0.589902518371,-0.00871108164533,0.874894,0.992379459111,-14.1837763331
13.8185,-0.00906972,0.0166201865488,0.0221454,-16.6435854359,0.00814621,-10.7519741343,-34.5705879723,12.1206,-0.0598641497498,-0.136598440244,35,0.0223663625941,-30.7657798741,0.0312632154433,6.282210077,7.3910696887,0.00320450144531,3.36987e-05,-5.17674090735,-0.00908639402352,0.967791,-0.113526609911,-15.4397467684
14.0376,-0.00966188,0.0197433801501,0.0221245,-14.5698551267,0.00897129,-9.58806849611,-20.7671055717,12.2668,-0.0502682075669,-0.125246405224,36,0.0223094863687,-28.3705521794,0.0283730610917,5.70294084066,5.60919522189,0.00309757714801,3.08164e-05,0.242881472935,-0.00967129544822,0.9268,0.898712416433,-13.2295519142
14.333,-0.00953054,0.0484888708838,0.0218632,-8.80892731422,0.00830083,-7.87372446845,-18.8419418103,12.3918,-0.0372060320155,-0.097267840278,37,0.022019256694,-22.3112925504,0.0230741233229,4.67794184204,9.18913859695,0.00313551348197,3.45239e-05,13.5121321175,-0.00951830680068,0.951277,6.99724769714,-10.2784914656
14.4494,-0.0094977,0.0948779270402,0.0220192,-4.63792730187,0.00831486,-0.149416060777,-12.8852209362,12.4417,0.0136535512842,-0.0584851864244,38,0.0222195451194,-14.5611961963,0.0283770748574,5.81200106971,7.30979355146,0.00322468774951,3.41686e-05,14.4305809031,-0.00952510055837,0.990039,16.806830312,0.221988435202
14.5616,-0.00903287,0.103062626509,0.0221017,2.20266065571,0.00756557,3.59197953316,-8.10168449893,12.5317,0.0371647115468,-0.0298132614243,39,0.0223259175349,-8.73510811101,0.0271087987473,5.57030401776,4.70603777117,0.00326841203314,3.43093e-05,8.70248975912,-0.00907608840541,0.989823,18.7479558046,5.0973263246
14.7168,-0.00850626,0.102298242119,0.0225463,5.42203322851,0.0071017,3.89340178913,-3.7646983723,12.6347,0.0391074702797,-0.0449407346937,40,0.0226922583739,-11.7980886783,0.026268104689,5.39767711427,5.40266880066,0.00311823454667,3.06795e-05,15.2646190209,-0.00852041285421,0.999726,18.4548762599,5.48815905321
14.8844,-0.00820184,-0.197731992772,0.0227673,-1.32264434232,0.0067233,-43.8079415038,-69.5060173447,12.726,-0.361763557363,-0.469709313733,41,0.0230336359418,-95.0680076824,0.0541413323093,10.9243579925,22.5613296349,0.0033947083517,3.69547e-05,16.1175398629,-0.00823771344673,0.985833,-40.5825780973,-73.200978081
15.0046,-0.00826717,0.136825968864,0.0241763,-39.1600036621,0.00637705,-40.2146900541,-106.717342296,12.7743,-0.351791821311,-0.593223187414,42,0.024405697955,-122.482270805,0.220436004751,44.4568189787,51.2968483762,0.00343537810562,3.63168e-05,24.7853410363,-0.00829498152902,0.975356,25.8244432121,-72.442940265
15.1556,-0.00830686,0.14527357892,0.0258291,-25.5935603794,0.00695326,-18.628773558,-113.764664883,12.8028,-0.169753465488,-0.578750178064,43,0.026131007939,-118.237952053,0.269036579061,54.1563889531,52.3500738507,0.00367078627014,4.5276e-05,21.7362661183,-0.00835713409424,0.968573,27.5262301945,-36.0418260906
15.336,-0.00862458,0.1536461718,0.0272256,-41.920366665,0.00708558,11.1794467965,-120.306089995,12.7932,0.0839969277647,0.0130679251214,44,0.0275524301333,0.121056825532,0.0254321905583,5.33482387266,52.3338281263,0.00391843063904,5.01315e-05,22.6181733063,-0.00866222918877,0.987425,29.1825653108,15.0943851561
15.4932,-0.00873371,0.145586563259,0.0286933,13.3193281928,0.00752732,9.52304572495,3.84056357634,12.7977,0.0746085204608,0.00431518143887,45,0.0288534653536,-1.57032263366,0.029764960908,6.20914396222,5.60260381366,0.00434455593234,6.16935e-05,24.3348802009,-0.00875645878233,0.986149,27.5629662745,12.9426837435
15.7787,-0.00829837,0.166374559109,0.029719,-11.4518280481,0.00715123,-19.9185235166,-113.709598772,12.779,-0.182565137907,-0.543959829943,46,0.0299924508589,-112.414511139,0.26529191987,53.6317026516,44.5388748525,0.00454256316685,6.52763e-05,22.9307203709,-0.0083063715253,0.944825,32.4448749604,-38.3582746835
15.954,-0.00847437,0.151489534829,0.0307186,-0.501810825583,0.0077257,8.95804397199,-98.269720775,12.7617,0.0613170143339,-0.506944449379,47,0.0311449320353,-104.11585776,0.109354537561,22.1475838803,37.3428506738,0.00467064318561,6.94157e-05,25.2951201251,-0.00853836353286,0.970212,29.0358549388,10.8269548608
16.0762,-0.00779074,0.152859487743,0.0320049,14.691581122,0.00651501,11.6604730778,1.64023687345,12.7492,0.0862820101847,0.0220733116033,48,0.0323835107033,1.95669557512,0.0246246250903,5.19538479092,6.70488545754,0.00480063918887,7.3169e-05,25.8575786907,-0.00784184602883,0.982362,29.4430781253,15.6354133713
16.1909,-0.00724479,0.140334064063,0.0332399,-7.15835426346,0.0060884,7.77333120599,-69.1376020763,12.7483,0.0636390152358,-0.12566698698,49,0.0334986704146,-28.2285293826,0.0297666396935,6.14449120317,22.4435441113,0.00466825404117,7.1496e-05,22.0253641756,-0.00728225552413,0.993196,26.4104987471,10.5814968906
16.339,-0.00649577,0.15973159236,0.034443,12.2401347454,0.0052697,11.1394233383,5.81094500655,12.7511,0.0847529551308,0.0100099606344,50,0.0347378776749,-0.553928635068,0.0259445758066,5.39838822371,4.70944564506,0.00496038957643,8.13559e-05,23.3230554482,-0.00651116106858,0.991021,30.5213065959,15.0477745291
16.5041,-0.00496344,0.149908411523,0.0359676,14.2228525743,0.00343918,8.7004339987,3.75321314291,12.7227,0.0698712815721,0.0103118081167,51,0.0362901375908,-0.392235464105,0.0247685879298,5.12668105434,6.01064894405,0.00493919507185,8.45441e-05,27.3233413942,-0.00498432297821,0.991091,28.5979238154,11.8957538254
16.628,-0.00330244,0.156577183689,0.0362152,13.6964359562,0.00187009,9.73853571869,3.13854422799,12.7259,0.0765467603422,0.0219372192534,52,0.0368436349802,2.05821333493,0.0245834131357,5.06748993074,5.4576822112,0.0058559358518,0.000113348,24.5527140601,-0.00336141036059,0.972157,29.7235484345,13.3223661403
16.7136,-0.00286254,0.145929307207,0.0369933,11.8128962348,0.00175994,8.99176836577,2.04441960441,12.7419,0.0716448349652,0.00271703493991,53,0.0374493603668,-1.9776638404,0.0272701515538,5.61999890995,4.99664484507,0.0055599701434,0.000103742,22.7278240413,-0.00291725571639,0.991539,27.5614407932,12.2456945547
16.8651,-0.000624849,0.167357760308,0.0380142,13.4340456365,-0.00128008,12.3321257758,-0.212731793369,12.7684,0.0924104330886,-0.0048601805234,54,0.0383957948348,-3.37717708273,0.0272564232336,5.64783749594,6.30531358331,0.00525165983334,9.42372e-05,26.4493813934,-0.000645367117183,0.963131,32.0145278268,16.7183229162
17.0437,0.00106264,0.160044245393,0.0386294,14.4423286163,-0.00309952,13.1321156909,-0.786914088933,12.8392,0.0969434841964,0.0352454628085,55,0.0391308309697,4.90921632607,0.023680178936,4.90621322456,6.73666230583,0.00537327654677,0.000101162,32.7188011346,0.00102577522625,0.969984,30.7363022836,17.7361627859
17.2433,0.00235309,0.156822425212,0.0381833,8.1592960822,-0.0038743,10.4300418261,-13.0070171351,12.8693,0.0806106210422,-0.00405561864458,56,0.0385783332248,-3.23967286106,0.0275713245358,5.68999773608,8.63551326016,0.00540026405043,9.67626e-05,21.0292030077,0.00233826907416,0.986111,29.861375698,14.1399938412
17.3529,0.00494023,0.17464262098,0.0378183,-0.975302080868,-0.00738073,14.2212126909,-32.7464200022,12.8965,0.102544487738,-0.0188447266915,57,0.0383264689639,-6.52402542946,0.0274134571947,5.70061727155,10.3648565058,0.00597844162887,0.000119123,23.148283269,0.00493936822392,0.959383,33.6540868355,19.0792666246
17.457,0.00593686,0.153092156858,0.0377278,17.6252864126,-0.00824635,13.6140186899,0.127148518767,12.9706,0.0986456186716,0.0378709203967,58,0.0383715821169,5.54794047422,0.0207984525786,4.3172411003,6.4295041312,0.00512191752068,8.6311e-05,28.532917893,0.0058609107409,0.932403,29.5086717923,18.3245567079
17.6138,0.00845812,0.15909798708,0.0392265,14.9845225816,-0.0113269,13.2004592818,-9.83778522187,13.0124,0.0958501040592,0.0227637903906,59,0.0399204573122,2.60489044359,0.0218123772218,4.47272777604,8.51527923865,0.00543861719392,0.000100674,25.7951085492,0.00841740131894,0.935623,30.9019566862,17.7907335008
17.7752,0.0100855,0.126468247824,0.039873,6.17699052105,-0.0121559,0.891081126548,-5.31531938098,13.106,0.0204935902428,-0.501852571423,60,0.0405942584241,-103.337843191,0.0599629705844,12.5562086062,7.3895667341,0.00536661668549,9.35625e-05,22.5248506146,0.00999921393694,0.957613,24.2265109235,1.40891631664
17.8796,0.011352,0.131391978251,0.0407598,6.74565796548,-0.0145774,9.86566744648,-7.72565403469,13.1226,0.0741513450029,0.00391556163595,61,0.0415417889292,-1.09589461437,0.0271552474284,5.60662948188,9.01663118938,0.0057843697667,0.000110325,23.5422308594,0.0113011595454,0.9879,25.1992749225,13.4411622384
18.0662,0.0136018,0.172490392826,0.0410066,7.52512620998,-0.016857,14.2516193617,-16.4652054191,13.1437,0.103724881146,0.00767953644793,62,0.0417085397751,-0.59309703639,0.0294572106407,6.14435088205,10.9395855344,0.00606564087239,0.000124588,25.1812791588,0.0136047138942,0.95375,33.6637927999,19.3186083833
18.165,0.0156922,0.110432463717,0.0418568,0.972620647944,-0.017815,-3.11334664139,-20.7737155912,13.1606,-0.00686197939651,-0.0793183384338,63,0.0423435828895,-18.9860307332,0.0427515564433,8.90701110504,12.582336202,0.00527066792268,8.8194e-05,28.1260052249,0.0156519666659,0.931534,20.349199903,-4.01235308832
18.241,0.0172217,0.107044087501,0.0419697,-3.1649594171,-0.0194337,2.31174878155,-10.4825103661,13.181,0.0268541473512,-0.0577961694915,64,0.0425941886491,-14.3132949839,0.0337688749691,7.03355355965,6.12560540897,0.0055183745598,9.46666e-05,18.1921028493,0.0171478057107,0.953191,19.6880258671,3.08983034626
18.322,0.0183633,0.109734518873,0.0429383,0.953594449904,-0.0199059,3.71376434811,-13.3497936678,13.1766,0.0370688324751,-0.0468344841683,65,0.0434822672234,-11.9202585295,0.0293669074944,6.02204074705,8.29993301268,0.00547463205371,8.98148e-05,13.5546559046,0.0183013183305,0.900798,20.0964468883,5.17651768105
18.4458,0.0102664,0.0268384858856,0.0346341,2.66911305439,-0.0124613,-5.48784721178,-14.9788665971,13.3163,-0.023256410522,-0.077572387557,66,0.0355020353442,-18.4510306056,0.0214243466037,4.33387382518,7.90357594888,0.00856819058807,0.000259147,17.215755011,0.0103046927276,0.934386,3.01679812757,-7.24185201618
18.5728,0.0091332,0.0236637974664,0.0328539,-5.75339269302,-0.0117048,-6.31028851635,-18.5506279718,13.3337,-0.0290595051066,-0.0789240763562,67,0.0336570346813,-18.274811729,0.0229528548593,4.65841989531,4.75812309994,0.00559143637156,9.47067e-05,1.64345697732,0.00900964591057,0.876054,2.69724891479,-8.35352538764
18.7904,0.0100895,0.0451866550232,0.0340346,1.91399597013,-0.0122235,-1.55899177131,-13.8857776752,13.4416,-9.84846785199e-05,-0.0558763161346,68,0.0346688704659,-13.0742164204,0.0206904871547,4.1689012181,8.58828497745,0.00604829841431,0.000113773,17.1192524342,0.00999451921697,0.975053,7.38289797789,-1.85920806474
18.9474,0.0115115,0.0540495614768,0.034961,-2.96991548889,-0.0140941,-1.85250283936,-8.38787395862,13.5616,-0.00229454698241,-0.0793485074818,69,0.0356299920171,-17.5229932033,0.0224415441757,4.47677292524,3.45449732555,0.00555583018842,9.60577e-05,5.30092594637,0.0114449690534,0.965743,9.27593103489,-2.28977277774
19.1612,0.0120336,0.10532986567,0.0351344,-3.84937404214,-0.0135012,5.68386799275,-14.5523729792,13.6051,0.0485380972638,-0.00343484447224,70,0.0359492000092,-2.96039501077,0.0220615225483,4.55567223522,6.09446295967,0.00598388974229,0.00011278,12.7797652086,0.0119894047892,0.964144,19.5670148799,7.70279498539
19.307,0.0108671,0.0635376663563,0.0349995,-1.64631245049,-0.0140583,-1.7418572084,-11.3811563972,13.7032,-0.00101923790051,-0.0855412313957,71,0.0355874968104,-19.0551492038,0.0253690765876,5.1178862548,4.5913956288,0.00575431111498,0.000100405,6.13888520546,0.0108748483639,0.972723,11.0376054953,-2.13139640769
19.443,0.0116326,0.116483793861,0.0361228,-1.10418166957,-0.0138169,5.13213181984,-15.7607891729,13.7839,0.045042336585,-0.0259209668469,72,0.0364899944718,-7.76969926852,0.0252065094641,5.19875921756,6.78596641064,0.0049323118388,7.7487e-05,11.80332354,0.0115788637617,0.957199,21.913432298,6.9635785317
19.6276,0.0127801,0.120899542333,0.0371701,3.55439461218,-0.0153414,4.56660789041,-3.94089387353,13.7704,0.0431296480195,-0.0435613169362,73,0.0377424501751,-11.4090294661,0.0275286188526,5.6421097268,4.50544318728,0.00530866874705,8.97518e-05,13.5652507604,0.0127267916827,0.990885,22.2740311442,6.34060814756
19.7271,0.0142321,0.137007465135,0.0385059,7.33826087823,-0.0163919,5.44425032486,-0.98130330587,13.8218,0.048698958484,-0.0157383556642,74,0.0390220631816,-5.8657936503,0.0258689269197,5.32047860036,4.41822123803,0.00510543942393,8.36508e-05,16.5947166685,0.0141748877388,0.994355,25.6120084891,7.52890647202
19.9283,0.0160753,0.165135137413,0.039252,10.0658488101,-0.019235,9.63588757049,-2.87640654069,13.946,0.0756865837583,-0.00564533368821,75,0.0399448013163,-3.60409780974,0.0271866935687,5.60217944082,6.11625551372,0.00582649489056,0.000110762,24.1241385517,0.0160128437016,0.965379,31.3560753182,13.1312424884
20.0844,0.0181666,0.0273548375775,0.0414043,2.12452059442,-0.0219283,-13.9620549802,-27.2547864461,14.0603,-0.101357519311,-0.350969273956,76,0.041881596628,-74.9975602216,0.0794623089184,16.5128638155,16.141453114,0.00547798731723,9.09546e-05,23.628191319,0.0181265056285,0.832285,3.1709837929,-23.411154767
20.173,0.0203504,-0.00399234677079,0.0426197,-20.0230630757,-0.0230649,-17.5664571953,-33.4104829532,14.1097,-0.137178063447,-0.249959758307,77,0.0431977190358,-53.6874295484,0.0505064947667,10.2139426501,10.8674149213,0.00539705244535,8.60789e-05,-0.0454270487617,0.0203074066157,0.875786,-3.67347330538,-30.9167615335
20.3043,0.0209338,0.057316343262,0.0432757,-33.1535505011,-0.0232216,-10.7990335968,-63.4731578367,14.202,-0.0806520338477,-0.287057166534,78,0.0438244902272,-61.5221103851,0.0863401091129,17.6951147555,20.869108613,0.0055194591106,9.20883e-05,12.8668150835,0.0208914597087,0.833898,8.97145094024,-19.2957068578
20.4358,0.0214878,0.144025572282,0.0435703,3.95856464169,-0.02371,10.5862378198,-59.5991198053,14.2545,0.0808385543825,-0.0525035375385,79,0.044287786163,-13.237906624,0.0268883898307,5.55681277475,18.2704129557,0.00572754268432,0.000106171,23.9013447249,0.0214199447888,0.895756,27.2508147952,14.357264196
20.6095,0.0215238,0.0909607716588,0.0443353,-11.0086513163,-0.023851,-7.29733896353,-30.064866366,14.2542,-0.0427306871612,-0.199760281302,80,0.0449007086454,-44.134174361,0.0607276947576,12.5697124737,13.2587790252,0.00545014484121,9.24168e-05,11.6858558697,0.0214840065281,0.831212,15.9962537146,-11.5044069399
20.7173,0.0231107,0.090636443701,0.0455592,-6.59270890279,-0.0260349,-7.39852782239,-23.5068527924,14.2567,-0.0444012462244,-0.139922987432,81,0.0460285650777,-31.0611341933,0.0432386946944,8.69473390623,10.5708446539,0.00533478638973,8.86314e-05,11.1372415739,0.0230752228123,0.8687,15.2909648027,-11.8119638787
20.823,0.0241476,0.0823262541479,0.0462393,-1.94541091081,-0.0268327,-6.11446197774,-52.948584699,14.2466,-0.0318092581885,-0.233658563586,82,0.0466932305287,-50.4300914522,0.0565989480553,11.619966026,23.6405407984,0.0050890237703,8.11455e-05,22.7203419113,0.0241097515009,0.835438,13.8396804676,-9.35045980197
20.899,0.0256713,0.18628548464,0.0474761,11.6021026229,-0.0284285,9.93962394212,-15.1236524217,14.2453,0.0851122099354,-0.000713260747548,83,0.047943568586,-2.59715384294,0.0318968398556,6.44632786878,10.1724511825,0.00516307230382,8.55739e-05,25.6949793485,0.0256282834565,0.879114,35.3668722921,14.8693612979
20.9863,0.0266974,0.158323382137,0.0477273,14.6329394318,-0.0288952,12.505486272,0.457408713269,14.2984,0.0938411045462,0.0330381670468,84,0.0483470863994,4.40558766231,0.0236558767169,4.86649515423,6.04766042988,0.00579764306233,0.000119049,23.9111825348,0.0266153096001,0.98069,30.09188958,16.9835143648
21.0325,0.0266736,0.187089433298,0.0480484,10.0991974406,-0.0293715,10.4813367897,-1.18714396347,14.3267,0.088797696533,-0.00835880522126,85,0.0486312944616,-4.16791506852,0.0306876635878,6.1936621341,5.42396731455,0.0054733163252,9.74671e-05,18.2441219241,0.0266217924145,0.859458,35.3881846039,15.702193243
21.1139,0.0287281,0.15554988289,0.0493477,12.5351091465,-0.0315386,7.92425308527,-4.1816495448,14.3533,0.0722343864795,-0.307141669935,86,0.0498536236414,-65.6690183899,0.0407821317867,8.29759253646,7.65198958907,0.00527738112449,8.7619e-05,25.8958566271,0.0286919172233,0.868921,28.8761928287,12.1767688598
21.3399,0.0292344,0.149169995898,0.0490002,11.7073977063,-0.0314964,11.8361268667,-2.22887128231,14.4326,0.0881165519954,0.0248512252436,87,0.0497074785574,3.0516763574,0.0257892867002,5.29292003193,5.75916253284,0.00625684715224,0.000134476,23.7064444292,0.0291361653384,0.846362,28.6142367773,16.0200757836
21.4407,0.0308682,0.144733441328,0.0498897,8.84872671548,-0.0337924,11.1803433526,-11.5466892437,14.4879,0.0856563356739,0.0164820515839,88,0.0504632649077,0.964339823602,0.0251197718571,5.18237077708,9.54519857,0.00542867232054,9.27983e-05,21.8114917593,0.0308263617915,0.993431,27.4644391697,15.186932451
