Epoch,AverageReturn,StdEsReturn,MinEsReturn,StdReturn,AverageQ,MinReturn,AverageQLoss,AverageY,AverageAbsY,AverageDiscountedReturn,AverageEsReturn,MaxReturn,AverageAbsQYDiff,PolicyRegParamNorm,Iteration,AverageAbsQ,MaxEsReturn,QFunRegParamNorm,AverageAction,AveragePolicySurr
9,60.0163908373,40.1296699887,60.1361860223,0.985768820307,-1.79332,55.1136302294,12947.1,68.5579073318,68.5579073318,56.4791291642,104.223307381,62.0127493589,70.4853735577,16.6618,9,10.9252,258.411678831,16.4052,0.869163,-14.9445
10,140.155120135,22.8882050977,42.8453016856,10.527783177,16.5448,98.9569887607,453.383,16.7958079912,16.796594695,120.216295806,82.650566112,160.399052653,8.5591992344,17.73,10,16.5822,156.728207378,17.2877,0.997201,-17.1054
11,132.979974931,19.2221897357,95.8567235711,9.86226372771,10.0223,102.761994255,43.9909,10.0895657041,10.0896572307,115.044278869,147.443704122,154.587535535,3.52926383979,18.2973,11,10.0428,184.830996297,18.0015,0.999972,-10.7161
12,138.58071418,22.1484579336,83.4410931481,9.72322301651,10.7833,111.449940514,16.3982,10.8256186866,10.8259376317,119.411172455,143.14649353,160.792433647,2.41706376439,18.5298,12,10.7937,184.615707287,18.8497,1.0,-11.7118
13,137.930227135,26.402173664,33.8370633571,9.80746938496,11.5867,110.088361898,7.8217,11.6261161532,11.6261740716,118.92844914,144.816857376,158.886752746,1.79721455057,18.531,13,11.603,181.53057098,19.6766,1.0,-12.564
14,139.556707192,20.0390832161,81.646258706,9.18924501963,12.4652,115.425519373,5.02274,12.5019068101,12.5020200789,120.144423127,145.026118349,163.230592363,1.51255606256,18.5312,14,12.4748,179.700264183,20.584,1.0,-13.4047
15,139.61277915,15.0274824775,105.755961366,9.61794401997,13.2074,113.688358575,3.92357,13.2360420078,13.2376217291,120.184005085,150.791892438,162.90831034,1.35336095806,18.5321,15,13.2137,181.696718703,21.6642,1.0,-14.1056
16,139.183138597,25.5767942972,34.0343610169,9.66305058934,13.9881,115.126386036,3.58379,14.0270149013,14.027378184,119.863069251,142.554756289,164.132725231,1.26327710904,18.5321,16,13.993,173.478584425,23.0823,1.0,-14.9684
17,138.942214824,15.1358120715,123.438517516,10.1846017475,14.6547,114.202830235,2.91766,14.6835641427,14.6835931019,119.675779511,151.584467606,158.991269552,1.15375095894,18.5322,17,14.6599,179.590863115,24.6683,1.0,-15.7197
18,139.33235942,25.2266417566,29.1659927391,9.45323015009,15.1719,112.539693758,2.59337,15.1984699723,15.1998018751,119.990916494,143.716032256,161.638402227,1.07597002024,18.5322,18,15.1808,176.505751707,26.3427,1.0,-16.1943
19,139.416306601,12.0285195012,123.128276829,9.28090629013,15.2934,112.122459797,2.26005,15.3167870872,15.3172109991,120.029271776,148.521231422,161.979376888,1.02035143755,18.5323,19,15.3044,174.573110039,28.0748,1.0,-16.1991
20,139.793310127,24.2782855191,61.9196144756,9.19960597688,15.3477,112.960374585,1.85808,15.3648110639,15.3670491908,120.308502254,142.935792547,158.627737641,0.922914579626,18.5324,20,15.3625,179.683075921,29.6621,1.0,-16.0913
21,140.422646216,28.5674009596,28.9666582711,9.15056464536,15.2116,113.629854888,1.88959,15.2290804252,15.2328617297,120.79954526,144.30827102,161.292831801,0.911569045649,18.5325,21,15.2314,189.986758848,31.3713,1.0,-15.8074
22,139.363106109,25.0721839658,76.5349930767,9.17466945542,14.9328,113.602143621,1.67927,14.9486189629,14.9543631264,120.018996691,139.860142171,159.712823345,0.873658133887,18.5326,22,14.9517,173.304111411,32.9685,1.0,-15.4206
23,140.528983333,28.416383594,29.0374576528,9.43913229461,14.4432,114.853555235,1.56769,14.4523291844,14.4589120037,120.877312832,142.653906379,160.971269746,0.832793358988,18.5326,23,14.4566,186.848112832,34.565,1.0,-14.8145
24,139.419643784,14.4075713576,124.914703757,9.2217430111,14.0846,113.419012787,1.41327,14.0957680594,14.1033817642,120.062587484,148.514118458,160.717900924,0.789399556743,18.5327,24,14.0969,178.182772807,36.1478,1.0,-14.398
