AveragePolicySurr,QFunRegParamNorm,MinReturn,Epoch,MaxEsReturn,MaxReturn,MinEsReturn,AverageY,PolicyRegParamNorm,AverageAbsQ,AverageAbsQYDiff,AverageAction,AverageDiscountedReturn,AverageQLoss,AverageEsReturn,Iteration,AverageQ,AverageAbsY,StdEsReturn,StdReturn,AverageReturn
-0.429707,15.1941,925.956467543,10,-10.2746008137,963.330001035,-754.041034871,-0.352694494505,15.0912,0.546098,0.34899794465,0.01324,90.4111027619,0.212711,-256.025179384,10,-0.357786,0.670012038813,213.36872855,11.1106907401,947.263507112
-1.10949,15.8079,949.573852449,11,-860.510094728,965.047493529,-860.510094728,-0.230663614317,15.0178,0.638688,0.251407468731,0.0102937,98.5375651487,0.106911,-860.510094728,11,-0.238218,0.700919782037,0.0,4.70169731189,956.512501726
-2.11456,16.5272,938.994767475,12,-26.7472535631,950.59516009,-26.7472535631,0.578767243217,15.1922,0.916378,0.269994728079,0.0146294,97.4401071969,0.132583,-26.7472535631,12,0.571593,0.964057896517,0.0,3.44221710757,945.9021587
-3.10872,17.3928,933.68693088,13,4.29131274673,945.136078481,-125.55271334,1.5607396972,15.5302,1.65825,0.311873016154,0.0134945,92.7431431342,0.183461,-30.8795983312,13,1.55473,1.69060815584,48.4429182918,3.82488850904,939.321650183
-4.10197,18.3659,946.727674701,14,-39.3130160481,962.320170166,-119.620617617,2.56266790622,15.9273,2.59845,0.356318093554,0.0143895,95.5566359271,0.245815,-79.4668168325,14,2.55611,2.6196826439,40.1538007844,4.64300836416,953.863930799
-5.0953,19.3029,936.949455554,15,-166.990157395,953.671068132,-166.990157395,3.56328120334,16.4052,3.57907,0.400246679101,0.0126321,91.587918194,0.315481,-166.990157395,15,3.55603,3.59647087751,0.0,4.74256493197,944.189405069
-6.08295,20.3044,979.37886865,16,-0.998490415622,1010.94440689,-57.6751359262,4.57032137591,16.925,4.57622,0.452293156098,0.0144228,100.208722948,0.409667,-29.3368131709,16,4.56314,4.59173026171,28.3383227553,9.65079492566,998.21527935
-7.05484,21.1706,902.558989487,17,-103.243831229,938.038895383,-103.243831229,5.56761692894,17.4426,5.57122,0.482329132858,0.0213217,93.4811054426,0.455219,-103.243831229,17,5.56201,5.58255629623,0.0,11.1321688773,918.994915847
-8.04984,22.0165,882.515964097,18,-233.664817771,920.274892184,-233.664817771,6.56318184808,17.8923,6.56111,0.522778714375,0.0262038,90.4668993561,0.531563,-233.664817771,18,6.55651,6.57243962337,0.0,10.7619306828,899.000702991
-9.00896,22.8142,891.836669849,19,-180.031834279,936.187163529,-180.031834279,7.53237992669,18.3889,7.52831,0.554767109405,0.0270387,91.9010454521,0.610185,-180.031834279,19,7.52601,7.53762768507,0.0,12.7380376971,915.564307608
-9.98104,23.5726,928.657841229,20,-166.829972317,950.926211759,-166.829972317,8.52044870446,18.8164,8.51444,0.585177893289,0.0318421,91.3046578017,0.675385,-166.829972317,20,8.51296,8.52368516548,0.0,6.31173298797,939.953281019
-10.9356,24.2171,864.94155997,21,5.56467125393,940.724574259,-289.169834344,9.49617460682,19.2866,9.49052,0.618901229866,0.0268545,88.868655471,0.757103,-141.802581545,21,9.49,9.4977120189,147.367252799,22.2613476425,908.845145436
-11.8758,24.8634,887.121652414,22,-27.3044011272,950.270610552,-27.3044011272,10.4575468752,19.7059,10.4497,0.653681048617,0.0309383,95.5985626962,0.860941,-27.3044011272,22,10.4496,10.4592890268,0.0,17.2202058997,935.191897799
-12.7767,25.494,927.59196785,23,0.197258098446,980.213078994,-253.200110382,11.3484059614,20.1043,11.342,0.703330379142,0.0333,95.202550884,0.994739,-99.1727374933,23,11.3412,11.3506979491,110.432870282,16.2768888753,956.998246042
-13.7206,26.1065,806.491045788,24,-113.405146356,971.632338381,-250.368487401,12.280869516,20.5033,12.2722,0.740294113635,0.0385531,94.206733124,1.10409,-181.886816878,24,12.272,12.2826129311,68.4816705227,49.8586162928,929.32356618
-14.6491,26.6773,715.354100738,25,-9.47884160789,932.589834372,-132.705668983,13.2168219497,20.8827,13.2094,0.766829432827,0.0413275,93.1634175206,1.21,-76.928265157,25,13.2093,13.2187478183,43.9591256857,65.8875256292,868.832695274
