AverageDiscountedReturn,AveragePolicySurr,AverageReturn,Iteration,AverageAction,StdReturn,AverageAbsQ,PolicyRegParamNorm,AverageEsReturn,MinReturn,AverageAbsY,AverageQLoss,MaxEsReturn,Epoch,AverageY,AverageAbsQYDiff,QFunRegParamNorm,StdEsReturn,AverageQ,MaxReturn,MinEsReturn
7.29102790091,-0.952918,113.988961388,9,0.211848,17.7367748284,0.699469,11.7798,-151.66243411,83.1957206898,1.55682204805,2.05609,-86.1027024795,9,1.55682204805,1.17726498587,11.5815,43.0906883855,0.600003,137.285306444,-213.973497852
-56.0823226319,-1.76686,-582.072788401,10,0.974251,0.646948277409,0.770741,12.4467,-384.806931984,-582.787107091,0.81824346538,0.27632,-384.806931984,10,0.72087042526,0.371326431373,12.073,0.0,0.70805,-580.689125535,-384.806931984
-48.5575049399,-1.87243,-570.105706721,11,0.956422,1.3272875909,0.917153,12.939,-430.742543319,-572.026142751,0.944241262908,0.0981793,-430.742543319,11,0.823104694196,0.237151261934,12.5573,0.0,0.819674,-567.493597665,-430.742543319
-48.1644506451,-2.14969,-560.04649253,12,0.948831,0.882263001088,1.39828,13.7104,-365.063969425,-561.348818112,1.42172072328,0.11846,-365.063969425,12,1.2911702913,0.259232836578,13.2107,0.0,1.28817,-558.550575218,-365.063969425
-55.3912321181,-2.28667,-560.398903039,13,0.945302,14.3710624647,1.81031,14.7379,-362.933937884,-579.634585566,1.83101046963,0.142361,-362.933937884,13,1.62463258312,0.28237627138,13.925,0.0,1.62379,-534.624417302,-362.933937884
-37.6445484043,-2.28493,-395.290144053,14,0.870401,32.1185356565,1.98232,15.6094,-372.283004519,-453.680504732,2.0065364387,0.169808,-372.283004519,14,1.73972994615,0.30953297951,14.5864,0.0,1.73941,-353.150690467,-372.283004519
-43.0496481197,-2.26288,-454.748977792,15,0.763396,19.9667784711,2.14724,16.202,-350.576406925,-487.596502449,2.17690137502,0.199641,-350.576406925,15,1.80845880868,0.333291051728,15.3442,0.0,1.80714,-423.240183797,-350.576406925
-31.5388990926,-2.18422,-305.270750917,16,0.762588,13.4450067297,2.30862,17.0911,-331.672767371,-337.466336038,2.3370428123,0.209932,-331.672767371,16,1.80646486631,0.340887357332,16.1037,0.0,1.80606,-280.852448836,-331.672767371
-30.6126726136,-2.16287,-288.577624133,17,0.709974,8.93537118434,2.47549,17.84,-324.567843089,-305.029908879,2.50381690237,0.233111,-324.567843089,17,1.77057276659,0.356330240322,16.8432,0.0,1.77061,-275.479252024,-324.567843089
-13.7850447906,-2.54557,-134.273337275,18,0.278696,24.4047586258,2.71448,18.5476,-293.077243383,-165.246288318,2.74598133226,0.280329,-293.077243383,18,1.77271459213,0.38669673577,17.6352,0.0,1.772,-85.3706116538,-293.077243383
