Iteration,AveragePolicySurr,StdReturn,AverageAbsY,StdEsReturn,Epoch,MinReturn,PolicyRegParamNorm,AverageQ,AverageQLoss,AverageDiscountedReturn,AverageAbsQ,MaxReturn,MinEsReturn,AverageY,AverageAbsQYDiff,AverageEsReturn,AverageReturn,MaxEsReturn,AverageAction,QFunRegParamNorm
9,-0.994639,0.0365134280491,2.35815913293,3.33186650952,9,-8.28809418717,11.781,0.407486,5.01274,-7.58102049229,0.690735,-8.05078355852,-17.0360892715,2.35815913293,1.95710762866,-9.70674517506,-8.18109721079,1.42454399863,0.563226,11.5833
10,-1.45746,0.0638214016163,1.32163447515,1.66776609786,10,-8.27916095227,12.5481,0.772969,0.376497,-7.8496670854,1.21883,-7.96941880739,-16.7327106649,0.79348956236,0.41122853905,-7.74097713818,-8.13219188362,0.0968305186822,0.975953,11.8832
11,-0.213794,11.3749879077,1.38146498535,2.37131924439,11,-68.2964068648,13.0298,-0.19288,0.0546105,1.49657959544,1.37076,3.4406401779,-14.0243967321,-0.191047788684,0.179574139556,-7.46754276753,-7.74189057905,0.492168139487,0.9149,12.0629
12,-0.824828,12.5640056059,1.78281679907,42.8691106759,12,-60.6715327645,13.6833,-0.302777,0.0596433,2.59885621629,1.77422,1.79618804009,-43.9365644021,-0.300762215182,0.18530568386,-10.7136850983,-45.1252734987,113.515414062,0.941226,12.454
13,-1.30562,5.85293899499,2.23165374198,131.887932834,13,40.2591772086,13.9497,-0.00237014,0.0922937,45.3076762325,2.22123,70.4508447555,10.0263325633,-0.000424486842167,0.224335113562,125.03742004,50.1634981246,328.650415315,0.943967,13.0999
14,-1.93826,15.0517635956,2.80590167055,148.398061039,14,35.4587539752,14.6691,0.490266,0.122182,48.5473428487,2.79506,127.650946941,-41.9092717186,0.491673023624,0.247449593912,81.4619054934,58.4609358568,420.626467641,0.840651,13.8515
15,-2.82265,13.0031792925,3.40771190648,129.495087539,15,47.753812425,15.5544,1.19457,0.265927,53.486588179,3.39095,109.260612759,51.3948952088,1.19756103511,0.30991096945,244.631878693,67.5424138206,415.30798341,0.893796,14.7804
16,-3.9304,2.66983203682,4.1670406303,120.642199686,16,1043.34019466,15.9928,2.2046,0.304978,118.021331996,4.14877,1051.7986453,98.5599095808,2.20634013411,0.333999982928,229.175681844,1047.74574528,372.073721298,0.846275,15.587
17,-5.0619,26.3815524289,4.94239208861,237.636913089,17,49.2009660447,16.5145,3.23702,0.342288,59.769943029,4.9239,187.023958002,36.4905927542,3.23905329002,0.356639436567,259.682478326,84.6290049778,608.791675352,0.990816,16.4577
18,-6.09417,430.049899369,5.77435834381,102.047850069,18,69.9485453576,17.1384,4.2464,0.544902,87.0438496762,5.75347,1015.37666347,53.9661910933,4.24923985013,0.403492176095,157.591300374,673.653454334,310.39343257,0.864139,17.3154
