2017-05-04 19:31:54.717130 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] Populating workers...
2017-05-04 19:31:54.718259 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] Populated
2017-05-04 19:32:12.729268 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #0 | Training started
2017-05-04 19:35:20.924763 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #0 | Training finished
2017-05-04 19:35:20.925810 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #1 | Training started
2017-05-04 19:39:09.155727 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #1 | Training finished
2017-05-04 19:39:09.156759 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #2 | Training started
2017-05-04 19:42:57.600453 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #2 | Training finished
2017-05-04 19:42:57.602003 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #3 | Training started
2017-05-04 19:46:45.826039 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #3 | Training finished
2017-05-04 19:46:45.826988 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #4 | Training started
2017-05-04 19:50:31.773307 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #4 | Training finished
2017-05-04 19:50:31.774359 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #5 | Training started
2017-05-04 19:54:18.702291 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #5 | Training finished
2017-05-04 19:54:18.715467 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #6 | Training started
2017-05-04 19:58:10.632095 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #6 | Training finished
2017-05-04 19:58:10.637117 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #7 | Training started
2017-05-04 20:02:07.746219 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #7 | Training finished
2017-05-04 20:02:07.748705 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #8 | Training started
2017-05-04 20:05:57.179091 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #8 | Training finished
2017-05-04 20:05:57.180129 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #9 | Training started
2017-05-04 20:09:46.631785 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #9 | Training finished
2017-05-04 20:09:46.632816 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #9 | Collecting samples for evaluation
2017-05-04 23:40:00.149364 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] Populating workers...
2017-05-04 23:40:00.150479 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] Populated
2017-05-04 23:40:09.153063 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #0 | Training started
2017-05-04 23:45:25.482549 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #0 | Training finished
2017-05-04 23:45:25.487543 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #1 | Training started
2017-05-04 23:50:42.190978 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #1 | Training finished
2017-05-04 23:50:42.195660 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #2 | Training started
2017-05-04 23:56:00.241920 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #2 | Training finished
2017-05-04 23:56:00.243222 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #3 | Training started
2017-05-05 00:01:07.564101 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #3 | Training finished
2017-05-05 00:01:07.572288 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #4 | Training started
2017-05-05 00:06:18.079207 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #4 | Training finished
2017-05-05 00:06:18.083525 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #5 | Training started
2017-05-05 00:11:15.461914 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #5 | Training finished
2017-05-05 00:11:15.463416 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #6 | Training started
2017-05-05 00:16:10.047890 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #6 | Training finished
2017-05-05 00:16:10.049084 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #7 | Training started
2017-05-05 00:20:59.357594 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #7 | Training finished
2017-05-05 00:20:59.359717 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #8 | Training started
2017-05-05 00:25:50.951004 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #8 | Training finished
2017-05-05 00:25:50.972580 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #9 | Training started
2017-05-05 00:30:54.664149 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #9 | Training finished
2017-05-05 00:30:54.665187 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #9 | Collecting samples for evaluation
2017-05-05 00:31:17.185531 EDT | -----------------------  --------------
2017-05-05 00:31:17.186438 EDT | Epoch                       9
2017-05-05 00:31:17.186793 EDT | AverageReturn               4.41068
2017-05-05 00:31:17.187138 EDT | StdReturn                   0.407842
2017-05-05 00:31:17.187486 EDT | MaxReturn                   6.12991
2017-05-05 00:31:17.187819 EDT | MinReturn                   3.01204
2017-05-05 00:31:17.188152 EDT | AverageEsReturn             0.962381
2017-05-05 00:31:17.188484 EDT | StdEsReturn                 0.711472
2017-05-05 00:31:17.188813 EDT | MaxEsReturn                 4.78568
2017-05-05 00:31:17.189144 EDT | MinEsReturn                -3.36127
2017-05-05 00:31:17.189477 EDT | AverageDiscountedReturn     4.34055
2017-05-05 00:31:17.189807 EDT | AverageQLoss                0.000303439
2017-05-05 00:31:17.190136 EDT | AveragePolicySurr         -16.8224
2017-05-05 00:31:17.190466 EDT | AverageQ                   -0.00091723
2017-05-05 00:31:17.190796 EDT | AverageAbsQ                 0.00610851
2017-05-05 00:31:17.191127 EDT | AverageY                    0.0108962
2017-05-05 00:31:17.191468 EDT | AverageAbsY                 0.0118532
2017-05-05 00:31:17.191798 EDT | AverageAbsQYDiff            0.0138948
2017-05-05 00:31:17.192127 EDT | AverageAction               1.08788e+07
2017-05-05 00:31:17.192458 EDT | PolicyRegParamNorm       1807
2017-05-05 00:31:17.192787 EDT | QFunRegParamNorm            7.79976
2017-05-05 00:31:17.193119 EDT | AverageForwardProgress      0.00248569
2017-05-05 00:31:17.193448 EDT | MaxForwardProgress          0.0281915
2017-05-05 00:31:17.193780 EDT | MinForwardProgress         -0.0217493
2017-05-05 00:31:17.194109 EDT | StdForwardProgress          0.00705858
2017-05-05 00:31:17.194439 EDT | AveragePolicyStd            1e-06
2017-05-05 00:31:17.194768 EDT | -----------------------  --------------
2017-05-05 00:31:17.195371 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #10 | Training started
2017-05-05 00:35:57.769679 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #10 | Training finished
2017-05-05 00:35:57.771222 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #10 | Collecting samples for evaluation
2017-05-05 00:36:18.487796 EDT | -----------------------  --------------
2017-05-05 00:36:18.488889 EDT | Epoch                      10
2017-05-05 00:36:18.489342 EDT | AverageReturn               4.43768
2017-05-05 00:36:18.489787 EDT | StdReturn                   0.505549
2017-05-05 00:36:18.490221 EDT | MaxReturn                   9.83539
2017-05-05 00:36:18.490650 EDT | MinReturn                   2.98607
2017-05-05 00:36:18.491076 EDT | AverageEsReturn             0.988036
2017-05-05 00:36:18.491513 EDT | StdEsReturn                 0.0827132
2017-05-05 00:36:18.491937 EDT | MaxEsReturn                 2.70687
2017-05-05 00:36:18.492360 EDT | MinEsReturn                 0.170273
2017-05-05 00:36:18.492784 EDT | AverageDiscountedReturn     4.36609
2017-05-05 00:36:18.493206 EDT | AverageQLoss                0.00409055
2017-05-05 00:36:18.493642 EDT | AveragePolicySurr           6.80298
2017-05-05 00:36:18.494064 EDT | AverageQ                    0.0105523
2017-05-05 00:36:18.494485 EDT | AverageAbsQ                 0.0107707
2017-05-05 00:36:18.494906 EDT | AverageY                    0.0105439
2017-05-05 00:36:18.495329 EDT | AverageAbsY                 0.0128523
2017-05-05 00:36:18.495763 EDT | AverageAbsQYDiff            0.00877168
2017-05-05 00:36:18.496191 EDT | AverageAction               1.55928e+07
2017-05-05 00:36:18.496620 EDT | PolicyRegParamNorm       1913.86
2017-05-05 00:36:18.497044 EDT | QFunRegParamNorm            7.74908
2017-05-05 00:36:18.497470 EDT | AverageForwardProgress      0.00248276
2017-05-05 00:36:18.497893 EDT | MaxForwardProgress          0.0319021
2017-05-05 00:36:18.498316 EDT | MinForwardProgress         -0.02398
2017-05-05 00:36:18.498739 EDT | StdForwardProgress          0.00718353
2017-05-05 00:36:18.499166 EDT | AveragePolicyStd            1e-06
2017-05-05 00:36:18.499601 EDT | -----------------------  --------------
2017-05-05 00:36:18.500253 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #11 | Training started
2017-05-05 00:40:28.010049 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #11 | Training finished
2017-05-05 00:40:28.015904 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #11 | Collecting samples for evaluation
2017-05-05 00:40:49.562543 EDT | -----------------------  -------------
2017-05-05 00:40:49.563431 EDT | Epoch                      11
2017-05-05 00:40:49.563790 EDT | AverageReturn               4.47075
2017-05-05 00:40:49.564157 EDT | StdReturn                   0.54435
2017-05-05 00:40:49.564501 EDT | MaxReturn                   9.68788
2017-05-05 00:40:49.564842 EDT | MinReturn                   3.00155
2017-05-05 00:40:49.565182 EDT | AverageEsReturn             0.98622
2017-05-05 00:40:49.565521 EDT | StdEsReturn                 0.0478235
2017-05-05 00:40:49.565860 EDT | MaxEsReturn                 2.00161
2017-05-05 00:40:49.566200 EDT | MinEsReturn                 0.505987
2017-05-05 00:40:49.566538 EDT | AverageDiscountedReturn     4.39796
2017-05-05 00:40:49.566875 EDT | AverageQLoss                0.00572029
2017-05-05 00:40:49.567213 EDT | AveragePolicySurr          10.7917
2017-05-05 00:40:49.567586 EDT | AverageQ                    0.00822404
2017-05-05 00:40:49.567925 EDT | AverageAbsQ                 0.00855268
2017-05-05 00:40:49.568260 EDT | AverageY                    0.00788562
2017-05-05 00:40:49.568599 EDT | AverageAbsY                 0.012523
2017-05-05 00:40:49.568938 EDT | AverageAbsQYDiff            0.00760013
2017-05-05 00:40:49.569277 EDT | AverageAction               1.4521e+07
2017-05-05 00:40:49.569615 EDT | PolicyRegParamNorm       2014.99
2017-05-05 00:40:49.569951 EDT | QFunRegParamNorm            7.78376
