StdReturn,Epoch,MaxReturn,AverageAbsQ,AverageDiscountedReturn,AverageEsReturn,QFunRegParamNorm,MinReturn,MaxEsReturn,MinEsReturn,PolicyRegParamNorm,AverageAbsY,StdEsReturn,AverageQLoss,AverageReturn,AverageY,Iteration,AverageAction,AveragePolicySurr,AverageQ,AverageAbsQYDiff
23.277469354,9,171.36627095,0.687425,8.0329485324,-192.655675108,11.5824,86.53900691,-146.890337985,-255.81026413,11.7805,1.19284027217,33.4711592202,1.11703,118.866604708,1.19214943257,9,0.213917,-0.986831,0.65596,0.838921762657
0.802558728055,10,-585.665302882,0.779534,-56.6612254718,-244.147695082,12.0828,-588.818028818,-244.147695082,-244.147695082,12.4096,0.830139036369,0.0,0.289196,-587.672977171,0.726189030883,10,0.983417,-1.62797,0.714131,0.384104929204
10.1233697636,11,-538.815352479,0.841783,-49.2249412743,-418.471400496,12.6428,-574.215768495,-418.471400496,-418.471400496,13.6144,0.876166210554,0.0,0.125017,-564.829240492,0.728066354322,11,0.961295,-1.68581,0.725108,0.267191493391
239.217285713,12,145.1959919,1.22586,-7.06006979243,-450.952300995,13.3525,-555.098959552,-450.952300995,-450.952300995,14.396,1.25642276675,0.0,0.131877,-258.643590126,1.07118333017,12,0.924319,-2.00692,1.06919,0.270529921979
183.566158574,13,94.2200608562,1.64026,1.88731685812,-403.872864487,14.1008,-469.648099696,-403.872864487,-403.872864487,15.2069,1.67187298884,0.0,0.175525,-201.822859232,1.42004713697,13,0.768723,-2.31919,1.41833,0.305969036272
337.509717974,14,273.830954941,1.98466,20.0773193372,-343.73343984,14.7089,-576.214224091,-343.73343984,-343.73343984,15.7613,2.01143136239,0.0,0.17968,-132.152813573,1.83263220892,14,0.791692,-2.665,1.82992,0.314410827569
34.4614307277,15,305.045319676,2.27807,21.1956012382,-344.565191198,15.3744,176.883280084,-344.565191198,-344.565191198,16.0797,2.30276808313,0.0,0.202709,227.079589706,2.1104683731,15,0.729976,-2.70824,2.10692,0.325580697132
41.6422191312,16,-231.4730517,2.44509,-10.1230071839,-343.015074468,16.1201,-347.490133439,-343.015074468,-343.015074468,16.6046,2.47239131605,0.0,0.229937,-311.523172437,2.24064867747,16,0.614223,-2.77726,2.23909,0.346229961351
17.2339966967,17,12.4529569643,2.57575,10.1942288811,-264.972499922,16.8396,-37.4793917391,-264.972499922,-264.972499922,17.3027,2.6069577426,0.0,0.25176,-6.68465469906,2.39253038172,17,0.640848,-2.9656,2.38978,0.360011884607
28.8369142708,18,201.902833348,2.77672,9.98649418789,-111.347124804,17.564,96.9586153144,-111.347124804,-111.347124804,17.719,2.80634792802,0.0,0.260703,135.986614781,2.62363983945,18,0.653035,-3.22851,2.62021,0.366006728419
30.7989306945,19,78.3001220202,2.98004,-2.27176239861,-176.045960852,18.2443,-34.3677447217,-176.045960852,-176.045960852,18.3192,3.00748793038,0.0,0.284121,6.10489219243,2.85333562753,19,0.52603,-3.48397,2.85063,0.378335851423
210.70490874,20,210.758389647,3.25012,-5.04664941552,-78.6530219626,18.8993,-357.351965894,-78.6530219626,-78.6530219626,18.8485,3.27911918371,0.0,0.311346,-112.100109691,3.13108122757,20,0.674403,-3.77491,3.12656,0.397129798997
52.4929831141,21,55.6004300169,3.507,3.1974411847,-169.255325431,19.5939,-123.437607218,-169.255325431,-169.255325431,19.3488,3.53600073289,0.0,0.349483,-3.77721182713,3.38691156751,21,0.697431,-4.04049,3.38359,0.418898037372
293.721314681,22,113.564219816,3.8471,-2.40597484469,-27.6317414407,20.2005,-855.16083685,-27.6317414407,-27.6317414407,19.8277,3.87938063421,0.0,0.391147,-353.003028052,3.74203068413,22,0.787822,-4.44361,3.73687,0.448062114704
197.529307561,23,-36.3189862214,4.25738,-10.755073827,91.2177216997,20.8383,-690.97983751,91.2177216997,91.2177216997,20.4352,4.28924502818,0.0,0.438787,-387.286396068,4.17199122074,23,0.909434,-4.93087,4.16731,0.472308150532
189.385074572,24,557.308170886,4.72199,19.2180777818,74.2073363192,21.444,-175.042255683,74.2073363192,74.2073363192,20.91,4.75323233423,0.0,0.501814,81.5510891385,4.64025261769,24,0.90013,-5.45322,4.63529,0.509594009022
283.584529031,25,423.932248355,5.2201,8.54023227963,27.6358372037,22.0594,-372.583211435,27.6358372037,27.6358372037,21.5003,5.24782382751,0.0,0.572295,117.044166493,5.15005188262,25,0.919659,-6.00177,5.14459,0.542844372934
149.299721018,26,618.490871649,5.77698,18.864145435,222.713393661,22.6262,50.9198586109,222.713393661,222.713393661,21.9758,5.8040001783,0.0,0.65461,433.221368507,5.7351882426,26,0.914372,-6.59912,5.72735,0.578045964021
322.039341784,27,544.035674519,6.40281,22.5513854164,347.719515229,23.2486,-592.641232464,347.719515229,347.719515229,22.4549,6.4247994658,0.0,0.6948,364.341620249,6.3645214764,27,0.884746,-7.21332,6.35797,0.600326847958
75.2392351098,28,810.406341384,7.05029,38.4444027368,233.253570763,23.8361,580.473598943,233.253570763,233.253570763,22.8227,7.0724781851,0.0,0.787962,710.908902364,7.02269628179,28,0.932365,-7.89092,7.01607,0.631394442292
34.6926265473,29,738.675378975,7.68046,56.5504569467,401.432024979,24.3932,627.336973291,401.432024979,401.432024979,23.3061,7.70034529456,0.0,0.819158,684.681288957,7.65816412316,29,0.903853,-8.52914,7.65044,0.646154035085
60.8253314634,30,696.688499059,8.36399,47.0204396267,314.121808192,24.872,520.115398499,314.121808192,314.121808192,23.7289,8.37824776885,0.0,0.830315,602.575865435,8.34960936943,30,0.886972,-9.21158,8.34309,0.656231306266
69.6711477546,31,723.47323056,9.09181,60.1392158241,409.228579414,25.3389,501.812748,409.228579414,409.228579414,24.2151,9.10679269519,0.0,0.925422,583.31160298,9.0839876325,31,0.854617,-9.96696,9.07614,0.678864118816
89.998824811,32,938.394002369,9.79307,82.9376324448,506.824254904,25.7779,568.809755267,506.824254904,506.824254904,24.5912,9.80432780903,0.0,0.937777,791.681230793,9.78472212031,32,0.883734,-10.6754,9.77982,0.690480221849
391.881191814,33,717.99748004,10.5682,22.4519750814,433.333514048,26.2377,-310.733582628,433.333514048,433.333514048,24.9383,10.5804528874,0.0,1.01424,400.983333162,10.5659681601,33,0.858557,-11.4758,10.5578,0.70889034302
147.147335844,34,925.336291822,11.3587,79.0702759875,451.304521567,26.5943,436.073605446,451.304521567,451.304521567,25.275,11.3702008165,0.0,1.01132,645.795519551,11.3584555893,34,0.870292,-12.2892,11.3504,0.713882091683
85.9923491641,35,601.311566525,12.1248,54.9823304572,467.557342973,27.0055,280.725347693,467.557342973,467.557342973,25.6075,12.1338600874,0.0,1.01684,523.254003969,12.1247329084,35,0.841058,-13.0812,12.1185,0.72085745284
198.04372296,36,1153.81393553,13.0061,69.5088235608,523.894089197,27.4186,480.065684356,523.894089197,523.894089197,25.9687,13.0183886522,0.0,1.21847,806.23289411,13.0101055454,36,0.848005,-13.9728,13.0014,0.746867135371
122.135472569,37,1198.45289258,13.9851,90.3864209519,514.286085904,27.804,783.484945562,514.286085904,514.286085904,26.3047,13.9941647184,0.0,1.25351,928.487076422,13.9848421582,37,0.847947,-14.9294,13.978,0.765222144059
63.1178546673,38,1227.00557997,14.7933,94.4043626889,633.198844718,28.2342,1030.66461493,633.198844718,633.198844718,26.6326,14.8042403838,0.0,1.34009,1147.68087857,14.7986358742,38,0.87763,-15.755,14.7906,0.782112076048
150.083598036,39,1194.10991919,15.6107,96.0960895254,644.417727846,28.5803,684.963404762,644.417727846,644.417727846,26.9538,15.6207569078,0.0,1.23045,1053.38880442,15.6152754179,39,0.875639,-16.5497,15.6076,0.769440714709
81.8803472538,40,1200.65744812,16.6488,81.1567631248,500.940881971,28.9142,977.244630339,500.940881971,500.940881971,27.2316,16.6590029862,0.0,1.32079,1064.12444763,16.6547259278,40,0.885686,-17.5827,16.6464,0.79205249237
140.262731541,41,1421.13069397,17.6185,113.011200888,827.354444516,29.2812,979.126321805,827.354444516,827.354444516,27.5192,17.6283649049,0.0,1.48506,1184.4611397,17.6236160812,41,0.88219,-18.5833,17.6158,0.822940954417
156.611529865,42,1057.35102172,18.5018,94.7715182413,681.199595999,29.6482,559.040296624,681.199595999,681.199595999,27.8683,18.5095436566,0.0,1.43616,807.408162454,18.5058696565,42,0.890479,-19.4769,18.4988,0.824231395152
235.30280331,43,1239.89764397,19.421,91.3236917806,605.866732923,30.0342,303.499934789,605.866732923,605.866732923,28.1672,19.4297332973,0.0,1.58877,906.243296139,19.428773069,43,0.882684,-20.4503,19.4204,0.843890054592
188.736851355,44,1333.51121547,20.3401,119.363725359,579.136538261,30.3999,663.127664529,579.136538261,579.136538261,28.4386,20.3504478061,0.0,1.54105,968.3027354,20.3489257215,44,0.908016,-21.3655,20.3392,0.838673088237
83.9194069606,45,1046.81249375,21.3215,72.1112829569,516.233828576,30.7857,789.982893639,516.233828576,516.233828576,28.7153,21.3325063393,0.0,1.99873,890.263040057,21.3303359031,45,0.861718,-22.369,21.3203,0.904094655407
80.1308102362,46,1431.23219522,22.3679,116.034573619,670.482931101,31.121,1145.35244149,670.482931101,670.482931101,29.0421,22.3793775675,0.0,1.94619,1265.61379689,22.3784128087,46,0.915351,-23.4522,22.3674,0.895972620317
443.013301109,47,1688.97109005,23.444,119.815657415,711.456234519,31.4906,257.248304922,711.456234519,711.456234519,29.3688,23.4535743052,0.0,2.07047,1206.01312953,23.452680248,47,0.902698,-24.5441,23.4438,0.910831434705
71.4263314219,48,1280.60361274,24.4603,98.0527707614,642.74278357,31.8232,1025.30456129,642.74278357,642.74278357,29.7022,24.4707260886,0.0,1.95391,1131.43333463,24.4703318664,48,0.914111,-25.544,24.4601,0.899472183845
72.5871386843,49,1847.79424863,25.6105,134.594802081,733.575446029,32.1654,1595.26943951,733.575446029,733.575446029,29.9967,25.6193543114,0.0,2.09771,1695.9157844,25.6188421329,49,0.873474,-26.7111,25.6105,0.916652697042
199.960408258,50,1189.28261556,26.6993,85.2934242046,890.650683935,32.4984,477.850297664,890.650683935,890.650683935,30.3034,26.7094819677,0.0,2.01158,890.978785647,26.7088418365,50,0.910632,-27.8456,26.6993,0.914129857318
562.467281054,51,1090.35913023,27.9158,102.454821097,852.049819624,32.8123,-342.620152576,852.049819624,852.049819624,30.6161,27.9280143164,0.0,2.44709,553.098399334,27.9276231995,51,0.926202,-29.0652,27.9158,0.978702874035
181.956674991,52,1819.8751345,28.9377,139.537092727,781.263654616,33.155,1114.5529403,781.263654616,781.263654616,30.894,28.9480090916,0.0,2.71274,1302.29918215,28.9473762037,52,0.926892,-30.0696,28.9377,0.976558085188
165.856809057,53,1417.30854583,30.1431,132.828544406,736.472154496,33.4616,766.09097163,736.472154496,736.472154496,31.1567,30.1536366617,0.0,2.39414,1161.02613217,30.1532353913,53,0.923396,-31.3208,30.1431,0.974293165868
252.687185433,54,1964.47730958,31.3072,173.05107824,617.894359005,33.7745,1291.86712483,617.894359005,617.894359005,31.4149,31.3172793266,0.0,2.34159,1691.64809362,31.3166217444,54,0.918382,-32.4616,31.3072,0.972597481016
180.92440434,55,1664.1599686,32.4378,143.394245756,735.0392186,34.088,1083.26668765,735.0392186,735.0392186,31.7087,32.4488033865,0.0,2.89833,1347.5445579,32.4482652949,55,0.929248,-33.6282,32.4378,1.02431136957
198.786786176,56,1572.24687952,33.6205,102.268661063,684.030203503,34.3885,876.571580735,684.030203503,684.030203503,31.9446,33.6288729245,0.0,2.78373,1028.65368302,33.6286524117,56,0.931367,-34.793,33.6205,1.00075226206
104.985959439,57,1187.53636182,34.7561,105.402345494,939.147634914,34.6944,873.611309228,939.147634914,939.147634914,32.2151,34.7678615482,0.0,2.67487,977.084232949,34.76756939,57,0.938891,-35.9303,34.7561,1.01723255281
395.323010287,58,2332.04339556,35.9384,169.161274056,707.687531325,34.996,1155.34134005,707.687531325,707.687531325,32.4836,35.9487809565,0.0,3.15559,1628.95760288,35.9482223218,58,0.920179,-37.1376,35.9384,1.0556010584
451.474390559,59,1585.67785064,37.013,108.996244283,836.374954001,35.2666,-214.300123511,836.374954001,836.374954001,32.7616,37.0248673953,0.0,3.09512,1061.59422005,37.0244615434,59,0.93475,-38.2203,37.0128,1.0543215908
328.874266833,60,2317.72228306,38.2242,150.273988285,791.293449276,35.5932,1114.65717466,791.293449276,791.293449276,33.0264,38.2342312268,0.0,3.35125,1443.64554138,38.233649077,60,0.935447,-39.4352,38.2242,1.06670646735
67.513453418,61,1765.77859587,39.2962,137.061651902,639.246520373,35.8886,1589.39512892,639.246520373,639.246520373,33.3054,39.3077999896,0.0,3.74664,1679.73812365,39.3072617643,61,0.882013,-40.5358,39.2958,1.0977358265
139.818531618,62,1366.53705589,40.3648,146.155265532,756.715434972,36.1935,851.526253792,756.715434972,756.715434972,33.5935,40.3751153125,0.0,3.39329,1095.49853869,40.3745155062,62,0.932499,-41.5695,40.3641,1.08609407986
85.2070267568,63,1409.73462901,41.5845,107.47525547,695.114150503,36.5382,1100.43578606,695.114150503,695.114150503,33.8474,41.5946696847,0.0,3.61789,1236.82733908,41.5943563995,63,0.91363,-42.8128,41.5845,1.097197202
324.183070453,64,2227.31768364,42.762,156.942842678,788.320649638,36.8778,1091.16326448,788.320649638,788.320649638,34.1794,42.7744447813,0.0,3.88236,1423.33617384,42.7739670666,64,0.910963,-44.0184,42.7619,1.11345816904
141.239486008,65,1571.08036967,43.9305,122.101573665,699.028360329,37.2081,1089.1770876,699.028360329,699.028360329,34.4424,43.9410299183,0.0,3.95732,1209.75734813,43.9407764072,65,0.919581,-45.1578,43.9304,1.12125129513
453.162515305,66,2277.71123133,44.9903,162.134096662,741.789696106,37.4641,898.03653084,741.789696106,741.789696106,34.6789,45.0019206365,0.0,4.21738,1439.99171608,45.0016385867,66,0.918804,-46.1815,44.9903,1.13193851173
100.123898607,67,2416.16991349,45.9866,189.896101248,778.140819987,37.7841,2057.47045959,778.140819987,778.140819987,34.9435,45.9962477343,0.0,4.24554,2283.50791099,45.9957069225,67,0.901165,-47.1768,45.9863,1.13690629588
88.3865863115,68,1403.80062309,47.1157,100.798363277,806.441641439,38.0726,1082.18948935,806.441641439,806.441641439,35.1461,47.1273620723,0.0,4.3878,1181.28197613,47.1269382108,68,0.926535,-48.2756,47.1156,1.17140726084
88.5882145363,69,2437.91284703,48.3834,200.773752254,871.921648831,38.3964,2124.44676354,871.921648831,871.921648831,35.3652,48.3961132159,0.0,5.01736,2274.26890355,48.3955630003,69,0.914488,-49.5455,48.3834,1.1873491491
355.00732202,70,1923.67049977,49.696,152.433616536,1602.28477724,38.685,583.069198486,1602.28477724,1602.28477724,35.6265,49.7062957284,0.0,4.55221,1485.27509389,49.7059256625,70,0.908984,-50.8749,49.6957,1.18782986618
237.958997052,71,2108.98723067,50.9022,182.877620124,1752.34074287,38.9304,1301.66163219,1752.34074287,1752.34074287,35.863,50.9139799914,0.0,5.12875,1624.7985983,50.9134046682,71,0.928136,-52.0864,50.9022,1.20276302244
358.457023076,72,2254.22437005,52.4798,210.334339491,774.98996425,39.2497,1167.78382566,774.98996425,774.98996425,36.1684,52.4939572664,0.0,4.69567,1721.47313731,52.4934845096,72,0.935311,-53.7038,52.4798,1.19343638306
