MaxEsReturn,MaxReturn,AverageAbsQYDiff,AverageAction,AverageEsReturn,AverageDiscountedReturn,AverageQLoss,AveragePolicySurr,StdEsReturn,Iteration,PolicyRegParamNorm,AverageY,AverageReturn,MinEsReturn,AverageAbsQ,StdReturn,MinReturn,AverageQ,Epoch,AverageAbsY,QFunRegParamNorm
-203.405211225,0.115132539236,3.50995342809,0.00231364,-296.733827785,-2.1290824964,16.6997,0.114468,38.6243420072,9,11.7098,2.85656619486,-4.3849917902,-336.206165742,1.1967,11.4729087828,-38.7377763468,-0.639379,9,2.85656619486,11.4927
-273.13701386,-594.825267167,0.332687623061,0.988463,-273.13701386,-62.2474139497,0.256581,-1.74655,0.0,10,12.2536,1.14146322512,-596.099097775,-273.13701386,1.12529,0.89531514637,-597.51748902,1.12329,10,1.14150572918,11.6419
-321.721559092,-597.996357821,0.153360047524,0.998841,-321.721559092,-67.6610823422,0.0401357,-1.49031,0.0,11,12.7665,1.10715523004,-669.253080318,-321.721559092,1.09907,70.4027857002,-741.312402938,1.09907,11,1.10724259089,11.7128
-337.5141208,-585.04701791,0.108295561788,0.996337,-337.5141208,-54.1959441798,0.0201442,-1.27392,0.0,12,13.9113,1.18852350424,-591.642382341,-337.5141208,1.18606,4.92037788444,-599.481454417,1.18606,12,1.1886141911,11.6948
-475.767527869,-573.091115752,0.0893108914624,0.968292,-475.767527869,-53.0810440942,0.0135026,-1.07999,0.0,13,14.2427,1.06893674151,-575.610962035,-475.767527869,1.0682,1.22320880682,-577.769596039,1.0682,13,1.06897719089,11.6619
-375.582771092,-615.824890459,0.0774744058566,0.999925,-375.582771092,-56.3697754757,0.0105043,-1.1949,0.0,14,14.9355,1.0501377723,-617.571400505,-375.582771092,1.04865,1.71602429879,-621.313478975,1.04865,14,1.05018767956,11.7203
-431.566163621,-637.255618634,0.0675420947907,0.997531,-431.566163621,-57.6295719822,0.00857535,-1.23929,0.0,15,15.4609,1.15191330589,-640.729584428,-431.566163621,1.15072,2.18334194765,-643.475283818,1.15072,15,1.15198883896,11.8176
-445.486976206,-480.115543798,0.0632883546315,0.977654,-445.486976206,-17.7106085977,0.00759219,-1.25033,0.0,16,16.7981,1.16475002793,-660.262161709,-445.486976206,1.16404,84.0855166447,-800.482582833,1.16404,16,1.16482213967,11.9653
-336.326760338,-132.500487801,0.0615899665707,0.997459,-336.326760338,-26.3725098874,0.00727034,-1.25209,0.0,17,17.4749,1.18255290204,-179.32254486,-336.326760338,1.1818,60.9658118618,-353.503965505,1.1818,17,1.18262181584,12.129
-345.874556229,-187.885215664,0.0551776407038,0.994606,-345.874556229,-24.7801994618,0.00632109,-1.23429,0.0,18,18.1546,1.19128821821,-391.615935971,-345.874556229,1.19076,80.8537669031,-479.85622912,1.19076,18,1.19136048853,12.299
-252.29278997,-26.080573659,0.0531401352039,0.994337,-252.29278997,-12.6101041209,0.0060843,-1.21274,0.0,19,18.532,1.16748898586,-42.2745350556,-252.29278997,1.16705,10.8079328218,-61.8943937338,1.16705,19,1.1675832645,12.5307
-394.695303048,189.398826803,0.0519374190091,0.970235,-394.695303048,0.4527462529,0.00571249,-1.2056,0.0,20,18.8579,1.15876526257,116.903109208,-394.695303048,1.15837,45.5092267465,43.6981409505,1.15837,20,1.15885089851,12.8524
-349.985246472,-568.609519659,0.0494039513457,0.968809,-349.985246472,-79.8220011074,0.00513551,-1.17872,0.0,21,19.4249,1.14781084463,-846.1515747,-349.985246472,1.1475,140.658228155,-1047.38157204,1.1475,21,1.14788352887,13.1795
-199.256060647,-471.738697643,0.0497699308771,0.853847,-199.256060647,-52.9666835489,0.00520896,-1.18209,0.0,22,19.7352,1.14113514797,-523.305727053,-199.256060647,1.14077,37.9199711517,-578.943973311,1.14077,22,1.14118046577,13.5796
-408.737291105,-86.4968098592,0.0502814248286,0.818111,-408.737291105,-12.6555209744,0.00600888,-1.17753,0.0,23,19.8271,1.13139098443,-155.202557731,-408.737291105,1.1312,55.5922971283,-263.681552382,1.1312,23,1.1315026318,14.0583
-337.539904071,-103.834783462,0.0497059955463,0.479982,-337.539904071,4.37362143147,0.00556523,-1.1761,0.0,24,19.976,1.12930717872,-196.884534398,-337.539904071,1.12899,35.151440658,-233.397201004,1.12899,24,1.12938382304,14.5328
-137.899628578,-50.0162552087,0.0494335581363,0.626157,-137.899628578,-4.9155365289,0.00554409,-1.1798,0.0,25,20.2179,1.13043331518,-76.7306196359,-137.899628578,1.1302,13.9758843842,-96.0951861012,1.1302,25,1.1305208152,15.0262
-216.53565996,92.7462418574,0.0495557129013,0.425538,-216.53565996,16.4556081237,0.00546798,-1.18779,0.0,26,20.6038,1.13538385673,74.6009660589,-216.53565996,1.13515,13.6087335831,47.8657473988,1.13515,26,1.13544378708,15.5146
-141.207994675,171.647317495,0.0498143842907,0.274951,-141.207994675,32.7529006353,0.0053358,-1.19371,0.0,27,20.8002,1.13908617503,4.80479854871,-141.207994675,1.13886,71.9536293727,-79.1268869193,1.13886,27,1.13914378248,16.0252
-84.074397238,-74.2800645514,0.0502395680287,0.508725,-84.074397238,-0.322116702172,0.00561605,-1.20664,0.0,28,21.1173,1.150570613,-129.035882559,-84.074397238,1.15035,34.6531062075,-187.475193121,1.15035,28,1.1506362876,16.5427
-64.9314217602,93.315432533,0.0495995816066,0.563355,-64.9314217602,22.4441925642,0.00532879,-1.22207,0.0,29,21.4472,1.16458834243,35.3569222449,-64.9314217602,1.16438,47.7426554186,-59.8547781158,1.16438,29,1.16463494561,17.0114
-114.533835587,125.318414879,0.0504764157518,0.587772,-114.533835587,16.4109345482,0.00579951,-1.23356,0.0,30,21.8265,1.1761239747,29.5068715207,-114.533835587,1.17584,64.326751358,-77.709157492,1.17584,30,1.17617509612,17.4673
-6.29043022493,21.4951449589,0.0512128360741,0.604221,-6.29043022493,7.96485685001,0.00602757,-1.25012,0.0,31,22.1888,1.188965799,-63.7581906418,-6.29043022493,1.18876,52.3068374974,-136.186875494,1.18876,31,1.18903938236,17.9324
-66.1381301313,-107.805824688,0.0512090338252,0.657332,-66.1381301313,6.25780195544,0.00583079,-1.2636,0.0,32,22.506,1.206371375,-168.530047775,-66.1381301313,1.2061,36.6174005297,-232.710361369,1.2061,32,1.20644160666,18.3735
-45.3847633914,9.35179376397,0.0523858663503,0.658697,-45.3847633914,20.7276117412,0.00645941,-1.2723,0.0,33,22.7328,1.21812785551,-52.6071190404,-45.3847633914,1.21792,30.648437271,-83.8082614776,1.21792,33,1.218204516,18.7592
16.1083934164,40.1489547746,0.0523169038646,0.663006,16.1083934164,13.3038593864,0.00621183,-1.28783,0.0,34,23.09,1.23253724159,-16.9914353441,16.1083934164,1.23224,34.1078494019,-76.8572790706,1.23224,34,1.23258322891,19.166
37.2819992043,345.132182822,0.0524500695918,0.668588,37.2819992043,47.2037047068,0.00571968,-1.29917,0.0,35,23.4316,1.24431118843,273.389653692,37.2819992043,1.24411,43.4980127833,196.867688313,1.24411,35,1.2443451154,19.5098
53.8366058484,282.870476421,0.0541604626352,0.708935,53.8366058484,34.7163111358,0.00676615,-1.31581,0.0,36,23.7546,1.2576181163,156.16741419,53.8366058484,1.2573,137.879265534,-215.325270762,1.2573,36,1.2576914227,19.9085
180.433095407,292.385943064,0.0573969704308,0.723996,180.433095407,33.3390707938,0.00778662,-1.34424,0.0,37,24.2207,1.28414263914,225.143254002,180.433095407,1.28399,56.9556377592,120.906525109,1.28399,37,1.28421758113,20.3311
76.3740134379,460.184942069,0.0568679768424,0.797653,76.3740134379,37.679257334,0.00692065,-1.36709,0.0,38,24.6067,1.30461449252,297.646729648,76.3740134379,1.30431,215.202703675,-196.426556196,1.30431,38,1.30465678589,20.6937
