AverageAction,PolicyRegParamNorm,Epoch,MinReturn,AveragePolicySurr,AverageEsReturn,StdEsReturn,AverageQ,AverageAbsY,StdReturn,MaxReturn,AverageAbsQ,AverageDiscountedReturn,Iteration,AverageReturn,AverageQLoss,AverageAbsQYDiff,QFunRegParamNorm,MinEsReturn,AverageY,MaxEsReturn
0.000751277,11.7099,9,-3.22766430004,0.275866,-306.16461874,36.0407274654,-0.829323,2.66198519126,1.55891693019,2.60655064256,1.19698,-0.496524050128,9,-0.725926673888,16.7196,3.4913080984,11.4926,-378.038453895,2.66198519126,-266.107643331
0.997535,12.171,10,-603.243794141,-1.74691,-335.523050612,0.0,1.13859,1.15706796366,1.14463914527,-599.832016857,1.14043,-62.9594429765,10,-601.756849265,0.262647,0.335225441334,11.6229,-335.523050612,1.15700722344,-335.523050612
0.997986,12.2018,11,-604.319143654,-1.38681,-343.28735667,0.0,1.05252,1.05955660174,1.4030856983,-599.479254882,1.05252,-62.9485621765,11,-601.988865669,0.0381453,0.148774074141,11.6637,-343.28735667,1.05945454402,-343.28735667
0.996459,12.4294,12,-601.150867856,-1.22757,-330.51153768,0.0,1.13705,1.14014572517,0.715303629042,-598.681339748,1.13705,-61.9822368074,12,-600.117657973,0.0195979,0.106637459055,11.6067,-330.51153768,1.14004389374,-330.51153768
0.939612,13.0732,13,-567.37813786,-1.20147,-328.878260657,0.0,1.07557,1.07667778666,2.33761290983,-561.406550929,1.07557,-56.8526839551,13,-564.013867854,0.0148557,0.0928427702355,11.6332,-328.878260657,1.07662747389,-328.878260657
0.93933,14.2534,14,-557.627770985,-1.31526,-476.616476738,0.0,1.1341,1.13564945727,1.27624689673,-553.495759764,1.1341,-48.9870660468,14,-555.608764311,0.0111187,0.0788657948623,11.6869,-476.616476738,1.13560544457,-476.616476738
0.987913,15.2126,15,-392.869766018,-1.29212,-457.23577561,0.0,1.19861,1.19988446581,7.26981035615,-365.848118672,1.19861,-34.9241215443,15,-383.467425477,0.00950714,0.0701342468213,11.7926,-457.23577561,1.19980507028,-457.23577561
0.988909,16.0119,16,-1022.35737894,-1.29733,-452.162631524,0.0,1.21666,1.21723065177,137.220302091,-539.213681459,1.21666,-89.5037143605,16,-941.870787858,0.00786846,0.0636788964672,11.9572,-452.162631524,1.21715447937,-452.162631524
0.992718,16.0858,17,-588.896216357,-1.30502,-385.576982785,0.0,1.22718,1.22773416635,7.79595397827,-561.028533428,1.22718,-41.151821061,17,-573.849689225,0.00687807,0.0588162024185,12.1126,-385.576982785,1.22767088322,-385.576982785
0.919122,16.3126,18,-497.450435163,-1.27934,-418.051951886,0.0,1.22736,1.22781025238,85.1513676361,-246.958821668,1.22736,-12.7928569179,18,-403.924947494,0.00612897,0.0538976235007,12.2945,-418.051951886,1.22772856496,-418.051951886
0.921625,17.0909,19,-562.212075401,-1.27407,-311.807129383,0.0,1.22027,1.22072918021,419.378734443,688.041779207,1.22027,17.9659264805,19,-62.5463741035,0.00656851,0.0543280718564,12.5545,-311.807129383,1.22062918041,-311.807129383
0.885536,17.6939,20,-816.437266016,-1.25889,-246.2999058,0.0,1.21546,1.21599663174,75.5316114203,-575.871960109,1.21546,-73.3367848628,20,-668.6084289,0.0059383,0.051617999097,12.8506,-246.2999058,1.21592188602,-246.2999058
0.827153,18.2865,21,-1137.71344185,-1.25917,-186.908745511,0.0,1.21206,1.21261183332,183.366047968,-576.744092647,1.21206,-77.400114217,21,-854.593564795,0.00566042,0.0503969021211,13.2611,-186.908745511,1.21252438623,-186.908745511
0.695974,18.9093,22,-343.051308224,-1.26201,-404.993706203,0.0,1.21041,1.21076036168,9.31353588648,-308.731883124,1.21041,-18.8749277297,22,-319.126250392,0.00572557,0.0508541329883,13.6736,-404.993706203,1.21071705897,-404.993706203
0.691332,19.2422,23,-308.810703302,-1.2683,-381.829364788,0.0,1.21233,1.21284363464,36.1131043173,-212.702880223,1.21233,-16.2147066498,23,-256.069559657,0.0065703,0.0514588325286,14.164,-381.829364788,1.2127137653,-381.829364788
0.559872,19.7005,24,-320.30287974,-1.28557,-328.591193197,0.0,1.22374,1.22418385644,8.23514615488,-295.89471326,1.22374,-14.682912439,24,-311.595574484,0.00618257,0.0505991872749,14.631,-328.591193197,1.22406732429,-328.591193197
0.550338,20.0398,25,-317.67482515,-1.29862,-286.804482747,0.0,1.23772,1.23821388478,12.9183890847,-279.667444273,1.23772,-22.7640869032,25,-298.775880797,0.00647269,0.0511337914386,15.1259,-286.804482747,1.23810223412,-286.804482747
0.644315,20.418,26,-136.006012925,-1.31235,-262.892199187,0.0,1.24981,1.25024586861,58.541693895,24.7666663036,1.24981,-5.38408411535,26,-68.7699259158,0.006131,0.0504694018289,15.617,-262.892199187,1.25016627769,-262.892199187
0.647407,20.7094,27,-189.211152476,-1.32721,-158.016270123,0.0,1.2607,1.26120194728,45.8842257008,-40.6000333805,1.2607,-4.66523798905,27,-116.339231772,0.00628023,0.0516910088569,16.1015,-158.016270123,1.26112114651,-158.016270123
0.574135,21.082,28,347.685109492,-1.35721,-137.67048976,0.0,1.28611,1.28661943965,33.102564097,460.084710048,1.28611,25.538842382,28,400.645358742,0.00631717,0.0515955953234,16.5395,-137.67048976,1.28653444019,-137.67048976
0.612971,21.3797,29,399.204469255,-1.38536,-70.3748576815,0.0,1.3097,1.31002027254,29.7983647909,513.719107597,1.3097,22.8638689791,29,469.253485139,0.00609432,0.051410680146,17.0391,-70.3748576815,1.30994478547,-70.3748576815
0.609411,21.7455,30,249.374079323,-1.40773,-147.148684809,0.0,1.33522,1.33576008624,26.1171972245,327.176907538,1.33522,23.3201620585,30,280.228500926,0.00675416,0.0523132069004,17.4583,-147.148684809,1.33569923182,-147.148684809
0.6912,22.1356,31,453.203830589,-1.42762,-74.630884031,0.0,1.35672,1.35712536876,34.1976353939,559.345675145,1.35672,35.1846523016,31,494.428243938,0.00681321,0.0520850875187,17.9331,-74.630884031,1.35703510202,-74.630884031
0.706391,22.4912,32,552.928544195,-1.44791,35.3757853497,0.0,1.37719,1.37768429026,37.04533888,674.246475493,1.37719,40.6790312949,32,610.979960701,0.00622513,0.0511824450981,18.365,35.3757853497,1.37759174153,35.3757853497
0.72959,22.8734,33,565.820170685,-1.48357,56.7899089671,0.0,1.40584,1.40637836179,45.4216172729,716.071902914,1.40584,51.488904328,33,631.611052148,0.00736315,0.0523144420487,18.7603,56.7899089671,1.40628915667,56.7899089671
0.733574,23.2993,34,-234.454882638,-1.51803,76.2359087069,0.0,1.44028,1.44063433332,248.873592052,637.806450696,1.44028,37.5152985339,34,502.308740924,0.00632559,0.0506271692804,19.1322,76.2359087069,1.44056619753,76.2359087069
0.766857,23.6627,35,-352.304874604,-1.54152,130.145532405,0.0,1.46917,1.46955771926,223.722567587,435.563192903,1.46917,10.4644152949,35,306.301785711,0.00580743,0.0502695023829,19.4862,130.145532405,1.46951693837,130.145532405
0.765132,24.0685,36,13.9338661296,-1.56593,167.575365912,0.0,1.49449,1.49501784667,45.6841630148,176.808284372,1.49449,2.68794790968,36,104.230069359,0.00719955,0.0529186179559,19.8684,167.575365912,1.4949159645,167.575365912
0.847392,24.278,37,666.491335014,-1.60005,205.527748965,0.0,1.52789,1.52840223945,36.979262059,781.493070655,1.52789,42.3956176979,37,725.738332401,0.00829626,0.0543133434395,20.2554,205.527748965,1.52828824125,205.527748965
