Iteration,AverageAbsY,AverageQLoss,MinEsReturn,AverageAbsQYDiff,MaxReturn,StdEsReturn,PolicyRegParamNorm,QFunRegParamNorm,AverageY,AverageDiscountedReturn,AverageAbsQ,AveragePolicySurr,AverageAction,AverageReturn,StdReturn,MinReturn,Epoch,AverageEsReturn,AverageQ,MaxEsReturn
9,2.35937181044,9.98981,-342.371300187,2.65369222009,-0.120216652342,20.2551903647,11.7092,11.492,2.35937181044,-1.21697149446,0.926453,-0.218046,0.00158443,-1.67390668716,1.61355894457,-5.9379957782,9,-301.242341241,-0.29432,-277.831556587
10,1.19517532697,0.258525,-364.735641989,0.339035597202,-598.76589147,0.0,12.2129,11.6851,1.19513401219,-62.3284247897,1.17779,-1.84315,0.996159,-600.329256427,1.26684671805,-603.012821392,10,-364.735641989,1.17603,-364.735641989
11,1.18761718555,0.0470653,-311.655332941,0.16490852152,-600.156195866,0.0,12.248,11.7387,1.18753616475,-62.1808104039,1.17977,-1.54868,0.997783,-601.045223094,0.738808169945,-602.292899872,11,-311.655332941,1.17977,-311.655332941
12,1.206941722,0.0203647,-330.682678145,0.107822964082,-547.583933754,0.0,13.1856,11.7148,1.206872634,-51.8527438659,1.20478,-1.21384,0.955427,-566.968326076,20.2108800803,-593.34520957,12,-330.682678145,1.20478,-330.682678145
13,1.13376160901,0.0157064,-321.876881128,0.0949541767322,-521.544075882,0.0,14.7728,11.6823,1.13370846015,-49.9262938655,1.13148,-1.36733,0.878844,-523.203008581,0.99099855413,-524.765570096,13,-321.876881128,1.13148,-321.876881128
14,1.31971128171,0.0111579,-354.789513871,0.0786142407134,-553.514996426,0.0,15.0147,11.7338,1.31967686656,-50.3320900126,1.31766,-1.52221,1.0,-556.505609165,1.59232038416,-558.945071141,14,-354.789513871,1.31766,-354.789513871
15,1.38388997914,0.00880195,-447.81249086,0.0659731134294,-555.02478831,0.0,15.1227,11.8129,1.38381244937,-52.259758724,1.38264,-1.46467,1.0,-558.597431368,1.56716333625,-561.012860786,15,-447.81249086,1.38264,-447.81249086
16,1.3684622127,0.00725399,-455.122178886,0.0596203726489,-503.99480583,0.0,16.134,11.9395,1.36838868457,-40.2153066378,1.36784,-1.40667,0.994283,-509.900237276,3.11748985678,-517.319446778,16,-455.122178886,1.36784,-455.122178886
17,1.36281693508,0.00808613,-452.593176655,0.0633227256613,340.999356827,0.0,17.0334,12.1179,1.36274898538,0.975970613484,1.36195,-1.46281,0.994208,-57.1584976365,162.937593884,-232.503964927,17,-452.593176655,1.36195,-452.593176655
18,1.40744817657,0.0125663,-268.228943335,0.0714228527752,-575.399634188,0.0,17.696,12.4549,1.40736089725,-61.1075655148,1.40593,-1.48514,0.945992,-577.117030131,1.3239935313,-579.837606456,18,-268.228943335,1.40593,-268.228943335
19,1.44324061342,0.0103298,-598.65455784,0.06357353876,-586.587047137,0.0,18.2197,12.7874,1.44314735784,-65.4659422835,1.4424,-1.51624,0.999505,-604.715436852,9.41397905602,-620.563662976,19,-598.65455784,1.4424,-598.65455784
20,1.43430181299,0.00753197,-387.80808775,0.0554871143328,-573.608462156,0.0,18.5876,13.0473,1.43424245864,-52.3960854758,1.4338,-1.47102,0.999856,-591.387428129,6.40098845513,-597.54838265,20,-387.80808775,1.4338,-387.80808775
21,1.41602619865,0.0066761,-399.885592189,0.0532153436278,-592.148162004,0.0,18.8169,13.3748,1.41593620033,-55.5981501407,1.41569,-1.4854,0.999906,-595.436887638,1.36889043204,-597.027911035,21,-399.885592189,1.41569,-399.885592189
22,1.41389478161,0.00657639,-449.06402023,0.0529918749765,-495.411263282,0.0,19.4564,13.7107,1.41384193116,-42.8028480983,1.41332,-1.46654,0.984947,-614.233350185,68.7954279984,-707.720354145,22,-449.06402023,1.41332,-449.06402023
23,1.40473786133,0.00815244,-507.912949142,0.0553145387103,-543.023324152,0.0,20.1826,14.0924,1.4046211216,-45.5342889826,1.40411,-1.47804,0.992547,-597.172088572,39.589353079,-667.093023266,23,-507.912949142,1.40411,-507.912949142
24,1.41274184262,0.00770519,-541.861714389,0.0567257321864,-367.573696957,0.0,20.6602,14.482,1.41264610613,-30.3586087486,1.41223,-1.50717,0.947189,-414.963377879,40.6542016303,-506.239429634,24,-541.861714389,1.41223,-541.861714389
25,1.44483038349,0.00895772,-426.591790614,0.0609542674072,-534.801663086,0.0,20.7077,14.9806,1.44472305669,-50.1183573124,1.44417,-1.5366,0.924992,-598.219588763,44.6499307524,-688.328767993,25,-426.591790614,1.44417,-426.591790614
26,1.46782523043,0.00923974,-309.480134373,0.0617050333167,-514.075976267,0.0,20.9555,15.4409,1.46772688538,-36.8687941843,1.46744,-1.55477,0.983624,-561.215978396,24.3024924816,-587.691239111,26,-309.480134373,1.46744,-309.480134373
27,1.47831445609,0.00856419,-415.687553838,0.0594913786519,-480.571402428,0.0,21.085,15.8864,1.47817846221,-29.1362391597,1.4777,-1.56318,0.848573,-485.596761851,4.78960878622,-493.516016693,27,-415.687553838,1.4777,-415.687553838
28,1.49171261624,0.00826733,-449.14135596,0.0569091795846,-232.339238939,0.0,21.1294,16.3512,1.49160768727,-11.1770193241,1.49125,-1.56725,0.695304,-274.519154844,34.5885601042,-353.319699844,28,-449.14135596,1.49125,-449.14135596
29,1.49353347201,0.00784134,-369.03040868,0.0556009778475,-172.371915927,0.0,21.4295,16.7981,1.49345601156,-2.06880071319,1.4931,-1.56854,0.49172,-178.43956652,4.09040123484,-183.63158556,29,-369.03040868,1.4931,-369.03040868
30,1.50125956613,0.00771644,-241.587949229,0.0550493581523,11.4457630057,0.0,21.7584,17.179,1.50118195351,-10.0243884362,1.50088,-1.57809,0.60147,-269.524390204,406.396461918,-914.684432166,30,-241.587949229,1.50088,-241.587949229
31,1.50393839775,0.00815968,-224.43480055,0.0542864137844,-142.318908953,0.0,22.1505,17.5584,1.50385545075,-16.9530743128,1.50358,-1.57155,0.572439,-279.799019498,59.0505460797,-377.014657212,31,-224.43480055,1.50358,-224.43480055
32,1.50039244496,0.00705146,-239.00430976,0.0529387087374,-14.3249990704,0.0,22.6072,17.9382,1.50030856013,8.96080619743,1.49993,-1.55924,0.733173,-31.6269633329,8.53634303603,-43.8719053853,32,-239.00430976,1.49993,-239.00430976
33,1.49257097231,0.00789411,-213.011321215,0.0528330658122,-101.942104695,0.0,23.0001,18.3459,1.49245672862,-34.6832614237,1.49231,-1.5479,0.753073,-391.275481592,156.787765428,-584.04153406,33,-213.011321215,1.49231,-213.011321215
34,1.48987814048,0.0067531,-169.464304321,0.0498903886452,-456.70543747,0.0,23.2663,18.7038,1.48979084249,-37.9411634664,1.48958,-1.54307,0.737645,-531.817221309,58.1324930571,-633.542336314,34,-169.464304321,1.48958,-169.464304321
35,1.4813672245,0.00586226,-167.630102709,0.0484515713641,-127.341046157,0.0,23.5529,19.0574,1.48132606482,-38.3547223199,1.48105,-1.53533,0.710168,-410.026307271,116.772380402,-548.151987754,35,-167.630102709,1.48105,-167.630102709
36,1.47260062085,0.00668729,-190.26422173,0.0499727821407,34.45840955,0.0,23.8673,19.4752,1.47250857993,-2.1955730166,1.47239,-1.52561,0.643496,-32.9639162005,35.4010309597,-87.3508598617,36,-190.26422173,1.47239,-190.26422173
