AverageReturn,Epoch,AverageAbsY,PolicyRegParamNorm,AverageQ,AveragePolicySurr,StdReturn,MaxEsReturn,QFunRegParamNorm,AverageAbsQYDiff,Iteration,StdEsReturn,AverageAbsQ,MinEsReturn,AverageQLoss,MinReturn,AverageY,AverageAction,AverageEsReturn,MaxReturn,AverageDiscountedReturn
-6.66037205478,9,0.404769590489,19.691,-0.179343,-1.09045,4.83786145334,-152.944031615,19.5144,0.430140359231,9,14.5898831493,0.23178,-200.478951314,0.313504,-14.9828551712,0.0590610330362,0.086832,-179.407845275,2.54806809551,-1.30480861412
-291.434592066,10,0.172891759625,21.6974,-0.120711,-0.0952622,26.5230271579,-145.451891435,19.6101,0.107533692412,10,0.0,0.166585,-145.451891435,0.0289748,-344.476664301,-0.121259474371,0.991885,-145.451891435,-242.932813299,-35.4715394685
-571.609895208,11,0.0880063938931,22.4328,-0.0632246,0.0211847,16.9064371615,-408.937725991,19.6773,0.0516032514751,11,0.0,0.0837398,-408.937725991,0.0044437,-611.015449919,-0.0627742563762,0.948502,-408.937725991,-560.12837569,-52.2988818692
-544.19579819,12,0.101428018408,24.3,-0.076902,0.0975868,1.14598995461,-394.15824379,19.8221,0.0398048136655,12,0.0,0.0969695,-394.15824379,0.00267819,-546.733696011,-0.0770633747736,0.905355,-394.15824379,-542.945782504,-55.7384166799
-586.633376689,13,0.123003380909,26.0256,-0.0977633,0.0536105,63.6495107795,-434.869058567,20.1109,0.0390658295079,13,0.0,0.118478,-434.869058567,0.00264959,-654.699115943,-0.0978350087884,0.889476,-434.869058567,-434.047348177,-42.0742627575
-545.133159857,14,0.115235337664,27.8417,-0.0753722,0.0256335,10.3601286196,-479.79127238,20.5512,0.0374840457837,14,0.0,0.110376,-479.79127238,0.00251686,-559.372088563,-0.0753597176804,0.786414,-479.79127238,-520.72012635,-47.2119145846
-310.501896256,15,0.121760335109,29.7254,-0.0670706,0.0306335,9.27486725604,-412.941053102,21.0926,0.0349965489397,15,0.0,0.117354,-412.941053102,0.00223808,-321.913904212,-0.0670348050208,0.590242,-412.941053102,-294.530604955,-23.373759672
-505.561749813,16,0.130866782907,31.8459,-0.0645769,0.0288911,53.866320953,-319.707302456,21.9097,0.0362982862986,16,0.0,0.126224,-319.707302456,0.00251746,-626.846989033,-0.0645436295667,0.551953,-319.707302456,-439.442718732,-23.545826323
-314.718462702,17,0.140166312022,34.1781,-0.0610846,0.0218667,57.1650442762,-303.01025782,22.9613,0.0367565771175,17,0.0,0.135292,-303.01025782,0.0026233,-463.217198463,-0.0609779178908,0.641872,-303.01025782,-261.763821536,-40.0555066437
-168.403301263,18,0.148909587682,36.1703,-0.0530132,0.0100007,15.2792029445,-372.780504135,24.032,0.0348116520791,18,0.0,0.144692,-372.780504135,0.00238197,-187.923828876,-0.0528872249061,0.29364,-372.780504135,-141.089267135,-8.44880003549
-170.891117296,19,0.160215709278,38.0397,-0.0387676,-0.00860967,89.4872317695,-347.787540086,25.2986,0.0347060034766,19,0.0,0.15617,-347.787540086,0.00241417,-426.588128698,-0.0385983402322,0.360373,-347.787540086,-89.6591559911,-11.0845430109
-101.232473848,20,0.170936179777,39.7636,-0.0194206,-0.0313853,18.9276450668,-313.884857875,26.6565,0.034836682066,20,0.0,0.167349,-313.884857875,0.00254679,-116.818126537,-0.0192397105133,0.226225,-313.884857875,-49.8124327675,0.460120790882
-117.151013595,21,0.184786463463,41.5608,0.00292888,-0.0573619,14.189649452,-213.572225422,28.0256,0.0343397293064,21,0.0,0.181855,-213.572225422,0.00245452,-137.73865984,0.00324419892332,0.25066,-213.572225422,-92.1184697203,-3.74084763069
-111.761508685,22,0.202916314807,43.2961,0.0316796,-0.085012,12.5246643513,-226.663253966,29.4183,0.0354233639819,22,0.0,0.20019,-226.663253966,0.00267604,-129.770790919,0.0319163253748,0.255092,-226.663253966,-87.1633197252,4.82718161336
16.8143155727,23,0.220484927234,44.887,0.0530733,-0.102717,24.0295096321,-174.716401497,30.8442,0.0352862470112,23,0.0,0.218398,-174.716401497,0.00266781,0.907673192332,0.053291051989,0.058353,-174.716401497,84.1965815912,16.5163362779
36.5285164574,24,0.234784586251,46.3846,0.0788455,-0.13451,55.9593914638,-153.79947961,32.1888,0.0352807245932,24,0.0,0.23244,-153.79947961,0.00266093,-4.13560937491,0.0791531068883,0.0819779,-153.79947961,188.56897783,16.7197135294
202.276716914,25,0.248901059923,47.8086,0.10339,-0.159734,19.8365497348,-89.0678367909,33.4886,0.0359194102903,25,0.0,0.246359,-89.0678367909,0.00284261,169.695977057,0.10362462084,0.596684,-89.0678367909,236.638661362,18.2437343624
73.6045778908,26,0.261836800701,49.3238,0.134224,-0.194341,21.2165741356,-66.345426827,34.9188,0.0375897994527,26,0.0,0.259005,-66.345426827,0.00305281,28.1759115832,0.134474634016,0.501945,-66.345426827,94.6885606547,16.3727622505
136.135690956,27,0.275453686141,50.6246,0.167108,-0.227982,47.0794280125,-1.09201974134,36.2263,0.0384197482918,27,0.0,0.272466,-1.09201974134,0.00322624,68.535399591,0.167445552206,0.688753,-1.09201974134,232.117287118,26.2753772293
50.9596759718,28,0.297111998326,51.8431,0.211574,-0.27174,76.5116099828,14.0504291417,37.4264,0.0408295638195,28,0.0,0.293504,14.0504291417,0.00372977,-69.0865344533,0.211883615051,0.792529,14.0504291417,241.423333016,13.2457011974
-92.9763615507,29,0.31711143421,53.2068,0.25218,-0.315516,54.5729226687,59.9685441661,38.594,0.042608685272,29,0.0,0.313085,59.9685441661,0.00400844,-204.909355915,0.252529961051,0.833561,59.9685441661,15.0518653896,4.37944026214
-121.753953892,30,0.336808876791,54.3239,0.291218,-0.352373,39.1766338047,130.648335427,39.6715,0.04439438793,30,0.0,0.333385,130.648335427,0.00422268,-172.956421084,0.291495845211,0.810334,130.648335427,-70.0244984358,7.3920535541
90.7899758876,31,0.369068970164,55.3603,0.337214,-0.401854,53.2031183358,105.566620966,40.7705,0.0459193105184,31,0.0,0.36598,105.566620966,0.00444447,13.8866362246,0.337505614179,0.841526,105.566620966,166.009046444,19.6369373203
183.719025484,32,0.402976547031,56.3181,0.382281,-0.44848,22.8404843419,177.784650339,41.6964,0.045787734096,32,0.0,0.40062,177.784650339,0.00438824,143.64228843,0.382624729618,0.84739,177.784650339,223.973317232,21.9910059795
225.659284031,33,0.444794221641,57.2812,0.432326,-0.50158,18.5199983134,140.497361468,42.6805,0.0478133888677,33,0.0,0.443039,140.497361468,0.00480713,201.489817662,0.432625102082,0.810702,140.497361468,260.431724229,31.4268848101
197.937657403,34,0.496920944564,58.4191,0.488768,-0.559999,55.6467155783,237.156051915,43.6136,0.0476761900917,34,0.0,0.495284,237.156051915,0.00466116,105.684100507,0.489239587339,0.82096,237.156051915,310.002254306,26.825141851
362.279974002,35,0.543321593053,59.3859,0.538235,-0.610633,39.98790328,263.927477555,44.5298,0.0483509336712,35,0.0,0.542174,263.927477555,0.00483732,298.767427706,0.53859912174,0.806163,263.927477555,422.013426655,44.6624271705
519.674655367,36,0.599191907483,60.3227,0.596161,-0.666475,45.765910756,257.185538028,45.5159,0.0498264377523,36,0.0,0.598283,257.185538028,0.00521274,464.649293092,0.596530116507,0.832052,257.185538028,622.097466134,44.8612521723
462.968562283,37,0.658035899144,61.2076,0.656181,-0.725693,22.8744775333,302.804258345,46.3972,0.0504005912207,37,0.0,0.65713,302.804258345,0.00537816,414.166970451,0.656774233352,0.78406,302.804258345,506.774425873,48.3964938224
487.898208811,38,0.7073610108,62.1079,0.706305,-0.772473,37.8637810733,322.868329922,47.144,0.0493008679316,38,0.0,0.706868,322.868329922,0.00512491,404.208847796,0.70662585961,0.80593,322.868329922,544.681313397,30.1255517113
284.94576044,39,0.75776008709,63.02,0.756814,-0.822534,418.121997966,376.745114479,47.9842,0.0496294409536,39,0.0,0.757114,376.745114479,0.00520688,-556.025348258,0.757325456144,0.838538,376.745114479,523.955211594,25.7115366283
583.864522018,40,0.809619692485,63.8227,0.808886,-0.873489,39.0060376083,279.54374494,48.7149,0.0513033490444,40,0.0,0.809059,279.54374494,0.00556749,504.482394294,0.809339028422,0.743183,279.54374494,627.505812185,42.7038850259
-590.376307755,41,0.86897973306,64.5632,0.868172,-0.934773,2.82780945125,309.013225389,49.5337,0.054377394876,41,0.0,0.868261,309.013225389,0.00655185,-594.264808703,0.868813778382,0.978551,309.013225389,-585.225230516,-60.8822729353
-545.892922989,42,0.94143833548,65.2717,0.940895,-1.00595,11.3024710266,239.500080531,50.2269,0.0525792123037,42,0.0,0.940905,239.500080531,0.00590342,-557.45466182,0.941362126456,0.920853,239.500080531,-521.625950451,-49.549185903
322.311640094,43,1.03683527133,66.13,1.0362,-1.10743,38.2824765107,-195.921593296,51.0548,0.0560421638619,43,0.0,1.03622,-195.921593296,0.00707521,241.259986468,1.03674995115,0.796797,-195.921593296,395.402098887,25.2380533313
357.360552827,44,1.09241806955,66.8153,1.09179,-1.16217,41.0695774105,155.893817438,51.6594,0.0555088385807,44,0.0,1.09179,155.893817438,0.00698144,310.089156833,1.09237875078,0.811075,155.893817438,433.944701102,15.7071693156
14.2776712365,45,1.14594608491,67.4939,1.14531,-1.21635,77.8473927808,285.927720434,52.3755,0.057826773293,45,0.0,1.14531,285.927720434,0.00792312,-118.708511674,1.14587527186,0.910493,285.927720434,97.0837304983,-23.6010982209
289.701914512,46,1.19786062554,68.1943,1.19726,-1.2663,289.305479319,276.682372275,53.0361,0.0573639323116,46,0.0,1.19726,276.682372275,0.00737324,-571.9556457,1.19779711013,0.864316,276.682372275,427.698746403,13.0713818623
381.597934051,47,1.27582993609,68.9945,1.27505,-1.34583,90.3778740102,342.592317965,53.7998,0.0594965185493,47,0.0,1.27505,342.592317965,0.00857251,243.598098597,1.27572170959,0.885649,342.592317965,530.887879398,36.1960585776
413.263652953,48,1.35356425798,69.7406,1.35276,-1.42181,101.970128905,215.791015284,54.4439,0.060086668815,48,0.0,1.35276,215.791015284,0.00902196,297.335965717,1.35349978309,0.89497,215.791015284,642.95097074,48.7754574729
432.484030518,49,1.41393005775,70.5295,1.41313,-1.48186,85.6184975663,268.486442182,55.0107,0.0598422801316,49,0.0,1.41313,268.486442182,0.00843148,323.82444472,1.4138707482,0.884573,268.486442182,596.882612491,34.6568729514
482.676218982,50,1.4635922163,71.2906,1.4628,-1.53232,55.2404162973,343.128465866,55.6702,0.0612241205017,50,0.0,1.46284,343.128465866,0.00847693,386.786343497,1.46353396534,0.849551,343.128465866,564.045835229,41.5847677411
880.965701223,51,1.52364641503,71.9523,1.52309,-1.59149,57.9214203309,393.387096436,56.3468,0.0626344103107,51,0.0,1.52309,393.387096436,0.00956891,773.629756765,1.52357296138,0.940966,393.387096436,964.537257059,77.4615463934
971.036857317,52,1.58693095472,72.6874,1.58614,-1.65291,415.413184171,334.918425324,56.9817,0.0637201642726,52,0.0,1.58614,334.918425324,0.0108159,300.583761435,1.58685646869,0.915177,334.918425324,1374.78261764,89.8354971587
