AverageDiscountedReturn,AverageAbsQYDiff,AverageY,MaxReturn,AverageQ,AverageEsReturn,AverageAbsY,MaxEsReturn,AveragePolicySurr,MinEsReturn,AverageAction,AverageAbsQ,StdEsReturn,AverageReturn,AverageQLoss,PolicyRegParamNorm,QFunRegParamNorm,StdReturn,Epoch,Iteration,MinReturn
-1.25563747061,0.439393348357,0.0137643653722,-4.20586320152,-0.217871,-191.714597237,0.379737192547,-160.062977758,-1.09731,-214.485606863,0.0902117,0.287019,16.7115854877,-10.628698017,0.393855,19.6913,19.5132,5.5016404918,9,9,-20.5870973171
-28.4603751958,0.106308593197,-0.0920575815169,-238.044134238,-0.0920023,-173.207056978,0.151211209464,-173.207056978,-0.141028,-173.207056978,0.992316,0.144483,0.0,-291.084716627,0.0292954,21.1819,19.6128,38.1930491173,10,10,-393.492044898
-53.2958535194,0.0471969065194,-0.0161502909996,-591.206986281,-0.0167107,-319.951734739,0.0622079688531,-319.951734739,-0.0206953,-319.951734739,0.998668,0.0584198,0.0,-592.264750541,0.00370252,21.7687,19.6569,0.801306579093,11,11,-593.5512215
-48.519929062,0.0399992094221,-0.0374013938262,-422.161978568,-0.0372982,-390.698131428,0.0744421441147,-390.698131428,0.0373367,-390.698131428,0.970768,0.0701313,0.0,-498.538805032,0.00269054,23.2017,19.7915,61.5661605212,12,12,-606.202881778
-41.216288504,0.0380444586258,-0.046704935316,-388.093045809,-0.0467226,-373.921006158,0.0857450928344,-373.921006158,-0.00143213,-373.921006158,0.927168,0.0803652,0.0,-447.783941647,0.0025823,25.3933,20.0835,29.6403335793,13,13,-494.308463783
-68.8632628569,0.0346069815476,-0.0328536280916,-716.191602427,-0.032918,-299.636762159,0.0923704914842,-299.636762159,-0.00799671,-299.636762159,0.83214,0.0875077,0.0,-751.735952723,0.00217802,28.178,20.4693,19.1586392121,14,14,-780.345614072
-20.4761393236,0.0339171589645,-0.0228917325145,-299.555749344,-0.0229772,-336.009574375,0.103435860595,-336.009574375,-0.011435,-336.009574375,0.694607,0.0980956,0.0,-410.449089701,0.00215933,30.4167,21.0263,71.3241526595,15,15,-513.317669529
-35.8082079211,0.0345321099067,-0.0243567811512,-448.448017888,-0.0243287,-321.241549206,0.117873890005,-321.241549206,-0.00910986,-321.241549206,0.71918,0.112832,0.0,-496.016389282,0.00232113,32.1228,21.7505,34.2888247975,16,16,-567.221998322
-8.30941060091,0.0335973338554,-0.0256506738745,-98.8347889251,-0.0257325,-391.719070446,0.126764531417,-391.719070446,-0.00723041,-391.719070446,0.418428,0.122219,0.0,-169.325473978,0.00219375,33.9915,22.6048,45.9063657059,17,17,-230.084636213
-41.1983064441,0.0325604074489,-0.0187718236257,-112.171620345,-0.018846,-275.207275825,0.132578302263,-275.207275825,-0.0158942,-275.207275825,0.25864,0.128427,0.0,-185.968563032,0.00213401,35.6297,23.6213,73.7336119581,18,18,-310.389531229
