Iteration,MinEsReturn,AverageAbsQYDiff,AverageDiscountedReturn,AverageQ,StdEsReturn,MaxEsReturn,AverageEsReturn,MinReturn,AverageAbsQ,Epoch,AverageQLoss,MaxReturn,AverageY,AverageAbsY,AverageAction,AverageReturn,StdReturn,PolicyRegParamNorm,AveragePolicySurr,QFunRegParamNorm
9,-300.913586711,1.60232775732,-5.58668708711,-0.393507,20.1685134687,-237.603985591,-265.248037527,-129.917591154,0.97018,9,3.98863,-64.7797328145,0.535984271608,0.825392682325,0.32283,-98.1889966415,18.4364156218,11.8209,0.0921862,11.4909
10,-315.452781975,0.214429101973,-54.282144998,0.22687,0.0,-315.452781975,-315.452781975,-546.825537719,0.272307,10,0.110758,-542.612045054,0.227635811539,0.307641538451,0.907815,-544.121350765,1.26941926734,12.6907,-0.596732,11.4916
11,-404.243439872,0.0915080220225,-58.8231985636,0.31484,0.0,-404.243439872,-404.243439872,-581.214472999,0.317286,11,0.0138997,-576.668988966,0.316151917175,0.319262784015,0.963878,-579.22530604,1.26004593064,12.842,-0.640613,11.4495
12,-392.401735968,0.0708422684578,-36.975192947,0.378755,0.0,-392.401735968,-392.401735968,-386.512760428,0.378994,12,0.00835398,-362.296795729,0.379518905038,0.379959419077,0.999068,-372.65680055,5.97037910465,13.7608,-0.51614,11.4157
13,-291.34349981,0.0642446657299,-52.5837763468,0.400221,0.0,-291.34349981,-291.34349981,-592.725941876,0.400338,13,0.00687331,-583.385662753,0.401088737614,0.401562349889,0.993858,-589.076435422,3.01456319184,14.4017,-0.501506,11.4413
14,-417.213571055,0.0595130300641,12.3034352514,0.424141,0.0,-417.213571055,-417.213571055,62.3248025323,0.424204,14,0.00598968,157.826004467,0.424728827904,0.42513088153,0.971464,113.481645377,28.5226745136,15.4673,-0.481786,11.5478
15,-376.765483273,0.0563748691301,-2.5564876378,0.442196,0.0,-376.765483273,-376.765483273,-0.0568203695804,0.442267,15,0.00554264,373.55786538,0.442814138961,0.443168053274,0.979512,139.815885863,95.2159477699,16.7348,-0.505662,11.7096
16,-334.645359873,0.0570019750904,15.9231862246,0.465043,0.0,-334.645359873,-334.645359873,-648.891154369,0.465206,16,0.00602271,280.095992639,0.465639404011,0.466105324978,0.970752,-111.235678155,378.568227136,17.6951,-0.516687,11.954
17,180.402133595,0.055899105458,37.3863461263,0.489872,0.0,180.402133595,180.402133595,-223.806053919,0.49006,17,0.00605256,520.114265902,0.490263653467,0.490768923241,0.959365,76.7710821288,286.999117226,18.2696,-0.536839,12.3397
18,92.0547883337,0.0565391287706,35.984606896,0.50847,0.0,92.0547883337,92.0547883337,-613.141551896,0.508812,18,0.00628488,297.490180788,0.50867979899,0.509405520012,0.948923,84.9785825028,240.746791599,18.7069,-0.565806,12.8736
19,-301.291831009,0.0529292295134,9.46101598861,0.525632,0.0,-301.291831009,-301.291831009,-483.72934895,0.525944,19,0.00560959,-388.090178046,0.525654046433,0.52644087549,0.893995,-447.205578428,34.0690724824,19.2125,-0.58253,13.4163
