MaxEsReturn,AverageDiscountedReturn,AverageAbsQ,AverageAbsQYDiff,AverageReturn,Iteration,AverageY,QFunRegParamNorm,AverageAction,PolicyRegParamNorm,MinEsReturn,AverageAbsY,AverageQ,AveragePolicySurr,Epoch,MinReturn,MaxReturn,AverageEsReturn,StdEsReturn,AverageQLoss,StdReturn
-252.148639397,-0.586046411941,0.875664,2.82363668948,-0.928490760778,9,2.39245867867,11.4922,0.000817949,11.7098,-321.145078291,2.39245867867,-0.398601,-0.143007,9,-3.23629735316,0.883241678486,-293.00503907,23.3627833494,12.784,1.23128570144
-252.171232046,-56.2586084851,1.02077,0.407063837796,-549.950694324,10,0.968863469434,12.0844,0.914567,12.652,-252.171232046,1.05606762674,0.957542,-1.92416,10,-550.702081837,-548.739638328,-252.171232046,0.0,0.34446,0.618715519161
-320.871379683,-20.130908467,1.10254,0.263268008098,-408.222525722,11,1.04094308526,12.8887,0.90165,14.375,-320.871379683,1.13619755633,1.03747,-1.8144,11,-534.175611336,-180.620274335,-320.871379683,0.0,0.122252,95.9659879545
-397.156339037,-27.2701634089,1.3062,0.265241951662,-506.012292478,12,1.21834407231,13.643,0.928063,15.4488,-397.156339037,1.33186491298,1.21787,-2.01924,12,-559.238334019,-459.240516614,-397.156339037,0.0,0.123255,25.9805409186
-339.922733995,-12.875569561,1.50582,0.28185172628,-153.048542331,13,1.44286522908,14.3486,0.761971,15.9187,-339.922733995,1.53049409777,1.44078,-2.0626,13,-179.93935149,-120.960704806,-339.922733995,0.0,0.141323,19.1399310416
-343.919726375,-10.8240838735,1.61161,0.294094321131,-238.433941757,14,1.51958948339,15.1441,0.467172,16.2536,-343.919726375,1.64073994368,1.51827,-1.97156,14,-332.955146299,-203.274291586,-343.919726375,0.0,0.155348,38.0653286973
-288.625892691,-15.4691117704,1.66928,0.30830787201,-242.355437293,15,1.53361314893,16.0008,0.411156,16.5276,-288.625892691,1.70348473875,1.53267,-1.94571,15,-302.802590283,-210.726883287,-288.625892691,0.0,0.172588,26.097535497
-266.072999373,-15.3493801835,1.7534,0.321416591917,-157.260911825,16,1.5930317908,16.8489,0.400032,16.8632,-266.072999373,1.78802342,1.59221,-2.01634,16,-262.894747855,-103.731873959,-266.072999373,0.0,0.18641,47.1161502997
-262.809778029,-21.0802077821,1.85056,0.33680981087,-237.375517734,17,1.68415811638,17.6596,0.320048,17.3008,-262.809778029,1.88382159602,1.68346,-2.11155,17,-437.784406963,-168.673832366,-262.809778029,0.0,0.20981,82.3420064964
-259.443444509,3.3462244599,1.95715,0.341139465929,-19.7207590002,18,1.7930455781,18.4736,0.316752,17.8157,-259.443444509,1.99071366162,1.79186,-2.25217,18,-118.653160554,90.75853087,-259.443444509,0.0,0.221994,71.8285293107
-201.757077887,10.1262763286,2.08782,0.357412230842,-12.2432153792,19,1.93333306397,19.2525,0.0981854,18.3005,-201.757077887,2.12089001901,1.93134,-2.40253,19,-20.6032202887,0.964437283489,-201.757077887,0.0,0.250361,6.76929396223
-176.9636548,9.58321938271,2.21704,0.364205852069,-24.8646284755,20,2.07814036101,19.9835,0.0836993,18.7939,-176.9636548,2.24826883444,2.07623,-2.56052,20,-38.5775061091,-10.7633108007,-176.9636548,0.0,0.263534,9.51572917457
-157.646383952,8.93923229608,2.35867,0.372623797115,-42.3771778426,21,2.23844790195,20.6598,0.121643,19.3304,-157.646383952,2.38608713293,2.23666,-2.74675,21,-61.178157006,-22.1029970156,-157.646383952,0.0,0.282903,10.3695852193
