MaxEsReturn,AveragePolicySurr,PolicyRegParamNorm,AverageAction,AverageAbsY,AverageEsReturn,AverageQ,AverageAbsQYDiff,StdReturn,StdEsReturn,MinEsReturn,AverageAbsQ,Iteration,MinReturn,QFunRegParamNorm,AverageY,MaxReturn,Epoch,AverageQLoss,AverageDiscountedReturn,AverageReturn
-106.44962176,-1.02515,11.7798,0.197082,1.86116981819,-194.462895963,0.611322,1.52687696134,11.6918284409,51.8295446421,-271.815060482,0.720196,9,86.758774755,11.5833,1.84973584221,123.174638381,9,3.77386,7.86004121349,105.568548916
-277.457802356,-1.81123,12.4255,0.981361,0.820672911169,-277.457802356,0.69813,0.361627851154,0.465432334802,0.0,-277.457802356,0.775438,10,-586.878067818,12.2323,0.708648799717,-585.471740895,10,0.265325,-56.4554253514,-586.335437363
-410.719465809,-1.86906,14.0658,0.983826,0.936389296562,-410.719465809,0.785769,0.234222101449,1.51817428983,0.0,-410.719465809,0.908365,11,-591.228878825,12.917,0.787549166823,-586.678777735,11,0.0959893,-51.6862354793,-588.974099539
-403.245514561,-2.36424,14.7574,0.810865,1.41298508952,-403.245514561,1.23619,0.248500309549,308.48680202,0.0,-403.245514561,1.38923,12,-640.87088672,13.7093,1.23819937218,172.049128617,12,0.109271,2.30417419043,-167.437099418
-383.563618513,-2.84011,15.5155,0.705748,1.9532221877,-383.563618513,1.77272,0.282047851435,15.2522291054,0.0,-383.563618513,1.92692,13,-384.567118263,14.5377,1.77483042019,-340.171744051,13,0.144113,-0.651935663208,-364.824696792
-362.866472999,-3.0835,16.2417,0.730723,2.38466307601,-362.866472999,2.26256,0.284880558348,133.092535468,0.0,-362.866472999,2.36481,14,-560.225000393,15.2042,2.26505667503,-198.700435727,14,0.147102,-34.8240697027,-330.63583906
-300.020759266,-3.19728,16.7573,0.811321,2.6973163051,-300.020759266,2.55507,0.30556016356,164.085027357,0.0,-300.020759266,2.67741,15,-806.793727809,15.943,2.55676690539,-280.990679395,15,0.177505,-29.4414400769,-525.403609176
-284.340619947,-3.27029,17.2334,0.521285,2.87730561107,-284.340619947,2.69673,0.333131587567,28.3206947925,0.0,-284.340619947,2.85131,16,-202.930811681,16.699,2.69873962721,-98.8522541871,16,0.212167,-7.87365925279,-148.249783432
-362.647997732,-3.40006,17.8551,0.556612,3.0555755574,-362.647997732,2.84876,0.352006424903,49.1434146639,0.0,-362.647997732,3.02587,17,-488.409871846,17.4457,2.85067640896,-291.65666998,17,0.233693,-27.3181815241,-355.718233636
-231.997076158,-3.59234,18.6747,0.51167,3.20818597809,-231.997076158,2.99773,0.368715265989,103.451629206,0.0,-231.997076158,3.17833,18,-357.661144043,18.2321,2.99995008481,-33.3891003374,18,0.247301,-13.0323835647,-122.876282787
