PolicyRegParamNorm,AverageReturn,QFunRegParamNorm,AverageAbsQYDiff,AverageAction,MinReturn,AverageAbsQ,AverageEsReturn,AverageY,AveragePolicySurr,MinEsReturn,StdReturn,MaxEsReturn,AverageDiscountedReturn,MaxReturn,Epoch,Iteration,AverageQ,AverageQLoss,AverageAbsY,StdEsReturn
11.7799,107.600789451,11.5824,1.13010337209,0.212336,78.704119791,0.757813,-175.131760071,1.44570622949,-1.02314,-265.819577595,21.2282258797,-124.242089779,8.43641148448,156.9332961,9,9,0.693719,2.06714,1.46477867427,41.9938636918
12.3529,-584.873394933,12.1885,0.352203642442,0.978648,-585.943975021,0.771503,-263.607684188,0.707775855002,-1.82875,-263.607684188,0.787923352458,-263.607684188,-56.485991654,-583.160314164,10,10,0.696953,0.252826,0.815850894258,0.0
13.5874,-547.990050879,12.8552,0.223462764617,0.938658,-549.687603736,0.884637,-390.114696451,0.779487086294,-1.77229,-390.114696451,0.961161120156,-390.114696451,-47.0095277217,-546.513558414,11,11,0.777698,0.0884703,0.910278981869,0.0
14.7627,-568.952958847,13.6692,0.240631191296,0.945973,-572.211852182,1.34785,-417.384925436,1.21355051698,-2.19786,-417.384925436,1.81025394692,-417.384925436,-50.5104529142,-566.773168888,12,12,1.2123,0.103694,1.36984212215,0.0
15.3947,-459.972773469,14.4911,0.271258788004,0.686347,-482.563307473,1.88545,-401.811263977,1.71359506307,-2.676,-401.811263977,14.0700028806,-401.811263977,-41.9753301935,-436.901518405,13,13,1.7121,0.132174,1.90762432037,0.0
16.1552,-350.028083369,15.3119,0.305415201594,0.639751,-370.715418836,2.30837,-373.66411812,2.10506608236,-2.92047,-373.66411812,12.3803765792,-373.66411812,-29.5874681393,-335.437592993,14,14,2.10351,0.1657,2.33245426244,0.0
16.9603,-246.505757198,16.1238,0.325014758328,0.553789,-263.898622643,2.60987,-314.658456436,2.38114982847,-3.04371,-314.658456436,11.7868409665,-314.658456436,-19.5760478541,-225.823934377,15,15,2.38017,0.190686,2.63725238947,0.0
17.6495,-342.2104089,16.9645,0.351959526789,0.603207,-391.449284245,2.81924,-257.921286436,2.50554236382,-3.10278,-257.921286436,24.6843057361,-257.921286436,-29.6746076795,-293.567316358,16,16,2.50477,0.223073,2.85130997584,0.0
18.2126,-395.057531702,17.8988,0.394669318832,0.676505,-412.769850309,3.01797,-279.368661504,2.68236222515,-3.38981,-279.368661504,17.905753029,-279.368661504,-35.0370269946,-345.756081871,17,17,2.68028,0.283052,3.06113706962,0.0
18.6083,-305.882314265,18.6875,0.413124998659,0.589094,-352.919002382,3.18286,-341.368768589,2.93462362438,-3.63505,-341.368768589,27.647943456,-341.368768589,-8.47673134833,-261.265559799,18,18,2.93205,0.307062,3.22058794304,0.0
19.1905,-230.970064236,19.3973,0.418870493655,0.559153,-294.838421289,3.4003,-333.483910745,3.23956052286,-4.01536,-333.483910745,46.8658833325,-333.483910745,5.75769491617,-119.884363887,19,19,3.2368,0.329557,3.43061207251,0.0
19.7639,150.528283551,20.1734,0.43567314987,0.611192,92.1549658983,3.78317,-166.77946711,3.68895741776,-4.54038,-166.77946711,37.9237197522,-166.77946711,20.0238323715,202.899059543,20,20,3.68552,0.365268,3.80907561042,0.0
20.3763,62.8272360379,20.9046,0.456387009141,0.563823,29.1697713269,4.2493,-160.738212988,4.17560212105,-5.04557,-160.738212988,18.1689725651,-160.738212988,9.46122399631,84.3395565722,21,21,4.17119,0.402172,4.27245763149,0.0
21.0334,-21.009550882,21.5824,0.473300078139,0.654132,-87.8900219262,4.72423,102.087564184,4.66304680589,-5.58058,102.087564184,41.3987770546,102.087564184,15.8382085882,31.8996102386,22,22,4.6576,0.43423,4.74495887977,0.0
21.6377,247.492302939,22.263,0.494638112448,0.74262,93.52812446,5.22022,47.9384412754,5.17020129102,-6.11737,47.9384412754,83.6693600451,47.9384412754,21.6230034537,341.601892138,23,23,5.16535,0.469039,5.24068797166,0.0
22.1605,227.252159214,22.9074,0.511039879269,0.781927,53.0136222396,5.75749,-20.7545143782,5.72157489513,-6.66072,-20.7545143782,101.231559721,-20.7545143782,20.5232757593,347.56965597,24,24,5.71719,0.501817,5.77454142237,0.0
22.6147,164.968801516,23.4673,0.529448769129,0.759049,109.177421119,6.267,95.5218573481,6.24612839602,-7.14086,95.5218573481,34.5898942257,95.5218573481,18.5058562516,213.905737254,25,25,6.24057,0.546006,6.2844367981,0.0
22.9231,460.063094323,23.975,0.540689921757,0.801198,367.036270391,6.76903,205.512444971,6.75242849532,-7.60299,205.512444971,71.1315285678,205.512444971,54.8560634767,596.111924212,26,26,6.74822,0.569552,6.78359206636,0.0
23.19,662.946157054,24.458,0.548363685999,0.826436,556.134439724,7.23953,230.373621529,7.23129294305,-8.06375,230.373621529,65.5828154009,230.373621529,68.1690370178,769.463853723,27,27,7.22605,0.579495,7.25227712702,0.0
23.6169,522.80955727,24.9834,0.568403339172,0.844686,461.04026902,7.86775,366.119436945,7.86516819873,-8.72551,366.119436945,46.5990206684,366.119436945,69.7695919791,597.149335103,28,28,7.86037,0.636637,7.87976990109,0.0
