MaxReturn,PolicyRegParamNorm,AverageY,AverageAbsQYDiff,MinEsReturn,AverageQ,MaxEsReturn,Iteration,StdReturn,AverageAbsY,AverageQLoss,StdEsReturn,AverageAbsQ,AverageAction,MinReturn,QFunRegParamNorm,AverageEsReturn,AverageReturn,AverageDiscountedReturn,AveragePolicySurr,Epoch
143.622720754,11.7798,1.76987662402,1.41494073344,-276.006120058,0.668725,-99.9297501856,9,16.610918827,1.80083889159,3.06052,55.1431717781,0.73534,0.213431,78.6412928544,11.5832,-204.166463803,108.030387739,6.80296035737,-1.05466,9
-541.85634623,12.3533,0.716064444466,0.369501810976,-243.334573093,0.706337,-243.334573093,10,0.451361643471,0.821881928571,0.270322,0.0,0.77445,0.908917,-543.126434619,12.2623,-243.334573093,-542.542764347,-51.9836601122,-1.75076,10
-525.701181978,13.4583,0.736546505217,0.23159306149,-400.536213082,0.735577,-400.536213082,11,2.79659811216,0.884627668184,0.0934451,0.0,0.856975,0.938466,-534.483156502,12.9808,-400.536213082,-531.81774973,-52.0648051722,-1.69703,11
-336.74584746,14.801,1.02991854386,0.249977468244,-379.956613226,1.02846,-379.956613226,12,70.5827139157,1.28195561658,0.109633,0.0,1.2568,0.929612,-529.343268782,13.7398,-379.956613226,-426.933872715,-22.1302579746,-2.03239,12
-244.416644001,15.6921,1.45340882124,0.273833482983,-380.698709272,1.45197,-380.698709272,13,35.8475391092,1.72784843964,0.135183,0.0,1.70203,0.817411,-366.143548429,14.5417,-380.698709272,-296.851136817,-17.086271785,-2.25912,13
125.99003595,16.5567,1.78772884465,0.306310806218,-285.321072061,1.7857,-285.321072061,14,162.168250055,2.13733922797,0.171618,0.0,2.11133,0.69963,-389.953904013,15.389,-285.321072061,-198.292048129,-1.83438556328,-2.63365,14
-127.714709435,17.3615,2.14710899669,0.337971123735,-288.534464908,2.14506,-288.534464908,15,56.5491412144,2.4612711388,0.21408,0.0,2.43182,0.598681,-327.219931308,16.2215,-288.534464908,-249.81079433,-13.8631560218,-2.83536,15
230.475299724,18.0119,2.32590803816,0.350347527461,-247.353754466,2.32365,-247.353754466,16,186.692592052,2.66927706849,0.228021,0.0,2.63971,0.717302,-325.481230001,17.0408,-247.353754466,-90.142691461,29.0634019722,-2.95634,16
366.566293361,18.6772,2.55649026802,0.352887374106,-324.646776319,2.55405,-324.646776319,17,167.640425051,2.84675372535,0.235348,0.0,2.81767,0.637129,-228.214217805,17.8346,-324.646776319,-72.291964139,8.5515657768,-3.19302,17
513.616931519,19.25,2.80401382007,0.362171164784,-286.67292421,2.80157,-286.67292421,18,57.4553692316,3.05151333528,0.250016,0.0,3.02469,0.720588,358.421130898,18.626,-286.67292421,430.723969773,33.6443445037,-3.40234,18
676.707418493,19.8378,3.06677325063,0.392431961081,-83.9903703129,3.06399,-83.9903703129,19,88.9041112523,3.29560214229,0.301244,0.0,3.26861,0.779983,367.021230623,19.3854,-83.9903703129,552.259085014,24.0624337861,-3.70948,19
436.576513782,20.5505,3.45710480192,0.430350951396,142.575939393,3.45466,142.575939393,20,85.8387965218,3.65268643574,0.36855,0.0,3.62684,0.789705,171.22562857,20.1425,142.575939393,313.360434156,28.1814179537,-4.17735,20
447.78538822,21.1861,3.93303498489,0.450865005321,119.415245319,3.9302,119.415245319,21,35.8571403068,4.0716975044,0.391049,0.0,4.04492,0.836002,334.727530856,20.8211,119.415245319,399.384658388,10.8834958306,-4.69489,21
576.482282494,21.731,4.51728034601,0.482133806922,336.957094167,4.51355,336.957094167,22,117.694246747,4.60185331036,0.447834,0.0,4.57916,0.837532,120.11596597,21.4596,336.957094167,406.965965452,37.2493827118,-5.33053,22
865.461360122,22.3074,5.13437432091,0.512064463621,401.819879285,5.13112,401.819879285,23,63.6882314966,5.18670782252,0.496872,0.0,5.16714,0.874812,666.616951799,22.0898,401.819879285,756.804411159,55.8859758404,-5.99945,23
706.059883938,22.8526,5.84311835103,0.543315035656,362.523186782,5.84026,362.523186782,24,87.2872623779,5.87835023952,0.566056,0.0,5.86456,0.859416,411.277329471,22.7267,362.523186782,545.303750052,54.4702578682,-6.72271,24
752.936180145,23.3601,6.6808320281,0.578782069264,335.977424473,6.67572,335.977424473,25,79.1939713895,6.70460334638,0.644648,0.0,6.69191,0.859135,449.984078727,23.3331,335.977424473,588.583107631,56.4090509884,-7.58086,25
920.204664272,23.7985,7.52631667983,0.601780573417,495.42172809,7.52164,495.42172809,26,194.010258936,7.54226112104,0.696831,0.0,7.53202,0.870926,353.865126873,23.9231,495.42172809,720.175558262,77.5766317628,-8.4504,26
1009.02362688,24.2177,8.30443850612,0.622328664129,505.026288302,8.29905,505.026288302,27,120.881175171,8.31639544572,0.744434,0.0,8.3067,0.85515,585.869821188,24.4982,505.026288302,846.705452929,84.8456199197,-9.23318,27
673.811951338,24.6455,9.17291553469,0.649902485121,376.839220822,9.16843,376.839220822,28,75.6792354946,9.18315127422,0.825929,0.0,9.17466,0.864676,408.59163612,25.0614,376.839220822,580.949123892,50.2595082652,-10.1141,28
1175.83818252,25.1175,10.0457678617,0.674016814121,425.795784377,10.0411,425.795784377,29,187.506184365,10.0520205796,0.872919,0.0,10.0448,0.888651,467.034843827,25.6069,425.795784377,691.193679526,61.7929310477,-11.0023,29
1563.20735358,25.5116,10.9476841748,0.697843182025,586.234300571,10.9416,586.234300571,30,319.787570304,10.9538868875,0.9726,0.0,10.9449,0.820403,750.024555999,26.176,586.234300571,1217.41132872,112.776465681,-11.922,30
1601.39270221,25.9359,11.8046453585,0.713547987052,499.903682436,11.7988,499.903682436,31,404.460274654,11.8102544195,1.01994,0.0,11.8017,0.868228,507.471472504,26.6851,499.903682436,978.349213839,135.232387755,-12.801,31
1888.47742,26.2658,12.7326117711,0.729892597486,472.951603841,12.726,472.951603841,32,229.014576174,12.7351221434,1.09623,0.0,12.7274,0.819884,1089.28095767,27.1839,472.951603841,1767.63625423,161.34583819,-13.7344,32
1503.46268299,26.6564,13.790901204,0.75593802591,485.302072931,13.7845,485.302072931,33,50.4550528597,13.794012973,1.16093,0.0,13.786,0.787464,1320.69423095,27.6023,485.302072931,1445.28038336,125.618945039,-14.812,33
1690.31623755,27.032,14.8049038098,0.764774954394,644.764856049,14.7989,644.764856049,34,325.809711656,14.8061940529,1.20153,0.0,14.7991,0.869925,654.140016464,28.054,644.764856049,1061.16143225,120.651064023,-15.8184,34
1730.61838307,27.4088,15.8018656818,0.792645344443,572.899431377,15.7954,572.899431377,35,292.414488592,15.8026208035,1.28593,0.0,15.7955,0.826204,691.541012171,28.5076,572.899431377,1510.46922137,134.472474827,-16.8387,35
1018.16288638,27.6493,16.6890043477,0.801502332246,443.143862186,16.6814,443.143862186,36,127.100975257,16.6906176908,1.31561,0.0,16.6819,0.880659,577.531177623,28.9115,443.143862186,790.066546955,122.221491374,-17.6803,36
1939.6712807,27.9581,17.6516326794,0.829739307484,542.275174515,17.6454,542.275174515,37,411.561675172,17.6525181703,1.45838,0.0,17.6455,0.868307,528.768207367,29.3545,542.275174515,1172.65678228,146.645500305,-18.6652,37
1907.42740364,28.3599,18.6996524706,0.848446324513,404.940103563,18.6936,404.940103563,38,481.150380543,18.7003520445,1.54189,0.0,18.6936,0.879568,613.730918609,29.7655,404.940103563,1216.77197371,124.897071061,-19.7384,38
2171.59215897,28.6851,19.9151194096,0.874557899695,905.95550141,19.9076,905.95550141,39,594.507001745,19.9157586348,1.67632,0.0,19.9076,0.86512,155.741739941,30.1868,905.95550141,1322.17255729,160.80005203,-20.953,39
1722.43755986,29.0204,20.8594571008,0.88870563923,825.733042877,20.853,825.733042877,40,318.427485616,20.8599544413,1.67448,0.0,20.853,0.875797,678.717521036,30.5712,825.733042877,1122.89576315,164.185789645,-21.9116,40
2101.91703899,29.336,21.9548034844,0.901797994822,602.957832387,21.9478,602.957832387,41,96.0681250693,21.9554510488,1.77537,0.0,21.9478,0.828768,1752.59333772,30.9594,602.957832387,2025.04449044,177.902390743,-23.0204,41
