AverageAbsQ,AverageAbsQYDiff,StdReturn,MinReturn,MinEsReturn,Iteration,QFunRegParamNorm,AveragePolicySurr,MaxEsReturn,StdEsReturn,PolicyRegParamNorm,AverageAbsY,AverageY,AverageAction,AverageQLoss,MaxReturn,AverageReturn,Epoch,AverageQ,AverageEsReturn,AverageDiscountedReturn
0.547589,1.43745339329,19.1355395276,75.2065779925,-274.753168044,9,11.4992,0.125707,-114.767812328,52.0787472966,11.7815,1.22807935594,-1.22807935594,0.263844,2.57017,142.840541636,114.217462211,9,0.202454,-188.703042064,8.86468739305
0.490797,0.192657989756,52.2541077169,-313.985086422,-236.195183669,10,11.4665,0.321927,-236.195183669,0.0,12.5574,0.498628226024,-0.498498149113,0.958989,0.083194,-173.473097342,-282.375963376,10,-0.490248,-236.195183669,-18.8562403104
0.193063,0.0784573504675,1.85032885415,-520.05111044,-271.53333569,11,11.4776,-0.0271694,-271.53333569,0.0,12.9798,0.196308557227,-0.19064441975,0.870535,0.0103403,-513.818055707,-517.15416319,11,-0.191235,-271.53333569,-47.9838953059
0.0958804,0.0530669827987,0.760508417668,-565.749006289,-386.863511674,12,11.4641,-0.0512173,-386.863511674,0.0,13.4239,0.10590230395,-0.0692439253717,0.944974,0.00462522,-563.427210988,-564.618643182,12,-0.0696141,-386.863511674,-54.1744468612
0.0958733,0.0478793287557,21.0036582688,-452.61463819,-464.207801183,13,11.5473,-0.0136728,-464.207801183,0.0,13.6523,0.106617089952,-0.0457400063949,0.809726,0.00391513,-388.640977673,-432.086377744,13,-0.045822,-464.207801183,-44.450827709
0.103731,0.045861300969,5.09874333522,-371.03173627,-411.082866928,14,11.6965,0.00378085,-411.082866928,0.0,13.9001,0.113332471699,-0.0438760474166,0.618415,0.00366835,-353.363992491,-362.293134861,14,-0.0438352,-411.082866928,-36.6638877466
0.112804,0.045993923446,3.61570647006,-357.037530442,-349.497595471,15,11.8992,-0.00153313,-349.497595471,0.0,14.4372,0.121782664194,-0.0486267740755,0.592965,0.00366472,-344.965141508,-348.461659468,15,-0.0485411,-349.497595471,-36.4996407974
0.120191,0.0455572615559,114.845602386,-1404.83406987,-381.855350344,16,12.143,-0.0194282,-381.855350344,0.0,14.8793,0.1279856251,-0.0339418879598,0.795418,0.00359754,-1053.72275752,-1195.53462185,16,-0.0338553,-381.855350344,-100.559521912
0.122419,0.04606252246,225.53533786,-505.429822502,-346.583940556,17,12.4657,-0.0275993,-346.583940556,0.0,15.2777,0.12985330818,-0.0144272915668,0.818412,0.00367677,179.458925082,-332.030398057,17,-0.0144609,-346.583940556,-15.9272698687
0.124533,0.0454421083983,417.068236911,-1047.91325832,-417.918305973,18,12.837,-0.0495185,-417.918305973,0.0,15.7536,0.132104402322,0.000168654862199,0.87038,0.00357541,-37.8340753025,-322.886536684,18,0.000264058,-417.918305973,-21.3968427048
