QFunRegParamNorm,AverageDiscountedReturn,AverageReturn,AverageEsReturn,AverageAbsY,MaxEsReturn,AverageAction,AverageQLoss,MinEsReturn,AverageQ,AverageAbsQYDiff,AveragePolicySurr,StdEsReturn,MaxReturn,MinReturn,Epoch,StdReturn,AverageAbsQ,AverageY,Iteration,PolicyRegParamNorm
11.5204,-0.0408500470516,-0.274098295824,-161.711642048,1.28898751625,-68.339870284,0.00183327,1.9551,-208.293463026,-0.124326,1.17040592354,0.404611,40.8009423122,4.11399274508,-2.30595794647,9,1.59461629379,0.3195,-1.28898751625,9,11.7799
11.5181,-50.4861841357,-553.906340511,-55.4324738407,0.490091613073,-55.4324738407,0.90467,0.0689148,-55.4324738407,-0.48121,0.177172587977,0.377263,0.0,-541.486727519,-576.220415842,10,11.9212585065,0.481311,-0.490088413696,10,12.7357
11.683,-57.7352283597,-583.454971403,-360.791521726,0.256073583105,-360.791521726,0.972898,0.0111195,-360.791521726,-0.256507,0.0805983587677,0.00920201,0.0,-581.692008805,-584.530214338,11,0.912107184794,0.257212,-0.255073946233,11,13.2494
11.7051,-57.9128863158,-586.141592054,-580.214145711,0.121899466485,-580.214145711,0.977593,0.00467193,-580.214145711,-0.0964744,0.0520532265557,-0.0193969,0.0,-584.790355073,-588.827202559,12,1.05081885417,0.115216,-0.0954039611926,12,13.6033
11.8176,-50.3800168823,-476.912358148,-432.511816009,0.125383896911,-432.511816009,0.789603,0.00439468,-432.511816009,-0.0811685,0.0503637398089,0.0346535,0.0,-474.33997629,-479.681114963,13,1.65518405869,0.115009,-0.0811619040368,13,13.8929
12.0126,-40.5969525989,-452.914416507,-363.793943379,0.129779758014,-363.793943379,0.76544,0.00371061,-363.793943379,-0.0924295,0.0458959384125,-0.00527295,0.0,-450.785408545,-454.568638021,14,1.13918051813,0.122025,-0.0920987759548,14,14.3889
12.2524,-41.8692184608,-471.950512405,-310.967262373,0.0985022896802,-310.967262373,0.797906,0.00271028,-310.967262373,-0.0197603,0.0392215700916,-0.0612889,0.0,-470.094229453,-473.61594354,15,0.96741620829,0.0910186,-0.0190592724827,15,14.8891
12.5227,-40.5970171272,-451.952116885,-367.534232564,0.102110325452,-367.534232564,0.762355,0.00247026,-367.534232564,0.0362653,0.0368737081399,-0.101263,0.0,-438.979138888,-463.642714611,16,10.2116374506,0.0963409,0.0366564337713,16,15.3557
12.7884,-45.1073298997,-510.000511262,-383.864592992,0.113580972166,-383.864592992,0.859609,0.00226509,-383.864592992,0.0599445,0.0349849846732,-0.105793,0.0,-506.095768505,-514.68560291,17,2.31874467349,0.10915,0.0600689125916,17,15.5377
13.102,-24.9644392977,-229.01831563,-404.430731348,0.124998415574,-404.430731348,0.385445,0.0023551,-404.430731348,0.056045,0.035763027826,-0.0933851,0.0,-112.746424033,-288.854772738,18,56.2105206548,0.120964,0.0560584572145,18,15.8044
13.4309,-11.7033215624,-301.921673442,-337.497380156,0.125066792424,-337.497380156,0.535357,0.0023218,-337.497380156,0.0509013,0.0349800723337,-0.0840869,0.0,-238.244394617,-331.960219795,19,31.9776980446,0.120588,0.0508610827049,19,15.934
13.7898,-8.40659485657,-150.273982977,-313.679237542,0.124203613906,-313.679237542,0.251249,0.00228362,-313.679237542,0.052093,0.0344113339785,-0.0888556,0.0,-141.370296108,-154.823718149,20,3.9482339229,0.11969,0.0520828658307,20,16.2171
14.168,-13.2944433131,-180.282987362,-353.342747477,0.123133441847,-353.342747477,0.319298,0.00220101,-353.342747477,0.0598935,0.0333908162427,-0.093562,0.0,-174.013258397,-189.059238434,21,4.59876898641,0.118831,0.0599203556922,21,16.6177
14.5378,-24.4822131939,-320.533386077,-344.709585695,0.129623696132,-344.709585695,0.540438,0.0021417,-344.709585695,0.0610679,0.0328703824836,-0.0932058,0.0,-275.489921865,-373.304498877,22,32.9670460212,0.125452,0.061166291621,22,17.3787
14.899,-1.85581305802,-194.844794795,-347.042714792,0.142704277176,-347.042714792,0.751549,0.00227191,-347.042714792,0.059394,0.0337554733126,-0.0954464,0.0,-171.872919147,-216.270562004,23,14.5002762949,0.139047,0.0594652521941,23,18.1273
15.3243,-24.2138377056,-258.346747411,-338.059286139,0.163075375106,-338.059286139,0.507465,0.00248293,-338.059286139,0.0663605,0.0351031002688,-0.103804,0.0,-236.507998749,-350.203524135,24,31.9799756168,0.159237,0.0664665724484,24,18.559
15.7474,-37.7782443635,-438.933479792,-178.93100208,0.184835475691,-178.93100208,0.652005,0.00250332,-178.93100208,0.0682294,0.0351059271477,-0.10853,0.0,-430.380361022,-445.543539236,25,3.8262628499,0.181286,0.0683287499321,25,18.8615
16.107,26.4690432376,273.84661036,-236.21954529,0.208610849697,-236.21954529,0.700201,0.00256451,-236.21954529,0.0739885,0.0353009358268,-0.114237,0.0,300.886589933,223.224674024,26,24.3711169444,0.205478,0.0741816851871,26,19.2957
16.5623,3.79706882019,-205.242998825,-251.533771868,0.230132560608,-251.533771868,0.452865,0.0027872,-251.533771868,0.0815754,0.0366596781627,-0.124139,0.0,-122.668072245,-243.961397297,27,36.3180072347,0.227038,0.0817283816488,27,19.6026
16.9472,23.2395206263,-74.9931773389,-195.144088176,0.254366642117,-195.144088176,0.383828,0.00294473,-195.144088176,0.0908231,0.0374170608323,-0.133174,0.0,14.0174834041,-133.921216001,28,57.5555320321,0.251507,0.0909292512165,28,20.0055
17.3471,0.797955296794,-182.40664734,-270.214542124,0.272043281694,-270.214542124,0.446238,0.00316169,-270.214542124,0.100313,0.0383258305013,-0.144707,0.0,-162.30541977,-191.766978858,29,8.33630916248,0.269581,0.100513573097,29,20.3647
17.713,10.1980884258,-77.1665265585,-239.041217588,0.283473215724,-239.041217588,0.352943,0.00325228,-239.041217588,0.110451,0.0388604403761,-0.158178,0.0,42.4828393392,-126.401812605,30,48.9898936848,0.281092,0.110580746977,30,20.7519
18.0612,21.6420770682,25.6464525571,-153.167381565,0.299776992016,-153.167381565,0.412511,0.0034425,-153.167381565,0.129932,0.0399438494353,-0.181519,0.0,207.468262124,-151.197713641,31,103.410700187,0.296755,0.13014932441,31,21.2357
18.3818,26.5835344835,204.673767419,-114.168825057,0.315094786814,-114.168825057,0.551057,0.00376873,-114.168825057,0.15596,0.0413264591653,-0.210119,0.0,311.103279485,-223.993397248,32,172.271027757,0.311952,0.156136619737,32,21.7158
18.7321,26.1880306033,371.265010252,-18.9538889549,0.322649653414,-18.9538889549,0.68597,0.00389048,-18.9538889549,0.177701,0.0423478340239,-0.233289,0.0,419.40736577,267.699370112,33,44.9620041171,0.319249,0.177974137211,33,22.181
19.0672,17.4011550123,105.570381365,1.27022306216,0.330232749442,1.27022306216,0.626599,0.00393743,1.27022306216,0.203624,0.0429489068887,-0.261756,0.0,161.232520897,63.6025365914,34,27.1710458464,0.326617,0.203805794659,34,22.6719
19.4206,-19.6782021667,-348.356335098,-6.49455734308,0.331795374993,-6.49455734308,0.739747,0.00403386,-6.49455734308,0.227231,0.0434245603544,-0.285893,0.0,-231.234909298,-423.833640532,35,46.4084443952,0.327889,0.227467780566,35,23.1342
19.7276,-1.4026389288,-232.198018121,-45.0179092364,0.3397601814,-45.0179092364,0.793726,0.00437649,-45.0179092364,0.258466,0.0454343599826,-0.317371,0.0,-134.69092023,-370.193513377,36,67.2093397622,0.335382,0.258664442223,36,23.5699
20.0007,6.4528065882,-89.8500035205,-100.764698696,0.351628082338,-100.764698696,0.703613,0.00439401,-100.764698696,0.29082,0.045637418811,-0.351674,0.0,-52.7995131342,-129.503891219,37,20.1928116566,0.346922,0.291182351867,37,23.929
20.3402,30.4324950177,258.664382362,-24.5557503929,0.364686439836,-24.5557503929,0.740985,0.00483779,-24.5557503929,0.32156,0.0472122432382,-0.383468,0.0,347.327340046,190.53615456,38,43.8951838348,0.360176,0.321796948425,38,24.2799
20.6028,38.7942789723,351.569769063,139.860284107,0.381757797717,139.860284107,0.774571,0.00445809,139.860284107,0.354512,0.0463288054941,-0.41571,0.0,400.481971782,316.603758671,39,24.5332571737,0.377504,0.354761952868,39,24.7347
20.8501,50.8032720131,597.338252697,191.934491525,0.413860236444,191.934491525,0.81883,0.00449428,191.934491525,0.397212,0.0467556067594,-0.460469,0.0,619.366570713,542.103482943,40,21.9417367962,0.410082,0.397542247045,40,25.0976
21.1289,65.3731273377,826.661358805,208.1233433,0.447250675393,208.1233433,0.859653,0.00483879,208.1233433,0.437063,0.048134438108,-0.503696,0.0,879.512689551,717.175405368,41,48.4751228656,0.444678,0.437313005819,41,25.4951
21.3774,45.616878681,362.822307392,323.107583341,0.489739224785,323.107583341,0.760193,0.00468105,323.107583341,0.483394,0.0480596633483,-0.553228,0.0,440.671439162,261.047367573,42,52.3710222408,0.487784,0.483619515402,42,25.8496
21.6334,43.6578986376,421.653700832,171.160379278,0.535802887475,171.160379278,0.79294,0.00491128,171.160379278,0.531497,0.0484452131005,-0.602731,0.0,530.371257658,362.860344501,43,51.5284237804,0.534291,0.531863333878,43,26.2296
21.8666,59.4258665918,731.441635461,243.875808416,0.583463010826,243.875808416,0.772776,0.0049795,243.875808416,0.581047,0.0488187478256,-0.653588,0.0,794.824603161,654.468597419,44,39.4603997191,0.582513,0.581390673318,44,26.5584
22.1688,45.910979059,545.101100014,233.582910269,0.634356781635,233.582910269,0.83442,0.00538632,233.582910269,0.632469,0.0505683557535,-0.706643,0.0,671.451026601,465.828381067,45,53.6909834923,0.633488,0.632784867991,45,26.9269
