MaxEsReturn,StdEsReturn,MaxReturn,MinReturn,AveragePolicySurr,AverageDiscountedReturn,AverageQLoss,AverageAbsQYDiff,AverageY,AverageAbsY,QFunRegParamNorm,AverageAbsQ,Epoch,AverageAction,AverageEsReturn,AverageReturn,PolicyRegParamNorm,StdReturn,Iteration,AverageQ,MinEsReturn
-233.187779461,35.8763587499,1.7350035542,-19.4893386287,0.0861071,-0.897810542321,14.4365,3.07056777678,2.45383887399,2.45383887399,11.4928,1.07718,9,0.00189303,-309.289123181,-2.24212450282,11.7097,5.7939819436,9,-0.616729,-348.738471721
-299.871381891,0.0,-553.795228908,-556.416594326,-1.74161,-58.0031075154,0.263529,0.335877988877,1.15454670902,1.1545972555,11.6271,1.13892,10,0.921879,-299.871381891,-555.647637509,12.2699,0.738562710382,10,1.13668,-299.871381891
-292.300269338,0.0,-636.565268157,-642.84295211,-1.51577,-64.6724616449,0.0435995,0.160020399155,1.1275796564,1.12766703871,11.6869,1.12009,11,0.999963,-292.300269338,-639.34812866,13.4975,1.67117898004,11,1.12009,-292.300269338
-402.49446449,0.0,-1097.77405288,-1153.89272293,-1.47859,-111.243402301,0.0248321,0.120795906586,1.30150721632,1.30159867608,11.7353,1.2979,12,0.999451,-402.49446449,-1132.32233572,14.2465,16.8966266264,12,1.2979,-402.49446449
-662.461586938,0.0,685.615491869,-678.562328363,-1.40067,41.8742360705,0.0176379,0.101335205228,1.30240478501,1.30246209492,11.7227,1.30059,13,0.99986,-662.461586938,519.678092853,15.0039,399.761874301,13,1.30059,-662.461586938
-492.227928881,0.0,-463.348903703,-471.864851295,-1.64512,-43.9681760349,0.0142847,0.0908088543486,1.39580647897,1.39583119546,11.7435,1.39336,14,0.999931,-492.227928881,-468.977187239,15.4195,2.6881241467,14,1.39336,-492.227928881
-326.418969884,0.0,-463.923136891,-479.800629858,-1.6772,-43.7696525623,0.0125106,0.0812683749819,1.55093573742,1.55100829461,11.7973,1.54919,15,0.999942,-326.418969884,-471.493303802,15.6959,4.2608229055,15,1.54919,-326.418969884
-374.565954753,0.0,-590.194697998,-650.040653659,-1.59095,-57.3557933934,0.0102256,0.0723281076264,1.55007608305,1.55015088146,11.9328,1.54917,16,0.997371,-374.565954753,-601.495441452,16.4059,16.8927448326,16,1.54917,-374.565954753
-380.359808096,0.0,-590.450717174,-594.566025902,-1.5593,-52.6981732549,0.00914233,0.068198795252,1.50776341357,1.507833448,12.0954,1.50718,17,0.9998,-380.359808096,-592.295472754,16.9212,1.50246340807,17,1.50718,-380.359808096
-407.761180245,0.0,345.617706028,86.3181285449,-1.54509,13.8571805781,0.00861274,0.0638653760047,1.5006707802,1.50076294855,12.3109,1.5001,18,0.996963,-407.761180245,244.297200869,17.3547,71.4717216308,18,1.5001,-407.761180245
-324.726859713,0.0,-464.364981025,-524.244890387,-1.50954,-33.1082902458,0.0081145,0.0603458183823,1.47809902478,1.47817246241,12.5646,1.47765,19,0.997382,-324.726859713,-498.387667783,17.7735,16.5115696137,19,1.47765,-324.726859713
-431.557359427,0.0,-589.481582278,-595.997689535,-1.46546,-53.4297118226,0.00689098,0.056355577384,1.44123934925,1.441298397,12.8673,1.44096,20,0.999168,-431.557359427,-593.045857217,18.3018,1.94190974529,20,1.44096,-431.557359427
