PolicyRegParamNorm,AverageY,QFunRegParamNorm,AverageEsReturn,AverageQLoss,Iteration,AverageQ,MaxReturn,AverageReturn,Epoch,AverageAbsY,MaxEsReturn,AverageDiscountedReturn,MinEsReturn,AverageAbsQYDiff,StdReturn,AverageAction,AverageAbsQ,AveragePolicySurr,MinReturn,StdEsReturn
11.7809,1.91506455079,11.5837,-179.793099409,2.9591,9,0.575726,119.130550572,102.596998971,9,1.91506455079,-121.185747032,7.28747781776,-255.846475355,1.35109865361,10.2733750931,0.220366,0.64804,-1.00247,83.2497184947,39.1467236609
12.6947,0.917531035854,11.8867,-282.449768493,0.236317,10,0.901564,-711.230393178,-821.15222583,10,0.917547077846,-282.449768493,-76.7786538972,-282.449768493,0.334542513409,61.551888169,0.980009,0.901725,-1.4534,-901.303172181,0.0
14.6426,0.814897900754,11.947,-385.596124669,0.0365868,11,0.810909,-520.382591274,-1142.71269706,11,0.814917768731,-385.596124669,-90.4653826436,-385.596124669,0.146731031558,349.005742682,0.982975,0.810918,-1.14409,-1599.41572958,0.0
15.8741,0.962893949999,11.9778,-844.345265434,0.0240056,12,0.95993,-551.707816021,-604.207404853,12,0.962930771503,-844.345265434,-62.2362440828,-844.345265434,0.117675143873,35.1740054737,0.995772,0.959932,-1.27252,-664.317676064,0.0
16.5064,1.13271318555,12.0203,-503.150758653,0.017374,13,1.13003,-583.19562319,-601.237078794,13,1.13279068341,-503.150758653,-58.0389075052,-503.150758653,0.098982324598,14.9961796192,0.998784,1.13003,-1.42015,-637.771463532,0.0
17.1369,1.27869211876,12.1037,-405.481866958,0.0130799,14,1.27695,-642.419074564,-818.420378889,14,1.27873472609,-405.481866958,-55.0792142208,-405.481866958,0.0848410510888,81.2844435005,0.972683,1.27695,-1.45966,-941.339218145,0.0
17.9368,1.33586135099,12.235,-469.41017989,0.0136633,15,1.33436,-479.225109374,-539.130392642,15,1.3359151534,-469.41017989,-23.3867738174,-469.41017989,0.0829922892383,35.4050259635,0.998664,1.33436,-1.46124,-584.234194115,0.0
18.3421,1.37579117355,12.4336,-432.398069506,0.0112903,16,1.37487,-551.160656294,-576.850053726,16,1.37584150267,-432.398069506,-45.7752065625,-432.398069506,0.0758207408139,16.2291304143,0.998046,1.37487,-1.48605,-598.60927148,0.0
18.494,1.39602082627,12.624,-361.544260601,0.00873703,17,1.39537,-559.412263203,-571.23112297,17,1.39607610317,-361.544260601,-52.9996606422,-361.544260601,0.0659129065432,13.1331867624,0.993319,1.39537,-1.4762,-596.655937663,0.0
18.5882,1.39463847198,12.8955,-393.510433994,0.00824938,18,1.3942,-372.513052013,-417.247843021,18,1.39472053969,-393.510433994,-38.3830492921,-393.510433994,0.061514585877,56.5910518936,0.990678,1.3942,-1.45178,-581.283177647,0.0
