Epoch,MaxEsReturn,QFunRegParamNorm,AverageQ,AverageAbsY,StdEsReturn,MaxReturn,AverageQLoss,AverageY,AverageAbsQYDiff,AveragePolicySurr,Iteration,MinReturn,StdReturn,AverageAction,MinEsReturn,AverageAbsQ,AverageReturn,PolicyRegParamNorm,AverageDiscountedReturn,AverageEsReturn
9,-193.855440682,19.4775,-0.145578,0.343892437883,33.9770524048,-19.3782337805,0.388819,0.0593385375527,0.507928624069,-0.545185,9,-34.194235358,4.52507926015,0.0508459,-316.435176176,0.345731,-25.7650981479,19.6539,-4.15622663082,-264.019398524
10,-261.784567304,19.5957,-0.0794626,0.128841418024,0.0,-583.683154413,0.017725,-0.0797055918628,0.0836473372742,-0.175688,10,-587.815034535,1.16809932598,0.974992,-261.784567304,0.122487,-585.007337971,20.5043,-58.545780451,-261.784567304
11,-411.096415307,19.6648,0.0398024,0.0731263445618,0.0,-592.067497228,0.00228462,0.0403769500562,0.0368303450059,-0.116004,11,-594.240137018,0.595890048869,0.993465,-411.096415307,0.0691657,-593.412913984,21.2546,-57.0806449153,-411.096415307
12,-438.997578276,19.8853,0.04066,0.0767698265219,0.0,-560.328691235,0.00194244,0.0406308656717,0.0336950671298,-0.105156,12,-563.577676928,0.987238494715,0.946999,-438.997578276,0.0710866,-561.369883736,23.2172,-50.8273709833,-438.997578276
13,-361.756995118,20.2355,0.0597763,0.0836171980086,0.0,-550.257190193,0.001756,0.0598272565894,0.0316492056599,-0.133719,13,-581.691083941,10.1249799307,0.924649,-361.756995118,0.078431,-563.083138872,25.6358,-52.7321801921,-361.756995118
14,-418.600329347,20.739,0.0802689,0.0984432080703,0.0,-496.116889227,0.00177923,0.080469366208,0.0310973579405,-0.126728,14,-519.684382262,6.53701135688,0.910459,-418.600329347,0.0940048,-507.335787237,28.0149,-46.7642204416,-418.600329347
15,-428.897575947,21.4457,0.0838738,0.107358618011,0.0,63.3412168868,0.00201348,0.0837938298561,0.032331545517,-0.121291,15,-457.545242119,162.8339508,0.865953,-428.897575947,0.102943,-169.614745473,30.3998,9.11237604796,-428.897575947
16,-228.065409116,22.3446,0.0821041,0.111859319847,0.0,-349.384209967,0.00218022,0.0821711096212,0.0327625671074,-0.113156,16,-475.831109322,39.6168551154,0.68763,-228.065409116,0.107141,-409.886668452,32.3373,-37.7057469965,-228.065409116
17,-362.485366918,23.3679,0.0757987,0.110733777975,0.0,-375.295074734,0.00218971,0.0757816321773,0.0327941782053,-0.108898,17,-1017.42488421,197.019475345,0.765301,-362.485366918,0.105791,-523.506312906,34.3856,-57.9304998671,-362.485366918
18,-302.091801592,25.0537,0.100421,0.137760084642,0.0,-505.934140859,0.00546096,0.10074959792,0.041903051463,-0.144553,18,-510.605640366,1.33923353118,0.842454,-302.091801592,0.131571,-507.907303914,36.2373,-53.1592892462,-302.091801592
19,-466.513712795,26.4536,0.154717,0.188561026438,0.0,-250.607969922,0.00529342,0.155065171097,0.0440862287919,-0.206813,19,-642.166727702,132.963228783,0.884396,-466.513712795,0.183774,-415.647454943,38.65,-30.2900636636,-466.513712795
20,-359.859549471,27.6586,0.161814,0.198146948664,0.0,-93.7504271597,0.0042243,0.162106147577,0.0424539254112,-0.21455,20,-601.176632201,135.233494752,0.885656,-359.859549471,0.19312,-347.287614284,40.6021,3.32323816864,-359.859549471
21,-275.018185938,28.8696,0.175462,0.215359453703,0.0,-188.098588682,0.00384875,0.175682556316,0.0417719549649,-0.229277,21,-290.008169372,32.2897328773,0.77897,-275.018185938,0.210279,-231.496875177,42.5914,-16.2225134487,-275.018185938
22,-97.7394984227,30.1332,0.193012,0.234131642377,0.0,-49.5742637374,0.00401977,0.19322757845,0.0432907899271,-0.243893,22,-251.915096959,61.4354795031,0.853824,-97.7394984227,0.229676,-143.856777106,44.5565,-0.613088509136,-97.7394984227
23,-101.848157029,31.445,0.208225,0.250831196448,0.0,101.790932442,0.00424702,0.20857280557,0.0443853884973,-0.259665,23,-84.8648859101,56.5521838223,0.863809,-101.848157029,0.246196,-6.08797850627,46.3075,-4.44561572926,-101.848157029
24,30.1666145777,32.655,0.232791,0.272516383999,0.0,119.276046224,0.00466899,0.233238973902,0.0467111425828,-0.28681,24,-90.5612166401,61.2328302442,0.878172,30.1666145777,0.267495,28.0869703776,47.9705,0.486662513343,30.1666145777
25,41.2407666081,33.8488,0.265922,0.299234008508,0.0,185.270754985,0.00482535,0.266231175961,0.0481192928846,-0.327552,25,-112.632088026,77.2766982902,0.938026,41.2407666081,0.294958,55.7810879764,49.5734,18.6222082653,41.2407666081
26,134.718372743,34.9859,0.307127,0.335327578654,0.0,76.156146779,0.00514967,0.307450868748,0.0498539122329,-0.372794,26,-76.9429149143,47.8697378837,0.910343,134.718372743,0.331499,-10.8745169921,50.8459,7.48704663538,134.718372743
27,222.059588028,36.0936,0.348365,0.370231084974,0.0,158.982740401,0.00540096,0.348759854959,0.0517119872393,-0.416786,27,-108.793721043,69.2285822556,0.903804,222.059588028,0.366623,20.7150261977,52.0964,9.46253527456,222.059588028
28,106.730608855,37.0842,0.395445,0.409878690554,0.0,169.320679977,0.00577994,0.395894884753,0.0533552237315,-0.467031,28,-65.5657939601,71.4001363265,0.925579,106.730608855,0.406905,40.2737729055,53.43,0.742384177186,106.730608855
29,139.121747268,38.1479,0.449491,0.459981324771,0.0,246.931377808,0.00601405,0.450031729593,0.0545253633509,-0.524722,29,48.7395792232,57.6181283119,0.908858,139.121747268,0.457318,155.906980937,54.7202,22.4357255165,139.121747268
30,171.01561368,39.092,0.508633,0.514549595128,0.0,154.910609736,0.00630602,0.509041192178,0.0554904683091,-0.58335,30,-93.0324512177,63.2136434963,0.908943,171.01561368,0.512846,61.9658519942,55.7968,0.265750300793,171.01561368
31,150.845563841,40.0106,0.555671,0.559427332683,0.0,214.209749322,0.00677855,0.556179164967,0.0567428829617,-0.628034,31,-302.65541605,179.764670458,0.92766,150.845563841,0.557873,76.4861784872,56.8441,14.1200156132,150.845563841
32,194.926437838,40.8768,0.609115,0.61157130778,0.0,220.525194829,0.00652862,0.609662965217,0.0560801874805,-0.683271,32,22.5225211331,56.2999554206,0.926605,194.926437838,0.610255,110.318618605,57.9762,10.824434876,194.926437838
33,236.555243409,41.7963,0.668018,0.66956996716,0.0,303.154844019,0.00702982,0.66851840818,0.058058151001,-0.743341,33,67.3731973461,74.3328358244,0.934123,236.555243409,0.668594,208.653019351,59.0833,17.5415556183,236.555243409
34,301.50002182,42.6212,0.726574,0.727966486471,0.0,561.295136809,0.00715453,0.727260907044,0.0583486247064,-0.801269,34,268.992408341,79.3596282184,0.935255,301.50002182,0.726992,416.939924191,60.164,25.2773535993,301.50002182
35,281.868925789,43.5004,0.786018,0.786949983633,0.0,552.323844578,0.00748022,0.786586268072,0.0600667048807,-0.862234,35,381.795622197,54.4737430311,0.916662,281.868925789,0.786182,451.974246254,61.1778,20.7004962673,281.868925789
36,287.255226068,44.2939,0.847115,0.84798736711,0.0,364.349298243,0.00792292,0.847643036591,0.0618222432612,-0.921236,36,172.388045771,55.678166561,0.924646,287.255226068,0.84723,285.313459421,62.072,25.6776419868,287.255226068
37,263.176552386,45.0555,0.904745,0.905628497506,0.0,463.533671054,0.00879077,0.905416156009,0.0633145672239,-0.976826,37,27.0159219427,119.394515876,0.895198,263.176552386,0.904802,219.13527253,63.0364,-4.89460684058,263.176552386
38,215.457496025,45.7492,0.961796,0.962438784978,0.0,698.735881858,0.00806064,0.962310380254,0.0620357318635,-1.03103,38,604.64794561,36.0683712199,0.896185,215.457496025,0.96182,662.898809056,63.8005,39.6898103037,215.457496025
39,306.449941468,46.4988,1.01667,1.01723422524,0.0,461.669342079,0.00810859,1.01716414791,0.0617222788574,-1.08568,39,259.615287853,59.7167835535,0.899381,306.449941468,1.01669,403.506533833,64.6496,38.6196566548,306.449941468
40,400.226353546,47.2136,1.07396,1.07459430061,0.0,651.671502184,0.00823291,1.07453399764,0.0620338881791,-1.141,40,509.063201701,39.4450032553,0.900946,400.226353546,1.07396,591.23987359,65.321,28.1102537848,400.226353546
41,305.030743904,47.9038,1.12865,1.12924576731,0.0,715.497755625,0.00853962,1.12918403129,0.0624165402595,-1.19594,41,385.335320363,100.710065276,0.900207,305.030743904,1.12865,581.987712772,66.1332,23.3603143605,305.030743904
42,371.292939088,48.5556,1.17944,1.17991300193,0.0,491.772458747,0.0084778,1.17988547013,0.0634232780415,-1.24691,42,328.257974441,46.8649281487,0.888322,371.292939088,1.17944,397.768774742,66.9766,14.0194919545,371.292939088
43,299.884222491,49.1694,1.23666,1.23737844015,0.0,432.340745121,0.00885848,1.23733013339,0.063816956004,-1.30551,43,162.125100801,69.9625817962,0.874117,299.884222491,1.23666,327.884724917,67.6407,22.7994031399,299.884222491
44,358.580251406,49.7729,1.29276,1.29340511559,0.0,447.601412742,0.00850414,1.29333000295,0.0635519696873,-1.35918,44,259.343334089,58.1564814023,0.89669,358.580251406,1.29276,338.851559996,68.3691,28.2397213811,358.580251406
45,372.728586458,50.4688,1.3496,1.3502136731,0.0,599.972441164,0.0102289,1.35013924484,0.0669313408273,-1.41424,45,364.644559113,63.8758427343,0.892194,372.728586458,1.3496,506.565781501,69.2001,22.7578889645,372.728586458
46,349.466781757,51.1601,1.40071,1.40131473217,0.0,613.320987508,0.0105859,1.40126429066,0.0675713358217,-1.46912,46,326.980127519,91.6862586418,0.871042,349.466781757,1.40071,487.278741237,70.0373,12.4554964444,349.466781757
47,212.425028781,51.8209,1.4633,1.46385861591,0.0,545.802919361,0.0119061,1.46375655209,0.0696410859497,-1.53203,47,233.626467691,110.04467344,0.893737,212.425028781,1.4633,394.376945597,70.7336,9.15635565866,212.425028781
48,149.787422327,52.4062,1.52213,1.52271318336,0.0,553.914371819,0.0103634,1.52264214974,0.0672743933702,-1.58838,48,324.817736337,74.2438355916,0.912742,149.787422327,1.52213,464.461685841,71.3582,26.5123126675,149.787422327
49,385.607007311,52.961,1.58554,1.58622840191,0.0,652.09838098,0.0112942,1.58616918623,0.0692166722943,-1.65118,49,-402.831380515,434.624199696,0.908036,385.607007311,1.58554,331.458972739,72.1,46.3437237016,385.607007311
50,487.906770568,53.5489,1.64415,1.64482440322,0.0,562.208971808,0.0108906,1.64477084685,0.0689977041814,-1.71001,50,312.20099731,72.073643378,0.898755,487.906770568,1.64415,458.616676792,72.7561,28.6482252894,487.906770568
51,492.862833087,54.1292,1.71987,1.72047621412,0.0,617.173211264,0.0124127,1.72042588001,0.0715842686674,-1.78731,51,391.74264653,75.6568353916,0.929217,492.862833087,1.71987,519.631946055,73.4677,42.599427885,492.862833087
52,483.681883895,54.6311,1.79839,1.79903642525,0.0,576.517320014,0.0134677,1.79895184903,0.0729846380293,-1.86677,52,-600.501861631,463.731985243,0.950133,483.681883895,1.79839,-64.1373976573,74.1802,13.5186820762,483.681883895
