QFunRegParamNorm,PolicyRegParamNorm,AverageEsReturn,AverageAction,AverageReturn,AverageAbsQYDiff,AverageQLoss,AverageDiscountedReturn,AverageAbsQ,MinEsReturn,StdEsReturn,AverageQ,StdReturn,Epoch,MaxReturn,AverageAbsY,MinReturn,MaxEsReturn,AveragePolicySurr,Iteration,AverageY
11.4902,11.8205,-309.857860623,0.324189,-88.0507960161,1.68038926317,5.03441,-4.38406344094,0.914951,-422.544700421,43.4851518626,-0.178062,42.4535182214,9,-25.3339363951,1.05816357598,-184.268541478,-264.822391015,0.0451223,9,0.490563447029
11.4574,12.7766,-350.185363406,0.764684,-458.112862871,0.212769120224,0.112114,-46.3906650964,0.245797,-350.185363406,0.0,0.193209,1.13165541631,10,-456.311244652,0.276825106165,-460.316208981,-350.185363406,-0.489597,10,0.194628814369
11.4559,13.0815,-413.829718601,0.988433,-952.282269033,0.0921206139924,0.0140093,-92.2441157085,0.280226,-413.829718601,0.0,0.277069,136.513568009,11,-544.047200451,0.282809957712,-1019.69152987,-413.829718601,-0.605554,11,0.278663769644
11.4282,14.0187,-388.286328257,0.964474,-665.03764728,0.0721308266933,0.00857363,-69.1052021225,0.385553,-388.286328257,0.0,0.385218,2.65964041394,12,-661.528585988,0.386638001535,-669.336021848,-388.286328257,-0.498396,12,0.386026281981
11.4592,14.9847,-393.6866164,0.999744,-603.073236597,0.0667602375564,0.00737787,-55.2691636829,0.35925,-393.6866164,0.0,0.358463,1.25844706327,13,-601.099300601,0.36042915786,-604.955192394,-393.6866164,-0.372276,13,0.358384005113
11.5408,15.4814,-411.216553877,0.963199,-133.196653038,0.062730301202,0.00667344,-6.62899737789,0.3411,-411.216553877,0.0,0.340347,25.2939088806,14,-98.3338453838,0.343313308822,-178.690312026,-411.216553877,-0.423149,14,0.341185827551
11.7293,16.6035,-379.184091246,0.976936,-372.266767294,0.0600527818211,0.00634428,-26.1219306971,0.392149,-379.184091246,0.0,0.39187,77.056399524,15,-244.511319733,0.393482354301,-501.059230099,-379.184091246,-0.457725,15,0.392622357373
12.0746,17.4598,-107.928055711,0.979558,-236.748512388,0.0593881247251,0.0064533,-7.36307650048,0.418872,-107.928055711,0.0,0.418323,64.4921119385,16,-122.475477519,0.420300103849,-323.874648441,-107.928055711,-0.483638,16,0.418948910729
12.4884,18.1242,-267.687465738,0.95548,-267.650428484,0.0579422349383,0.00610269,-0.814339878816,0.441475,-267.687465738,0.0,0.440716,61.6342579049,17,-155.540224203,0.442570615973,-339.769506936,-267.687465738,-0.497889,17,0.441034229859
12.9302,18.8404,-307.83467795,0.989584,-164.55142916,0.0554974682443,0.00567519,-13.429826966,0.464276,-307.83467795,0.0,0.463061,44.2897670342,18,-96.9428126069,0.465450311435,-254.997818374,-307.83467795,-0.520287,18,0.463312819099
13.413,19.4032,-95.1718702175,0.929102,-115.808612865,0.0538089851293,0.00543096,-26.1098469339,0.494022,-95.1718702175,0.0,0.492696,239.483636249,19,83.3080386595,0.494833847757,-622.178941091,-95.1718702175,-0.562017,19,0.493015094304
13.9264,19.8832,-119.77066411,0.945661,-121.250440716,0.0521549733428,0.00516699,-7.78007870257,0.524731,-119.77066411,0.0,0.523631,32.7028700968,20,-79.1766516395,0.525487194426,-177.858247824,-119.77066411,-0.589083,20,0.523934905848
14.4302,20.3195,-149.143808564,0.844912,-81.9066431035,0.0512078936985,0.00498693,10.1703278826,0.555019,-149.143808564,0.0,0.554111,52.1495425009,21,-18.4167958992,0.555785810005,-202.756124176,-149.143808564,-0.615916,21,0.554405051323
14.9121,21.0789,-228.5216202,0.776657,-269.711413239,0.0486978523459,0.00456246,-2.32165893419,0.57202,-228.5216202,0.0,0.571108,78.8861245173,22,-119.854163074,0.572861640224,-400.141449138,-228.5216202,-0.631072,22,0.571514128203
15.4231,21.7395,-254.811161543,0.837277,-205.730657702,0.0483407617121,0.00476975,-8.44651879306,0.589366,-254.811161543,0.0,0.588514,44.227320294,23,-125.223729352,0.589959639296,-280.22959948,-254.811161543,-0.650403,23,0.588779970358
15.8749,22.5918,-261.403745541,0.793666,-79.5053047915,0.0479415887314,0.00445392,-7.92106048394,0.612252,-261.403745541,0.0,0.611502,39.1490983372,24,-12.6670993072,0.612746491096,-143.855937597,-261.403745541,-0.673569,24,0.61172174681
16.4216,23.3034,-48.8799967627,0.820476,-53.953653687,0.0502583936737,0.00497146,0.861625048452,0.634991,-48.8799967627,0.0,0.634398,49.1381392758,25,23.7759095467,0.635608797674,-118.228755846,-48.8799967627,-0.697537,25,0.634783499923
