MinReturn,AverageAbsY,AverageReturn,AverageY,StdReturn,StdEsReturn,AveragePolicySurr,AverageDiscountedReturn,MaxReturn,MaxEsReturn,AverageQ,AverageQLoss,PolicyRegParamNorm,MinEsReturn,AverageAction,Iteration,AverageAbsQ,AverageEsReturn,AverageAbsQYDiff,QFunRegParamNorm,Epoch
88.2110255388,1.70447101493,106.792956578,1.70447101493,15.3144558217,62.9564465832,-0.830734,6.29442899609,133.312686283,-93.1453300377,0.42488,2.76665,11.7796,-313.578239176,0.209066,9,0.553106,-222.326230606,1.39015319533,11.5824,9
-592.079802698,0.90552583041,-591.382770549,0.905470543685,0.528950812628,0.0,-1.42793,-60.7960152593,-590.322383822,-343.533342937,0.890235,0.232089,12.3457,-343.533342937,0.982521,10,0.890587,-343.533342937,0.330371336665,11.8371,10
-808.026748193,0.823780427762,-541.08772765,0.823703857279,180.121888856,0.0,-1.19151,-17.5973035412,-181.019664175,-311.845440892,0.819315,0.0403308,14.1118,-311.845440892,0.98544,11,0.819335,-311.845440892,0.15405519751,11.8838,11
-505.009433908,0.999976905116,-316.20224301,0.999884451075,101.06252164,0.0,-1.31564,-21.2506972417,-177.768031902,-508.075203333,0.996489,0.0282178,15.4999,-508.075203333,0.978568,12,0.996489,-508.075203333,0.129205285071,11.919,12
-676.699950706,1.2360797031,-563.738529253,1.23601483406,75.6859371954,0.0,-1.61437,-45.5868141303,-444.93772351,-454.129304333,1.23282,0.0209047,16.1572,-454.129304333,0.970988,13,1.23282,-454.129304333,0.10864642029,11.9539,13
-303.856317873,1.47205472753,-195.260370838,1.47200214662,55.7543529117,0.0,-1.7051,-15.6604910044,-96.4972712089,-341.428240317,1.46954,0.0155589,16.8187,-341.428240317,0.991718,14,1.46954,-341.428240317,0.0921480486561,12.012,14
-597.7428992,1.56994966267,-533.004078919,1.56987071494,69.5836656528,0.0,-1.69898,-63.0224556355,-353.620893421,-244.459041603,1.5682,0.0144551,17.4721,-244.459041603,0.988291,15,1.5682,-244.459041603,0.0852962838143,12.137,15
-600.041374782,1.60165027617,-598.254869738,1.60158101846,0.865968414654,0.0,-1.69086,-58.3289397476,-596.707882881,-305.816312641,1.60071,0.0119967,18.0094,-305.816312641,0.999957,16,1.60071,-305.816312641,0.0774014526812,12.2945,16
-598.510604244,1.62792017237,-595.893152485,1.62785556708,1.46873091257,0.0,-1.69969,-57.1318910447,-593.744481127,-409.732726085,1.62696,0.0104463,18.262,-409.732726085,0.998101,17,1.62696,-409.732726085,0.0708508123152,12.515,17
-319.00138333,1.63865657717,-232.832017607,1.63858320885,43.4823986814,0.0,-1.70103,-24.1375740785,-169.092142219,-330.987527739,1.63797,0.00958417,18.1953,-330.987527739,0.950526,18,1.63797,-330.987527739,0.0652309987145,12.7881,18
-604.57256915,1.63645103616,-598.583905016,1.63636884896,3.7766519941,0.0,-1.67057,-59.543283881,-589.120252983,-277.551640736,1.63586,0.00953524,18.2999,-277.551640736,0.997553,19,1.63586,-277.551640736,0.0629262417854,13.1025,19
-426.665744266,1.60812231597,-308.628734173,1.60803026959,69.4590633133,0.0,-1.64904,-25.3792830648,-213.21806703,-199.223312357,1.60771,0.00875131,18.1102,-199.223312357,0.896422,20,1.60771,-199.223312357,0.0608607393926,13.4674,20
-274.125952877,1.58745853642,-192.033433036,1.58739750836,50.0181241734,0.0,-1.66465,-17.0087166345,-119.235896539,-369.827433897,1.58703,0.00849768,18.7614,-369.827433897,0.865632,21,1.58703,-369.827433897,0.0623143385306,13.9033,21
-532.237157981,1.61657723353,-460.101802892,1.61652148966,44.6598204861,0.0,-1.70417,-50.6607972282,-381.570490934,-230.06930376,1.61609,0.00937857,19.2681,-230.06930376,0.822313,22,1.61609,-230.06930376,0.0654783715111,14.4056,22
-290.478726733,1.64237535295,-221.660123154,1.64227394789,27.8061580486,0.0,-1.72421,-23.9699750522,-181.657444044,-343.062920305,1.64183,0.0110556,19.5629,-343.062920305,0.678685,23,1.64183,-343.062920305,0.0664140110588,14.9376,23
-254.088520992,1.65769950352,-204.012815751,1.65762346387,29.1936028597,0.0,-1.73651,-14.3995127515,-157.532336384,-331.621506137,1.65732,0.00992738,19.8185,-331.621506137,0.459398,24,1.65732,-331.621506137,0.064514690401,15.4654,24
-91.8890480125,1.67892411128,-41.5192445385,1.67883162175,32.2595115658,0.0,-1.7586,-1.90255208844,11.2985503286,-220.053148222,1.67837,0.0100697,20.3281,-220.053148222,0.594864,25,1.67837,-220.053148222,0.0640117408766,15.9726,25
208.676411337,1.69404503647,266.286198575,1.69395424149,28.6072921509,0.0,-1.77111,15.9055825824,320.785366306,-170.820627006,1.69358,0.0104028,20.8084,-170.820627006,0.783091,26,1.69358,-170.820627006,0.0646885542232,16.5562,26
-805.689735904,1.7110387872,-268.513478531,1.71097522293,304.854555028,0.0,-1.79086,22.1656815605,241.318929106,-67.4149767688,1.71063,0.00976807,21.2899,-67.4149767688,0.841284,27,1.71063,-67.4149767688,0.0642213597873,17.0724,27
-447.988682974,1.74451349979,217.047525894,1.74443431911,236.400296113,0.0,-1.82531,56.9703103851,485.002204797,65.9757334673,1.74419,0.0113198,21.9158,65.9757334673,0.849579,28,1.74419,65.9757334673,0.068900137536,17.5995,28
308.19870358,1.77178427341,414.009208397,1.77171320959,65.1238271125,0.0,-1.85239,43.0092079449,546.481649867,-11.929838138,1.7712,0.0112353,22.53,-11.929838138,0.857676,29,1.7712,-11.929838138,0.0703495961642,18.146,29
28.3805130988,1.80162218949,513.272203066,1.80152358405,171.384616273,0.0,-1.88781,32.0467118273,694.954794125,117.022382092,1.80109,0.0112932,22.9988,117.022382092,0.866393,30,1.80109,117.022382092,0.0708355154997,18.5968,30
520.403457854,1.84185403128,599.033874723,1.84176429668,57.016650512,0.0,-1.92603,62.0134214786,713.195119362,191.297969409,1.8413,0.0135423,23.5305,191.297969409,0.862439,31,1.8413,191.297969409,0.0748323346464,19.1469,31
249.126839882,1.87509654851,414.544446678,1.87502116274,87.5699020726,0.0,-1.95641,30.9169027927,539.783493446,-71.3195508632,1.87461,0.0134381,23.8171,-71.3195508632,0.848183,32,1.87461,-71.3195508632,0.0758458313852,19.6558,32
409.874769851,1.91433540097,496.161875097,1.91423923804,79.7107886197,0.0,-1.99525,61.3226680704,621.349511124,196.209232635,1.91383,0.0137746,24.1696,196.209232635,0.855601,33,1.91383,196.209232635,0.0763142093862,20.217,33
158.031000506,1.95134257139,322.041089711,1.95127846818,95.7421331101,0.0,-2.03574,53.7615620126,473.742575081,96.8099456983,1.95095,0.0137375,24.5125,96.8099456983,0.864431,34,1.95095,96.8099456983,0.0775564952892,20.7295,34
470.966027586,1.98099054862,994.520107558,1.98094331343,375.675601589,0.0,-2.0661,97.6391738447,1516.28950588,212.793092953,1.98053,0.0135131,24.8766,212.793092953,0.82851,35,1.98053,212.793092953,0.0772721746343,21.2081,35
86.2185245199,2.03911781188,516.068263904,2.03903078045,170.460316042,0.0,-2.12634,46.7339058861,680.247413313,152.666782267,2.03847,0.0160632,25.3486,152.666782267,0.83009,36,2.03847,152.666782267,0.0815253282717,21.6923,36
273.475855958,2.08663371745,443.868159822,2.08650285899,63.8389736601,0.0,-2.17285,49.6861426248,518.499976234,144.105798327,2.086,0.0182625,25.646,144.105798327,0.814479,37,2.086,144.105798327,0.0844261429031,22.1419,37
311.828201089,2.13380592042,590.286135847,2.13371075589,196.62242288,0.0,-2.22071,80.2564026905,1072.58685124,264.602626176,2.13308,0.0163355,25.9505,264.602626176,0.790252,38,2.13308,264.602626176,0.0834479367858,22.5691,38
-212.170461841,2.17204062139,502.965150542,2.1719691701,296.554580864,0.0,-2.26001,82.8945912177,975.82277198,318.22140829,2.17158,0.0154234,26.2854,318.22140829,0.839027,39,2.17158,318.22140829,0.0821775066274,22.9622,39
422.641059274,2.23069609163,625.393457283,2.23061122119,171.397622878,0.0,-2.31917,92.6662762118,940.383571672,312.839772509,2.2299,0.017322,26.6557,312.839772509,0.821842,40,2.2299,312.839772509,0.0859488050393,23.369,40
-482.449896002,2.29698473761,198.426762884,2.29690235902,235.569436273,0.0,-2.38638,59.3608869851,370.963353413,444.813669361,2.2963,0.0183737,26.8839,444.813669361,0.805357,41,2.2963,444.813669361,0.0869437442863,23.857,41
431.146565927,2.33960889615,1835.08497427,2.33956635078,470.034759604,0.0,-2.43273,166.357550413,2073.13918031,294.89998364,2.33905,0.0176324,27.2763,294.89998364,0.827598,42,2.33905,294.89998364,0.0881710384546,24.2349,42
450.396564037,2.41147805704,1377.55168315,2.41137327543,419.712358131,0.0,-2.50906,130.831076614,1694.7258867,401.086175683,2.41078,0.0199932,27.663,401.086175683,0.852799,43,2.41078,401.086175683,0.0899759879564,24.7076,43
244.817549588,2.50045497204,406.291243079,2.50040008182,122.961539496,0.0,-2.59558,62.2527996709,642.05333495,313.362320661,2.49967,0.0193478,27.9673,313.362320661,0.781416,44,2.49967,313.362320661,0.0919622599069,25.0981,44
-472.527981971,2.59746615614,669.772495682,2.59734826228,583.30212445,0.0,-2.69679,99.316764247,1653.99814595,965.843158933,2.5967,0.0240612,28.3533,965.843158933,0.824797,45,2.5967,965.843158933,0.0949436311904,25.4937,45
91.56430735,2.68251839544,397.726280636,2.68243436857,168.605024073,0.0,-2.78277,41.7210524597,676.670098702,933.077441784,2.68168,0.025106,28.6913,933.077441784,0.824508,46,2.68168,933.077441784,0.0975806650547,25.9057,46
446.017942936,2.77208839259,538.155721807,2.77200066738,83.3766756356,0.0,-2.87697,109.779536907,722.785974753,504.230050506,2.77119,0.0261382,29.0646,504.230050506,0.849106,47,2.77119,504.230050506,0.0992960011731,26.3494,47
485.395682661,2.85073725637,906.530582014,2.85067060174,358.813593592,0.0,-2.9606,144.694444373,1599.03712901,714.263259039,2.84985,0.0242624,29.4293,714.263259039,0.87543,48,2.84985,714.263259039,0.0983504040811,26.7222,48
488.957601713,2.94435327573,1382.27737476,2.94424823825,716.281979483,0.0,-3.05373,159.861296937,2275.75104514,564.525083884,2.94355,0.0261585,29.7484,564.525083884,0.8787,49,2.94355,564.525083884,0.101346321449,27.106,49
1296.56409651,2.98747936168,1863.49488414,2.98739601522,351.37577207,0.0,-3.10104,176.797993045,2221.01375009,506.387984524,2.98672,0.0260467,30.0497,506.387984524,0.87318,50,2.98672,506.387984524,0.100806510301,27.4475,50
453.048560631,3.06531785815,709.504638471,3.06523021124,203.448734765,0.0,-3.17836,149.819705515,1184.2928486,250.806539671,3.06418,0.028278,30.355,250.806539671,0.858346,51,3.06418,250.806539671,0.104793229537,27.8275,51
494.034675149,3.1479997392,635.082374731,3.14787483229,132.722038931,0.0,-3.26165,107.675053701,928.040751149,344.642318234,3.14708,0.0302583,30.677,344.642318234,0.885182,52,3.14708,344.642318234,0.105470650983,28.2543,52
623.492336854,3.26633269323,1854.62595501,3.26625057257,625.006131619,0.0,-3.38622,196.732842432,2446.47952711,815.395163098,3.26529,0.0290773,31.0057,815.395163098,0.882438,53,3.26529,815.395163098,0.104779059532,28.622,53
797.425831138,3.37227175767,2017.78626183,3.37219929558,407.36294191,0.0,-3.48786,184.08700506,2191.62967288,879.988522621,3.37158,0.0280646,31.3105,879.988522621,0.872747,54,3.37158,879.988522621,0.105642791439,28.9754,54
546.322178701,3.44914002765,723.213522699,3.44902014366,227.545348626,0.0,-3.56026,121.774776044,1330.69735378,512.081995007,3.448,0.0306987,31.5718,512.081995007,0.843282,55,3.448,512.081995007,0.108425071828,29.2903,55
465.879392443,3.53660613653,973.92694927,3.53655323641,363.183972831,0.0,-3.6507,166.468054019,1685.63079376,537.400582853,3.53563,0.0321199,31.8676,537.400582853,0.850097,56,3.53563,537.400582853,0.107443101473,29.6147,56
