StdEsReturn,AverageReturn,QFunRegParamNorm,MinEsReturn,AverageQ,AverageY,AveragePolicySurr,AverageQLoss,MinReturn,PolicyRegParamNorm,MaxEsReturn,MaxReturn,Epoch,AverageEsReturn,AverageAbsY,AverageAction,AverageAbsQYDiff,StdReturn,Iteration,AverageAbsQ,AverageDiscountedReturn
73.8687603718,112.753255863,11.5821,-300.368815585,0.690027,1.71346256123,-1.08102,2.59103,82.6824303757,11.7807,-39.8669258708,139.66484917,9,-196.922147335,1.71460038758,0.208303,1.26015061577,18.0096349127,9,0.722858,6.74033244091
0.0,-494.68047749,12.0613,-227.505066118,0.670177,0.681542053848,-1.55403,0.281847,-495.668650644,12.3217,-227.505066118,-493.604087313,10,-227.505066118,0.805244077897,0.827776,0.376003753159,0.57542281911,10,0.75035,-48.0061143373
0.0,-555.210632518,12.4985,-416.7730657,0.684521,0.688249785386,-1.67107,0.103448,-586.763006441,13.0845,-416.7730657,-520.227046756,11,-416.7730657,0.839782515674,0.956694,0.242745595119,23.5859745101,11,0.809161,-53.4057869415
0.0,-584.389816241,13.189,-387.027207272,1.07678,1.07838860494,-2.00964,0.118467,-585.787793594,14.0028,-387.027207272,-582.739304563,12,-387.027207272,1.24810491323,0.991246,0.257849539213,0.994093238545,12,1.22083,-49.535745551
0.0,-323.947594919,14.0179,-416.814264905,1.5071,1.5091715338,-2.41762,0.150732,-423.935627263,15.0131,-416.814264905,-184.193346904,13,-416.814264905,1.72507244666,0.779073,0.288783603711,89.0178366231,13,1.69967,-5.33082915959
0.0,-463.946566819,14.7631,-314.170456333,1.85249,1.85473650479,-2.76148,0.1736,-535.568500525,15.68,-314.170456333,-419.784339641,14,-314.170456333,2.05575758803,0.80179,0.312459386256,34.0978630196,14,2.03162,-38.3127782122
0.0,-464.804888346,15.512,-368.059230455,2.19252,2.1950331724,-2.92974,0.213109,-509.231600837,16.0954,-368.059230455,-422.771640556,15,-368.059230455,2.36697368001,0.823486,0.338231805787,26.8107683286,15,2.3419,-31.655158378
0.0,-267.012690923,16.2849,-327.890956146,2.36882,2.37146740316,-3.0268,0.23641,-317.716619478,16.5009,-327.890956146,-230.283579142,16,-327.890956146,2.60685273822,0.545556,0.354478895854,22.1061777309,16,2.58067,-17.9816908421
0.0,-324.981563216,17.0227,-392.86960624,2.56254,2.56533696235,-3.16864,0.267228,-820.706829865,17.0885,-392.86960624,-233.019414719,17,-392.86960624,2.8318141551,0.596507,0.374350260492,167.223278674,17,2.80084,-36.3892234157
0.0,-387.105650624,17.7665,-308.50094881,2.72855,2.73041755774,-3.30459,0.282918,-589.702644584,17.5235,-308.50094881,-259.147415245,18,-308.50094881,3.01010636077,0.495987,0.384516229531,110.933961502,18,2.9762,-59.5481104673
0.0,3.25102232887,18.4601,-258.164537311,2.84905,2.8515749865,-3.42137,0.313102,-110.962363743,18.0382,-258.164537311,43.1535692505,19,-258.164537311,3.13300473043,0.614383,0.400215236673,43.1504990702,19,3.09928,-19.7730933005
0.0,-27.4064784586,19.1454,-266.306178521,3.03606,3.03827354646,-3.67921,0.319744,-267.797087338,18.4479,-266.306178521,123.149844772,20,-266.306178521,3.35681991946,0.587254,0.406940996407,130.649609526,20,3.3193,-67.6047543594
0.0,-320.662410153,19.8485,-136.432827911,3.29352,3.29597932655,-3.98566,0.380022,-354.294968512,18.8712,-136.432827911,-293.89393444,21,-136.432827911,3.66854104555,0.556169,0.436263351866,21.2979632439,21,3.63189,-29.3710024963
0.0,36.0735269617,20.5488,-292.941252112,3.5307,3.5347496036,-4.15768,0.398484,-125.812155433,19.205,-292.941252112,167.369249367,22,-292.941252112,3.90738634601,0.422035,0.441572736771,116.252609238,22,3.86977,12.6882353513
0.0,168.353613335,21.1598,-171.23402493,3.77375,3.77736475715,-4.4338,0.412467,-89.5663650997,19.599,-171.23402493,263.667081566,23,-171.23402493,4.1365191089,0.572819,0.447431702531,125.904025584,23,4.09814,32.8617090224
0.0,192.754432559,21.6978,-37.351622957,4.08406,4.08732440481,-4.78694,0.432063,-13.4448763315,20.1266,-37.351622957,386.696237114,24,-37.351622957,4.43171259049,0.754299,0.462708275008,103.464367055,24,4.39403,29.2705441209
0.0,1082.47974273,22.2836,41.5060110223,4.41347,4.41899935236,-5.16881,0.478173,609.676132773,20.723,41.5060110223,1811.22444048,25,41.5060110223,4.72650351732,0.816621,0.487859420167,400.080243176,25,4.68608,138.21403468
0.0,671.947386646,22.8629,172.818344552,4.82006,4.82443400883,-5.62407,0.527155,435.677325417,21.2753,172.818344552,1124.84997106,26,172.818344552,5.08025879131,0.843648,0.505519369139,208.638436117,26,5.04542,103.067596995
0.0,411.991529255,23.4033,274.618139841,5.32599,5.3298735254,-6.16898,0.537382,224.916501579,21.8546,274.618139841,557.292863556,27,274.618139841,5.51606444203,0.908431,0.519075803546,98.1532964471,27,5.4842,45.5421914879
0.0,398.353339823,23.9079,311.704430954,5.9399,5.94626686124,-6.83517,0.621113,276.913450583,22.325,311.704430954,502.882047763,28,311.704430954,6.07774187881,0.923126,0.546274240256,64.5322605096,28,6.05248,32.4410580762
0.0,948.918712477,24.3755,333.504210246,6.53423,6.53936516206,-7.42836,0.640306,853.852354039,22.7628,333.504210246,1063.06428028,29,333.504210246,6.62045355568,0.828578,0.556795348036,63.6792157522,29,6.60204,67.5470192223
0.0,456.477832693,24.8322,265.463286566,7.15264,7.15883805383,-8.07482,0.637378,385.845850555,23.2141,265.463286566,535.621877741,30,265.463286566,7.23055964096,0.80829,0.56679884814,56.847559352,30,7.21453,30.5042015039
0.0,828.507640344,25.3579,371.313384036,7.99803,8.00371947927,-8.93132,0.78398,771.486182276,23.6056,371.313384036,885.480862907,31,371.313384036,8.06127677513,0.879073,0.605830972183,27.3076728072,31,8.04806,66.3401714546
0.0,995.772272408,25.8531,321.098662238,8.79123,8.79854395635,-9.71179,0.829969,651.262329485,23.9726,321.098662238,1096.81165548,32,321.098662238,8.8490198693,0.884221,0.626375411587,119.995177776,32,8.83668,90.6863334219
0.0,1389.07723903,26.3152,343.311888902,9.5257,9.53127968728,-10.4332,0.879946,1035.76905315,24.4025,343.311888902,1532.71598646,33,343.311888902,9.58089532714,0.886177,0.647353325355,135.594949566,33,9.56981,119.844570337
0.0,623.014063852,26.7428,381.346592542,10.2846,10.2920776505,-11.2001,0.899847,407.133749721,24.7503,381.346592542,871.319944854,34,381.346592542,10.3292476321,0.910102,0.653493894828,149.948041677,34,10.3174,109.623335086
0.0,1693.82511721,27.1298,511.449738649,11.0078,11.014842025,-11.8802,0.906747,1262.66454563,25.1159,511.449738649,1861.32789953,35,511.449738649,11.051383211,0.881414,0.662359834958,190.102899317,35,11.0417,155.915949771
