Iteration,AverageReturn,MaxEsReturn,AverageAbsY,AverageAbsQYDiff,QFunRegParamNorm,AverageQLoss,AveragePolicySurr,AverageEsReturn,MaxReturn,StdReturn,MinEsReturn,PolicyRegParamNorm,Epoch,StdEsReturn,AverageDiscountedReturn,MinReturn,AverageAction,AverageY,AverageQ,AverageAbsQ
9,105.45448028,-80.9052030256,1.87519890445,1.45645352318,11.5823,3.21334,-0.973263,-184.541331481,142.331052146,16.6530742046,-340.206088703,11.7802,9,68.8465517066,7.45593692492,76.938137963,0.199621,1.87519890445,0.52384,0.657495
10,-599.915510813,-272.205518492,0.940603255073,0.331970570923,11.836,0.229213,-1.4732,-272.205518492,-597.642404006,1.36082816642,-272.205518492,12.4794,10,0.0,-62.3702610579,-602.909071438,0.995218,0.940603095887,0.92515,0.925283
11,-586.993014785,-238.825558006,0.836758429983,0.141858981637,11.9141,0.0345738,-1.06143,-238.825558006,-586.376474773,0.568434555439,-238.825558006,12.6467,11,0.0,-60.6771717913,-587.927119303,0.974656,0.836757991291,0.832922,0.832924
12,60.2733835481,-331.470771604,0.867298505959,0.0944395203696,11.8727,0.0149471,-1.11922,-331.470771604,72.2014199718,12.6055160381,-331.470771604,14.6851,12,0.0,7.0510715521,24.2605710692,0.981528,0.867297989448,0.865471,0.865471
13,-586.779093854,-430.057850987,1.04502839699,0.091114777539,11.8927,0.0140489,-1.36345,-430.057850987,-584.292461056,1.55153210626,-430.057850987,14.9995,13,0.0,-52.5312346943,-589.863947853,0.990413,1.04502810541,1.04285,1.04285
14,-592.663067647,-294.428458761,1.24326747221,0.0642235243405,11.7952,0.0073548,-1.41507,-294.428458761,-591.48169822,1.78100202923,-294.428458761,15.1667,14,0.0,-53.1559679327,-597.827264439,0.999708,1.24326701676,1.24153,1.24153
15,-593.424047135,-402.080277728,1.32860180331,0.0531203898752,11.7386,0.00594387,-1.38683,-402.080277728,-590.787591891,1.44058252336,-402.080277728,15.3883,15,0.0,-53.8767414194,-595.952733044,0.999958,1.32860132089,1.32765,1.32765
16,-594.265253412,-416.101372223,1.32028528214,0.0438508650145,11.704,0.00433587,-1.32057,-416.101372223,-592.568089534,1.34186557046,-416.101372223,15.4674,16,0.0,-54.6723053302,-596.375778447,0.999997,1.32028487048,1.31969,1.31969
17,-593.216649424,-374.107051362,1.28788047889,0.035894685949,11.7181,0.00319043,-1.26771,-374.107051362,-591.050707313,1.30392775111,-374.107051362,15.4951,17,0.0,-53.7514704041,-595.719351826,0.999999,1.28788000516,1.28759,1.28759
18,-594.030251823,-393.960821129,1.24694441278,0.0296514054818,11.7601,0.00263283,-1.22827,-393.960821129,-591.27669629,1.69182124087,-393.960821129,15.4978,18,0.0,-54.4822039428,-597.551783753,0.999999,1.24694382033,1.24671,1.24671
19,-593.255311646,-388.246594212,1.21593166523,0.0263722485808,11.8916,0.00250361,-1.20701,-388.246594212,-591.600354908,1.00547665599,-388.246594212,15.5533,19,0.0,-53.7858935251,-594.549080045,1.0,1.21593116002,1.21564,1.21564
20,-593.946587955,-414.58655868,1.19070371978,0.0209925031232,12.0534,0.00189019,-1.18435,-414.58655868,-592.488207523,0.769109462226,-414.58655868,15.5535,20,0.0,-54.3770683743,-595.278701309,1.0,1.19070301396,1.1905,1.1905
21,-593.752863663,-394.225119482,1.17088093488,0.0173599746666,12.2462,0.00139978,-1.17105,-394.225119482,-591.784401861,1.22554199523,-394.225119482,15.5536,21,0.0,-54.2461044769,-595.472515201,1.0,1.17088039785,1.17073,1.17073
22,-593.520816428,-356.923993752,1.15329896875,0.0162097842086,12.4903,0.00127439,-1.15122,-356.923993752,-590.698665463,1.40901413457,-356.923993752,15.5534,22,0.0,-53.9984421599,-595.66868609,1.0,1.15329827209,1.15314,1.15314
23,-593.331646464,-396.967541775,1.13374547477,0.0171416720612,12.789,0.00208053,-1.13216,-396.967541775,-591.725640042,0.87470061563,-396.967541775,15.5617,23,0.0,-53.8286771198,-594.39937615,0.999989,1.13374435999,1.13357,1.13357
24,-600.387195529,-404.038316591,1.11473386359,0.0138555336608,13.1153,0.001464,-1.11441,-404.038316591,-599.202267711,0.804391778154,-404.038316591,15.6698,24,0.0,-60.3619346435,-601.459222078,1.0,1.11473298394,1.11458,1.11458
25,-600.52408009,-394.68295206,1.10399606307,0.0132726523909,13.4577,0.00132205,-1.10684,-394.68295206,-599.475015261,0.579934253732,-394.68295206,15.6709,25,0.0,-60.4980438806,-601.40252866,1.0,1.10399514132,1.10385,1.10385
26,-600.628232516,-412.88632004,1.09469816662,0.0126797218521,13.8973,0.00119645,-1.09883,-412.88632004,-599.578559031,0.771208798891,-412.88632004,15.6715,26,0.0,-60.6004071753,-601.964596255,1.0,1.09469754744,1.09457,1.09457
27,-600.127571233,-408.711326471,1.08468518977,0.0112801848728,14.2923,0.00101833,-1.08736,-408.711326471,-598.754854341,0.880354978043,-408.711326471,15.672,27,0.0,-60.1083124199,-601.590038958,1.0,1.08468456044,1.08458,1.08458
28,-600.405378175,-406.566960474,1.07467001836,0.0103832154312,14.7158,0.000897855,-1.0767,-406.566960474,-599.514785884,0.686371471291,-406.566960474,15.6722,28,0.0,-60.3825187057,-601.60768504,1.0,1.07466939936,1.07456,1.07457
29,-600.549455231,-419.785041742,1.06331141698,0.00998679935542,15.0124,0.000915377,-1.06362,-419.785041742,-599.609493114,0.675073631785,-419.785041742,15.6725,29,0.0,-60.5207883027,-601.476978884,1.0,1.06331082497,1.06319,1.06319
30,-600.65918837,-423.312881634,1.05223850553,0.0096802894672,15.3487,0.000922904,-1.05332,-423.312881634,-599.755273281,0.630769485602,-423.312881634,15.6728,30,0.0,-60.6339620721,-601.758290623,1.0,1.05223784281,1.05212,1.05212
31,-600.761568853,-431.195104432,1.0406498841,0.00931401632849,15.7384,0.000971555,-1.04203,-431.195104432,-599.69385011,0.769702621902,-431.195104432,15.6729,31,0.0,-60.7276597118,-602.335915612,1.0,1.04064913502,1.04053,1.04053
32,-600.323397938,-376.454702286,1.02881366691,0.00917886050574,16.1383,0.000852804,-1.0295,-376.454702286,-599.571778295,0.53409059007,-376.454702286,15.673,32,0.0,-60.3029119056,-601.447338374,1.0,1.02881306085,1.02868,1.02872
33,-599.891638642,-427.239059776,1.0173538296,0.00859281001862,16.3536,0.000941629,-1.01836,-427.239059776,-598.8406066,0.587223586676,-427.239059776,15.6731,33,0.0,-59.879915366,-600.887035361,1.0,1.01735306554,1.01727,1.01727
34,-600.041211642,-405.193963222,1.00536220323,0.00734179560891,16.6625,0.000752295,-1.00522,-405.193963222,-599.324010896,0.528385843327,-405.193963222,15.6732,34,0.0,-60.030674792,-601.098640632,1.0,1.00536163844,1.0053,1.0053
35,-600.191038263,-378.014389359,0.992810851241,0.00610870395278,16.8345,0.000492369,-0.992068,-378.014389359,-599.02766737,0.894996967595,-378.014389359,15.6732,35,0.0,-60.1724110478,-601.536264441,1.0,0.992810407572,0.992756,0.992756
36,-600.676962872,-430.772054356,0.980169470295,0.00812095583293,17.1214,0.000857538,-0.980156,-430.772054356,-599.89251452,0.676717796926,-430.772054356,15.6729,36,0.0,-60.6446271,-602.253335782,1.0,0.980168763639,0.980055,0.980153
37,-601.300724718,-406.096494321,0.966632869285,0.00803046650807,17.385,0.00110576,-0.966486,-406.096494321,-600.049545706,1.00898553536,-406.096494321,15.9046,37,0.0,-61.2520652447,-604.10349848,1.0,0.966631866777,0.96653,0.966605
38,-601.829216498,-363.697985889,0.957978084711,0.0071135836237,17.5859,0.000755413,-0.958337,-363.697985889,-600.584839288,0.906741963551,-363.697985889,15.9059,38,0.0,-61.7548630702,-603.501900398,1.0,0.957967380217,0.957908,0.957918
39,-601.336403385,-363.113598022,0.949096392488,0.00736476822959,17.8026,0.000854583,-0.950871,-363.113598022,-600.063572869,0.91468088757,-363.113598022,15.9082,39,0.0,-61.2824686349,-603.078021891,1.0,0.949088008903,0.949031,0.949031
40,-602.218342138,-397.080154874,0.940287976319,0.00719435588234,18.0162,0.000723231,-0.941503,-397.080154874,-600.349060294,1.34810848545,-397.080154874,15.9082,40,0.0,-62.1381943873,-604.183407199,1.0,0.940285037152,0.940184,0.940235
41,-601.165532839,-301.283110278,0.928091755428,0.00657506706939,18.2467,0.000821353,-0.926588,-301.283110278,-599.89428963,1.27956951278,-301.283110278,15.9056,41,0.0,-61.1194444207,-604.390645493,1.0,0.928069650502,0.927998,0.928003
42,-601.882678534,-339.965478407,0.916525682946,0.00617749020006,18.3901,0.000687402,-0.915298,-339.965478407,-600.613103129,1.20708610656,-339.965478407,15.9044,42,0.0,-61.7961809733,-604.541241085,1.0,0.916469116417,0.916413,0.916455
43,-601.638778771,-393.216343997,0.904174355959,0.00625534638633,18.5491,0.000835021,-0.902648,-393.216343997,-599.768408824,1.58817661056,-393.216343997,15.9044,43,0.0,-61.5714686334,-603.999505624,1.0,0.904151725857,0.90409,0.904143
44,-602.125106561,-331.522922293,0.893730985689,0.00510138337298,18.6133,0.000606566,-0.896277,-331.522922293,-600.261231812,0.940227838466,-331.522922293,16.432,44,0.0,-62.1279518096,-603.179163125,0.999932,0.893730354916,0.893673,0.893686
45,-602.324186207,-373.625876664,0.885703937899,0.00737449032769,18.8449,0.000823541,-0.883959,-373.625876664,-600.108411677,1.13337874466,-373.625876664,16.4723,45,0.0,-62.4107061314,-604.451347631,0.999722,0.88570300937,0.885653,0.885682
46,-592.189182886,-301.255057793,0.871666887372,0.00732971073879,19.0476,0.000862375,-0.866481,-301.255057793,-573.9402642,14.5153612879,-301.255057793,16.4769,46,0.0,-62.9778841427,-621.981336719,0.983903,0.871666109661,0.871612,0.87167
47,-600.05088869,-292.071754487,0.85395550862,0.0118423602593,19.2685,0.0015499,-0.863777,-292.071754487,-598.511017957,1.0455115298,-292.071754487,18.146,47,0.0,-59.9636923638,-601.864429093,0.999986,0.853954483872,0.853884,0.853925
48,-600.496517607,-490.624265093,0.859220209654,0.00763173178241,19.3825,0.000818977,-0.861301,-490.624265093,-599.117744051,0.576527710658,-490.624265093,18.1449,48,0.0,-60.398263448,-601.397274794,0.999983,0.859219548905,0.859149,0.859169
