AverageAbsQ,StdEsReturn,AverageQ,AverageAbsQYDiff,AverageAbsY,PolicyRegParamNorm,AverageAction,AverageReturn,StdReturn,MinEsReturn,AverageDiscountedReturn,Iteration,AverageEsReturn,MaxReturn,AverageY,Epoch,AverageQLoss,QFunRegParamNorm,MinReturn,MaxEsReturn,AveragePolicySurr
0.749603,44.8177767091,0.649207,1.26582684007,1.7521297481,11.7796,0.199138,108.979579426,14.8288133368,-275.694642656,7.77636626463,9,-186.055606445,126.00920546,1.7521297481,9,2.65423,11.5828,71.2178690583,-124.929555818,-1.06142
0.948739,0.0,0.948599,0.336802355501,0.964356329058,12.3715,0.997009,-600.754736753,0.996930200024,-249.127649008,-62.3037033784,10,-249.127649008,-598.80064963,0.964353685363,10,0.232836,11.8579,-602.397214533,-249.127649008,-1.5114
0.88622,0.0,0.886213,0.145118323463,0.890617652431,12.4047,0.999518,-602.369216341,0.834025225961,-295.509213041,-62.5681261561,11,-295.509213041,-600.901477723,0.890611238244,11,0.036215,11.9312,-603.717838951,-295.509213041,-1.18327
0.917212,0.0,0.917212,0.0931340946434,0.918582665087,12.7178,0.999714,-602.247117525,0.667352453283,-331.567538324,-62.3430793468,12,-331.567538324,-601.027252036,0.918576049736,12,0.0150974,11.8983,-603.387560473,-331.567538324,-0.917362
0.868857,0.0,0.868857,0.075275004933,0.870314145964,12.9858,0.999886,-593.220304066,1.69416693073,-303.053459916,-53.8149059633,13,-303.053459916,-590.604419404,0.870309586735,13,0.00969564,11.8604,-596.813428546,-303.053459916,-1.12549
1.13217,0.0,1.13217,0.0676308955341,1.13369834401,13.0741,0.999979,-594.164114255,0.694539152166,-373.282886021,-54.6005938435,14,-373.282886021,-593.135363125,1.13369238614,14,0.00799934,11.7977,-595.687934224,-373.282886021,-1.29867
1.18977,0.0,1.18977,0.0512456162372,1.19046191045,13.0866,0.999987,-593.559417035,1.04407001451,-409.802222,-54.0448401023,15,-409.802222,-591.431960049,1.19045489131,15,0.00539425,11.7711,-594.95781971,-409.802222,-1.22145
1.16699,0.0,1.16699,0.0380208167282,1.16729459159,13.0686,0.999983,-593.554434738,0.692627724185,-421.022864574,-54.081830871,16,-421.022864574,-592.137378991,1.16728922698,16,0.00333536,11.7568,-595.084732218,-421.022864574,-1.15007
1.11965,0.0,1.11965,0.0304079753173,1.11983892666,12.9952,0.999877,-594.046207605,1.41794446198,-372.946310769,-54.5454030167,17,-372.946310769,-592.001188306,1.11983285131,17,0.00229794,11.7665,-596.543634423,-372.946310769,-1.09139
1.08154,0.0,1.08154,0.0268443701833,1.08179531854,14.4794,0.975739,-554.891611748,2.39825619676,-396.014437443,-56.0992553608,18,-396.014437443,-551.148636749,1.08178786859,18,0.00207782,11.7958,-558.412477414,-396.014437443,-1.10787
1.15746,0.0,1.15746,0.0297956427023,1.15803108433,14.6647,0.999913,-601.329794831,1.15061813129,-437.791881491,-61.4202269778,19,-437.791881491,-599.748317792,1.15802472629,19,0.00265971,11.8895,-603.525550043,-437.791881491,-1.21417
1.19907,0.0,1.19907,0.0251740140458,1.19934182245,14.6981,0.999981,-601.415894679,1.07767409648,-305.208663023,-61.4560613403,20,-305.208663023,-599.270477001,1.19933448976,20,0.00215413,12.0513,-603.005659034,-305.208663023,-1.23995
1.21209,0.0,1.21209,0.0215331493734,1.21233015429,14.7148,0.999991,-601.357575565,1.72546086403,-322.423048883,-61.4226327873,21,-322.423048883,-599.607531088,1.21232350785,21,0.00176736,12.2344,-604.614761252,-322.423048883,-1.2302
1.2016,0.0,1.2016,0.0183265325517,1.20174302612,14.7241,0.999994,-601.012603956,1.33388629882,-362.908973979,-61.0824072157,22,-362.908973979,-599.833652771,1.20173570087,22,0.00141557,12.4742,-603.741601607,-362.908973979,-1.2039
1.1792,0.0,1.1792,0.0193062499114,1.17934367834,14.7285,0.999995,-601.290135348,1.37338132991,-349.992615164,-61.3443465571,23,-349.992615164,-598.515607121,1.17933348421,23,0.0022074,12.7586,-603.263354474,-349.992615164,-1.17247
1.15514,0.0,1.15514,0.0168961473668,1.1553068064,15.448,0.999694,-614.459957176,6.84467149303,-369.771088782,-60.6705869721,24,-369.771088782,-602.050010161,1.15529970099,24,0.00158288,13.0597,-621.328726135,-369.771088782,-1.15322
1.13719,0.0,1.13718,0.0157568494675,1.13730919554,16.0123,0.999886,-599.777111511,1.46833553566,-392.98530287,-59.8547936178,25,-392.98530287,-597.359052453,1.13730066716,25,0.00147293,13.3506,-601.760382329,-392.98530287,-1.13872
