MinEsReturn,MaxEsReturn,AverageDiscountedReturn,AverageY,AverageAbsQ,Epoch,AverageReturn,Iteration,QFunRegParamNorm,MaxReturn,AverageAbsY,StdEsReturn,AverageQ,AverageEsReturn,AveragePolicySurr,AverageAction,AverageQLoss,PolicyRegParamNorm,StdReturn,MinReturn,AverageAbsQYDiff
-342.268633937,-233.967717172,-1.49880007134,2.77488229304,1.01141,9,-0.698903291499,9,11.4917,8.02987015592,2.77488229304,36.0632459103,-0.293233,-291.146329414,-0.230235,0.00563842,16.2719,11.7099,3.60726717841,-7.64216075367,3.06811495472
-310.283435827,-310.283435827,-96.8951374839,1.1966862359,1.17908,10,-1003.709076,10,11.636,-931.172932784,1.19669218347,0.0,1.17702,-310.283435827,-1.7553,0.99693,0.264221,12.4019,52.3157993824,-1097.73391535,0.340143792032
-308.009499111,-308.009499111,-98.4915083654,1.19603600049,1.18775,11,-1028.70899266,11,11.6883,-984.191534808,1.19604615875,0.0,1.18775,-308.009499111,-1.59462,0.99996,0.0455904,13.1073,31.8453799039,-1077.92908852,0.163910535412
-535.333149628,-535.333149628,-79.6266353868,1.36791221281,1.36433,12,-799.006039889,12,11.659,-788.812571876,1.36792339632,0.0,1.36433,-535.333149628,-1.53136,0.999493,0.0206562,13.9052,8.77245417907,-818.569815768,0.109432754629
-544.002460432,-544.002460432,-39.6861605802,1.4125005656,1.41004,13,-499.028386263,13,11.6033,-438.237083958,1.41251095034,0.0,1.41004,-544.002460432,-1.53642,0.999808,0.0141523,14.848,26.6348899583,-525.098226415,0.0893967683334
-531.060006909,-531.060006909,-36.1455392815,1.55270288192,1.55028,14,-427.790622864,14,11.5476,-413.854005886,1.55270926109,0.0,1.55028,-531.060006909,-1.77741,0.999882,0.0115948,15.7529,11.2067846099,-447.444455679,0.0798958993156
-417.155283763,-417.155283763,-52.7555823502,1.71200154343,1.71051,15,-533.915147807,15,11.5083,-506.925337075,1.71201219006,0.0,1.71051,-417.155283763,-1.8508,0.999872,0.00932074,16.3422,13.8833003701,-548.055636636,0.0653139710586
-468.831574974,-468.831574974,-102.908007134,1.7570816247,1.75599,16,-849.306842217,16,11.4528,-734.772836298,1.75709057485,0.0,1.75599,-468.831574974,-1.82188,0.987452,0.00673256,17.0278,72.594990685,-947.414329921,0.0531206165853
-386.280745293,-386.280745293,-97.9739509429,1.79193621571,1.79106,17,-858.055928399,17,11.4403,-629.912573238,1.79194211503,0.0,1.79106,-386.280745293,-1.8709,0.98975,0.00587094,17.7367,197.788339667,-1279.61442387,0.04722705083
-811.590360031,-811.590360031,-104.672369809,1.82475842063,1.82401,18,-1125.19169639,18,11.4798,-1061.83440332,1.82476615262,0.0,1.82401,-811.590360031,-1.89433,0.99257,0.00575351,18.3902,51.0632684161,-1217.63859678,0.0424017292742
