MinReturn,AverageQ,AverageAbsQ,Epoch,MaxEsReturn,MinEsReturn,AverageY,AverageAction,AverageReturn,StdEsReturn,AveragePolicySurr,Iteration,PolicyRegParamNorm,AverageAbsY,AverageDiscountedReturn,StdReturn,QFunRegParamNorm,AverageAbsQYDiff,AverageQLoss,MaxReturn,AverageEsReturn
95.7759358704,0.695861,0.741847,9,-67.1971474391,-290.709775377,1.678881923,0.217848,108.636683174,62.1324546431,-1.07809,9,11.7798,1.69572248536,7.41923222144,9.38598021412,11.5842,1.31663433759,2.71191,126.534103039,-198.549939017
-540.143605028,0.662435,0.750436,10,-227.47596821,-227.47596821,0.672177661075,0.902615,-539.394023988,0.0,-1.64445,10,12.37,0.806172542366,-52.2727065117,0.53387692612,12.2302,0.385971634704,0.294614,-538.488570431,-227.47596821
-579.898841905,0.566718,0.728916,11,-384.336665269,-384.336665269,0.568404894206,0.933973,-540.511368523,0.0,-1.39924,11,13.3569,0.779585148362,-50.8324981207,26.7083472448,13.1136,0.266375042563,0.126751,-507.736529616,-384.336665269
-573.859242137,0.781055,1.06872,12,-365.745952532,-365.745952532,0.782219809942,0.926745,-570.265080521,0.0,-1.54578,12,14.429,1.10920858472,-50.1213598355,2.64967156948,14.092,0.270615517689,0.129338,-565.226055855,-365.745952532
-544.319869802,1.1778,1.62592,13,-435.97888378,-435.97888378,1.18048224564,0.910831,-541.801843904,0.0,-1.93782,13,15.5255,1.65602476543,-49.5474973776,1.40904946208,14.9263,0.281119925377,0.139531,-539.120517067,-435.97888378
-331.457780978,1.4521,2.18962,14,-373.189120906,-373.189120906,1.4540890345,0.624992,-315.050654596,0.0,-2.18093,14,16.2583,2.21482696949,-34.5606338191,8.86141224054,15.7202,0.300961468417,0.162205,-297.104833196,-373.189120906
-494.172842905,1.65018,2.40994,15,-361.478969128,-361.478969128,1.65117643398,0.872794,-490.785817003,0.0,-2.19884,15,16.9007,2.43735798005,-47.128710303,1.90743520043,16.4793,0.329740900714,0.191798,-488.285456482,-361.478969128
-465.866700918,1.74318,2.45175,16,-345.986519744,-345.986519744,1.74455473988,0.852856,-459.721435068,0.0,-2.12702,16,17.6041,2.48155114674,-40.312908689,3.85804216567,17.2311,0.345288850637,0.213753,-453.10574644,-345.986519744
-497.071011116,1.73758,2.49216,17,-349.402655089,-349.402655089,1.7381550447,0.611073,-346.434014298,0.0,-2.39744,17,18.4029,2.52861252775,-53.6227253574,74.4230773811,18.1055,0.380675324418,0.270585,-262.656933752,-349.402655089
-496.666839627,2.05115,2.7244,18,-277.672868675,-277.672868675,2.05468980443,0.701745,-416.069418646,0.0,-2.84438,18,18.883,2.76441386932,-32.4944842244,40.050436572,18.8396,0.409880565508,0.313666,-335.290593894,-277.672868675
