AverageDiscountedReturn,AveragePolicySurr,AverageAbsQYDiff,QFunRegParamNorm,AverageReturn,Iteration,MaxReturn,AverageQLoss,AverageY,AverageAction,MinEsReturn,PolicyRegParamNorm,AverageQ,AverageAbsY,MinReturn,StdEsReturn,Epoch,StdReturn,AverageAbsQ,AverageEsReturn,MaxEsReturn
11.471892049,0.462094,2.00323989447,11.1658,12.2223062244,9,12.7969110917,4.6993,1.26603795932,0.0388659,1.46269611512,11.1823,-0.737202,1.26611481002,11.2991494981,15.4291908026,9,0.256805067759,0.738898,14.332429856,117.738549049
0.402525569036,-1.2153,0.138408090707,11.3798,0.251240092701,10,0.534294632714,0.0713504,1.16363616665,0.999904,-0.82473574694,12.2223,1.15013,1.19376860539,-0.0298134152225,1.32378302585,10,0.115076401133,1.16843,1.36147685248,6.74711013667
34.3081845207,-1.57913,0.0983454935261,11.7211,38.590625809,11,40.420215375,0.029518,1.48539767335,0.999992,-1.5448851224,13.0762,1.48412,1.55332666515,36.5719963851,21.8589571355,11,0.883742728476,1.54936,24.3093922539,75.1708745726
34.3280431245,-2.41386,0.152417410419,12.4189,38.6178600289,12,40.3423063502,0.0844405,2.18492065187,0.999942,7.42211453156,13.4224,2.18327,2.32007734923,36.5218359377,7.83808136514,12,0.907772676139,2.31503,39.8703174755,67.909887806
34.2910709873,-3.47954,0.196964149214,13.4588,38.5706368168,13,41.3344400812,0.155971,3.12218688431,0.999925,35.9324842164,13.5724,3.12003,3.28546201888,36.5649221058,4.37820597866,13,0.952178090843,3.28,41.9677855558,57.8817976027
79.398306086,-4.71915,0.239908290644,14.5799,105.107819593,14,122.305519391,0.242096,4.25630420398,0.705984,4.07161189766,14.1504,4.2542,4.41745836101,89.8148068016,31.3887402438,14,7.15245140816,4.41271,57.2229474806,152.486360091
111.512952866,-6.13323,0.302328234464,15.8359,172.130456243,15,175.932454904,0.403446,5.53384269919,0.702048,18.270760635,14.835,5.53034,5.69430810267,165.965992887,54.4470917948,15,2.29614193589,5.68782,108.027414228,177.390462741
111.929391074,-7.6061,0.347581243192,17.0789,173.13528313,16,176.47085026,0.580319,6.89174969499,0.714763,67.7670037325,15.7541,6.88929,7.02691220105,169.271767867,42.8649903337,16,1.63896448994,7.02307,137.168665595,198.450415801
111.207226143,-9.26893,0.387249545515,18.185,172.205037927,17,176.337647915,0.725852,8.46285387622,0.684172,84.39835747,16.4057,8.45891,8.57562105606,168.84836511,31.9797408105,17,1.36564770672,8.56997,151.795674001,193.768568977
111.542045626,-11.0542,0.455897164847,19.363,171.444613985,18,174.8846922,1.06445,10.148768728,0.671804,17.6134759183,17.0114,10.1454,10.2356216313,165.828187771,53.8699010902,18,1.94693618778,10.2316,131.654428156,177.273481814
111.830329655,-12.8652,0.496884567307,20.5409,172.192378328,19,175.342082874,1.21938,11.8813614542,0.693838,5.59547221151,17.4286,11.8771,11.9541712372,167.904827412,53.0373835769,19,1.78877627087,11.9496,150.142450789,186.182650435
