AverageAction,StdReturn,PolicyRegParamNorm,QFunRegParamNorm,MaxEsReturn,Iteration,AverageEsReturn,MinReturn,AverageAbsQ,AverageQLoss,Epoch,StdEsReturn,AverageAbsY,AverageReturn,AverageQ,AverageDiscountedReturn,AverageAbsQYDiff,AveragePolicySurr,MinEsReturn,MaxReturn,AverageY
0.0394298,0.251148333487,11.1818,11.1656,115.529720779,9,14.5853259315,11.3119136229,0.752356,4.71326,9,15.6615828712,1.25871505058,12.1711804906,-0.752356,11.4268764396,2.01107015569,0.475055,2.12292731065,12.7413634376,1.25871445533
0.992274,0.112391137661,12.1944,11.3867,13.797826329,10,1.76989400336,-0.045797605709,1.18179,0.0703284,10,2.23666814114,1.20675184901,0.245996127482,1.16424,0.397433129051,0.138291726504,-1.23761,-0.981959176269,0.541912920271,1.17722062665
0.999953,0.928934794075,13.2057,11.6527,73.6571648436,11,22.4249763326,36.7230415534,1.58988,0.0313617,11,21.3352131317,1.59291487023,38.7166845735,1.53832,34.4168839933,0.100955805491,-1.63652,-0.457807134451,40.6404310324,1.53946629777
0.999978,0.885395870768,13.6735,12.3097,69.8333106258,12,40.0552313308,36.4189750885,2.34974,0.0951761,12,7.93518452866,2.35432192434,38.4916993897,2.24265,34.2307046781,0.159973353277,-2.4457,8.52593618927,40.2625446609,2.2448104207
0.994912,0.912727632267,13.8338,13.2824,97.6089147145,13,43.287203073,36.5123714571,3.32185,0.188642,13,10.0779675594,3.32704665178,38.6361923864,3.18033,34.3437651589,0.212599855465,-3.51254,34.4241615278,41.3946286798,3.1823899943
0.963869,0.530940839473,14.0828,14.5128,51.8152541483,14,40.1442728765,53.7494456248,4.48678,0.289454,14,6.24307437267,4.49265581894,56.412309911,4.36048,47.7643949238,0.257976246892,-4.776,5.16475338886,57.2835646791,4.36430224253
0.738153,0.780863869963,14.3711,15.6126,121.116255453,15,56.276334233,116.679051651,5.65954,0.371409,15,19.1722941254,5.66164066189,118.572182239,5.54043,86.2642292326,0.291025510925,-6.0811,36.8796115975,120.150304699,5.54228453309
0.708288,0.884371925308,14.8376,16.851,189.586969167,16,112.390290175,100.911651751,6.97472,0.482263,16,38.8525947001,6.97811943795,104.221898502,6.88117,78.580090748,0.343639672511,-7.59475,27.6541186319,106.174255851,6.88561868794
0.703513,0.736256372259,15.8491,17.9941,183.622842793,17,116.750057003,115.671608653,8.47509,0.58677,17,45.1627049486,8.47699602002,117.212277319,8.39489,85.7005747933,0.35678926234,-9.17691,34.7907337586,118.74330844,8.39780866557
0.698056,1.3596545323,16.4849,19.0405,195.472676832,18,124.497933144,170.458861434,10.1018,0.862729,18,55.1835535895,10.1050547417,173.464078107,10.0396,112.011583834,0.424951337076,-10.9611,32.407729809,177.454302452,10.0434427278
