AverageAbsY,AverageQLoss,PolicyRegParamNorm,StdReturn,AverageAbsQYDiff,MaxEsReturn,AverageQ,AverageAction,MinEsReturn,AverageAbsQ,AverageReturn,Iteration,MaxReturn,AveragePolicySurr,QFunRegParamNorm,Epoch,AverageEsReturn,StdEsReturn,AverageDiscountedReturn,MinReturn,AverageY
1.48460202563,3.3525,11.2295,0.0490353968729,1.72026987283,55.1065115211,-0.241053,0.218277,1.61537475811,0.308952,9.23153319235,9,9.34239451655,-0.0377988,11.1299,9,9.85294369298,6.91228067679,8.80625091904,9.10993501334,1.47921683528
1.18987002531,0.0504998,12.4196,0.0429239226028,0.113213853767,40.4394463845,1.16959,0.96415,2.44547575844,1.17877,5.29725003254,10,5.40453929658,-1.24182,11.5343,10,5.40280087536,3.92324230481,5.13623113104,5.11496252068,1.17847695877
1.3777349493,0.00927645,12.6808,0.0429130777555,0.0598363333493,16.643348498,1.36074,0.999999,3.91444071289,1.37806,5.2962620425,11,5.40924745206,-1.35951,11.9979,11,6.41487000134,1.93352285479,5.13523013477,5.08668266309,1.36117844351
1.73491657677,0.0120856,12.7291,0.0405160290286,0.0654596379287,23.6965243222,1.70864,1.0,3.78080430708,1.73547,5.29503133786,12,5.41194723247,-1.6923,12.9597,12,7.28049134755,3.34929633922,5.1339260293,5.10046472495,1.70893251974
2.24658787472,0.033783,13.1337,0.913898352802,0.089327861517,48.1202510706,2.21455,1.0,4.11901950408,2.24669,38.8349006887,13,40.7436663911,-2.53187,14.3259,13,21.2265790729,17.2131887982,34.5090504004,36.7128053015,2.21511783236
3.53471928592,0.108609,13.1417,0.910090983525,0.137602093082,62.0190498141,3.51148,1.0,23.9351119338,3.53486,38.8037819173,14,40.6474226305,-4.10745,16.0304,14,42.197858803,6.27202356079,34.4854111096,36.7041009884,3.51236444835
4.71145638249,0.161893,13.147,0.905735463116,0.173380517447,53.8481148584,4.69101,1.0,11.5312035389,4.71276,38.7402763323,15,40.6850906716,-5.3799,17.7872,15,40.2403907133,6.49181535869,34.4332422452,36.6742745937,4.69175082123
5.97091098095,0.177358,13.1521,0.934231590077,0.19448290582,64.4956950533,5.95373,1.0,3.11625934257,5.9722,38.7391809675,16,40.7214393577,-6.734,19.2134,16,40.8938128383,7.41815792523,34.4328443625,36.7297136303,5.95486410742
7.24899579381,0.170264,13.1547,0.946367394208,0.197668490363,65.289150997,7.23435,1.0,6.30390284982,7.25116,38.7611005891,17,40.7626288873,-8.09306,20.43,17,40.8979820767,7.13162499492,34.4496935271,36.5652659485,7.2349577828
8.56994451125,0.182352,13.1624,0.879688302245,0.214330719185,51.5741950164,8.55528,1.0,16.6759725682,8.57225,38.7997781934,18,40.6601993817,-9.50071,21.5161,18,40.0893028355,5.26434484678,34.4794159313,36.6642425971,8.55595101842
9.85804792387,0.22316,14.8776,1.54533828681,0.2342354429,127.40389828,9.81814,0.917108,38.6473739938,9.85958,88.702370917,19,91.5682204014,-10.8988,22.4445,19,70.5381194212,30.497799877,68.2212639483,86.2519266301,9.81922242196
11.077576934,0.31256,16.376,1.17061681081,0.275361494015,118.025562898,10.9693,0.77956,22.6863146943,11.0787,79.1161977876,20,80.941687354,-12.1808,23.3791,20,79.7473990236,20.7370089594,63.1157808209,77.2787100776,10.9703976027
12.4321463842,0.35285,17.4278,0.812083868562,0.296568572287,102.354812766,12.3511,0.738453,41.4826314558,12.4332,93.3694287198,21,94.6828140977,-13.7041,24.3008,21,79.1537757069,13.6183959145,71.463017093,91.1689472424,12.3523291237
13.8702584002,0.405035,18.1687,0.825992054254,0.327314882724,161.770945993,13.8172,0.715022,17.6161372945,13.8707,107.934881296,22,109.928635523,-15.2873,25.2391,22,92.9115553477,36.2552541662,79.2678826469,105.823756101,13.8189635721
15.2710491178,0.487758,18.7163,0.918870322176,0.35156840851,142.365443104,15.235,0.705573,8.42424438197,15.2728,115.263819406,23,117.12803814,-16.8105,26.1796,23,95.3787854529,33.7960357839,82.9312237932,113.485204082,15.2364027115
16.6810070783,0.642678,19.8457,13.4910496768,0.397147212322,208.209882158,16.6576,0.746113,14.437838552,16.6845,138.587115469,24,161.60195669,-18.6157,27.1602,24,98.0370599662,59.3637447515,95.9931093133,120.805610935,16.6584148871
18.3788498431,0.902948,20.5027,4.30517076207,0.467231341372,210.509388263,18.3602,0.510264,60.6095625637,18.3799,188.768242621,25,197.639043437,-20.7859,28.2008,25,176.976498337,37.9440549838,117.137295926,181.279869795,18.3633617898
20.2610474805,1.12708,21.0642,4.25054396809,0.493994019704,204.14628779,20.2466,0.624969,23.0700032009,20.2642,186.700149928,26,195.570232902,-22.517,29.2441,26,157.045302259,52.4249081504,116.295850189,178.911449401,20.2489588097
21.9590383899,1.19324,21.79,3.35063256159,0.513914006623,200.05587165,21.9462,0.733001,155.899179109,21.9625,182.76844034,27,190.409598352,-24.2475,30.1276,27,185.912059369,12.7492030078,114.602679916,175.842868361,21.9487597687
23.5713341165,1.32897,22.6597,2.55930813454,0.548185619175,213.616605679,23.5612,0.781006,111.548823394,23.5757,194.50912501,28,199.127483966,-25.886,31.0929,28,176.252320411,36.1209727083,118.724554412,186.127934146,23.5639299566
25.2182456875,1.6298,23.532,13.1535446491,0.591131693764,233.127837922,25.2082,0.82746,31.7943236648,25.2243,184.351427165,29,196.819216733,-27.5512,32.1511,29,173.119813191,54.3697653546,115.143754798,109.192938035,25.2107537484
27.0008865495,1.74231,24.0794,23.0839380764,0.618985481229,206.131672098,26.9932,0.761219,65.7448481591,27.008,193.6699713,30,208.968633991,-29.3155,33.1077,30,153.200950233,43.2303975745,118.01908431,110.747758884,26.9957598367
28.5565254915,2.15181,24.7157,1.64155870762,0.665172307015,204.303831875,28.5483,0.777954,15.0965077666,28.5648,194.041717333,31,199.389620702,-30.9134,34.1511,31,169.32439223,50.4714564988,119.446840634,190.10382201,28.5511745738
30.2993750028,2.33353,25.2948,3.92044750363,0.695591323312,210.918573188,30.291,0.682906,117.347287515,30.3089,178.678916282,32,191.711601771,-32.7124,35.1368,32,191.368588273,24.6720867746,114.453407324,172.007161541,30.2931707194
31.9430371088,2.67871,25.7659,6.25083039236,0.746154154066,258.056885787,31.9335,0.61836,40.2292023545,31.9528,187.979937536,33,199.447855045,-34.3421,36.1898,33,165.474011355,70.501569155,118.24646487,180.007801594,31.9357237319
33.64929197,3.01363,26.2034,5.28271810415,0.774709756471,226.077376906,33.6373,0.736963,100.137233682,33.6595,190.943360655,34,227.61372593,-36.0646,37.0893,34,188.89980542,28.572081696,119.454174356,184.807424795,33.6415401999
35.2535550403,3.13982,26.6632,1.36792388364,0.791963505334,198.935753747,35.2437,0.751125,6.443526626,35.2656,196.478056649,35,199.258518031,-37.6242,37.9774,35,167.29187498,53.9384209977,121.602100556,193.146041991,35.2462815524
36.8346125294,3.47761,27.1675,15.5807384468,0.841272936885,209.838572291,36.8222,0.75634,59.2624582332,36.8471,170.962064406,36,197.911121624,-39.2316,38.8945,36,152.664103549,50.3042161041,111.305798919,145.617613961,36.8269844846
38.4013233706,3.47422,27.632,1.29227527516,0.850083920893,194.948438314,38.3904,0.673048,26.5860181981,38.4161,195.048091422,37,197.563342552,-40.839,39.7034,37,148.247951446,63.1407109538,120.672570291,191.525390528,38.3935446578
39.9595773066,4.05269,27.9444,10.2050618123,0.896753060776,210.395293896,39.9489,0.69014,78.3272512406,39.9771,153.614291179,38,187.134848506,-42.4646,40.5152,38,162.829330459,44.5879500952,102.795813931,133.37526722,39.9532052762
41.5365734959,4.41379,28.3463,1.71203405915,0.946067097637,282.622619245,41.5274,0.634375,110.486224174,41.5543,193.4004784,39,198.826470943,-44.073,41.3692,39,175.385495856,41.8255105044,119.222192117,189.174943484,41.5318670893
43.1513029087,4.90211,28.7564,4.05169240097,0.992808958415,299.771149465,43.1359,0.632502,5.07196194155,43.1702,194.562000804,40,201.360158763,-45.6459,42.1906,40,153.317876087,75.6654189729,118.921087994,183.755120059,43.1398577648
44.7884367143,5.24938,29.151,6.37930764316,1.01890673068,224.472147689,44.7682,0.61302,87.5469470975,44.8076,192.86601212,41,203.337683256,-47.2917,43.0085,41,169.220914356,36.5570116294,118.215688904,175.884758474,44.7711979871
46.2079645318,5.75846,29.6209,14.2982414287,1.06342795227,298.083463083,46.1723,0.645767,95.6146365426,46.2289,160.594387545,42,194.694888951,-48.7514,43.7597,42,179.967531458,57.2550242938,104.581294613,136.967783154,46.1769257581
47.7898789916,6.69584,30.036,18.2815479449,1.1209161167,231.456545028,47.7552,0.516755,114.157238119,47.8153,247.787263694,43,305.93993071,-50.4472,44.5554,43,167.041211251,30.6977661169,136.026122815,216.026351163,47.7599509436
49.3988100833,7.43211,30.453,31.5043608496,1.16189404603,288.618742546,49.3616,0.559342,120.140764982,49.4267,312.796880916,44,408.43201806,-52.0706,45.4391,44,196.895308544,45.9086884973,159.264957895,260.390696635,49.3664046588
51.1075534179,7.1943,30.8396,18.4233531698,1.16605376417,302.498608499,51.0804,0.551073,49.1084292693,51.1367,302.583196814,45,325.466180631,-53.8515,46.1939,45,239.125233395,72.9413870093,154.123738644,240.779030996,51.0855188632
52.7809740542,8.56243,31.1629,76.8794741577,1.21919094164,378.124531376,52.7418,0.600809,151.049279553,52.8069,214.379599548,46,349.914201654,-55.5251,46.9499,46,273.903197117,77.8467216071,124.225433938,111.915667405,52.7474296827
54.4857317226,8.46798,31.5489,87.6502171163,1.24816883153,290.892176987,54.4506,0.630443,44.4605166092,54.5142,208.480213862,47,487.153691788,-57.3274,47.7053,47,186.08933362,74.9124662676,120.995918839,109.771668244,54.4567376172
