AverageReturn,Iteration,QFunRegParamNorm,StdReturn,MinReturn,AverageAbsQ,AverageDiscountedReturn,AverageAbsQYDiff,AverageQ,StdEsReturn,AverageY,AveragePolicySurr,MinEsReturn,MaxEsReturn,AverageAction,AverageEsReturn,PolicyRegParamNorm,MaxReturn,AverageQLoss,Epoch,AverageAbsY
13.4905333599,9,19.128,0.104311394267,13.2009972849,0.2085,12.6051633331,0.403830916978,-0.181436,20.3321379234,0.173699427675,-0.452286,-0.102585147101,116.643637171,0.26267,20.0728777745,19.2556,13.7639580143,0.324542,9,0.221723726448
5.83644444524,10,19.2248,0.0608267828104,5.70010274563,0.144514,5.67762272636,0.0355503033973,0.132467,2.99217775654,0.132504401461,-0.170108,2.68095832582,34.5504850497,0.999982,6.98796774244,19.88,6.02970396667,0.00458318,10,0.141211056666
5.83616982929,11,19.335,0.0604021680326,5.70276095609,0.184977,5.67742058096,0.0212886324251,0.181717,3.90345756312,0.181972830702,-0.187426,3.6663239647,43.6984387636,0.999996,7.08606369819,19.9522,6.0024705423,0.00107645,11,0.184981315381
38.7957417304,12,19.5964,0.974960927065,36.710704414,0.271445,34.4766179773,0.0230962231705,0.266765,7.57568171723,0.26713543219,-0.27706,5.32211213469,42.8350481568,0.999999,8.93580627498,21.9175,40.6884763077,0.00146995,12,0.271587256987
38.8387349337,13,20.133,0.902882255853,36.6341670488,0.399757,34.5134665186,0.0302464230509,0.394356,7.01623197517,0.394954271476,-0.444473,31.6262457051,78.9862828373,0.999999,42.4945881575,21.9275,40.7378993173,0.00278677,13,0.400211895214
38.8206755444,14,20.8749,0.920463957034,36.6895045262,0.557964,34.4964544824,0.0371000254774,0.553566,5.77985519163,0.554100441017,-0.616421,7.46075296762,50.0118386333,1.0,40.4961920943,21.9326,40.7545690301,0.00454372,14,0.55835821977
38.8156517492,15,21.8001,0.938422990496,36.6834148846,0.701544,34.4942634368,0.0427201865647,0.69722,5.02272390411,0.697692125547,-0.768865,30.9466197489,60.2112835834,0.99174,42.0917877675,22.4716,40.6634770519,0.00611878,15,0.701929695738
38.8136078105,16,22.7004,0.983623265589,36.664937796,0.842862,34.4906638434,0.0434815487462,0.839515,5.3961877479,0.840064965667,-0.923218,17.0862392647,54.3791050762,0.999515,41.2860573028,23.7019,40.7277954145,0.00620726,16,0.843269315933
38.8301542326,17,23.6411,0.949492764746,36.6137512775,0.983403,34.5034190863,0.0426885777427,0.980791,7.0720007162,0.981169035754,-1.07586,5.16896325651,63.1794661512,0.999999,40.892520327,24.3353,41.8009708514,0.00598876,17,0.98362022444
38.7634714277,18,24.5755,0.930515584581,36.6077912141,1.1327,34.4540421579,0.0470969935482,1.1308,6.51421866885,1.13130631533,-1.23838,9.69265554677,59.5850053003,1.0,40.9314530452,24.45,40.729771555,0.00701039,18,1.13306118272
38.8497355395,19,25.5397,0.880302910763,36.7772315634,1.28662,34.5213195966,0.0504659818057,1.28488,6.93978108302,1.28540836586,-1.40137,10.4838632701,60.805916223,1.0,41.6222396407,24.5137,40.7566546827,0.0077569,19,1.28699339612
38.8142298428,20,26.447,0.97750148917,36.7242924836,1.42791,34.4928519751,0.0529943956849,1.42611,5.58709937521,1.42652734463,-1.54577,20.9194455312,62.8016730371,1.0,41.4113694991,24.5453,41.646975373,0.00884783,20,1.42798829833
38.7901499911,21,27.3895,0.929823458905,36.5894230924,1.56976,34.4738181003,0.0569279995522,1.56844,7.41642767652,1.56894273,-1.68975,8.39671029151,65.0133743421,1.0,41.15379486,24.5694,41.902126104,0.00924511,21,1.56993127279
38.8622580536,22,28.4394,0.942439038138,36.6310725986,1.70308,34.5314263173,0.0617325391911,1.70156,10.100619087,1.70208673877,-1.82398,3.04968998302,79.7925345968,1.0,42.8512240816,24.5879,41.7069837743,0.0108524,22,1.70321176752
38.7641802382,23,29.4006,0.964502307786,36.5696779009,1.83232,34.4530473137,0.0673552734646,1.83061,6.33241566436,1.83127252935,-1.94837,8.5661080541,50.3725094939,1.0,39.4488787531,24.5935,40.8471470576,0.0122702,23,1.83246477403
