Epoch,AveragePolicySurr,MinEsReturn,MinReturn,MaxEsReturn,AverageAbsQ,PolicyRegParamNorm,StdReturn,AverageQLoss,AverageDiscountedReturn,AverageEsReturn,AverageQ,AverageReturn,MaxReturn,StdEsReturn,AverageAction,QFunRegParamNorm,Iteration,AverageAbsQYDiff,AverageY,AverageAbsY
9,-0.493497,-0.43840859007,17.8594093312,135.69288804,0.198181,19.2553,0.64534035309,0.283782,17.3110280271,21.2883872419,-0.18325,18.905919831,19.8108126412,22.7541962438,0.191416,19.1276,9,0.378886297417,0.15239036947,0.209663872359
10,-0.177301,2.99856271974,4.22666243489,16.9507387524,0.147918,21.5076,0.294410707335,0.00451627,4.57592659064,5.33983129283,0.134045,4.67737404019,5.11630754831,1.94278870095,0.967741,19.2394,10,0.0363171319143,0.134097104547,0.144371016569
11,-0.211377,4.46926903869,5.70345974593,52.5177095484,0.199329,22.0947,0.0608805543585,0.00116637,5.6771235737,7.17805554605,0.196926,5.8359156976,6.03868840423,4.46346979977,1.0,19.3593,11,0.0216482934162,0.197196422131,0.199331225127
12,-0.291082,5.33473304945,5.70041967091,30.6705515158,0.287654,22.6194,0.0596495062057,0.00176848,5.67487657883,7.51537058466,0.28416,5.83363106373,6.02143884913,4.23655327474,0.999999,19.6552,12,0.0242748573912,0.284679117646,0.287942644903
13,-0.459661,5.55023811501,49.0297486198,111.857656669,0.410115,24.2611,0.994037508252,0.00301499,44.5379653451,38.5407259084,0.405806,51.860965921,54.3436476818,24.8559957435,0.949202,20.2425,13,0.0299413410939,0.406308971367,0.410575911769
14,-0.654214,22.7754553519,64.815007819,88.3488411655,0.581403,25.4041,4.00974743152,0.00494516,58.8224349012,69.1994732321,0.577999,72.2948104225,81.2936822881,12.9174273742,0.960159,21.0565,14,0.0377163857888,0.578518133645,0.581965972832
15,-0.824412,42.2771977605,154.502408645,180.776727188,0.736962,27.5642,3.40773657523,0.00649684,107.533345931,118.912171542,0.734036,164.457154813,168.999761308,46.0723228094,0.987027,22.0034,15,0.0416080310017,0.734720570957,0.737650611978
16,-1.00157,38.4260031391,164.141840542,198.83710965,0.90133,29.0398,2.31390755432,0.00781844,110.321716915,133.496526659,0.898961,171.029793293,174.776708216,49.8828974026,0.986489,22.9995,16,0.0455613438723,0.899425317368,0.901635969919
17,-1.17532,9.19980963425,164.808229814,193.836591127,1.06223,31.2746,2.73908152838,0.0106849,111.51472141,153.35525551,1.06014,172.901074726,180.726433593,48.7766543879,0.981692,24.0586,17,0.0524297867817,1.06071731483,1.06259845866
18,-1.37939,136.840193812,165.028766237,206.300005817,1.24395,33.4986,1.85522096887,0.013048,111.205542697,176.501130801,1.24211,171.767071988,175.357064499,14.7815103361,0.962,25.2211,18,0.0569224136671,1.24274643183,1.24437688268
19,-1.58444,86.8746636853,175.786349368,196.01867275,1.43975,35.4408,2.53484837915,0.015358,114.817322837,171.434637458,1.43796,181.955540543,186.073821377,26.7128887076,0.569548,26.2178,19,0.0632532239888,1.43869472784,1.44019004992
20,-1.78258,22.1640038692,184.224472327,187.632792658,1.63334,37.1517,1.23888124453,0.0195444,118.033241534,157.441379048,1.63153,188.65752425,190.981551718,44.748803357,0.60019,27.3735,20,0.0690028357337,1.632262425,1.63345775606
21,-1.99249,12.4117328652,179.797823168,195.52515894,1.82713,39.0229,0.761845778741,0.0206523,115.122665143,139.325096381,1.82558,182.293890023,183.883665076,55.3362509711,0.606355,28.3745,21,0.0712183761295,1.82634348511,1.82732614849
22,-2.19394,17.9972578847,176.518434936,190.302791791,2.02821,40.8349,1.99357506851,0.0255434,115.398650953,138.890504884,2.02641,182.402418614,188.753338033,61.4153692451,0.749282,29.4815,22,0.0796495535028,2.02679711225,2.02800997946
