AverageReturn,AverageEsReturn,StdReturn,Epoch,Iteration,AverageAbsQYDiff,AverageDiscountedReturn,AverageAbsY,AverageY,MinReturn,AverageAbsQ,MinEsReturn,AverageQ,AverageQLoss,StdEsReturn,AveragePolicySurr,MaxEsReturn,PolicyRegParamNorm,AverageAction,MaxReturn,QFunRegParamNorm
9.19226764024,9.98101072974,0.0458702178352,9,9,1.71065044433,8.77014528872,1.47696118541,1.47696118541,9.08483567067,0.290466,1.66426100874,-0.233689,3.28968,7.175514593,-0.0117188,59.7866699079,11.2292,0.218638,9.3251011644,11.1301
5.27794540735,5.09673479549,0.0397472496219,10,10,0.129114469109,5.11837785908,1.19840249008,1.18751740032,5.08554644079,1.18553,2.92742016515,1.1777,0.0589556,4.45047402737,-1.2558,45.7178003284,12.1022,0.965344,5.39170023969,11.3672
5.2982923363,6.44626807162,0.041194287364,11,11,0.0708845348615,5.13716461167,1.35050709552,1.33505835459,5.09745185007,1.35039,1.20347293218,1.33428,0.0121108,2.15465963691,-1.32873,16.6483996658,12.35,0.99995,5.41359212304,11.5873
5.29590677419,7.51616274118,0.0439524276376,12,12,0.0826138321968,5.13486675707,1.72562273406,1.70037666885,5.08856850632,1.72542,4.16063410873,1.69987,0.0184376,6.78859489797,-1.69484,63.4543048972,12.3843,0.999995,5.41920092576,12.0147
39.0896930372,15.3396335076,0.937735844084,13,13,0.108508117788,34.7129340632,2.20816194847,2.17927975633,36.7375844439,2.20722,4.60259514151,2.17804,0.0389708,16.8082978277,-2.36134,80.7274407631,12.837,0.877604,40.8883747513,12.596
38.7319077242,39.7444428019,0.962901775714,14,14,0.179929765269,34.429197938,3.34127722167,3.31568825738,36.6043824097,3.33876,6.23193084916,3.31251,0.152276,5.91657836356,-3.83646,50.4362649181,12.9831,0.999785,40.7603353288,13.5684
38.7154970651,42.0555010706,0.92160358045,15,15,0.241817870208,34.413793003,4.54379288662,4.52132780319,36.5727390933,4.54193,26.5628128855,4.5183,0.303402,5.84236359601,-5.16582,64.8868672343,13.0554,0.999987,40.6838396355,14.817
91.7089706526,50.5600164371,1.18494619825,16,16,0.28121440268,71.5747908873,5.7875055471,5.76591826426,88.7254118295,5.78555,8.6601932793,5.76315,0.400972,17.1738540016,-6.53533,97.3175479504,13.7666,0.706186,94.4802532064,16.1016
161.282895938,155.681644749,4.70178120719,17,17,0.322096348668,106.995532296,7.07957324962,7.06153596579,148.173478188,7.07812,47.0846970792,7.05837,0.484892,35.6054940069,-8.0157,180.613717631,15.6046,0.691389,168.286403396,17.3019
174.336312761,132.012808566,1.70476874856,18,18,0.359067398825,112.26501824,8.53289481786,8.5211463098,169.574237579,8.53207,12.0717598664,8.518,0.597533,48.0259190431,-9.671,188.672773602,16.862,0.754453,177.764600514,18.4003
