AverageReturn,MinEsReturn,MaxReturn,AverageQLoss,QFunRegParamNorm,StdEsReturn,AverageDiscountedReturn,AverageQ,AverageY,AverageAction,AverageAbsQYDiff,Iteration,PolicyRegParamNorm,AverageAbsY,AverageEsReturn,AverageAbsQ,AveragePolicySurr,Epoch,StdReturn,MinReturn,MaxEsReturn
12.1514930067,1.65976496258,12.6820280035,5.10496,11.1654,15.3878848573,11.4101165721,-0.67186,1.41039259773,0.0392713,2.08225258155,9,11.1819,1.41584351232,14.199457253,0.674553,0.445493,9,0.24936073134,11.4450292286,128.76053045
0.253921019468,-1.01766957265,0.519331157372,0.0677829,11.4274,2.74807755845,0.40496295326,1.15163,1.1636364225,0.999966,0.129936538968,10,12.4436,1.19345500462,2.39787417392,1.16993,-1.22295,10,0.115961396529,-0.0194449973868,15.818620278
38.781992741,-1.31028204482,40.7529189414,0.0256324,11.8315,17.195254999,34.4653775594,1.46274,1.4636663272,1.0,0.0914960109753,11,13.3413,1.53322589581,10.3460825694,1.53021,-1.55091,11,0.956367836031,36.6895560022,47.6405005792
38.8471967463,34.8900954705,40.7386320206,0.0675258,12.6878,7.37954890352,34.5176571486,2.0922,2.0930565363,1.0,0.131362112102,12,13.3417,2.23591821271,41.6286742136,2.23261,-2.29715,12,0.949779385843,36.6886458582,83.6714296855
38.7658443026,12.7861685473,40.7273348478,0.157895,14.2134,7.86567535727,34.4529460157,2.9923,2.99333922999,1.0,0.194115010806,13,13.3403,3.17869410265,42.9498007802,3.17444,-3.30642,13,0.898563422442,36.7263439035,72.6407226826
38.8015885317,7.41341251388,40.7627229159,0.226265,15.8213,8.58318942215,34.4830992645,4.08508,4.08615567142,0.999999,0.230739820364,14,13.3291,4.2807139372,41.7860881655,4.27587,-4.52872,14,0.924612667277,36.5828604816,72.0952083098
113.047236188,16.742112385,114.562094113,0.290164,17.3131,50.9469880591,83.5878453882,5.32031,5.32153072373,0.902982,0.260144150461,15,14.8341,5.49820800366,77.2102701418,5.494,-5.93699,15,0.635145988339,111.316059045,178.715986955
174.508547569,17.3487661013,177.541775875,0.457997,18.8194,43.846831436,112.396561533,6.82642,6.82831060085,0.77367,0.309178523386,16,15.9561,6.9703008148,148.375139393,6.96696,-7.58364,16,1.64853153458,170.815810994,189.111685964
166.138301962,10.6712259242,175.836096427,0.699257,20.2613,52.1320342132,109.199187182,8.43797,8.44122191972,0.713383,0.358439373201,17,16.7735,8.55226319913,136.909587406,8.54942,-9.29591,17,8.18873041128,140.349709501,196.731059327
174.567612828,41.1979915224,179.001722915,1.02301,21.7046,46.1240915331,112.843794293,10.1782,10.1817735488,0.708333,0.42699046993,18,17.614,10.2655899257,142.59036819,10.2629,-11.1773,18,2.55921226904,168.06862303,186.020572729
171.767435066,34.8008540303,174.781472637,1.20239,23.2709,48.7004862942,111.471210673,11.9818,11.9858884446,0.722797,0.477841736117,19,18.4764,12.0565557369,150.119743875,12.0539,-13.0798,19,1.56584845518,167.531382503,177.338717583
172.257487879,15.1647690703,175.452033618,1.43428,24.8763,48.9447223826,111.482633899,13.8838,13.8881572323,0.765599,0.538262123321,20,19.425,13.9481286679,139.433262263,13.9457,-15.1025,20,1.53957957277,168.094056193,184.784217811
170.024341866,102.265383329,173.627839658,1.68959,26.3215,20.6779677468,110.681149738,15.84,15.8459282602,0.804251,0.577395791872,21,20.3585,15.8958611655,163.063768885,15.8926,-17.1644,21,2.56150662764,160.863377712,176.591768513
170.753070642,10.0328844056,177.020985793,1.96296,27.7993,52.616499063,110.945404711,17.8555,17.8612853922,0.668473,0.622348873377,22,21.1389,17.9022060243,154.142582964,17.9012,-19.2809,22,2.73248699095,163.104893144,194.676123723
172.276629803,61.0895745613,175.285048797,2.25572,29.2002,39.4295559144,111.54774026,19.9743,19.981725407,0.645172,0.653164532717,23,22.0414,20.0180938179,163.099447948,20.0169,-21.5165,23,1.40511561824,169.491073941,199.916653451
172.052364854,79.3397203036,184.222604613,2.24721,30.609,34.4789318893,110.816855585,22.0294,22.034805344,0.58005,0.679099935788,24,22.754,22.0668124244,159.332054626,22.0676,-23.6179,24,6.74654690586,153.483832295,192.844076436
187.846364077,66.9045048726,195.273319939,2.9315,31.873,45.2955936956,116.476423818,24.0748,24.0821661661,0.69925,0.773291035648,25,23.3815,24.1120321727,158.146359791,24.1135,-25.7142,25,3.62796268413,178.073399417,218.4450484
178.035033872,28.1695218567,181.409335233,3.15343,32.9771,51.2902841343,113.443853622,26.3024,26.3088848346,0.74019,0.809617005208,26,24.0688,26.3363800405,162.494041959,26.3407,-27.9968,26,1.57909632602,174.569419991,193.070252264
163.210216269,17.8922088153,186.763236955,3.55646,34.0919,55.6385014354,105.884172235,28.4776,28.4851642468,0.799731,0.855177519585,27,24.6051,28.5116301556,150.125056145,28.5185,-30.2572,27,25.1640194361,125.796949024,192.846485381
183.625520315,28.6403139158,193.306532738,3.93049,35.1842,46.2813783162,116.238865751,30.53,30.5366860622,0.816195,0.908966174167,28,25.0266,30.5666439646,165.885506191,30.5751,-32.2578,28,4.14776238153,174.337701154,206.225592375
173.090815539,14.6166747208,178.644144443,4.3748,36.3272,65.5809560493,111.510100177,32.538,32.5448807489,0.836967,0.960584069109,29,25.4743,32.5730618456,127.487944383,32.5857,-34.377,29,2.1934694906,166.251090247,219.710059269
191.889714764,13.8249433669,197.168841448,4.70831,37.2745,57.250172615,119.682246799,34.5155,34.5236168726,0.838351,1.00858204696,30,25.8656,34.5584269442,160.350840771,34.5686,-36.3293,30,3.0269270855,180.683184895,201.68240248
198.866153672,53.0926149315,206.081373139,5.15677,38.1703,54.065478039,122.985549215,36.5553,36.5607146682,0.77062,1.04447500582,31,26.2036,36.5922905614,164.879182614,36.6049,-38.3836,31,4.02155325939,191.038050001,213.999350267
176.14280272,10.7416572652,192.898936869,6.66896,39.1616,63.2115631843,111.84852344,38.4621,38.4698866089,0.832389,1.15486720362,32,26.5954,38.5022628593,137.419459152,38.5168,-40.3007,32,4.99160341583,164.695403096,213.047686348
184.188167673,19.5640029424,200.538480728,6.42039,40.0511,56.5670761245,115.989430271,40.3247,40.3318713365,0.761637,1.18017284297,33,27.0127,40.3635384639,113.460302686,40.378,-42.1772,33,7.12061590331,162.155816129,222.366418448
201.149807157,44.5269603292,225.260415249,7.63216,40.8654,59.4352049327,123.14888897,42.2468,42.2545896646,0.703335,1.25032421092,34,27.5224,42.2876723552,144.15764985,42.3017,-44.1986,34,12.7454144969,169.351762099,225.762814014
202.051970504,47.2775949438,211.927551273,7.61637,41.8277,55.5104030863,122.717984421,44.2056,44.2134254628,0.679619,1.27143099275,35,27.9669,44.2450291861,160.585142024,44.2604,-46.1841,35,4.04477518539,194.671702294,218.990916816
204.005976374,19.6554936187,216.554979952,8.38619,42.63,70.3543717916,123.467353615,46.1821,46.192445202,0.690687,1.34456570099,36,28.392,46.2241678001,160.338805967,46.2397,-48.1604,36,9.04804391972,155.598004248,246.082319271
197.629832497,53.7948553578,213.21830578,8.46397,43.3879,44.9634226435,121.276061155,48.1171,48.1261913664,0.65762,1.35008146364,37,28.6336,48.1600273539,172.256501051,48.1763,-50.1426,37,12.1224757265,171.945863547,211.665382339
200.671204591,67.8164419582,210.323092124,9.19816,44.1411,51.7726498143,122.543019261,50.0558,50.0639688102,0.642631,1.39519920066,38,29.082,50.0930478665,157.859928741,50.1145,-52.098,38,9.77753921189,176.088867576,216.423017052
206.874457371,44.3629570341,212.51827272,10.0141,44.9636,48.2511158463,125.339748836,52.0334,52.040567735,0.572992,1.46014186047,39,29.5311,52.0714887593,175.921748979,52.0923,-54.1715,39,3.97387117929,187.824972772,245.782504004
193.385752427,15.0875055465,210.556040715,10.6033,45.696,60.7471883799,120.223206147,53.8358,53.8444812256,0.590195,1.51241184618,40,29.922,53.8777252784,190.113862814,53.9021,-55.9764,40,6.06919001758,175.925471191,274.26333132
180.54240458,14.2755401183,235.66248311,9.94431,46.5001,89.4252943187,114.818062609,55.9281,55.9370721134,0.580621,1.48351585179,41,30.2788,55.978663351,183.844802317,55.9957,-58.123,41,9.96384690337,170.197334467,292.762028385
200.824105222,7.06459794435,239.335189207,11.8612,47.2299,88.2071566883,122.344583294,57.65,57.6581504279,0.61822,1.59234803621,42,30.5632,57.7062768369,161.29161187,57.735,-59.8493,42,19.1250667501,165.492724128,255.018384811
232.65803051,57.0566418486,312.289748275,11.7237,48.0093,79.6354196161,134.919590741,59.7269,59.7365081069,0.541563,1.61362232787,43,30.9456,59.7821861171,175.326913359,59.807,-61.9877,43,15.9246656015,206.632480667,367.914607854
274.613039211,10.5995177446,293.740637191,13.6227,48.7624,85.5844709737,149.050911632,61.629,61.6372045028,0.640804,1.63677393238,44,31.203,61.6766743571,172.891467621,61.7037,-64.014,44,17.2925444883,233.820028239,301.941386529
375.94606488,19.6100671719,436.19110465,14.1731,49.5171,126.42094306,169.778714469,63.7284,63.7382247147,0.577906,1.69050655705,45,31.4773,63.7676170568,189.414148043,63.799,-66.1524,45,45.0382695082,257.069010882,442.228790604
