AveragePolicySurr,Iteration,AverageY,AverageAbsQ,Epoch,AverageEsReturn,StdEsReturn,MinEsReturn,AverageAbsQYDiff,QFunRegParamNorm,AverageQLoss,AverageDiscountedReturn,AverageAbsY,PolicyRegParamNorm,MaxEsReturn,MaxReturn,StdReturn,AverageQ,AverageReturn,AverageAction,MinReturn
0.00107184,9,1.47623699228,0.283679,9,9.71226940404,6.62253417215,1.61440432379,1.71297102084,11.1296,3.16888,8.79944195148,1.47623699228,11.2299,57.0177393531,9.34792312357,0.0472420103407,-0.236734,9.2242652963,0.219681,9.11597298174
-1.25581,10,1.18576722927,1.18473,10,5.1491779308,2.80087794411,2.43946584298,0.121880453841,11.4496,0.0558797,4.9714462309,1.19745761551,12.2733,18.6760475022,5.23820103412,0.0434959160969,1.17615,5.11739120746,0.920763,5.00882344711
-1.33487,11,1.34459984058,1.36301,11,6.95662660798,2.78710065476,1.01082421618,0.0631510595082,11.7897,0.0103492,5.13649447567,1.36269659706,12.4368,20.8971680921,5.40981685624,0.0419136462222,1.34407,5.29777822287,0.992677,5.11387012787
-1.66733,12,1.68837285813,1.71718,12,6.98863272503,3.05652836762,4.61559974275,0.0749950475967,12.4561,0.0160298,5.13646320688,1.71658337523,12.4496,23.6056049308,5.40230975232,0.041635476022,1.68799,5.2977164963,0.999987,5.10373139011
-2.03441,13,2.07795075281,2.11348,13,6.47722381385,2.17183290341,1.08766126509,0.0872066690288,13.3813,0.0236351,5.13577250447,2.11324593471,12.4676,16.5257913031,5.4122724547,0.0418346771939,2.07763,5.29701929174,0.999992,5.06821967281
-2.36707,14,2.42804977721,2.47061,14,7.16607261282,4.29777487464,4.40666127702,0.0962904388811,14.4153,0.0306011,5.13498277038,2.47065684833,12.486,39.9374918408,5.39759057814,0.0414856462151,2.42781,5.2961648178,0.999996,5.07546697301
-2.6272,15,2.71289959074,2.75868,15,7.03593627787,4.03837493003,4.59700371362,0.10389172192,15.4,0.0401734,5.13739024375,2.75898085572,12.5001,35.0679811137,5.41250874697,0.0435948285775,2.71257,5.29854672962,0.999998,5.08696014314
-2.82725,16,2.9290056189,2.98039,16,6.46320640062,2.73066070916,1.9380593815,0.104046348804,16.3449,0.0412878,5.13630743782,2.98140076727,12.5064,20.7390901344,5.41440518042,0.0427163124729,2.92858,5.29744175065,0.999998,5.08648252893
-4.69983,17,3.78999796567,3.8317,17,33.6699073178,14.7050720754,2.74737643815,0.16135191635,17.5238,0.143509,34.4491045995,3.83345071605,13.2358,50.1616360743,40.7714673167,0.903679950885,3.78788,38.7611176597,0.984369,36.7330659334
-6.89482,18,5.72453047862,5.74997,18,42.0622407954,5.33133813428,38.1628887949,0.244337026836,18.835,0.372142,34.453302537,5.75055967217,13.874,69.158383453,40.7135966605,0.90167569057,5.72251,38.764025959,0.968347,36.6562136563
