PolicyRegParamNorm,AverageDiscountedReturn,Iteration,StdEsReturn,MaxEsReturn,QFunRegParamNorm,AverageAction,MinReturn,AverageAbsY,AverageReturn,AverageQ,AverageEsReturn,AveragePolicySurr,AverageAbsQYDiff,AverageAbsQ,Epoch,AverageQLoss,AverageY,StdReturn,MaxReturn,MinEsReturn
11.2297,8.77490252112,9,6.80037164106,61.2576081859,11.1302,0.219958,9.07305010437,1.53592643067,9.19752116127,-0.224387,9.74115343666,-0.0222964,1.76031316795,0.289301,9,3.44447,1.53592643067,0.0488611497809,9.33307508074,3.22018502294
12.202,5.13463470511,10,2.57397489349,19.6998276146,11.4698,0.999692,5.07504791905,1.17917816439,5.29565097783,1.15722,4.82278214862,-1.22903,0.121771358658,1.16673,10,0.0553085,1.16670754596,0.0426929760977,5.41478353085,2.98252981917
13.0487,34.4520943835,11,9.74190264385,45.2949804186,11.8797,1.0,36.6183461492,1.38519453175,38.7648940877,1.36517,10.2321454217,-1.39097,0.0681414834813,1.38512,11,0.0116324,1.36575209106,0.87070000309,40.684196892,4.68992906776
13.0619,34.4599431069,12,8.61109861863,77.8957483622,12.7178,1.0,36.7031101521,1.98837523305,38.7742863948,1.95883,40.9336873607,-2.26003,0.0923360868961,1.9884,12,0.033363,1.95978366333,0.950831824151,40.7966774581,4.2268887965
13.0635,34.4591426371,13,8.62871475561,72.6055866358,14.2786,1.0,36.7710846619,2.97907838634,38.7705463982,2.94942,42.4379696301,-3.32559,0.143888830717,2.9789,13,0.100731,2.9508363063,0.920376583803,40.7026557347,8.55885467505
13.8074,35.2002612566,14,8.72903176887,85.7881167382,15.9474,0.836552,36.9441313047,4.0596620715,39.6985725328,4.03294,43.4499838937,-4.52871,0.183881446425,4.06018,14,0.159036,4.03403418289,1.06162642455,42.1937240092,33.6688929198
15.35,33.2844695549,15,19.9784594808,130.888555023,17.3722,0.856293,36.0360797427,5.24732894138,37.3432205979,5.22438,47.8840978546,-5.82941,0.224552659448,5.2479,15,0.22245,5.22600471949,0.913163435532,38.9341356367,38.2582734326
16.6052,33.4274828251,16,18.2961806719,142.497228831,18.6437,0.835936,34.5714684415,6.51229916698,37.5247599809,6.49082,48.6185478383,-7.20729,0.24964995869,6.51289,16,0.270893,6.49291124107,1.52401795066,42.8759613727,34.273462496
17.633,73.849370876,17,17.6368655696,98.5985095837,19.8207,0.691081,92.95458488,7.87450483392,96.6077545593,7.85631,55.2728194151,-8.70767,0.289280989933,7.87594,17,0.372394,7.85823577581,2.84358913334,106.065041014,36.9020890988
18.9404,113.60807491,18,29.5767311983,180.048802115,20.9842,0.804262,174.36717286,9.28878393908,177.16069916,9.27251,136.709476305,-10.3882,0.328449874967,9.29109,18,0.496217,9.27420895414,1.46754352505,180.741261486,67.836022789
19.7792,112.618427683,19,34.3025875016,207.847138174,22.1326,0.590691,169.166308744,10.8973308143,174.806392853,10.882,161.261027708,-12.1344,0.369124807122,10.9,19,0.624687,10.8840219004,1.6170594028,178.334604035,69.759642844
20.6464,111.832251773,20,46.0325858733,183.303519969,23.3052,0.620846,167.042780478,12.6497782496,172.849161601,12.638,154.473976326,-14.0152,0.414512192511,12.6539,20,0.84055,12.6392894678,2.64460467515,177.762420902,15.2355695166
21.3176,111.494356767,21,39.5624351082,188.482336574,24.4516,0.523435,165.079577301,14.4380909212,171.888538908,14.4246,159.227605069,-15.8761,0.47171671894,14.4414,21,1.15148,14.4276523998,3.05842775638,176.349960914,41.0113266402
21.965,111.501397032,22,48.8911544052,201.71480455,25.616,0.540091,166.66795665,16.2406294374,172.235944553,16.2287,150.598307517,-17.7917,0.512325642202,16.2462,22,1.34311,16.2305608445,2.02319667847,177.464119188,4.31165234225
22.6709,130.884394901,23,34.9392974377,231.417183236,26.856,0.470933,206.987599312,18.0889461038,220.638461302,18.0783,168.963188324,-19.7395,0.573745192379,18.095,23,1.77282,18.0808042867,5.38953405108,231.270270436,82.1074981084
23.2845,132.230058868,24,59.8671424782,231.17802445,27.9471,0.459811,207.412420731,19.9286621555,223.398502478,19.9172,167.83225073,-21.632,0.60091764571,19.9362,24,1.89109,19.9196893816,6.44894392741,236.862713365,13.1096418178
23.8532,149.858496806,25,70.2998234684,272.022463177,28.9653,0.446724,258.57631406,21.9000058219,274.657050454,21.8881,184.191299146,-23.6413,0.648962230586,21.9078,25,2.21697,21.8914195112,7.85788730961,287.142521773,46.3583592363
24.3981,155.444809602,26,71.8085353129,348.437629891,29.928,0.415668,253.518606806,23.8919826817,289.932482482,23.881,215.401212563,-25.7071,0.719625640037,23.9,26,2.79505,23.8837007288,29.4743206271,332.116475435,88.0371025312
24.8986,178.77053473,27,77.8306366128,301.512558079,30.8093,0.410523,247.321773135,25.941670329,370.885992458,25.9306,205.881282138,-27.8503,0.764869038572,25.9497,27,3.3309,25.9343430102,47.4089092625,536.728138047,12.9112957806
25.4932,183.662221615,28,119.798689355,398.426064903,31.7405,0.499341,267.955917818,27.9393740456,389.477776055,27.9277,248.034334759,-29.9355,0.875243249125,27.9487,28,4.11611,27.9316496721,37.4148198119,490.954206914,14.3675085855
26.0526,169.708646565,29,66.617785172,377.494070892,32.5564,0.457648,242.225176825,30.1760556074,337.567977691,30.1647,279.608520636,-32.1828,0.908066439817,30.185,29,4.53341,30.1693215335,54.4153213107,383.837281846,163.452046924
26.5152,185.158413542,30,81.3031992194,362.685355835,33.479,0.431891,366.366429761,32.1988199419,389.952834669,32.187,257.453145442,-34.308,0.97959327843,32.2117,30,5.23526,32.1921923628,25.3701430394,476.63640121,98.4702968433
26.812,176.902605698,31,104.973766876,364.425812503,34.3645,0.365993,347.623759227,34.4812224427,360.321938365,34.4708,203.328235337,-36.7029,1.00919905772,34.4941,31,5.6999,34.4751773808,3.94276685052,368.42940486,33.9169415993
27.2714,164.404673586,32,119.094536756,335.977641511,35.2392,0.337259,268.708785479,36.4413061373,339.059711143,36.4215,191.128398989,-38.7009,1.10977300274,36.4567,32,6.61377,36.4280713997,38.1172440166,402.423059604,10.9509618861
27.7167,153.431358953,33,100.484502052,351.993063972,36.0817,0.371399,271.252731292,38.6263116077,284.387057971,38.6091,185.035964231,-40.9416,1.1913776646,38.6462,33,7.5026,38.6147827828,5.30259058267,292.671226023,10.3016993982
28.2516,134.204009094,34,72.1627712555,315.603832445,36.9263,0.35643,230.953403512,40.6433776036,248.118239267,40.6214,225.790175863,-42.9661,1.21730862339,40.6657,34,7.94258,40.6300305766,8.2230667889,263.750222577,83.48770128
28.7379,163.349893145,35,93.5641084338,432.459059609,37.6755,0.367173,305.912515934,42.7128189487,316.288308349,42.6876,239.623634449,-45.0995,1.25241788137,42.7376,35,7.88882,42.6930494423,4.00779534609,324.343624561,57.7052538548
29.1934,181.558593044,36,101.515042445,308.834209128,38.5472,0.431365,368.612565807,44.9665360642,377.317051002,44.9387,203.528319302,-47.3725,1.37003883936,44.9916,36,9.56129,44.9475308992,4.69962003969,386.470000434,3.61589779869
29.7062,145.696380284,37,94.8117397266,328.97832373,39.2657,0.365103,228.153468116,47.1377306542,271.230583143,47.1136,233.912320553,-49.583,1.35698333638,47.1656,37,9.44802,47.1195673437,27.7740748327,343.025982064,66.5789229027
30.2739,174.012825213,38,70.6619592321,315.781874919,40.0144,0.398078,235.389948758,49.2430035045,369.777060687,49.2138,264.280960336,-51.801,1.44159946907,49.2756,38,10.6043,49.2244519864,73.8217360062,629.326688857,80.2227130867
30.748,185.202276612,39,66.5873960496,334.880347709,40.7427,0.435905,343.244056149,51.6445967448,387.604698987,51.6173,260.802236529,-54.2195,1.52965921219,51.6777,39,12.4647,51.625298815,14.3452423127,423.707101088,128.870422281
31.1522,185.534586997,40,122.728953131,446.544653988,41.5049,0.444601,294.604092149,53.8502685,419.162506849,53.8279,304.480671116,-56.4147,1.50668210225,53.8868,40,12.4387,53.8347110594,86.8491978479,591.71875107,88.0444470025
31.506,157.639578432,41,192.413060106,733.737361096,42.2514,0.432043,224.137195702,56.4452136107,299.791095445,56.4209,295.536262538,-59.0349,1.60889991399,56.4764,41,13.4516,56.4312001232,25.8422846586,345.838822769,63.1253146533
31.8618,155.507612109,42,114.171926058,396.845843347,42.9583,0.395233,249.138888417,58.5342591783,295.161097926,58.5062,207.157990729,-61.1543,1.65471258773,58.5671,42,14.8505,58.5180917463,19.576189005,344.225203408,11.138439393
32.2604,150.9627807,43,147.129195413,436.60069645,43.6944,0.386368,242.269482171,60.8209784527,281.40376799,60.7918,201.601189833,-63.5002,1.69710639177,60.8546,43,14.9379,60.8040731042,22.0180992534,310.951772976,25.8795185138
32.6693,159.063657139,44,136.281620429,450.851232806,44.417,0.437701,269.260316507,63.1116459522,308.326246814,63.088,180.581703323,-65.9557,1.74042264146,63.1454,44,16.2709,63.0982299673,35.7936106431,379.820201879,24.7368593739
33.0643,150.536310136,45,134.945931182,491.490142536,45.1049,0.434044,209.80110832,65.478668833,278.927591334,65.4521,246.635885714,-68.398,1.83318475498,65.5137,45,17.9899,65.465387038,43.0808449729,349.589074915,79.0268552606
33.3931,191.012120288,46,181.47475436,577.547424498,45.7684,0.468169,326.130854023,67.8581231252,439.441098452,67.8336,252.066926461,-70.8029,1.84892231327,67.8931,46,18.194,67.8448020475,53.8026291996,604.218819271,18.6460254873
33.7066,132.152589249,47,167.527002762,634.747069266,46.3749,0.525131,148.532947236,70.3875348811,229.301048355,70.3688,281.781757738,-73.3572,1.87738467398,70.4268,47,17.453,70.3765750382,57.2774509356,354.292297671,8.98270260967
