MinEsReturn,Epoch,MinReturn,MaxEsReturn,AverageY,MaxReturn,AverageEsReturn,AverageReturn,StdReturn,Iteration,AverageDiscountedReturn,QFunRegParamNorm,AverageQ,AverageQLoss,AverageAbsQYDiff,StdEsReturn,AveragePolicySurr,AverageAbsQ,AverageAction,AverageAbsY,PolicyRegParamNorm
-1.19145998808,9,7.75146791903,83.5903855311,-0.0285316026691,10.0727137861,11.2303134461,8.78614272041,0.487200232586,9,9.12586338799,19.1813,-0.177003,0.106816,0.255774651728,13.9390490162,-0.241499,0.212192,0.090944,0.132205955609,19.2302
-1.06678265324,10,5.08255255413,53.9853080653,0.116168910275,5.40583589104,23.0735935082,5.2964201364,0.0430733031108,10,5.13531235466,19.332,0.115785,0.00375848,0.0357991934762,18.1794091706,-0.143648,0.141461,0.99997,0.139823613273,21.6994
4.7862918105,11,5.08258266114,25.6151172083,0.213077732733,5.40431033953,6.70246764427,5.29829831146,0.0410060894228,11,5.13716493898,19.5236,0.212692,0.00173088,0.0242236638123,2.80556703252,-0.236817,0.225792,0.999953,0.226475268845,22.616
2.6832083717,12,108.333531461,151.284334992,0.284804617805,116.423043666,36.0687008142,112.698250567,1.71447958745,12,81.4437643986,19.7993,0.284462,0.0014442,0.022009295533,44.2780558364,-0.318152,0.303504,0.983491,0.304011227305,23.8769
60.2243532521,13,158.866981474,181.931963694,0.382140392813,178.793240115,104.544393844,172.580775947,4.01620834745,13,111.518909203,20.1628,0.381838,0.00191272,0.024425181759,43.3447815366,-0.426877,0.404495,0.984583,0.40504900344,26.7792
50.3590471624,14,165.697143926,179.597808774,0.497223070584,174.699234826,108.411832883,171.004307238,2.12074217632,14,111.036423632,20.6935,0.496915,0.00340298,0.0301546046363,39.4011384569,-0.554026,0.519647,0.978728,0.520203252795,28.3585
67.0714399651,15,163.233889117,197.94015383,0.630400438943,175.331908593,147.037634315,170.022218527,2.48372645763,15,110.025890889,21.4356,0.630041,0.0050718,0.0344560544324,43.1311151646,-0.699859,0.651952,0.845821,0.652660447888,29.3747
33.4466185097,16,176.367557889,189.550113562,0.766178644728,196.259036393,125.650316962,186.970384535,5.64705721248,16,116.551616371,22.2836,0.765869,0.00607764,0.037634493517,48.1588961623,-0.845448,0.786473,0.437761,0.787111313999,31.3301
69.3429216407,17,165.970386908,181.516336868,0.913227999857,176.864101858,149.224580322,173.418223041,1.50296290985,17,112.238602428,23.2349,0.912801,0.00829791,0.0426751248295,37.6478676954,-0.999486,0.931413,0.720419,0.932123968095,33.1087
87.598605967,18,140.3494412,200.540411353,1.06581533241,186.714821808,155.493065258,156.979102911,11.0362370323,18,104.958518284,24.2901,1.06522,0.0114973,0.0494343796825,33.78740638,-1.15784,1.08231,0.46384,1.08317206462,34.9666
35.7311262102,19,163.943409927,191.295300309,1.23442189787,173.70752526,165.171489689,169.220114417,1.95551704084,19,110.366375014,25.297,1.23397,0.0134551,0.0518478864877,39.5311430708,-1.34051,1.24886,0.869696,1.24945229892,37.0332
43.8863646789,20,165.85151229,175.374444405,1.40803363324,174.386126524,151.463391915,170.85473104,1.70103846346,20,110.717587988,26.3051,1.40758,0.0162846,0.0570441375658,37.5813342882,-1.51944,1.42112,0.70157,1.42162653699,38.732
47.2242105932,21,172.893784493,204.454338223,1.58249439591,180.080938526,160.417841598,176.027544613,1.31373266735,21,112.908351065,27.3305,1.58197,0.0158023,0.0585755071368,39.6299133476,-1.70543,1.59338,0.762912,1.5940359965,40.6662
21.4098076381,22,145.386489351,189.063837155,1.76457074026,155.291910703,120.720082765,149.50095051,2.32292964722,22,100.699624921,28.3464,1.76391,0.0217341,0.0668315021941,53.6684404103,-1.89175,1.77455,0.788692,1.77522747276,42.0649
19.7677000262,23,177.587128584,187.653401534,1.94837547745,189.047777161,120.137563194,183.327902283,2.58677406291,23,116.297459888,29.3215,1.94778,0.0239988,0.0725480961119,54.7613842941,-2.08594,1.95742,0.948973,1.95807111617,44.3361
107.955179726,24,171.885781561,195.546632136,2.14810754772,191.957496266,165.613597025,180.364665984,3.39634756578,24,114.421928544,30.363,2.14731,0.0298323,0.0785022093344,26.8156871972,-2.29172,2.15562,0.771584,2.1560019417,46.0082
65.0836130783,25,179.676882674,199.702162304,2.33485124779,196.562408342,153.327486369,187.413835257,3.18838416654,25,119.0011506,31.2964,2.33399,0.0308883,0.0827164621606,42.6639505093,-2.47868,2.342,0.568637,2.342708116,47.1653
90.117060236,26,175.302510993,207.398894058,2.50945175957,189.731212254,164.865881645,181.198644705,3.4667566347,26,115.113082139,32.148,2.50871,0.0339424,0.0841631959407,35.3271302866,-2.65419,2.51699,0.598386,2.51735183615,48.3339
55.1229112803,27,196.886213941,213.477330036,2.69335070382,208.534454097,156.884811853,202.516533021,2.70784926743,27,124.972112861,33.0616,2.69273,0.0370658,0.0893499297904,51.8445353259,-2.84597,2.70079,0.597468,2.70086926843,49.4088
6.45498495661,28,207.143399744,244.130085654,2.88976716992,244.521547837,170.487180672,217.429463196,7.60678429926,28,130.97852165,33.9612,2.88902,0.0439394,0.0967784950863,74.8734976584,-3.05372,2.89592,0.476353,2.89613302193,50.335
6.41223608122,29,224.181364722,308.79125609,3.08312277293,238.660757225,141.532367788,231.845394369,2.8104491701,29,134.982693942,34.7981,3.0818,0.0470556,0.103479634528,92.7479241947,-3.2423,3.0888,0.513614,3.08965201982,51.7156
59.9115793856,30,225.371097928,266.917001622,3.27476533762,243.027022442,176.263643773,233.99178771,3.84753884018,30,137.378451295,35.5985,3.27396,0.0546968,0.112037498442,79.3999839935,-3.44751,3.28059,0.514392,3.28078832234,52.8243
16.1130731325,31,217.142427146,323.232391103,3.46700866588,411.165991877,188.996552097,313.367724083,37.9301121333,31,156.462933644,36.3577,3.46598,0.0662178,0.119698219312,79.4428964388,-3.64279,3.47228,0.576021,3.47298283386,53.7133
33.4856841749,32,243.588361517,302.736003883,3.69931323463,285.523363301,153.423438514,264.847334626,10.8735612296,32,146.175376214,37.1617,3.69836,0.077371,0.12637259293,80.0640277185,-3.88838,3.70395,0.488453,3.70444351421,54.7108
72.8934031456,33,271.885820904,313.499475591,3.88629962251,307.398703393,224.515592561,295.078116161,6.51919501467,33,157.520704148,37.9879,3.88471,0.100626,0.141714713682,63.9084162004,-4.07836,3.89007,0.663245,3.89078545634,55.517
12.9193877206,34,289.72968853,277.396189726,4.09051214179,324.915498639,160.024946672,305.717524611,8.57111726375,34,160.001593114,38.7585,4.0897,0.0943124,0.140659752425,87.6145672174,-4.28613,4.09398,0.686085,4.09378694726,56.5214
63.8261761266,35,130.766466688,279.154733763,4.29823428781,279.205617735,157.77205809,153.510541953,36.8398889131,35,102.212437494,39.538,4.2966,0.100027,0.144764742231,65.9976430666,-4.49496,4.30032,0.759249,4.30108200841,57.1701
43.3494416036,36,106.100248734,231.048436274,4.49149221768,275.212984317,132.434892315,208.007784685,49.0573624577,36,123.648878317,40.3076,4.49084,0.108831,0.153513416258,52.8882257585,-4.70061,4.49461,0.638105,4.4940424249,57.8701
7.50392967353,37,188.906377077,260.995700901,4.68933069671,329.988429187,123.74731678,280.741606745,24.8003906486,37,147.931008189,41.1187,4.68782,0.121066,0.159038299778,88.6692935133,-4.89413,4.69117,0.680849,4.69162654157,58.4595
8.93974355493,38,208.241363806,309.94788957,4.88903150554,362.987148677,158.434097093,279.777599131,29.8259661579,38,150.138847752,41.8884,4.8876,0.130083,0.166216110162,92.0048531574,-5.09988,4.89111,0.680601,4.89102129754,59.0085
62.5570235331,39,206.501966069,390.361304284,5.10263944517,310.444839687,250.737995267,246.733470901,30.7666671032,39,135.888095779,42.5463,5.1014,0.137449,0.168223700404,101.958667811,-5.32469,5.10515,0.703731,5.10451046393,59.6304
14.8071773746,40,126.531376094,271.810088202,5.3138953058,301.801892085,176.537032345,239.741741471,37.4620560212,40,136.348347297,43.2524,5.31245,0.144553,0.175384911681,78.6917828498,-5.54059,5.31642,0.74456,5.31600500882,60.3231
7.07793565518,41,126.363758971,303.297424817,5.51592483139,315.57658354,165.365468414,270.042954692,43.8380234888,41,140.923981532,43.9828,5.51476,0.157263,0.183795007251,83.9774035642,-5.75531,5.51842,0.711972,5.51799884577,61.001
5.43244212653,42,111.139719306,303.630258358,5.72104077069,205.925722857,167.794877469,128.342339152,11.2365580534,42,89.2275144262,44.7485,5.719,0.183111,0.195789939552,83.130728269,-5.96549,5.72261,0.560516,5.72294587902,61.57
6.18159266026,43,242.317210309,313.724479932,5.9553154608,457.287853394,149.32638798,309.260385485,63.4736961016,43,142.498497036,45.4991,5.95329,0.194723,0.200330023957,108.529500789,-6.20021,5.95637,0.500233,5.95687750724,62.1987
6.23461280202,44,286.952379074,398.037621885,6.16122207055,319.998327369,137.885780022,304.087220173,6.83440591587,44,131.14815706,46.2024,6.15987,0.197185,0.204774899093,122.375601037,-6.41512,6.16301,0.60207,6.16283218645,62.7398
13.7992975051,45,90.6910791986,291.922903025,6.38129282448,480.902514804,183.828065078,181.881480913,93.510343483,45,100.937366172,46.805,6.3799,0.194903,0.203641096875,90.8819297027,-6.62537,6.38278,0.731215,6.38286114239,63.3709
7.9369099529,46,69.2398199235,319.742998002,6.55159809165,621.391034655,155.476923738,439.94684165,114.487481228,46,116.496606296,47.4528,6.54994,0.207312,0.210254563171,102.915496135,-6.8039,6.55331,0.652917,6.55305805958,63.9433
8.5190629298,47,146.684255041,318.488972234,6.7582372676,287.040750168,133.667526781,224.874589574,39.2901442095,47,123.678379367,48.0595,6.75664,0.201168,0.212626455533,107.970648908,-7.00629,6.75988,0.639051,6.75972264502,64.579
5.82841277463,48,234.285365576,428.10945247,6.9695717611,299.777324623,165.280384649,268.372614974,15.9612155843,48,145.279493969,48.686,6.96856,0.213045,0.220227814079,137.194380975,-7.22377,6.97245,0.636571,6.97100014948,65.1288
7.69952903686,49,218.200909809,341.504328604,7.15073247741,421.854240834,144.064202022,305.855449765,68.3537331706,49,158.62623221,49.2399,7.14854,0.248773,0.227782620104,114.078595324,-7.41102,7.15174,0.66377,7.1520048339,65.6628
4.95881863228,50,183.875556659,268.272368351,7.37584636513,335.084578816,192.831323,258.187419491,43.0986899235,50,143.415235438,49.8347,7.37477,0.266176,0.234986675981,77.9860242044,-7.64266,7.37767,0.681101,7.37701261958,66.1266
41.1956277445,51,290.9359758,365.526651066,7.59164480618,375.713965851,198.066869342,331.101344651,16.2706100072,51,167.08795304,50.521,7.58953,0.271415,0.24639375618,97.7681538489,-7.85692,7.5926,0.741762,7.59291371798,66.8236
52.9446457715,52,273.526962983,314.22809986,7.770550739,345.384795847,199.265881523,305.339724075,13.1488381746,52,151.716461431,51.0965,7.76796,0.29266,0.252274801099,91.7341580242,-8.04305,7.77184,0.62533,7.77177315486,67.2667
47.6627507692,53,254.996416577,348.689401014,8.00643718269,291.359604106,238.659931923,269.33943715,8.02750991535,53,147.347684453,51.6713,8.00457,0.311001,0.252530276591,109.644924303,-8.27225,8.0077,0.658768,8.0075856027,67.8694
30.4180299953,54,301.368596704,317.794817709,8.16971610188,345.003723786,225.577368322,320.601558912,9.43494665502,54,163.789845956,52.234,8.16767,0.30749,0.255652928988,85.3132604034,-8.44177,8.17113,0.699969,8.17084586335,68.4397
116.349013724,55,43.9273887805,346.900490439,8.40070020925,304.70057267,254.046667338,279.862421307,57.636671546,55,148.44198429,52.787,8.39862,0.328453,0.268721256353,72.4919450966,-8.69115,8.40221,0.718454,8.40189314967,68.946
12.7965058381,56,42.5199794069,340.731422269,8.63674121703,277.171769005,187.742546193,165.758208398,110.7620014,56,97.2582234643,53.3051,8.63389,0.316844,0.26532951261,113.885972187,-8.92925,8.63737,0.773235,8.63788419858,69.3709
19.6879890775,57,250.137212504,315.624550791,8.79872815916,277.261224992,165.63993544,262.825425014,5.92553661199,57,144.189021999,53.8791,8.79691,0.341223,0.276153747258,94.8440235367,-9.09462,8.80095,0.696116,8.79999698047,69.9102
