StdEsReturn,Epoch,PolicyRegParamNorm,MaxReturn,AverageDiscountedReturn,AverageQLoss,StdReturn,AverageAction,AverageY,MaxEsReturn,AverageAbsQYDiff,AverageQ,AveragePolicySurr,QFunRegParamNorm,AverageAbsY,MinEsReturn,MinReturn,AverageAbsQ,Iteration,AverageEsReturn,AverageReturn
18.8590737079,9,11.1821,12.8449022263,11.4461103437,5.09705,0.252480428779,0.0393241,1.40307357967,210.008090292,2.08515766718,-0.682084,0.441194,11.1659,1.40832718795,1.05199132381,11.4137575971,0.684657,9,14.7726931066,12.1922711188
2.35760160349,10,12.9893,0.554192040435,-0.161453654326,0.065529,0.3067939836,0.82385,1.1884227192,11.2705821774,0.124944078005,1.17667,-1.2466,11.5012,1.21679056391,-0.986697406374,-1.46910282271,1.19495,10,2.3064116974,-0.70910318454
20.1618286324,11,14.6419,70.0240072603,54.2510557508,0.0251209,5.38898263998,0.968282,1.51190795139,52.274394605,0.088171861702,1.51116,-1.62594,12.0002,1.57614678898,-1.71023958888,40.9552904351,1.57376,11,24.1623725151,65.4506757383
21.6529618509,12,15.2867,45.0869329785,38.4680497575,0.0756551,0.587904411191,0.977619,2.25974493901,143.828433651,0.136619975624,2.25887,-2.49114,13.2119,2.38065652349,28.6628566701,42.4024818263,2.37763,12,55.2760670745,43.9720431696
19.6250885105,13,15.4153,79.7927522387,61.757980144,0.139403,0.909161536692,0.828386,3.23902604699,110.06434574,0.179074451309,3.23841,-3.6032,14.7909,3.38262631217,19.2055572804,75.7391390319,3.37983,13,60.0509592664,77.0878026324
25.0465942801,14,16.4512,80.4326547819,63.2912348931,0.219929,0.812871542246,0.750463,4.43274894384,112.487377031,0.220708018306,4.43184,-4.93979,16.6803,4.57132374253,14.7485310642,75.7011582938,4.56923,14,76.3900654797,79.1241425328
46.70209417,15,17.8763,99.8018553506,75.4104604484,0.326981,0.584453637691,0.686324,5.78239893717,233.619515071,0.257094132123,5.78046,-6.41597,18.5083,5.90091848613,42.132859644,97.081420151,5.89909,15,115.46245358,98.4304164041
58.3734043986,16,18.8194,152.08008008,100.776173586,0.448548,1.1748407961,0.7481,7.30369981595,241.780619424,0.287645569169,7.30195,-8.03644,20.3339,7.39975904678,16.3949191742,146.368814943,7.39863,16,133.875301318,149.397747937
64.6688249295,17,19.825,287.45612475,144.428620097,0.670129,15.2752707922,0.863709,8.92074987185,323.242314481,0.337143318023,8.91804,-9.75523,22.0164,8.99732547194,41.1289300953,182.553202606,8.99594,17,146.737057048,258.586931412
61.0800702591,18,20.9874,283.832929233,149.344710128,0.83915,1.81622379583,0.809301,10.6744001772,283.747149415,0.372991548391,10.6721,-11.6334,23.6977,10.7375399207,65.4083020143,274.078448065,10.7372,18,199.484645481,278.583671471
117.045193458,19,22.0633,286.558485865,147.260125235,1.09222,5.39620392184,0.717938,12.5601992783,332.858086259,0.435126718325,12.5564,-13.6321,25.2573,12.6130694469,5.80066381854,260.827061452,12.612,19,208.280555214,273.586548006
