AverageDiscountedReturn,AverageQLoss,StdEsReturn,AverageAbsQYDiff,AverageAbsY,AverageY,PolicyRegParamNorm,QFunRegParamNorm,MinReturn,AveragePolicySurr,MinEsReturn,StdReturn,MaxReturn,AverageReturn,AverageAbsQ,Epoch,AverageQ,AverageEsReturn,AverageAction,MaxEsReturn,Iteration
8.78690846434,3.61729,6.49440074457,1.80421530751,1.60202249086,1.60202249086,11.2291,11.1299,9.09499543703,-0.0325485,3.1109569849,0.0466119649509,9.32801376981,9.21058501898,0.250623,9,-0.202193,9.88080234781,0.220179,55.1963131627,9
5.06488269241,0.0512133,2.98056450255,0.116341857596,1.17417372029,1.1618170811,12.2786,11.456,5.05149339117,-1.22581,3.06952172801,0.0439856029303,5.30855121879,5.21942680015,1.16207,10,1.15256,5.86874801234,0.921132,18.636110509,10
34.5306829754,0.0135963,13.9194513524,0.0713004976159,1.3667574021,1.34791183187,12.622,11.8467,36.6490768522,-1.39602,4.53599515294,0.945363130755,41.9369755876,38.8635395897,1.36661,11,1.34738,15.1316086343,0.99997,46.6981984035,11
34.4379351758,0.0413237,10.3192196729,0.0997998133293,1.99844413918,1.96921701543,13.2059,12.6834,36.720905283,-2.21013,-1.376311649,0.923053763008,40.7070650987,38.7442206816,1.99857,12,1.96841,39.9145430529,0.999901,68.0382332609,12
34.4289063816,0.103955,10.1806431073,0.151557845165,2.94673141597,2.91653816051,13.6312,14.1397,36.6639111412,-3.24123,11.2217279092,0.942755982941,40.6786654341,38.7361074775,2.94587,13,2.91463,42.2976159271,0.999998,92.9696707876,13
77.4519163898,0.161164,14.5534582756,0.186598514624,4.04493866158,4.01696268011,14.1115,15.7248,99.8781349273,-4.48078,7.22739466121,0.761672788106,103.201222403,101.740314146,4.04499,14,4.01573,46.6877573146,0.750457,97.5026270457,14
110.965973567,0.213971,43.2997708708,0.228120633727,5.24230903481,5.2163638346,15.3246,17.067,163.245810774,-5.79158,50.8597235869,2.35004550851,174.520144258,170.939552696,5.24216,15,5.21454,118.85558824,0.712968,175.611200123,15
111.747635713,0.270543,48.7056931434,0.249869128637,6.55791022604,6.53552331672,16.8123,18.2821,163.34718034,-7.26125,14.2042152199,3.93329961874,177.318661141,172.542842376,6.55776,16,6.53365,138.184606965,0.727223,189.772089253,16
111.19125161,0.399756,59.6991919523,0.290921983113,8.03843708553,8.02080796727,17.8914,19.4113,165.107354997,-8.85653,9.25199266974,1.47957935929,173.64899763,170.872213803,8.0386,17,8.01914,136.912921969,0.718324,205.061190562,17
109.107010277,0.539681,36.5352539684,0.328661373863,9.5522232839,9.53777033801,19.0265,20.5986,160.352713853,-10.5011,40.2167526824,1.96642912591,170.39052373,167.002851815,9.55287,18,9.53522,152.982792149,0.712273,173.585652194,18
