StdEsReturn,QFunRegParamNorm,Epoch,PolicyRegParamNorm,Iteration,AverageAbsQYDiff,AverageAction,AverageDiscountedReturn,AverageY,AverageEsReturn,MinReturn,MinEsReturn,MaxReturn,StdReturn,MaxEsReturn,AveragePolicySurr,AverageQ,AverageQLoss,AverageAbsY,AverageAbsQ,AverageReturn
17.1128692326,11.0971,9,11.1943,9,1.03944954877,0.0415989,13.2801252082,0.319984247395,17.7380786101,13.6527323438,2.31089509416,15.1469559475,0.503407104942,155.521862329,0.479847,-0.719465,1.31809,0.357248895314,0.719465,14.2345350176
1.9837379803,11.136,10,12.9738,10,0.0528454062335,0.433013,9.26736970612,0.19772343623,4.72239903261,6.50306211053,1.88826339584,12.1774435527,1.92217858284,16.7386411496,-0.258886,0.195533,0.0114377,0.208283894907,0.208571,9.7706925988
12.630971059,11.2719,11,14.196,11,0.0433335217984,0.797702,23.1607222184,0.283471831914,26.8558813515,24.7956610192,5.81784419255,26.5803320791,0.374129119849,55.0475103328,-0.350941,0.282969,0.00519116,0.292936570933,0.293004,25.2818459415
18.0125522524,11.6595,12,14.9222,12,0.0421533700977,0.822745,41.8005933048,0.44502535204,33.6992644801,44.7841020042,8.79241526046,51.3739454613,1.10032992322,108.622399417,-0.522295,0.44451,0.00533611,0.447964848553,0.448317,48.1403798407
31.132649394,12.1129,13,15.6452,13,0.0411192942277,0.841898,86.8034937018,0.611945779102,78.5906818632,116.781175514,21.814106316,129.105167497,2.08896929253,143.599291351,-0.70062,0.611403,0.0053954,0.612958604799,0.613408,119.999329739
53.2601713223,12.5952,14,17.3949,14,0.0421480317469,0.915639,112.505384276,0.794897087417,126.677218089,169.687661466,8.24450688199,178.267648865,2.08527278672,179.065078484,-0.897437,0.794374,0.00646563,0.795927648033,0.796504,174.54312235
36.5335101998,13.1637,15,18.6318,15,0.0464232456986,0.894804,114.136921616,0.980412505139,153.481434742,174.867070062,76.0276631789,182.008505283,1.44150032699,205.876867841,-1.09964,0.97988,0.0086989,0.981159658366,0.981773,178.042449686
32.2008788682,13.7704,16,20.0264,16,0.0527020631245,0.859164,113.290242295,1.17112536614,152.938647432,172.939725677,70.7310613627,179.475732772,1.56744255779,180.530117461,-1.29228,1.17057,0.0117887,1.17180698127,1.1726,176.345859257
26.7244838374,14.4045,17,21.4045,17,0.0559780859118,0.742303,112.774560325,1.34467403526,159.088849004,172.953951759,102.473325909,177.584666079,1.04928555517,183.001103829,-1.47049,1.34405,0.013295,1.34528986604,1.34614,175.127128343
54.7344042134,15.0555,18,22.7424,18,0.0607773770173,0.626285,112.813793956,1.52908657507,131.080351252,171.79475404,30.2851789658,178.200631892,1.41423012866,182.954028959,-1.65997,1.52854,0.0168775,1.52971014579,1.53034,174.548431303
30.7909871512,15.742,19,24.0737,19,0.0691411557089,0.656055,112.774334465,1.71939670996,161.702238739,171.983300592,60.7888946402,177.220202695,1.21989443995,182.320323513,-1.85736,1.7186,0.0209488,1.72001904058,1.72068,174.689920033
42.6629637565,16.4929,20,25.261,20,0.0723193353257,0.611707,112.178926787,1.90708309197,146.616383322,168.985245424,67.3135204799,175.949938371,1.23535722369,187.99969657,-2.04631,1.90635,0.0228794,1.90762564316,1.90836,173.298456405
49.1963532409,17.1528,21,26.0153,21,0.0724629702956,0.622724,111.614266693,2.09642310885,148.922354906,161.065710697,41.5064324526,183.471386341,4.48284581029,203.934470071,-2.23964,2.09595,0.0235574,2.09693168132,2.09782,172.803885816
50.1961763699,17.781,22,26.8228,22,0.0764807898795,0.642145,112.286578893,2.28316330482,138.785975916,163.507507334,42.3080195713,185.047316955,4.15210657307,198.803627875,-2.43403,2.2824,0.024661,2.28363623656,2.28439,173.765860603
65.6097498865,18.4089,23,27.5979,23,0.0851336066331,0.754946,110.324903821,2.47124603816,126.832940761,155.754165803,12.4557425573,185.053550316,5.80266778151,196.377353712,-2.62462,2.47032,0.0321215,2.47174582454,2.47241,169.930731961
48.365851328,19.0473,24,28.4789,24,0.0869643114812,0.813262,112.860610449,2.66399929504,165.598015437,167.945865621,12.7658543161,187.703131862,4.69537767736,196.680277728,-2.82728,2.66327,0.0344772,2.66437670209,2.66539,176.662335456
40.9751994072,19.557,25,29.0229,25,0.0876557186835,0.779043,113.444991044,2.85852594336,177.417582077,168.745856896,84.9679882419,190.144045817,3.91508326225,235.375425253,-3.01627,2.85771,0.0337635,2.85886598096,2.85952,178.41150062
61.102711692,20.0985,26,29.7909,26,0.0923710070518,0.645922,133.658499038,3.04007858077,161.530609949,207.721231728,30.636020499,246.584810636,7.65802965239,289.594979404,-3.19527,3.0394,0.0389702,3.04039889741,3.0417,237.397732953
63.9433701205,20.6018,27,30.4116,27,0.091588046917,0.583339,122.513474141,3.22858669107,172.640142536,197.813641611,42.3507658584,206.558092218,1.48698534568,220.713859174,-3.39121,3.2278,0.0382475,3.22891408465,3.23052,201.652392104
57.0954898007,21.1325,28,30.7899,28,0.102213091243,0.534818,128.29351721,3.43058187866,161.137292634,206.681271842,55.3958800014,218.366771455,2.85959713105,220.637190962,-3.59126,3.42964,0.0452098,3.43090752759,3.43237,213.11009688
62.2266920531,21.5864,29,31.1008,29,0.105216173972,0.502458,122.329579201,3.6114004427,150.758634195,192.248773282,28.9406497643,209.141529483,2.88272595236,217.290368649,-3.76384,3.61066,0.0515075,3.61169297243,3.61356,198.025362519
48.7382871213,22.0175,30,31.7498,30,0.0999099256575,0.666963,127.205632329,3.78573592699,174.25346489,196.521773148,76.1882433216,216.812289353,4.17067177909,212.239814937,-3.94595,3.78503,0.0461457,3.78604837254,3.78823,209.695479813
62.3819892862,22.4701,31,32.408,31,0.107825183353,0.653931,134.699205065,3.94937715137,175.903986805,225.296861931,20.8293074793,235.020778056,2.36807533227,223.473061668,-4.11121,3.94834,0.0515917,3.94981291421,3.95218,229.826562979
42.504260902,23.0146,32,32.9184,32,0.115390247045,0.730137,149.476287545,4.16002665129,193.985675982,263.455551743,91.601375453,275.282459883,2.58561117327,261.749153462,-4.32093,4.1589,0.0652878,4.16039465746,4.16317,268.53441437
75.8106592643,23.4497,33,33.3408,33,0.119844088555,0.719467,124.109094728,4.34140533167,149.685591284,195.314875253,10.0358637713,212.066121988,3.32655153591,246.546226558,-4.51187,4.3407,0.081661,4.34235188543,4.34551,202.258798302
67.2738861988,23.9027,34,33.8245,34,0.113164196556,0.749173,158.969764526,4.5239426697,174.313830104,283.207625271,25.2468346141,303.602631958,4.17194748546,243.167533106,-4.70611,4.52313,0.0608661,4.52487036378,4.52768,294.077319712
98.3368180796,24.3654,35,34.2878,35,0.12951936568,0.74368,148.271973708,4.72100997017,192.166752071,253.711654212,39.5512917352,275.267174194,3.83406592039,351.545984708,-4.91663,4.71957,0.0904429,4.7229360105,4.72539,264.479610276
81.2791184782,24.801,36,34.6083,36,0.134524285328,0.772569,136.661067076,4.93432706707,156.39409038,140.398545669,27.5761032045,267.415153592,15.8637070311,295.584185364,-5.1353,4.93364,0.102406,4.93529740352,4.93823,236.807262644
128.213172259,25.238,37,34.9127,37,0.141279899277,0.714898,129.479079441,5.14149020874,176.612426805,168.290805722,21.0082714139,246.954136406,21.9937525883,478.065128582,-5.36911,5.14003,0.11477,5.14281561795,5.14481,218.771426269
108.931726489,25.6734,38,35.2525,38,0.154347282234,0.691063,138.244559221,5.37666621724,180.08551557,220.782802283,8.53158659983,341.45550841,20.4157181124,342.159571296,-5.59234,5.37474,0.144234,5.37791075353,5.37927,239.265190701
57.5864723512,26.13,39,35.6767,39,0.163571411895,0.586868,155.448874684,5.60268903218,296.206089372,289.837356791,216.32018778,335.738803001,10.3082459379,420.534705464,-5.82834,5.60092,0.153454,5.60352646593,5.60536,308.84177306
107.449324544,26.545,40,36.0444,40,0.157233239003,0.696156,169.039416537,5.82022589341,245.329485336,315.650340533,8.93308847139,333.830265771,3.60103722901,330.333431863,-6.05982,5.81944,0.147106,5.8212402255,5.82335,326.072874355
127.447537379,26.9849,41,36.3991,41,0.172170717307,0.709651,194.990659894,6.06635132145,236.132947981,391.925961114,57.3345389733,482.278138909,34.7935623126,407.979574498,-6.31113,6.06465,0.181789,6.06744505671,6.06991,432.752240731
99.4710889111,27.4979,42,36.8677,42,0.176667403008,0.685182,195.099786889,6.30922628578,214.641695425,412.958898403,52.888164961,433.703352566,4.14720465528,390.111247053,-6.55533,6.30808,0.170376,6.31065319443,6.31348,426.152655691
104.833921983,27.9297,43,37.2596,43,0.195087020363,0.769603,177.456398136,6.52280859728,271.245824399,349.711992085,53.9681243328,444.23808995,19.4288905214,434.986341848,-6.77406,6.52161,0.234457,6.52427010735,6.52697,377.063149432
125.963074937,28.3017,44,37.7284,44,0.189747359492,0.733477,162.778004417,6.73870425441,227.522157342,151.523885757,16.1026120013,502.774615011,74.3231353466,436.135411576,-6.98632,6.73698,0.199748,6.7407000411,6.74329,329.645103754
131.010827851,28.7571,45,38.1416,45,0.200838197205,0.777231,183.938908977,7.00760957641,208.582251192,241.962272443,31.2221004536,1117.51108004,153.616220446,435.165865137,-7.26087,7.00599,0.235177,7.0085580285,7.01152,481.457417173
160.372489323,29.1282,46,38.4752,46,0.209687251364,0.758767,159.476453177,7.21657054488,248.632492716,257.870431529,56.2675806925,368.425761622,33.2998952454,452.093617205,-7.48506,7.21533,0.221276,7.21869719908,7.22164,319.520790687
97.4004847698,29.5325,47,38.8993,47,0.214451253987,0.775055,168.14052185,7.45799311062,274.524587992,233.350591583,129.985554558,404.908627248,38.9388951754,420.450789282,-7.73992,7.45604,0.234269,7.4615093429,7.46459,352.031123688
107.392936876,29.919,48,39.2675,48,0.209300747012,0.768586,175.990498837,7.70742492587,203.152337093,240.477644381,40.1378319726,383.319866977,19.2398683453,349.903540262,-7.98944,7.70534,0.225595,7.70882943982,7.71159,357.994637536
93.3573146485,30.3364,49,39.6374,49,0.236539147481,0.764204,152.024391212,7.93395491518,291.613979896,151.100928388,139.088232069,456.970055823,62.3126498743,455.536255798,-8.23188,7.93279,0.301072,7.93491136053,7.93894,286.718846504
133.523713066,30.655,50,39.9496,50,0.228591850309,0.736797,181.669630817,8.1838030484,259.12711983,354.908301857,16.6569256307,395.393903294,7.56736777027,453.382880815,-8.4721,8.18233,0.277964,8.18561294406,8.19004,379.797398318
129.257850772,31.0208,51,40.2062,51,0.226461058303,0.7929,200.623626688,8.45088528013,204.390930278,485.497209605,10.1480569925,538.734839003,14.5894018735,371.659139302,-8.74375,8.44956,0.248959,8.45233227305,8.45724,506.58101209
118.010834331,31.3698,52,40.4623,52,0.251462313081,0.73377,173.639757087,8.66574427909,204.638732154,295.717529963,11.23835272,380.954403532,23.5654355661,344.665103947,-8.97297,8.66346,0.323143,8.66810688333,8.67205,352.503813086
104.826929026,31.764,53,40.6892,53,0.245348103859,0.715765,183.423529444,8.94775675698,264.433741598,320.404668588,86.8061111234,417.218111903,14.8251710531,370.9778226,-9.24523,8.94585,0.301112,8.95127713166,8.95542,381.215594206
109.310480915,32.1583,54,41.0446,54,0.259704245193,0.740163,184.952811901,9.13952711921,246.615673727,363.80336285,45.4400316746,389.610845711,4.97481354557,351.998950489,-9.44584,9.13727,0.360248,9.14499113188,9.14987,379.556670437
93.5036044626,32.4884,55,41.3371,55,0.255407525788,0.725913,165.449152032,9.44038662126,285.445442419,315.16204852,61.9345775315,334.983169419,3.49627584912,414.696716424,-9.76301,9.43856,0.324667,9.44492090774,9.44971,325.300426509
112.116813663,32.8596,56,41.6551,56,0.271276205806,0.741568,177.054184856,9.6944181391,211.691960022,353.178890501,9.74560174249,371.228877464,2.86325508527,348.227715788,-10.0261,9.69246,0.36801,9.69849592138,9.70458,365.176500128
128.26150093,33.2538,57,41.9315,57,0.268790822261,0.720488,200.666394052,9.92292336026,199.772625513,351.81572116,41.2282254178,536.238590426,33.0215358708,366.799739673,-10.2674,9.92123,0.364222,9.92909267473,9.93543,492.616368326
155.955386513,33.627,58,42.1997,58,0.28575082717,0.652926,167.421481137,10.2204909743,272.986661516,277.647027353,49.2613538567,423.837293848,37.576440028,533.085636089,-10.5734,10.2181,0.408639,10.2251059844,10.23,335.700083664
145.993211283,34.057,59,42.4636,59,0.299381674639,0.553024,148.809733018,10.4499280685,254.827913201,257.191681767,39.5321436404,291.714696208,8.19920876018,479.724041871,-10.8156,10.4467,0.453617,10.4543896855,10.4609,277.662084685
122.941523113,34.494,60,42.6709,60,0.292781400371,0.590828,171.262308286,10.7772842213,211.738633718,268.944285161,9.72227224831,454.68649879,52.5648736171,441.038123881,-11.1563,10.7758,0.404141,10.7842318827,10.7907,351.174197322
117.078743272,34.8778,61,42.9004,61,0.295917969713,0.600526,161.385303673,11.0277187969,167.145441285,271.163629375,7.8848288207,352.99969201,16.2365642782,366.292397974,-11.4068,11.0268,0.432781,11.0341321183,11.0442,314.36480499
145.044177905,35.2202,62,43.1186,62,0.312308626195,0.694658,169.72268984,11.3180594091,256.818930428,248.84947016,45.5195316942,499.442150901,76.6626518437,474.856149293,-11.7077,11.315,0.461031,11.3226270494,11.3272,368.766923155
135.887291397,35.6105,63,43.3972,63,0.312464534575,0.486497,150.091360481,11.6031861736,224.119573827,285.599250391,7.35237555834,345.760269476,16.049660357,454.336675041,-12.0044,11.6012,0.540999,11.6081192426,11.6147,320.023430297
165.592311173,35.99,64,43.652,64,0.317830663764,0.74195,180.199016966,11.8412937481,224.218165397,264.096323908,44.439307329,509.101419026,92.8542465095,518.063266446,-12.2295,11.8396,0.525872,11.8455750852,11.854,414.864389613
162.539626186,36.3737,65,43.8735,65,0.313234283985,0.691991,164.806883718,12.117308602,203.998177229,193.340392839,17.7213424437,437.726867825,66.6788021933,410.264943879,-12.4971,12.1147,0.509523,12.1204932366,12.1279,323.323954499
154.191565035,36.7086,66,44.1664,66,0.322007619396,0.672375,186.712682403,12.3042776025,142.535544915,382.034294364,12.7530344109,473.810799431,15.6184233296,497.24489855,-12.6922,12.3022,0.557788,12.3090977275,12.3181,399.850685984
124.563735038,36.9989,67,44.4974,67,0.332630503693,0.68193,173.350485267,12.5628619268,182.5259478,337.427348139,28.0800490729,434.402986699,11.436518732,386.84190185,-12.9557,12.5621,0.52381,12.5673936544,12.5769,348.043479834
123.146948281,37.4068,68,44.8016,68,0.33892406604,0.719818,193.858167115,12.7999802635,210.749390781,358.98940788,41.322048354,508.148962014,39.7818916428,377.211177707,-13.1839,12.7979,0.608293,12.8050138444,12.8129,425.237157212
119.241383141,37.7271,69,45.0415,69,0.346908391806,0.761965,187.569397734,13.0515981471,201.463486224,303.154303187,56.3978362829,496.039099717,47.2281283684,378.728154454,-13.4211,13.0488,0.611771,13.0560093864,13.0654,398.284445415
151.8921033,38.0955,70,45.2932,70,0.337104081972,0.726098,188.445651742,13.2779554389,171.028620352,279.793726415,10.8213213363,509.941447822,42.3839018835,462.08791145,-13.6641,13.2765,0.568499,13.2826554834,13.2919,413.375741954
143.991088161,38.433,71,45.5608,71,0.336820212909,0.741768,186.88174271,13.5241200747,200.911735934,334.146357622,44.6122236494,497.383472376,56.0678225335,521.155328563,-13.8988,13.5213,0.600277,13.5290797697,13.5354,409.216546668
135.234550476,38.7875,72,45.8477,72,0.360308435695,0.796618,190.608601905,13.7504604886,256.685395095,287.146166229,23.7276299745,495.401627123,67.3527114998,461.687401808,-14.1502,13.7488,0.648027,13.7564264452,13.7669,420.716471053
130.076003278,39.1557,73,46.0615,73,0.354025606385,0.741112,182.227673909,13.9573992829,164.469687506,331.599629586,13.3436359373,410.343381331,13.2465766057,361.47174143,-14.342,13.9549,0.651917,13.9630575837,13.971,370.074278177
