AverageReturn,AverageEsReturn,QFunRegParamNorm,AverageQLoss,AverageAbsQYDiff,MinReturn,MinEsReturn,Epoch,AveragePolicySurr,MaxEsReturn,AverageAction,AverageAbsQ,Iteration,StdEsReturn,AverageDiscountedReturn,AverageQ,PolicyRegParamNorm,AverageY,StdReturn,AverageAbsY,MaxReturn
9.2299724816,9.79131731232,11.1297,1.48934,1.04002932928,9.11389016728,1.33996363936,9,0.010008,63.4049497084,0.216927,0.311006,9,6.69408996328,8.80477324819,-0.251323,11.2289,0.788706502097,0.0483382677819,0.788706502097,9.35923759089
3.08560611776,3.9079964691,11.3021,0.0316435,0.0943109388357,3.04812699403,2.38528569087,10,-0.521372,33.8704149836,0.999978,0.419452,10,2.57028046112,3.03643127808,0.418378,11.6522,0.421725392832,0.0174156635994,0.422608645939,3.12161364658
3.08585777508,3.63139208132,11.3825,0.00420526,0.0384050123508,3.04898308941,2.27470126415,11,-0.396427,7.43711160995,0.999997,0.376993,11,0.680987493085,3.03667655811,0.374021,11.745,0.374263121738,0.0179748398814,0.375067272706,3.12166318514
3.08534623353,3.88178482965,11.4832,0.00189457,0.0280589432495,3.04809856461,2.96698525533,12,-0.373807,9.70641367574,0.999998,0.386463,12,0.854864165275,3.03617761797,0.382438,11.7845,0.3824891443,0.0174837080709,0.383857330725,3.12312303548
38.785603316,5.26920003135,11.6572,0.00130563,0.0234921818343,36.7792590419,2.56146871067,13,-0.370077,46.8032386406,1.0,0.37866,13,7.70284801417,34.4673250634,0.374511,12.2965,0.37448028576,0.917885131595,0.376866105522,40.8214454216
38.8575316411,41.1263431793,11.921,0.00253851,0.0292726250037,36.6730856775,36.4790885774,14,-0.575248,53.1109076709,1.0,0.471493,14,2.87807934323,34.5261936909,0.467743,12.3156,0.467933083851,0.981077227199,0.470007888424,40.8175407777
38.7625647022,41.5760608546,12.2776,0.004196,0.034065728261,36.6316518963,4.10333146839,15,-0.739614,60.2815522048,1.0,0.626551,15,7.36035385901,34.4520380911,0.623601,12.3209,0.6238460133,0.914618573153,0.624966392972,40.6510331439
38.7682493767,41.146638894,12.7462,0.00502767,0.0376667128418,36.707808224,15.2664347678,16,-0.892983,54.4027525631,1.0,0.768694,16,5.49161755878,34.4537854812,0.766494,12.3218,0.766782118772,0.933932957319,0.767475639978,41.8314198076
38.7298177231,39.9951755761,13.2241,0.00525714,0.0387846914269,36.6493548986,7.35772365306,17,-1.05217,56.2297471909,1.0,0.916337,17,6.55458677128,34.4258850728,0.914249,12.3188,0.914495682407,0.920275129532,0.915198543631,40.764783998
38.6760375337,41.4590272472,13.8051,0.00639997,0.0436194994494,36.7429899175,11.2597933313,18,-1.23863,59.5454912822,1.0,1.0719,18,6.5888571831,34.3822928969,1.06998,12.3212,1.07024219042,0.896266853349,1.07074875917,40.7722339449
