MaxEsReturn,AverageAction,AverageAbsQYDiff,MaxReturn,StdReturn,AverageDiscountedReturn,Epoch,MinReturn,MinEsReturn,AverageQLoss,QFunRegParamNorm,AverageReturn,StdEsReturn,AverageAbsQ,AveragePolicySurr,AverageY,PolicyRegParamNorm,AverageAbsY,Iteration,AverageQ,AverageEsReturn
129.105388134,0.0394076,2.21494071828,12.7089314606,0.244905752225,11.4101631814,9,11.4338526362,1.80118937827,5.65743,11.1654,12.1514991724,14.9580817773,0.798897,0.501709,1.41604400475,11.1818,1.42543022538,9,-0.798897,14.0575303761
9.49491411842,0.999755,0.140789879645,0.519748428474,0.114921509689,0.400737799024,10,-0.0371868252192,-0.736638237133,0.0764841,11.3606,0.249438284,1.74350241917,1.1676,-1.21949,1.16361414799,12.3189,1.19233824037,10,1.15009,1.66013881192
52.5962341858,0.999993,0.099749862488,40.6276972101,0.912239764697,34.4451349948,11,36.6864609216,-0.231930414002,0.0302988,11.6637,38.7533757805,20.1587664421,1.54085,-1.57057,1.48010197534,13.3039,1.54401888737,11,1.47852,25.4484431853
73.4670388329,0.999958,0.15076376598,40.3426378586,0.899644661267,34.2652148744,12,36.4284453155,5.16816349286,0.0865601,12.3595,38.5381990068,8.66518399229,2.30689,-2.40381,2.20082688735,13.6701,2.31161580996,12,2.19882,40.0892074211
49.8335992773,0.999982,0.207200568413,41.3548535034,0.851398327718,34.2917230153,13,36.421147651,28.6597902015,0.17472,13.3287,38.5698113429,4.03543556993,3.24778,-3.44183,3.11439102812,13.8205,3.25352549342,13,3.11218,41.3945769948
130.516312548,0.870676,0.248812102659,110.563498239,0.662311757373,81.374274947,14,107.381559373,7.11698973472,0.258415,14.5045,109.235495406,20.6980757536,4.40109,-4.72569,4.27256978533,14.055,4.40700682417,14,4.27122,44.4077007797
174.689315562,0.6943,0.300761571014,174.467385562,1.69626580015,111.498935702,15,166.804358265,65.8980465885,0.398976,15.6782,171.737613563,37.2657165106,5.66085,-6.13934,5.54486837336,14.6249,5.66618933904,15,5.54255,131.834996047
169.820871303,0.678639,0.335086306944,167.241225468,2.91212490981,106.668392575,16,155.716539703,51.9726444981,0.529803,16.7113,162.084587258,42.2163678724,7.0811,-7.684,6.98544586424,15.3197,7.08640298648,16,6.98196,141.473527943
175.196403588,0.705817,0.383076007877,172.57643262,2.40699592234,109.966563455,17,163.147908238,35.7282022547,0.715083,17.9179,168.96429085,52.923195007,8.64679,-9.36611,8.56436402727,16.1652,8.65116888828,17,8.56109,132.007346495
180.592922081,0.676118,0.442003825334,176.964865025,1.69502007714,112.213582495,18,170.547228595,46.1296046186,0.991683,18.9976,173.800169302,49.0083508812,10.308,-11.1488,10.2425522505,17.1676,10.3125420799,18,10.2387,138.437235229
185.648012685,0.704809,0.507924457075,146.968856554,5.52799218899,93.9197549376,19,123.58343956,99.5975610218,1.26087,20.3282,133.051749935,21.2338063203,11.97,-12.8952,11.9126686498,18.0016,11.9736092853,19,11.9088,168.625884455
200.478233913,0.708932,0.568695764572,174.427653826,1.90847670767,110.249003158,20,165.33305833,63.2144922829,1.60788,21.6464,170.52580353,40.1301160391,13.7162,-14.7302,13.6740976147,18.6727,13.7202490268,20,13.6689,154.195151011
183.74802276,0.689412,0.586163259729,176.469758096,1.61778720003,112.184696717,21,170.56345188,10.5434211363,1.55085,22.8854,173.541298378,59.9847717624,15.502,-16.5459,15.4631241099,19.3918,15.5040775262,21,15.458,125.483546412
183.946340244,0.69153,0.640604366757,175.460633486,1.76346672321,111.645560515,22,167.191637986,17.2277322217,1.92094,24.0731,171.597993179,55.9711815416,17.326,-18.4459,17.2954734157,20.0204,17.3294093411,22,17.2891,106.301975037
176.353394903,0.687853,0.715239359955,174.378388184,1.00489722117,110.924397084,23,168.312078765,5.77528822957,2.41245,25.2167,171.576780869,50.9521607497,19.1357,-20.3276,19.1123935954,20.5504,19.1395184759,23,19.1042,141.195591604
176.532569394,0.643272,0.705437626565,174.795188064,1.52667705015,111.186799557,24,164.811252747,39.2232243399,2.39277,26.2509,171.904255146,37.5888244383,20.9967,-22.2475,20.9770965013,21.1473,21.0008813775,24,20.9703,150.473233147
191.744210599,0.591618,0.728886794099,178.320470335,1.48158980298,112.051303369,25,170.348487977,4.74602498502,2.66924,27.1899,173.866116506,48.3763070734,22.7757,-24.1172,22.7582112341,21.6286,22.7793601484,25,22.7499,156.390074256
186.162069739,0.635784,0.81117146853,176.059080253,2.42002101872,111.697586972,26,165.171685938,7.04966888155,3.30263,28.216,172.662786408,48.1730470551,24.5829,-26.0185,24.565800419,22.2821,24.5844157889,26,24.5596,150.124363323
224.603406606,0.573196,0.797797910701,180.916556395,2.22532490026,113.270609275,27,170.341087646,42.2077118926,2.99958,29.0583,176.821678448,56.5987496238,26.5848,-28.0322,26.5677925519,22.7768,26.5862693702,27,26.5597,150.166251885
228.099730865,0.512053,0.870855647859,214.444035521,1.80088353922,127.331573345,28,207.374655383,6.87564617578,3.84279,29.9298,211.553813018,61.5815462509,28.2861,-29.7933,28.2655321469,23.279,28.285007981,28,28.258,146.07090423
240.304989632,0.465793,1.00316905893,242.432530366,20.0091848766,125.261636508,29,188.620503475,16.2630085802,4.95898,30.908,211.990924337,70.3252941628,30.2403,-31.9432,30.2195623921,23.9704,30.237783709,29,30.2117,158.809313113
